,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,742.58,756.33,742.58,750.0,750.0,327197,0.0,1.0
1,2020-09-21,750.0,751.32,730.01,745.55,745.55,349960,0.0,1.0
2,2020-09-18,754.74,757.84,746.67,752.07,752.07,421267,0.0,1.0
3,2020-09-17,763.5,766.52,744.725,755.65,755.65,294540,0.0,1.0
4,2020-09-16,778.81,783.39,766.53,767.34,767.34,264624,0.0,1.0
5,2020-09-15,759.07,773.305,759.07,768.45,768.45,217987,0.0,1.0
6,2020-09-14,751.69,761.18,747.0,756.04,756.04,278358,0.0,1.0
7,2020-09-11,747.11,750.76,737.97,747.79,747.79,222027,0.0,1.0
8,2020-09-10,752.23,753.81,742.0,742.87,742.87,274829,0.0,1.0
9,2020-09-09,749.0,760.88,746.535,753.42,753.42,320517,0.0,1.0
10,2020-09-08,743.595,753.44,738.08,741.05,741.05,362634,0.0,1.0
11,2020-09-04,762.05,767.4,737.865,752.18,752.18,399875,0.0,1.0
12,2020-09-03,789.63,793.43,754.71,762.45,762.45,449829,0.0,1.0
13,2020-09-02,787.0,801.98,776.64,799.61,799.61,535831,0.0,1.0
14,2020-09-01,790.16,793.0,773.54,789.8,789.8,306360,0.0,1.0
15,2020-08-31,788.0,796.385,787.525,789.78,789.78,580459,0.0,1.0
16,2020-08-28,788.28,788.28,778.13,787.02,787.02,286940,0.0,1.0
17,2020-08-27,787.03,795.495,783.0,789.65,789.65,302774,0.0,1.0
18,2020-08-26,781.57,782.5,770.385,782.0,782.0,313520,0.0,1.0
19,2020-08-25,776.32,782.06,771.48,779.71,779.71,186231,0.0,1.0
20,2020-08-24,785.0,785.0,763.13,772.47,772.47,371392,0.0,1.0
21,2020-08-21,787.71,787.71,774.625,782.17,782.17,504593,0.0,1.0
22,2020-08-20,776.62,788.09,776.62,784.91,784.91,312112,0.0,1.0
23,2020-08-19,794.63,794.63,774.23,778.71,778.71,333960,0.0,1.0
24,2020-08-18,772.0,789.98,770.46,786.85,786.85,453645,2.66,1.0
25,2020-08-17,758.36,773.01,758.36,772.08,769.4787,389304,0.0,1.0
26,2020-08-14,771.2,776.335,758.11,762.01,759.4427,361648,0.0,1.0
27,2020-08-13,769.32,778.17,767.94,770.12,767.5253,284529,0.0,1.0
28,2020-08-12,764.68,776.21,756.62,772.99,770.3857,315306,0.0,1.0
29,2020-08-11,781.46,781.46,754.92,758.17,755.6156,505911,0.0,1.0
30,2020-08-10,797.95,805.81,780.03,782.74,780.1028,307744,0.0,1.0
31,2020-08-07,791.69,798.478,788.44,791.7,789.0326,224852,0.0,1.0
32,2020-08-06,787.67,793.78,786.47,792.06,789.3914,254279,0.0,1.0
33,2020-08-05,799.0,799.0,786.24,794.04,791.3647,250074,0.0,1.0
34,2020-08-04,783.46,794.72,775.03,793.43,790.7568,382885,0.0,1.0
35,2020-08-03,776.64,785.47,775.185,779.12,776.495,386533,0.0,1.0
36,2020-07-31,774.18,785.8,770.88,785.48,782.8336,334613,0.0,1.0
37,2020-07-30,780.0,787.7,770.0,777.95,775.3289,461519,0.0,1.0
38,2020-07-29,760.1,770.88,756.16,770.0,767.4057,379504,0.0,1.0
39,2020-07-28,762.39,762.39,748.495,752.53,749.9946,401481,0.0,1.0
40,2020-07-27,737.7,756.09,735.025,754.0,751.4596,399387,0.0,1.0
41,2020-07-24,729.81,739.51,729.57,737.39,734.9056,252906,0.0,1.0
42,2020-07-23,738.64,744.46,728.27,736.69,734.208,336549,0.0,1.0
