,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,52.0,53.215,52.0,52.66,52.66,4194329,0.0,1.0
1,2020-09-21,53.58,53.93,51.885,52.03,52.03,4023529,0.0,1.0
2,2020-09-18,55.42,56.0,54.27,54.33,54.33,4987160,0.0,1.0
3,2020-09-17,56.35,57.32,55.39,55.78,55.78,3366163,0.0,1.0
4,2020-09-16,56.54,57.38,56.42,56.87,56.87,3449870,0.0,1.0
5,2020-09-15,56.83,57.41,55.94,56.33,56.33,2556451,0.0,1.0
6,2020-09-14,55.01,57.13,55.0,56.93,56.93,2311340,0.0,1.0
7,2020-09-11,55.77,55.98,54.25,54.67,54.67,2723914,0.0,1.0
8,2020-09-10,56.55,56.7,55.165,55.81,55.81,6098399,0.0,1.0
9,2020-09-09,57.43,58.14,56.5,56.84,56.84,2432995,0.0,1.0
10,2020-09-08,57.81,57.95,56.815,57.39,57.39,2133741,0.0,1.0
11,2020-09-04,57.69,58.81,57.25,58.11,58.11,2128651,0.0,1.0
12,2020-09-03,57.91,59.095,57.04,57.4,57.4,1990784,0.0,1.0
13,2020-09-02,56.81,57.76,56.36,57.69,57.69,2137240,0.0,1.0
14,2020-09-01,56.68,56.83,55.76,56.78,56.78,2454659,0.0,1.0
15,2020-08-31,56.76,56.875,56.01,56.45,56.45,2143500,0.0,1.0
16,2020-08-28,56.96,57.06,56.09,57.03,57.03,1711577,0.0,1.0
17,2020-08-27,55.04,56.78,55.04,56.63,56.63,1803069,0.0,1.0
18,2020-08-26,56.21,56.21,54.625,54.92,54.92,1703455,0.0,1.0
19,2020-08-25,55.87,56.58,55.68,56.56,56.56,1784391,0.0,1.0
20,2020-08-24,54.6,56.02,53.96,55.91,55.91,2327348,0.0,1.0
21,2020-08-21,55.37,55.57,53.78,54.69,54.69,1969265,0.0,1.0
22,2020-08-20,54.04,55.51,53.92,55.25,55.25,1570619,0.0,1.0
23,2020-08-19,55.29,55.29,53.94,54.15,54.15,2642809,0.0,1.0
24,2020-08-18,55.46,55.55,54.45,55.37,55.37,2148214,0.0,1.0
25,2020-08-17,54.42,55.4,54.04,55.39,55.39,2653000,0.0,1.0
26,2020-08-14,53.59,55.08,53.03,54.39,54.39,2100062,0.0,1.0
27,2020-08-13,54.42,54.9,53.33,53.51,53.51,1841701,0.0,1.0
28,2020-08-12,54.96,55.28,54.065,54.82,54.82,2303347,0.0,1.0
29,2020-08-11,55.98,56.28,54.48,54.75,54.75,2467592,0.0,1.0
30,2020-08-10,55.28,55.965,54.8457,55.36,55.36,2269255,0.0,1.0
31,2020-08-07,53.32,55.4967,53.32,55.19,55.19,3007092,0.0,1.0
32,2020-08-06,53.15,54.04,53.15,53.64,53.64,2047680,0.0,1.0
33,2020-08-05,54.28,54.32,53.18,53.32,53.32,2920987,0.0,1.0
34,2020-08-04,52.35,53.7,51.69,53.46,53.46,4036247,0.0,1.0
35,2020-08-03,52.62,53.0,52.15,52.33,52.33,2292659,0.0,1.0
36,2020-07-31,53.81,53.99,52.58,53.63,53.63,2452289,0.0,1.0
37,2020-07-30,52.8,54.02,52.69,53.95,53.95,2100874,0.0,1.0
38,2020-07-29,54.26,54.83,52.67,53.59,53.59,3319258,0.0,1.0
39,2020-07-28,53.09,55.06,53.08,54.66,54.66,2456422,0.0,1.0
