,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,49.92,50.3,48.595,49.3,49.3,1663909,0.0,1.0
1,2020-09-21,50.53,50.86,49.18,50.02,50.02,3687440,0.0,1.0
2,2020-09-18,52.15,52.77,51.8,51.95,51.95,2538102,0.0,1.0
3,2020-09-17,52.02,52.74,51.78,52.04,52.04,1552703,0.0,1.0
4,2020-09-16,52.43,53.78,52.07,53.01,53.01,1864444,0.0,1.0
5,2020-09-15,52.96,53.1,52.07,52.18,52.18,1311411,0.0,1.0
6,2020-09-14,52.52,53.34,52.2,53.0,53.0,2108842,0.0,1.0
7,2020-09-11,52.18,52.83,51.9,52.24,52.24,1520722,0.0,1.0
8,2020-09-10,53.34,53.47,51.96,52.14,52.14,1761397,0.0,1.0
9,2020-09-09,52.44,53.415,52.19,52.94,52.94,1792927,0.0,1.0
10,2020-09-08,53.83,54.05,51.85,51.885,51.885,3770649,0.0,1.0
11,2020-09-04,55.58,55.68,53.53,54.53,54.53,2861726,0.0,1.0
12,2020-09-03,55.57,56.26,54.02,54.6,54.6,2598727,0.0,1.0
13,2020-09-02,54.59,55.32,54.29,55.09,55.09,1138820,0.0,1.0
14,2020-09-01,53.67,54.64,53.53,54.4,54.4,1449048,0.0,1.0
15,2020-08-31,54.66,54.8,54.08,54.1,54.1,2214189,0.0,1.0
16,2020-08-28,54.82,54.97,54.37,54.65,54.65,3330899,0.0,1.0
17,2020-08-27,53.79,54.81,53.64,54.51,54.51,2094087,0.0,1.0
18,2020-08-26,53.94,54.03,53.52,53.66,53.66,1042619,0.0,1.0
19,2020-08-25,54.53,54.85,53.78,53.97,53.97,1054004,0.0,1.0
20,2020-08-24,53.04,54.46,53.04,54.31,54.31,2262939,0.0,1.0
21,2020-08-21,52.52,53.34,52.41,52.98,52.98,2219136,0.0,1.0
22,2020-08-20,52.45,53.01,52.31,52.7,52.7,1022554,0.0,1.0
23,2020-08-19,52.96,53.97,52.93,53.29,53.29,1356464,0.0,1.0
24,2020-08-18,53.37,53.37,52.59,52.9,52.9,1280148,0.14,1.0
25,2020-08-17,54.31,54.41,53.11,53.37,53.2291,1852329,0.0,1.0
26,2020-08-14,53.94,54.59,53.67,54.36,54.2165,1251692,0.0,1.0
27,2020-08-13,54.01,54.5,53.76,54.21,54.0669,1263124,0.0,1.0
28,2020-08-12,54.64,55.53,53.97,54.45,54.3063,2050330,0.0,1.0
29,2020-08-11,53.32,55.0,53.23,53.84,53.6979,2072976,0.0,1.0
30,2020-08-10,52.41,52.86,52.26,52.61,52.4711,2334940,0.0,1.0
31,2020-08-07,51.09,52.52,50.94,52.41,52.2717,1158945,0.0,1.0
32,2020-08-06,51.66,51.9644,51.19,51.38,51.2444,1638165,0.0,1.0
33,2020-08-05,51.28,52.0,51.28,51.86,51.7231,1542228,0.0,1.0
34,2020-08-04,51.37,51.76,51.07,51.27,51.1347,1332621,0.0,1.0
35,2020-08-03,51.05,51.91,50.67,51.46,51.3242,1495248,0.0,1.0
36,2020-07-31,50.96,50.96,50.1982,50.77,50.636,1356769,0.0,1.0
37,2020-07-30,51.24,51.24,50.4,50.81,50.6759,2007096,0.0,1.0
38,2020-07-29,51.83,52.3,51.52,52.235,52.0971,1141588,0.0,1.0
39,2020-07-28,52.48,52.82,51.835,51.89,51.753,1276570,0.0,1.0
40,2020-07-27,51.67,53.18,51.29,52.98,52.8402,1772171,0.0,1.0
41,2020-07-24,52.44,52.44,51.65,51.77,51.6334,2064277,0.0,1.0
42,2020-07-23,52.81,52.94,51.96,52.24,52.1021,2224366,0.0,1.0
43,2020-07-22,53.75,54.04,52.7,52.71,52.5709,3115446,0.0,1.0
44,2020-07-21,53.81,54.18,53.22,54.08,53.9373,2112300,0.0,1.0
45,2020-07-20,53.62,53.81,53.04,53.55,53.4087,2416200,0.0,1.0
46,2020-07-17,54.51,54.76,53.7,54.14,53.9971,2395400,0.0,1.0
47,2020-07-16,53.41,55.29,53.03,54.37,54.2265,2476400,0.0,1.0
48,2020-07-15,54.09,54.12,52.12,53.08,52.9399,2716100,0.0,1.0
49,2020-07-14,51.92,52.25,50.58,52.16,52.0223,2604400,0.0,1.0
50,2020-07-13,52.48,52.66,51.59,51.83,51.6932,2342500,0.0,1.0
51,2020-07-10,49.16,51.52,49.14,51.44,51.3042,3573600,0.0,1.0
52,2020-07-09,50.36,50.81,48.65,49.14,49.0103,2681500,0.0,1.0
53,2020-07-08,49.0,50.57,48.88,50.51,50.3767,1377000,0.0,1.0
54,2020-07-07,50.06,50.08,48.93,49.03,48.9006,1116000,0.0,1.0
55,2020-07-06,50.35,50.95,50.26,50.37,50.237,2340400,0.0,1.0
56,2020-07-02,50.48,50.57,49.19,49.28,49.1499,1941900,0.0,1.0
57,2020-07-01,49.63,50.56,48.73,49.07,48.9405,2698500,0.0,1.0
58,2020-06-30,48.51,50.02,48.41,49.73,49.5987,2965100,0.0,1.0
59,2020-06-29,49.17,49.21,48.085,48.73,48.6014,1736400,0.0,1.0
60,2020-06-26,50.12,50.12,48.07,48.54,48.4119,4108300,0.0,1.0
61,2020-06-25,48.0,50.37,47.95,50.26,50.1273,2796500,0.0,1.0
62,2020-06-24,48.71,49.05,47.83,48.31,48.1825,2352500,0.0,1.0
63,2020-06-23,49.53,49.97,49.12,49.32,49.1898,3265100,0.0,1.0
64,2020-06-22,48.0,49.1,47.94,48.82,48.6911,1882000,0.0,1.0
