,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,94.53,95.97,93.29,94.83,94.83,1387178,0.0,1.0
1,2020-09-18,97.43,97.89,95.34,95.43,95.43,1700552,0.0,1.0
2,2020-09-17,96.1,97.77,95.08,97.63,97.63,1360205,0.0,1.0
3,2020-09-16,96.3,97.62,96.12,96.84,96.84,1079514,0.0,1.0
4,2020-09-15,97.38,98.48,96.03,96.54,96.54,853422,0.0,1.0
5,2020-09-14,96.08,97.42,95.902,96.72,96.72,749365,0.0,1.0
6,2020-09-11,95.95,95.95,94.67,95.45,95.45,1486663,0.0,1.0
7,2020-09-10,98.03,98.51,95.76,95.85,95.85,1005387,0.0,1.0
8,2020-09-09,98.35,99.87,98.27,98.37,98.37,850003,0.0,1.0
9,2020-09-08,97.79,98.56,96.05,97.95,97.95,1261036,0.0,1.0
10,2020-09-04,98.55,98.72,96.79,97.9,97.9,987514,0.0,1.0
11,2020-09-03,100.91,101.5,96.975,98.0,98.0,1681549,0.0,1.0
12,2020-09-02,97.72,101.09,97.31,100.48,100.48,864300,0.0,1.0
13,2020-09-01,98.95,98.96,97.01,97.69,97.69,904805,0.0,1.0
14,2020-08-31,98.64,99.625,98.41,99.14,99.14,1196085,0.0,1.0
15,2020-08-28,97.46,99.11,96.805,98.96,98.96,1196499,0.0,1.0
16,2020-08-27,96.71,97.53,95.56,97.26,97.26,1165577,0.0,1.0
17,2020-08-26,97.26,97.35,96.18,96.25,96.25,1157173,0.0,1.0
18,2020-08-25,99.06,99.06,97.42,97.82,97.82,793817,0.0,1.0
19,2020-08-24,98.5,98.85,97.17,98.64,98.64,752991,0.0,1.0
20,2020-08-21,98.13,98.24,96.77,98.13,98.13,921781,0.0,1.0
21,2020-08-20,98.44,98.9,96.92,97.71,97.71,866743,0.0,1.0
22,2020-08-19,100.24,100.52,98.92,98.99,98.99,612186,0.0,1.0
23,2020-08-18,100.73,101.01,98.93,100.1,100.1,783861,0.0,1.0
24,2020-08-17,100.96,102.05,100.29,100.6,100.6,1048781,0.0,1.0
25,2020-08-14,101.53,102.16,100.21,100.93,100.93,720966,0.0,1.0
26,2020-08-13,101.19,101.885,100.5,101.73,101.73,616786,0.0,1.0
27,2020-08-12,101.63,103.0,100.91,101.65,101.65,1154469,0.93,1.0
28,2020-08-11,105.88,106.55,101.72,102.11,101.1843,1534919,0.0,1.0
29,2020-08-10,105.14,105.955,104.505,105.7,104.7417,739675,0.0,1.0
30,2020-08-07,102.03,104.8,102.03,104.67,103.7211,850550,0.0,1.0
31,2020-08-06,100.27,102.34,100.0,102.29,101.3626,887425,0.0,1.0
32,2020-08-05,103.4,103.5,100.33,100.36,99.4501,1253400,0.0,1.0
33,2020-08-04,102.5,104.1,102.19,103.16,102.2247,724030,0.0,1.0
34,2020-08-03,105.13,105.295,102.25,102.62,101.6896,940500,0.0,1.0
35,2020-07-31,104.04,105.27,103.71,105.13,104.1769,1685961,0.0,1.0
36,2020-07-30,103.1,104.87,102.6,104.64,103.6913,967766,0.0,1.0
