,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,81.61,82.2,79.7,81.45,81.45,2164329,0.0,1.0
1,2020-09-18,83.58,84.86,82.31,83.2,83.2,3592853,0.0,1.0
2,2020-09-17,83.06,83.93,82.44,83.69,83.69,2463350,0.0,1.0
3,2020-09-16,83.7,84.6868,83.535,83.87,83.87,1992460,0.0,1.0
4,2020-09-15,83.48,84.28,82.94,83.3,83.3,2378691,0.0,1.0
5,2020-09-14,82.08,83.5,81.93,82.95,82.95,1702443,0.0,1.0
6,2020-09-11,83.0,83.05,80.98,81.78,81.78,1721599,0.0,1.0
7,2020-09-10,85.14,85.14,82.43,82.64,82.64,2276472,0.0,1.0
8,2020-09-09,83.31,85.71,83.07,84.84,84.84,2160919,0.0,1.0
9,2020-09-08,82.75,83.54,82.025,82.16,82.16,2892988,0.0,1.0
10,2020-09-04,85.77,86.0832,82.645,83.71,83.71,2786936,0.0,1.0
11,2020-09-03,87.53,87.595,84.945,85.69,85.69,4146118,0.0,1.0
12,2020-09-02,86.25,87.79,85.96,87.44,87.44,3037802,0.0,1.0
13,2020-09-01,85.09,86.01,84.51,85.91,85.91,3611893,0.0,1.0
14,2020-08-31,84.38,86.41,83.96,85.84,85.84,4171882,0.0,1.0
15,2020-08-28,83.87,84.6,83.16,84.33,84.33,2995499,0.0,1.0
16,2020-08-27,81.52,84.31,81.19,83.7,83.7,3596694,0.0,1.0
17,2020-08-26,80.35,81.71,80.18,81.52,81.52,2714102,0.0,1.0
18,2020-08-25,79.54,80.99,79.21,80.35,80.35,2027025,0.0,1.0
19,2020-08-24,79.0,79.86,78.15,78.71,78.71,2271111,0.0,1.0
20,2020-08-21,78.95,78.95,78.09,78.71,78.71,1699836,0.0,1.0
21,2020-08-20,78.22,79.14,78.03,79.1,79.1,1727124,0.0,1.0
22,2020-08-19,78.87,79.77,78.31,78.77,78.77,2566238,0.0,1.0
23,2020-08-18,78.46,78.82,77.9238,78.59,78.59,1397854,0.0,1.0
24,2020-08-17,78.15,79.06,78.07,78.44,78.44,1629522,0.0,1.0
25,2020-08-14,78.69,79.14,77.67,78.07,78.07,1317747,0.0,1.0
26,2020-08-13,78.24,79.84,77.98,79.4,79.4,2332944,0.0,1.0
27,2020-08-12,77.0,78.84,76.955,78.58,78.58,2050004,0.0,1.0
28,2020-08-11,76.47,77.6,75.55,76.66,76.66,2189852,0.0,1.0
29,2020-08-10,76.82,77.13,75.49,75.78,75.78,1902086,0.0,1.0
