,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,89.97,90.355,87.3,88.33,88.33,1008652,0.0,1.0
1,2020-09-18,93.66,93.79,90.69,91.32,91.32,2407535,0.0,1.0
2,2020-09-17,90.7,92.79,90.36,92.38,92.38,1176065,0.0,1.0
3,2020-09-16,95.1165,95.1165,91.3,91.52,91.52,1112470,0.0,1.0
4,2020-09-15,91.25,93.58,91.03,93.3,93.3,1372500,0.0,1.0
5,2020-09-14,90.8,91.85,90.69,91.21,91.21,1339452,0.0,1.0
6,2020-09-11,88.93,90.635,88.93,90.36,90.36,1569817,0.0,1.0
7,2020-09-10,89.52,89.82,88.54,88.61,88.61,1096331,0.0,1.0
8,2020-09-09,87.67,90.2,87.2445,89.55,89.55,1011624,0.0,1.0
9,2020-09-08,87.68,87.9273,86.23,86.46,86.46,1463144,0.0,1.0
10,2020-09-04,89.0,89.4,86.71,87.8,87.8,866331,0.0,1.0
11,2020-09-03,90.89,91.0,87.93,88.55,88.55,970644,0.0,1.0
12,2020-09-02,89.58,91.22,89.58,90.77,90.77,1284848,0.0,1.0
13,2020-09-01,88.74,89.75,87.76,89.68,89.68,778004,0.0,1.0
14,2020-08-31,88.83,89.12,88.0,88.39,88.39,900923,0.0,1.0
15,2020-08-28,88.04,88.97,87.465,88.88,88.88,699741,0.0,1.0
16,2020-08-27,87.83,88.13,87.26,87.5,87.5,1068404,0.0,1.0
17,2020-08-26,87.04,87.62,86.71,87.55,87.55,848706,0.0,1.0
18,2020-08-25,87.45,87.64,86.9,87.44,87.44,621589,0.0,1.0
19,2020-08-24,86.91,87.25,86.42,87.14,87.14,845641,0.0,1.0
20,2020-08-21,86.74,86.95,86.06,86.29,86.29,1232577,0.0,1.0
21,2020-08-20,86.51,87.18,86.32,86.86,86.86,906121,0.0,1.0
22,2020-08-19,86.98,87.74,86.8358,87.17,87.17,642663,0.0,1.0
23,2020-08-18,86.46,87.16,86.26,86.84,86.84,1075882,0.0,1.0
24,2020-08-17,86.27,86.98,86.12,86.5,86.5,735967,0.0,1.0
25,2020-08-14,86.18,87.135,85.31,86.1,86.1,676079,0.0,1.0
26,2020-08-13,85.94,86.2,85.14,85.98,85.98,1194679,0.0,1.0
27,2020-08-12,86.52,87.0,85.96,86.15,86.15,995742,0.0,1.0
28,2020-08-11,85.56,86.665,85.19,85.69,85.69,1397575,0.0,1.0
29,2020-08-10,84.99,86.03,84.69,85.19,85.19,1283009,0.0,1.0
30,2020-08-07,84.69,85.705,84.5,85.45,85.45,1169312,0.0,1.0
31,2020-08-06,84.54,85.07,83.97,84.53,84.53,1154789,0.0,1.0
32,2020-08-05,81.69,85.975,81.51,84.09,84.09,2043825,0.0,1.0
33,2020-08-04,86.0,87.65,84.21,86.84,86.84,1803777,0.0,1.0
34,2020-08-03,84.35,85.88,84.31,85.83,85.83,2020001,0.0,1.0
35,2020-07-31,82.87,84.9,82.65,84.51,84.51,2042252,0.0,1.0
36,2020-07-30,83.5,83.79,82.08,83.02,83.02,921219,0.0,1.0
37,2020-07-29,81.5,83.94,80.99,83.82,83.82,1366925,0.0,1.0
38,2020-07-28,81.05,81.13,79.41,79.45,79.45,612692,0.0,1.0
39,2020-07-27,80.11,81.17,79.69,81.08,81.08,897298,0.0,1.0
