,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,91.17,92.3799,89.83,91.29,91.29,3202827,0.0,1.0
1,2020-09-18,97.31,97.31,92.97,93.8,93.8,3519817,0.0,1.0
2,2020-09-17,97.23,98.12,94.41,96.79,96.79,2131651,0.0,1.0
3,2020-09-16,97.75,101.374,97.26,99.03,99.03,2013799,0.0,1.0
4,2020-09-15,96.84,99.26,96.12,97.4,97.4,1560268,0.0,1.0
5,2020-09-14,96.14,96.53,94.72,95.92,95.92,2141251,0.0,1.0
6,2020-09-11,96.25,96.59,92.12,94.74,94.74,3019716,0.0,1.0
7,2020-09-10,99.08,101.19,97.15,97.24,97.24,2216466,0.0,1.0
8,2020-09-09,99.36,99.76,96.95,99.23,99.23,2069979,0.0,1.0
9,2020-09-08,98.26,100.84,97.48,99.27,99.27,1790950,0.0,1.0
10,2020-09-04,101.12,102.29,97.08,99.8,99.8,3345419,0.0,1.0
11,2020-09-03,101.72,104.05,99.21,100.29,100.29,3888067,0.0,1.0
12,2020-09-02,100.46,103.49,99.2,102.94,102.94,3812784,0.0,1.0
13,2020-09-01,97.6,99.3305,96.69,99.25,99.25,1967874,0.0,1.0
14,2020-08-31,101.02,101.02,98.07,98.15,98.15,2817387,0.0,1.0
15,2020-08-28,98.73,101.45,97.9,100.89,100.89,3020390,0.0,1.0
16,2020-08-27,96.1,98.48,95.77,97.735,97.735,2765560,0.0,1.0
17,2020-08-26,96.0,96.82,94.9415,95.11,95.11,2099354,0.0,1.0
18,2020-08-25,95.59,96.63,93.33,96.42,96.42,2377029,0.0,1.0
19,2020-08-24,92.15,95.97,91.55,95.46,95.46,4114322,0.0,1.0
20,2020-08-21,88.23,91.3,87.97,91.1,91.1,2582867,0.0,1.0
21,2020-08-20,86.97,89.205,86.76,88.67,88.67,1256670,0.0,1.0
22,2020-08-19,88.14,88.82,87.0,87.68,87.68,2428608,0.0,1.0
23,2020-08-18,87.1564,88.72,86.6825,88.5,88.5,1740469,0.0,1.0
24,2020-08-17,87.37,87.83,85.66,87.7,87.7,1879069,0.0,1.0
25,2020-08-14,86.56,86.99,85.44,86.73,86.73,1830788,0.0,1.0
26,2020-08-13,86.95,88.76,86.14,86.97,86.97,1585057,0.0,1.0
27,2020-08-12,88.35,88.99,85.73,86.95,86.95,1938041,0.0,1.0
28,2020-08-11,87.6,90.69,87.42,88.12,88.12,4141194,0.0,1.0
29,2020-08-10,83.11,86.37,83.1,84.91,84.91,2585576,0.0,1.0
30,2020-08-07,83.48,84.05,80.89,82.56,82.56,3199731,0.0,1.0
31,2020-08-06,81.81,85.58,81.48,84.21,84.21,3157316,0.0,1.0
32,2020-08-05,80.96,82.8,80.5,82.58,82.58,2757373,0.0,1.0
33,2020-08-04,79.86,81.4,79.07,79.74,79.74,4332857,0.0,1.0
34,2020-08-03,81.1,82.29,79.42,79.96,79.96,3514006,0.0,1.0
35,2020-07-31,80.83,81.32,76.75,81.01,81.01,10891854,0.0,1.0
36,2020-07-30,83.91,85.08,81.48,84.93,84.93,2841310,0.0,1.0
37,2020-07-29,84.01,85.67,82.27,85.32,85.32,1859521,0.0,1.0
38,2020-07-28,84.19,85.48,83.48,83.68,83.68,1516452,0.0,1.0
39,2020-07-27,83.4,84.8,80.7,84.42,84.42,2423741,0.0,1.0
40,2020-07-24,84.86,85.6,83.285,83.72,83.72,2503091,0.0,1.0
41,2020-07-23,87.1,87.23,83.75,85.17,85.17,2873722,0.0,1.0
42,2020-07-22,86.88,87.8,85.99,87.68,87.68,2082038,0.0,1.0
43,2020-07-21,87.72,89.11,86.7,87.53,87.53,1880719,0.0,1.0
44,2020-07-20,86.09,87.55,84.53,86.89,86.89,1913989,0.0,1.0
45,2020-07-17,87.21,87.25,85.57,86.87,86.87,1631600,0.0,1.0
46,2020-07-16,88.45,89.07,86.45,87.17,87.17,2458500,0.0,1.0
47,2020-07-15,86.26,91.29,86.13,90.23,90.23,5597200,0.0,1.0
48,2020-07-14,80.83,82.65,80.32,82.47,82.47,2344700,0.0,1.0
