,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,239.51,243.78,235.63,243.42,243.42,2641917,0.0,1.0
1,2020-09-21,237.95,239.19,230.27,238.74,238.74,4109508,0.0,1.0
2,2020-09-18,242.97,248.2,241.95,242.78,242.78,4348747,0.0,1.0
3,2020-09-17,242.63,249.8,242.11,244.08,244.08,4254299,0.0,1.0
4,2020-09-16,253.03,256.18,246.3,250.3,250.3,17082179,0.0,1.0
5,2020-09-15,234.99,239.85,230.51,236.67,236.67,9847346,0.0,1.0
6,2020-09-14,240.99,241.0,232.5701,236.34,236.34,6583670,0.0,1.0
7,2020-09-11,226.44,233.67,225.47,232.79,232.79,4865220,0.0,1.0
8,2020-09-10,229.49,229.49,222.89,224.44,224.44,2443294,0.0,1.0
9,2020-09-09,226.0,228.845,224.12,225.75,225.75,3222696,0.0,1.0
10,2020-09-08,223.79,225.7478,219.72,221.05,221.05,2121067,0.0,1.0
11,2020-09-04,222.46,228.236,217.398,226.12,226.12,2879820,0.0,1.0
12,2020-09-03,228.13,231.58,218.59,220.97,220.97,4003783,0.65,1.0
13,2020-09-02,227.12,229.0,223.07,227.91,227.2416,1680746,0.0,1.0
14,2020-09-01,219.99,226.55,219.1406,225.46,224.7987,1904774,0.0,1.0
15,2020-08-31,221.8,224.2,219.8,219.84,219.1952,1839581,0.0,1.0
16,2020-08-28,218.23,223.66,218.01,221.9,221.2492,2996129,0.0,1.0
17,2020-08-27,216.1,218.875,215.08,218.21,217.57,2014856,0.0,1.0
18,2020-08-26,215.73,217.12,214.08,215.77,215.1372,1518191,0.0,1.0
19,2020-08-25,219.17,219.58,213.22,214.31,213.6814,2160235,0.0,1.0
20,2020-08-24,212.96,217.95,211.99,217.4,216.7624,3393717,0.0,1.0
21,2020-08-21,209.16,212.94,208.5,210.49,209.8726,2034054,0.0,1.0
22,2020-08-20,206.23,209.2,205.06,208.82,208.2075,1532805,0.0,1.0
23,2020-08-19,206.84,210.94,206.84,207.88,207.2703,2217960,0.0,1.0
24,2020-08-18,206.37,208.43,204.18,206.97,206.363,3040684,0.0,1.0
25,2020-08-17,210.0,211.56,206.0373,206.64,206.0339,2652897,0.0,1.0
26,2020-08-14,202.07,209.6412,201.86,208.6,207.9882,4632952,0.0,1.0
27,2020-08-13,200.68,204.79,199.61,203.86,203.2621,3663846,0.0,1.0
28,2020-08-12,200.0,206.24,199.015,201.96,201.3677,6239385,0.0,1.0
29,2020-08-11,199.99,203.585,195.14,196.45,195.8738,5998248,0.0,1.0
30,2020-08-10,188.16,200.46,187.34,199.98,199.3935,10815110,0.0,1.0
31,2020-08-07,172.47,183.88,172.47,183.53,182.9917,6311099,0.0,1.0
32,2020-08-06,172.0,173.48,171.32,172.24,171.7348,1364902,0.0,1.0
33,2020-08-05,171.85,172.4233,170.2442,171.7,171.1964,1309963,0.0,1.0
34,2020-08-04,169.22,171.48,169.2,170.66,170.1595,1264202,0.0,1.0
35,2020-08-03,169.55,170.585,168.53,169.22,168.7237,1503570,0.0,1.0
36,2020-07-31,172.0,172.71,167.99,168.4,167.9061,2488103,0.0,1.0
37,2020-07-30,174.15,174.5,169.8601,172.71,172.2035,5407268,0.0,1.0
38,2020-07-29,167.1,171.37,167.01,169.55,169.0527,4623873,0.0,1.0
39,2020-07-28,169.42,170.3299,166.711,166.93,166.4404,2374595,0.0,1.0
40,2020-07-27,165.0,170.72,163.86,170.64,170.1395,2926388,0.0,1.0
41,2020-07-24,164.69,166.88,164.19,165.04,164.5559,1546235,0.0,1.0
