,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,144.22,146.61,142.99,146.19,146.19,2106586,0.0,1.0
1,2020-09-21,144.07,144.5408,141.2,144.02,144.02,2950457,0.0,1.0
2,2020-09-18,148.51,149.935,145.5,146.65,146.65,3620091,0.0,1.0
3,2020-09-17,145.75,148.9,145.46,148.81,148.81,2907415,0.0,1.0
4,2020-09-16,149.69,150.83,148.6,148.67,148.67,2691811,0.0,1.0
5,2020-09-15,147.62,149.1,146.955,148.5,148.5,2112638,0.0,1.0
6,2020-09-14,145.69,147.5711,144.78,146.23,146.23,2848171,0.0,1.0
7,2020-09-11,145.8,146.68,142.725,144.23,144.23,2586532,0.0,1.0
8,2020-09-10,149.06,150.54,145.19,145.86,145.86,2206239,0.35,1.0
9,2020-09-09,147.6,149.47,145.78,148.5,148.1445,3693499,0.0,1.0
10,2020-09-08,144.77,147.03,144.0,145.7,145.3512,4134047,0.0,1.0
11,2020-09-04,151.01,151.48,145.845,148.0,147.6457,3205565,0.0,1.0
12,2020-09-03,154.52,154.685,148.8466,150.9,150.5388,2512468,0.0,1.0
13,2020-09-02,152.5,156.725,151.56,155.76,155.3871,3186707,0.0,1.0
14,2020-09-01,150.75,152.53,150.36,152.35,151.9853,2639966,0.0,1.0
15,2020-08-31,152.47,152.47,150.7,150.85,150.4889,3896533,0.0,1.0
16,2020-08-28,151.09,152.52,150.32,152.47,152.105,2512312,0.0,1.0
17,2020-08-27,148.76,151.45,147.66,151.2,150.8381,4061884,0.0,1.0
18,2020-08-26,145.75,148.54,144.69,147.89,147.536,4660069,0.0,1.0
19,2020-08-25,141.96,145.46,140.83,145.37,145.022,2649330,0.0,1.0
20,2020-08-24,143.22,143.23,140.23,141.67,141.3309,3145879,0.0,1.0
21,2020-08-21,141.32,142.48,140.7,141.8,141.4606,3310015,0.0,1.0
22,2020-08-20,141.63,142.15,140.7,141.24,140.9019,3496726,0.0,1.0
23,2020-08-19,145.0,145.0,142.45,142.61,142.2686,3700323,0.0,1.0
24,2020-08-18,144.9,145.01,142.82,143.81,143.4657,3792880,0.0,1.0
25,2020-08-17,144.58,145.56,143.8,144.27,143.9246,2621094,0.0,1.0
26,2020-08-14,145.13,145.3,143.2,143.88,143.5356,1749943,0.0,1.0
27,2020-08-13,142.75,145.61,142.75,145.2,144.8524,2854911,0.0,1.0
28,2020-08-12,143.74,144.9,143.15,143.82,143.4757,2216509,0.0,1.0
