,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,27.65,27.87,26.08,26.75,26.75,1538761,0.0,1.0
1,2020-09-18,28.83,29.3,28.15,28.49,28.49,2826858,0.0,1.0
2,2020-09-17,28.9,29.31,28.31,28.93,28.93,952116,0.2,1.0
3,2020-09-16,28.44,29.775,28.17,29.54,29.3372,1417287,0.0,1.0
4,2020-09-15,28.33,28.7,27.75,28.19,27.9965,954556,0.0,1.0
5,2020-09-14,28.47,28.74,28.05,28.24,28.0461,685736,0.0,1.0
6,2020-09-11,28.04,28.4801,27.85,28.14,27.9468,678129,0.0,1.0
7,2020-09-10,28.58,28.78,27.77,27.88,27.6886,880521,0.0,1.0
8,2020-09-09,28.56,28.71,28.075,28.57,28.3738,948029,0.0,1.0
9,2020-09-08,28.91,29.18,28.32,28.36,28.1653,1401282,0.0,1.0
10,2020-09-04,29.6,30.0,29.12,29.42,29.218,1000151,0.0,1.0
11,2020-09-03,30.02,30.49,28.72,28.92,28.7214,1356052,0.0,1.0
12,2020-09-02,30.03,30.25,29.69,30.09,29.8834,585986,0.0,1.0
13,2020-09-01,29.4,30.09,29.25,29.89,29.6848,553391,0.0,1.0
14,2020-08-31,30.53,30.53,29.65,29.68,29.4762,861998,0.0,1.0
15,2020-08-28,29.85,30.67,29.68,30.53,30.3204,582585,0.0,1.0
16,2020-08-27,29.67,29.995,29.22,29.75,29.5457,658858,0.0,1.0
17,2020-08-26,29.65,29.69,29.18,29.52,29.3173,581557,0.0,1.0
18,2020-08-25,30.51,30.69,29.7,29.8,29.5954,594851,0.0,1.0
19,2020-08-24,29.51,30.19,29.11,30.12,29.9132,720573,0.0,1.0
20,2020-08-21,29.51,29.75,29.04,29.22,29.0194,579022,0.0,1.0
21,2020-08-20,29.99,30.18,29.49,29.53,29.3273,623039,0.0,1.0
22,2020-08-19,30.18,30.68,29.92,30.32,30.1118,680675,0.0,1.0
23,2020-08-18,31.07,31.3375,30.25,30.28,30.0721,626929,0.0,1.0
24,2020-08-17,31.95,32.07,31.29,31.29,31.0752,790794,0.0,1.0
25,2020-08-14,31.41,32.19,31.22,31.98,31.7604,1380946,0.0,1.0
26,2020-08-13,31.94,32.25,31.6301,31.81,31.5916,1215650,0.0,1.0
27,2020-08-12,32.16,32.47,31.375,32.34,32.118,1395387,0.0,1.0
28,2020-08-11,31.51,32.54,31.5,31.66,31.4426,1102500,0.0,1.0
29,2020-08-10,30.17,31.105,29.99,30.93,30.7176,946227,0.0,1.0
30,2020-08-07,28.51,30.0,28.46,29.96,29.7543,1229480,0.0,1.0
31,2020-08-06,28.76,28.96,28.37,28.63,28.4334,819263,0.0,1.0
32,2020-08-05,28.82,29.33,28.68,28.97,28.7711,639481,0.0,1.0
33,2020-08-04,28.2,28.615,28.05,28.27,28.0759,925437,0.0,1.0
34,2020-08-03,28.03,28.82,27.68,28.13,27.9369,1268022,0.0,1.0
35,2020-07-31,29.77,30.07,27.11,27.87,27.6787,3106033,0.0,1.0
36,2020-07-30,29.78,30.095,29.11,29.94,29.7344,1023562,0.0,1.0
37,2020-07-29,29.73,30.66,29.62,30.45,30.2409,689200,0.0,1.0
38,2020-07-28,30.48,30.66,29.49,29.55,29.3471,854443,0.0,1.0
39,2020-07-27,30.23,30.78,29.85,30.7,30.4892,569596,0.0,1.0
40,2020-07-24,30.61,30.81,30.09,30.32,30.1118,622829,0.0,1.0
41,2020-07-23,30.25,30.94,29.99,30.45,30.2409,908144,0.0,1.0
42,2020-07-22,29.85,30.43,29.735,30.26,30.0522,716785,0.0,1.0
43,2020-07-21,29.23,30.4,29.23,30.1,29.8933,943301,0.0,1.0
44,2020-07-20,29.24,29.71,28.66,28.91,28.7115,840622,0.0,1.0
45,2020-07-17,30.02,30.52,29.45,29.49,29.2875,725174,0.0,1.0
46,2020-07-16,30.52,30.86,29.69,29.95,29.7444,659764,0.0,1.0
47,2020-07-15,30.09,30.89,29.49,30.67,30.4594,1000550,0.0,1.0
48,2020-07-14,28.19,29.25,27.81,29.09,28.8903,2461483,0.0,1.0
49,2020-07-13,28.16,28.88,27.67,28.32,28.1256,839193,0.0,1.0
50,2020-07-10,27.34,27.88,27.31,27.81,27.6191,454304,0.0,1.0
51,2020-07-09,27.6,27.85,26.68,27.3,27.1126,889617,0.0,1.0
