,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,108.3,109.3,105.2,106.45,106.45,672681,0.0,1.0
1,2020-09-18,112.63,113.73,109.9,110.56,110.56,1037670,0.0,1.0
2,2020-09-17,109.98,113.29,108.7101,112.85,112.85,765720,0.0,1.0
3,2020-09-16,112.45,112.6199,110.57,110.67,110.67,572475,0.0,1.0
4,2020-09-15,110.93,112.59,110.8,111.8,111.8,681768,0.0,1.0
5,2020-09-14,109.87,110.92,109.39,110.53,110.53,374992,0.0,1.0
6,2020-09-11,108.7,109.29,107.74,108.56,108.56,415735,0.0,1.0
7,2020-09-10,108.07,108.6775,106.785,107.76,107.76,483097,0.0,1.0
8,2020-09-09,106.59,108.745,106.11,107.91,107.91,475387,0.0,1.0
9,2020-09-08,107.0,107.61,104.8644,105.64,105.64,716876,0.0,1.0
10,2020-09-04,110.53,110.9,106.98,108.48,108.48,683211,0.0,1.0
11,2020-09-03,111.9,112.36,108.075,109.43,109.43,721302,0.0,1.0
12,2020-09-02,110.37,112.53,109.29,112.26,112.26,999583,0.0,1.0
13,2020-09-01,106.93,110.15,106.27,110.15,110.15,652069,0.0,1.0
14,2020-08-31,108.7,109.21,106.7,106.86,106.86,561746,0.0,1.0
15,2020-08-28,109.66,110.03,108.62,109.15,109.15,892673,0.0,1.0
16,2020-08-27,109.33,110.215,108.9889,109.41,109.41,442243,0.0,1.0
17,2020-08-26,108.25,109.04,107.32,108.69,108.69,371110,0.0,1.0
18,2020-08-25,109.5,109.5,107.43,108.59,108.59,525398,0.0,1.0
19,2020-08-24,108.37,108.98,107.8061,108.76,108.76,321057,0.0,1.0
20,2020-08-21,107.21,107.76,106.1,107.33,107.33,373231,0.0,1.0
21,2020-08-20,107.47,108.31,107.12,107.89,107.89,336120,0.0,1.0
22,2020-08-19,109.06,109.65,108.01,108.53,108.53,476083,0.0,1.0
23,2020-08-18,109.25,110.36,108.88,109.11,109.11,401113,0.0,1.0
24,2020-08-17,110.19,111.04,108.41,109.0,109.0,520142,0.0,1.0
25,2020-08-14,109.74,110.2802,108.97,109.61,109.61,446746,0.0,1.0
26,2020-08-13,109.15,110.85,109.11,110.12,110.12,510942,0.0,1.0
27,2020-08-12,110.0,111.315,109.41,109.46,109.46,692030,0.0,1.0
28,2020-08-11,111.26,112.45,108.56,109.19,109.19,725069,0.0,1.0
29,2020-08-10,109.97,111.07,108.59,110.36,110.36,710632,0.0,1.0
30,2020-08-07,107.98,109.84,107.03,109.77,109.77,657468,0.0,1.0
31,2020-08-06,107.47,109.17,105.5,108.25,108.25,1337519,0.0,1.0
32,2020-08-05,109.26,111.705,106.91,107.01,107.01,973550,0.0,1.0
33,2020-08-04,105.42,108.0,104.59,107.54,107.54,875071,0.0,1.0
34,2020-08-03,106.99,107.12,105.71,105.74,105.74,791723,0.0,1.0
35,2020-07-31,105.27,106.17,104.145,106.05,106.05,516707,0.0,1.0
36,2020-07-30,106.57,106.82,104.43,105.33,105.33,615582,0.0,1.0
37,2020-07-29,106.87,108.58,106.51,108.32,108.32,458804,0.0,1.0
38,2020-07-28,107.85,108.525,106.3803,106.45,106.45,331944,0.0,1.0
39,2020-07-27,107.75,108.64,107.29,108.45,108.45,507592,0.0,1.0
40,2020-07-24,107.89,107.95,106.7,107.34,107.34,428420,0.0,1.0
41,2020-07-23,108.0,108.74,106.99,107.8,107.8,476517,0.0,1.0
42,2020-07-22,106.23,108.25,105.69,107.96,107.96,437736,0.0,1.0
43,2020-07-21,105.66,106.86,105.46,106.2,106.2,360994,0.0,1.0
44,2020-07-20,105.92,107.03,105.14,105.15,105.15,410815,0.0,1.0
45,2020-07-17,107.0,107.84,106.11,106.47,106.47,674300,0.0,1.0
46,2020-07-16,107.08,108.37,105.7,106.18,106.18,675400,0.0,1.0
47,2020-07-15,105.24,108.55,104.5,107.87,107.87,1367600,0.0,1.0
48,2020-07-14,101.6,103.79,100.88,103.44,103.44,563800,0.0,1.0
49,2020-07-13,101.49,104.04,100.61,101.6,101.6,759100,0.0,1.0
50,2020-07-10,97.84,100.45,97.84,100.19,100.19,613500,0.0,1.0
51,2020-07-09,99.93,99.93,96.05,97.89,97.89,763100,0.0,1.0
52,2020-07-08,102.23,102.55,98.04,99.05,99.05,755100,0.0,1.0
53,2020-07-07,101.01,102.99,101.01,101.86,101.86,853300,0.0,1.0
54,2020-07-06,103.1,103.14,100.75,102.22,102.22,883200,0.0,1.0
55,2020-07-02,100.93,101.86,99.84,101.14,101.14,816200,0.0,1.0
56,2020-07-01,100.28,100.28,98.05,99.36,99.36,821800,0.0,1.0
57,2020-06-30,96.94,100.62,96.66,99.62,99.62,656200,0.0,1.0
58,2020-06-29,96.6,98.08,96.37,97.31,97.31,730800,0.44,1.0
59,2020-06-26,98.29,99.04,96.34,96.56,96.1254,1434300,0.0,1.0
60,2020-06-25,96.62,99.28,95.02,99.1,98.6539,604300,0.0,1.0
61,2020-06-24,99.89,100.14,96.41,96.63,96.195,867100,0.0,1.0
62,2020-06-23,101.98,102.09,100.64,101.08,100.625,501800,0.0,1.0
63,2020-06-22,99.67,100.88,98.6,100.36,99.9083,497900,0.0,1.0
64,2020-06-19,100.92,101.63,99.05,100.46,100.0078,1274100,0.0,1.0
65,2020-06-18,99.93,100.56,98.54,98.99,98.5444,527600,0.0,1.0
66,2020-06-17,101.34,102.0,100.04,100.58,100.1273,503000,0.0,1.0
67,2020-06-16,101.86,102.6,98.39,100.42,99.968,807400,0.0,1.0
68,2020-06-15,94.67,99.07,93.52,98.33,97.8874,716000,0.0,1.0
69,2020-06-12,98.43,98.74,95.69,97.34,96.9018,696100,0.0,1.0
70,2020-06-11,99.02,100.09,94.34,94.89,94.4629,1021500,0.0,1.0
71,2020-06-10,104.59,104.97,102.55,102.82,102.3572,442300,0.0,1.0
72,2020-06-09,104.31,105.52,102.45,104.24,103.7708,777400,0.0,1.0
73,2020-06-08,103.1,105.76,102.56,104.59,104.1192,1012800,0.0,1.0
74,2020-06-05,102.46,104.98,101.78,103.21,102.7454,846000,0.0,1.0
75,2020-06-04,101.32,101.44,98.74,99.8,99.3508,968200,0.0,1.0
76,2020-06-03,102.01,104.29,101.36,101.91,101.4513,763500,0.0,1.0
77,2020-06-02,99.46,101.04,98.2,100.91,100.4558,573000,0.0,1.0
78,2020-06-01,98.22,99.81,97.77,98.88,98.4349,687000,0.0,1.0
79,2020-05-29,97.33,98.69,96.34,98.41,97.967,681800,0.0,1.0
80,2020-05-28,97.28,98.49,95.51,97.65,97.2105,752200,0.0,1.0
81,2020-05-27,96.44,96.97,94.46,96.22,95.7869,690400,0.0,1.0
82,2020-05-26,96.22,97.05,94.54,94.82,94.3932,629800,0.0,1.0
83,2020-05-22,91.43,93.39,91.17,93.3,92.88,500400,0.0,1.0
84,2020-05-21,92.74,93.24,91.4,91.87,91.4565,442500,0.0,1.0
85,2020-05-20,90.72,93.64,90.21,93.07,92.6511,506200,0.0,1.0
86,2020-05-19,90.72,91.41,89.11,89.18,88.7786,732900,0.0,1.0
87,2020-05-18,92.04,93.07,90.79,90.83,90.4211,740900,0.0,1.0
88,2020-05-15,88.14,88.62,87.45,88.02,87.6238,784200,0.0,1.0
89,2020-05-14,87.38,89.07,85.58,88.61,88.2111,959100,0.0,1.0
90,2020-05-13,88.9,89.68,86.62,88.77,88.3704,770900,0.0,1.0
91,2020-05-12,91.51,92.63,89.1,89.14,88.7388,927800,0.0,1.0
92,2020-05-11,91.73,92.52,90.42,91.5,91.0881,730400,0.0,1.0
93,2020-05-08,95.41,96.38,93.38,93.48,93.0592,982200,0.0,1.0
94,2020-05-07,94.24,96.88,93.43,94.11,93.6864,829000,0.0,1.0
95,2020-05-06,89.96,93.0,87.29,91.98,91.566,1228800,0.0,1.0
96,2020-05-05,90.75,92.56,89.1,89.5,89.0971,1179100,0.0,1.0
97,2020-05-04,88.27,89.85,87.75,89.64,89.2365,693000,0.0,1.0
98,2020-05-01,90.1,91.12,88.39,89.92,89.5152,808700,0.0,1.0
99,2020-04-30,93.81,94.19,91.82,91.9,91.4863,1130000,0.0,1.0
100,2020-04-29,93.72,95.72,92.85,95.02,94.5923,669300,0.0,1.0
101,2020-04-28,92.64,92.89,90.64,90.89,90.4809,745400,0.0,1.0
102,2020-04-27,88.65,91.08,88.12,90.38,89.9732,677100,0.0,1.0
103,2020-04-24,88.25,90.75,87.52,88.2,87.803,901100,0.0,1.0
104,2020-04-23,85.51,88.94,85.5,87.37,86.9767,836800,0.0,1.0
105,2020-04-22,85.41,86.16,83.17,84.11,83.7314,571400,0.0,1.0
106,2020-04-21,82.5,84.75,81.82,83.59,83.2137,791600,0.0,1.0
107,2020-04-20,84.62,86.25,83.65,84.56,84.1794,763700,0.0,1.0
108,2020-04-17,86.01,87.72,84.86,86.1,85.7124,863400,0.0,1.0
109,2020-04-16,83.47,84.58,81.58,83.33,82.9549,654300,0.0,1.0
110,2020-04-15,82.85,85.39,80.79,84.04,83.6617,991400,0.0,1.0
111,2020-04-14,88.21,89.3,86.46,86.67,86.2799,940900,0.0,1.0
112,2020-04-13,88.78,89.66,84.1,86.63,86.2401,883000,0.0,1.0
113,2020-04-09,85.6,91.01,83.51,90.0,89.5949,1543500,0.0,1.0
114,2020-04-08,80.3,83.96,78.98,82.87,82.497,1045400,0.0,1.0
115,2020-04-07,82.0,84.31,79.29,79.44,79.0824,1603300,0.0,1.0
116,2020-04-06,75.2,79.17,73.94,78.03,77.6788,992100,0.0,1.0
117,2020-04-03,74.28,76.78,70.5,70.88,70.5609,1528500,0.0,1.0
118,2020-04-02,77.52,80.63,73.4,74.18,73.8461,1591000,0.0,1.0
119,2020-04-01,78.03,79.82,75.18,76.97,76.6235,1645000,0.0,1.0
120,2020-03-31,82.5,84.99,80.54,81.69,81.3223,2046500,0.0,1.0
121,2020-03-30,75.9,83.24,75.39,82.64,82.268,1614100,0.44,1.0
122,2020-03-27,76.83,78.64,75.26,76.62,75.8712,1032900,0.0,1.0
123,2020-03-26,75.26,81.87,74.0,80.21,79.4261,1609400,0.0,1.0
124,2020-03-25,69.16,77.2,67.96,73.66,72.9401,1738500,0.0,1.0
125,2020-03-24,68.4,72.73,66.25,68.72,68.0484,1463300,0.0,1.0
126,2020-03-23,64.82,66.99,62.69,64.18,63.5527,1204300,0.0,1.0
127,2020-03-20,68.46,71.42,63.7,65.32,64.6816,1742000,0.0,1.0
128,2020-03-19,59.04,72.25,57.08,67.51,66.8502,1568500,0.0,1.0
129,2020-03-18,64.49,65.19,56.77,59.82,59.2353,2340500,0.0,1.0
130,2020-03-17,72.38,72.52,67.72,68.64,67.9691,1613200,0.0,1.0
131,2020-03-16,76.07,80.19,61.85,71.01,70.316,1827700,0.0,1.0
132,2020-03-13,83.53,88.23,78.21,88.05,87.1894,1698400,0.0,1.0
133,2020-03-12,77.49,79.53,74.38,77.44,76.6831,1594800,0.0,1.0
134,2020-03-11,84.5,85.66,82.03,83.26,82.4463,998800,0.0,1.0
135,2020-03-10,82.86,86.99,81.77,86.98,86.1299,1456700,0.0,1.0
136,2020-03-09,84.5,85.43,79.02,79.24,78.4655,1560000,0.0,1.0
137,2020-03-06,91.86,92.44,88.3,90.53,89.6452,1127700,0.0,1.0
138,2020-03-05,96.6,97.16,93.68,94.83,93.9032,798500,0.0,1.0
139,2020-03-04,96.1,99.41,94.8,99.35,98.379,928800,0.0,1.0
140,2020-03-03,96.14,98.67,92.63,94.59,93.6655,896300,0.0,1.0
141,2020-03-02,93.6,96.96,91.09,96.91,95.9628,1207000,0.0,1.0
142,2020-02-28,89.3,93.41,88.7,93.1,92.1901,1861500,0.0,1.0
143,2020-02-27,94.0,96.71,92.34,92.36,91.4573,976900,0.0,1.0
144,2020-02-26,98.56,99.7,96.85,96.89,95.943,813900,0.0,1.0
145,2020-02-25,102.94,103.22,97.33,97.74,96.7847,913500,0.0,1.0
146,2020-02-24,103.04,103.32,101.41,102.4,101.3992,1062700,0.0,1.0
147,2020-02-21,107.47,107.84,106.1,106.58,105.5383,631700,0.0,1.0
148,2020-02-20,106.46,108.59,106.34,108.29,107.2316,848100,0.0,1.0
149,2020-02-19,106.0,107.27,105.8,106.45,105.4096,599700,0.0,1.0
150,2020-02-18,105.2,105.84,104.59,105.79,104.7561,644300,0.0,1.0
151,2020-02-14,105.37,106.88,104.78,105.47,104.4392,588700,0.0,1.0
152,2020-02-13,105.77,106.09,104.01,105.43,104.3996,813400,0.0,1.0
153,2020-02-12,106.09,106.99,105.28,106.44,105.3997,681300,0.0,1.0
154,2020-02-11,105.22,106.72,104.87,105.25,104.2213,1018300,0.0,1.0
155,2020-02-10,104.86,105.52,104.24,104.86,103.8351,620000,0.0,1.0
156,2020-02-07,107.06,107.55,103.73,105.14,104.1124,1393500,0.0,1.0
157,2020-02-06,103.48,108.77,102.1,107.92,106.8652,2297600,0.0,1.0
158,2020-02-05,99.84,102.0,99.39,101.82,100.8249,1366000,0.0,1.0
159,2020-02-04,98.7,99.25,97.39,98.98,98.0126,1044800,0.0,1.0
160,2020-02-03,96.07,98.1,95.58,97.61,96.656,929700,0.0,1.0
161,2020-01-31,95.16,96.04,94.75,95.59,94.6557,919500,0.0,1.0
162,2020-01-30,95.31,96.62,94.93,96.05,95.1113,703700,0.0,1.0
163,2020-01-29,95.33,96.56,95.22,96.37,95.4281,854400,0.0,1.0
164,2020-01-28,94.25,95.31,93.79,95.09,94.1606,632000,0.0,1.0
165,2020-01-27,93.47,94.51,92.7,93.82,92.903,889400,0.0,1.0
166,2020-01-24,97.07,97.3,95.21,95.68,94.7449,591000,0.0,1.0
167,2020-01-23,96.65,97.28,94.86,96.83,95.8836,905700,0.0,1.0
168,2020-01-22,98.29,98.31,97.47,97.6,96.6461,650100,0.0,1.0
169,2020-01-21,99.28,99.48,98.12,98.15,97.1907,872200,0.0,1.0
170,2020-01-17,99.75,100.0,98.78,100.0,99.0226,943200,0.0,1.0
171,2020-01-16,98.86,99.62,98.53,99.59,98.6167,485900,0.0,1.0
172,2020-01-15,98.87,99.23,97.99,98.51,97.5472,629500,0.0,1.0
173,2020-01-14,98.78,99.14,98.16,98.28,97.3195,731200,0.0,1.0
174,2020-01-13,98.06,98.9,97.82,98.87,97.9037,1020600,0.0,1.0
175,2020-01-10,99.79,99.79,97.47,98.0,97.0422,734100,0.0,1.0
176,2020-01-09,100.85,101.44,99.25,99.52,98.5473,925500,0.0,1.0
177,2020-01-08,100.33,100.72,98.85,100.45,99.4682,1413900,0.0,1.0
178,2020-01-07,98.92,101.25,98.29,100.15,99.1712,1462900,0.0,1.0
179,2020-01-06,98.6,98.91,97.83,98.36,97.3987,804500,0.0,1.0
180,2020-01-03,98.5,99.42,98.32,99.23,98.2602,835100,0.0,1.0
181,2020-01-02,100.37,101.4,99.45,99.88,98.9038,1023100,0.0,1.0
182,2019-12-31,99.02,99.94,98.91,99.82,98.8444,411400,0.0,1.0
183,2019-12-30,100.7,100.74,99.13,99.22,98.2503,452000,0.44,1.0
184,2019-12-27,101.61,101.78,100.86,101.13,99.6995,451600,0.0,1.0
185,2019-12-26,100.95,101.5,100.54,101.49,100.0544,307200,0.0,1.0
186,2019-12-24,100.22,101.32,100.02,100.92,99.4924,248800,0.0,1.0
187,2019-12-23,99.0,100.32,97.76,100.26,98.8418,719300,0.0,1.0
188,2019-12-20,99.08,99.69,98.46,99.04,97.639,2375800,0.0,1.0
189,2019-12-19,100.26,101.95,98.05,98.37,96.9785,1834200,0.0,1.0
190,2019-12-18,100.74,101.37,99.82,100.27,98.8516,1348600,0.0,1.0
191,2019-12-17,100.14,101.23,99.67,100.92,99.4924,849900,0.0,1.0
192,2019-12-16,100.0,100.98,99.48,99.52,98.1122,587400,0.0,1.0
193,2019-12-13,99.8,100.48,98.97,99.18,97.7771,602800,0.0,1.0
194,2019-12-12,98.22,99.8,98.01,99.5,98.0925,651200,0.0,1.0
195,2019-12-11,98.12,98.56,97.75,98.25,96.8602,763200,0.0,1.0
196,2019-12-10,98.93,99.6,97.52,97.83,96.4462,598900,0.0,1.0
197,2019-12-09,98.64,99.51,98.26,99.19,97.7869,710400,0.0,1.0
198,2019-12-06,98.85,99.0,98.11,98.42,97.0278,826800,0.0,1.0
199,2019-12-05,97.39,98.07,96.91,97.99,96.6039,653700,0.0,1.0
200,2019-12-04,97.46,98.63,96.86,96.91,95.5392,645700,0.0,1.0
201,2019-12-03,96.6,97.37,95.91,97.25,95.8744,839400,0.0,1.0
202,2019-12-02,98.03,98.57,97.21,97.86,96.4757,649400,0.0,1.0
