,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,105.6,106.825,101.76,103.2,103.2,1214194,0.0,1.0
1,2020-09-21,106.05,107.53,104.3,105.86,105.86,884551,0.0,1.0
2,2020-09-18,107.09,108.89,107.03,108.43,108.43,1134549,0.0,1.0
3,2020-09-17,107.13,108.49,106.61,107.88,107.88,721263,0.0,1.0
4,2020-09-16,108.05,109.5726,107.36,108.38,108.38,849632,0.0,1.0
5,2020-09-15,108.34,109.08,107.05,108.07,108.07,641732,0.0,1.0
6,2020-09-14,107.77,109.535,107.42,107.9,107.9,560016,0.0,1.0
7,2020-09-11,107.37,108.11,106.02,106.98,106.98,672261,0.0,1.0
8,2020-09-10,109.68,110.59,107.05,107.5,107.5,872378,0.0,1.0
9,2020-09-09,110.78,111.08,109.06,109.49,109.49,635988,0.0,1.0
10,2020-09-08,113.41,113.46,109.38,110.11,110.11,818738,0.0,1.0
11,2020-09-04,114.96,115.81,112.72,114.53,114.53,739457,0.0,1.0
12,2020-09-03,115.35,116.76,112.5,112.99,112.99,1083333,0.0,1.0
13,2020-09-02,113.09,115.1,112.68,114.39,114.39,1261715,0.0,1.0
14,2020-09-01,112.44,113.84,111.85,113.37,113.37,616062,0.0,1.0
15,2020-08-31,114.33,114.78,112.85,112.91,112.91,729250,0.0,1.0
16,2020-08-28,116.06,116.14,114.25,114.74,114.74,439080,0.0,1.0
17,2020-08-27,113.68,115.465,113.65,114.84,114.84,504380,0.0,1.0
18,2020-08-26,115.09,115.15,113.32,113.43,113.43,526922,0.0,1.0
19,2020-08-25,116.58,117.26,114.82,115.67,115.67,455778,0.0,1.0
20,2020-08-24,113.35,115.14,112.8301,115.09,115.09,793049,0.0,1.0
21,2020-08-21,112.58,113.12,111.53,112.97,112.97,544581,0.0,1.0
22,2020-08-20,113.59,114.145,112.61,112.81,112.81,471200,0.0,1.0
23,2020-08-19,114.97,116.365,114.525,114.63,114.63,427695,0.0,1.0
24,2020-08-18,115.54,115.91,113.84,114.27,114.27,463092,0.0,1.0
25,2020-08-17,116.66,117.285,115.42,115.52,115.52,659697,0.0,1.0
26,2020-08-14,116.74,118.25,116.47,117.34,117.34,516665,0.0,1.0
27,2020-08-13,117.71,118.68,117.48,117.59,117.59,400451,0.0,1.0
28,2020-08-12,120.92,121.17,118.065,119.36,119.36,763446,0.0,1.0
29,2020-08-11,118.0,120.26,117.265,119.01,119.01,683654,0.0,1.0
30,2020-08-10,116.55,117.83,115.9,116.14,116.14,535397,0.0,1.0
31,2020-08-07,113.42,116.17,112.94,116.12,116.12,564047,0.0,1.0
32,2020-08-06,114.02,114.68,113.13,113.95,113.95,392725,0.0,1.0
33,2020-08-05,114.0,114.98,113.45,114.55,114.55,340453,0.0,1.0
34,2020-08-04,112.73,113.4519,111.82,113.2,113.2,591527,0.0,1.0
35,2020-08-03,112.82,113.6,111.55,112.94,112.94,604220,0.0,1.0
36,2020-07-31,112.03,112.57,110.58,112.48,112.48,648724,0.0,1.0
37,2020-07-30,111.61,112.83,110.83,112.44,112.44,560538,0.0,1.0
38,2020-07-29,111.59,113.9,110.62,113.72,113.72,513775,0.2,1.0
39,2020-07-28,113.18,113.58,112.17,112.21,112.013,566649,0.0,1.0
40,2020-07-27,114.08,114.59,112.75,113.9,113.7,364964,0.0,1.0
41,2020-07-24,115.47,115.84,114.58,114.82,114.6184,433353,0.0,1.0
42,2020-07-23,113.17,115.58,113.1,115.12,114.9179,658957,0.0,1.0
43,2020-07-22,113.15,113.92,112.355,113.2,113.0013,728903,0.0,1.0
44,2020-07-21,111.44,113.93,111.31,113.88,113.6801,774000,0.0,1.0
45,2020-07-20,111.09,112.09,110.76,111.57,111.3741,530000,0.0,1.0
46,2020-07-17,112.59,113.2,111.88,112.1,111.9032,684100,0.0,1.0
47,2020-07-16,110.08,113.05,109.67,112.44,112.2426,762800,0.0,1.0
48,2020-07-15,110.49,111.67,109.73,111.08,110.885,771500,0.0,1.0
49,2020-07-14,107.71,110.65,105.69,108.72,108.5291,1164600,0.0,1.0
50,2020-07-13,106.41,109.04,105.31,106.76,106.5726,1376800,0.0,1.0
51,2020-07-10,101.95,105.55,101.95,105.48,105.2948,792500,0.0,1.0
52,2020-07-09,103.29,104.06,100.82,102.31,102.1304,835800,0.0,1.0
53,2020-07-08,104.06,104.88,102.41,103.8,103.6178,1139600,0.0,1.0
54,2020-07-07,104.98,105.99,103.58,103.6,103.4181,866200,0.0,1.0
55,2020-07-06,106.37,108.16,104.9,105.79,105.6043,646700,0.0,1.0
56,2020-07-02,107.63,108.43,103.92,104.62,104.4363,802600,0.0,1.0
57,2020-07-01,106.62,106.89,104.59,105.03,104.8456,1001600,0.0,1.0
58,2020-06-30,104.36,106.93,104.03,105.99,105.8039,1810500,0.0,1.0
59,2020-06-29,105.46,106.52,103.71,105.21,105.0253,674550,0.0,1.0
60,2020-06-26,106.22,106.39,103.69,103.82,103.6377,1533200,0.0,1.0
