,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,73.7,76.1,73.61,73.82,73.82,759388,0.0,1.0
1,2020-09-21,79.1,79.61,73.05,73.28,73.28,1211259,1.06,1.0
2,2020-09-18,83.56,83.73,81.52,81.74,80.5745,1662617,0.0,1.0
3,2020-09-17,82.52,84.0,81.72,83.65,82.4573,817778,0.0,1.0
4,2020-09-16,81.5,83.96,80.65,83.58,82.3882,678840,0.0,1.0
5,2020-09-15,80.52,82.21,80.36,81.16,80.0028,585919,0.0,1.0
6,2020-09-14,78.03,80.62,77.74,80.52,79.3719,546443,0.0,1.0
7,2020-09-11,78.14,78.21,75.92,77.15,76.0499,607871,0.0,1.0
8,2020-09-10,78.96,79.82,78.0,78.03,76.9174,585964,0.0,1.0
9,2020-09-09,80.98,81.78,79.1,79.39,78.258,678245,0.0,1.0
10,2020-09-08,81.42,82.1,79.56,80.27,79.1254,728215,0.0,1.0
11,2020-09-04,82.37,83.895,81.09,82.06,80.8899,702170,0.0,1.0
12,2020-09-03,81.79,84.11,81.43,82.35,81.1758,598956,0.0,1.0
13,2020-09-02,79.29,81.44,78.51,81.3,80.1408,508701,0.0,1.0
14,2020-09-01,78.62,80.4,77.88,79.53,78.396,527748,0.0,1.0
15,2020-08-31,80.6,80.97,78.85,79.24,78.1101,564204,0.0,1.0
16,2020-08-28,79.84,80.56,79.05,80.45,79.3029,405966,0.0,1.0
17,2020-08-27,80.41,82.2,80.21,81.41,80.2492,312916,0.0,1.0
18,2020-08-26,81.53,81.61,79.29,79.77,78.6326,423823,0.0,1.0
19,2020-08-25,81.97,82.56,80.67,81.76,80.5942,333538,0.0,1.0
20,2020-08-24,80.32,81.96,79.25,81.93,80.7618,331519,0.0,1.0
21,2020-08-21,80.65,81.035,79.1,80.32,79.1747,455430,0.0,1.0
22,2020-08-20,78.14,80.815,78.0,80.51,79.362,478245,0.0,1.0
23,2020-08-19,80.48,80.52,77.98,78.14,77.0258,538932,0.0,1.0
24,2020-08-18,82.23,82.23,79.56,80.32,79.1747,404673,0.0,1.0
25,2020-08-17,81.88,82.79,81.08,82.45,81.2744,321911,0.0,1.0
26,2020-08-14,82.0,83.45,81.1501,81.88,80.7125,307115,0.0,1.0
27,2020-08-13,82.8,83.4699,82.13,82.21,81.0378,508740,0.0,1.0
28,2020-08-12,82.54,83.62,81.67,83.48,82.2897,650572,0.0,1.0
29,2020-08-11,81.9,83.31,81.27,82.18,81.0082,689215,0.0,1.0
30,2020-08-10,79.0,81.79,78.8,80.23,79.086,464427,0.0,1.0
31,2020-08-07,75.66,78.84,74.75,78.81,77.6863,566423,0.0,1.0
32,2020-08-06,75.08,77.12,73.83,76.42,75.3303,997229,0.0,1.0
33,2020-08-05,76.98,77.42,75.18,76.18,75.0938,460577,0.0,1.0
34,2020-08-04,75.58,77.4264,75.18,76.62,75.5275,577911,0.0,1.0
35,2020-08-03,75.52,75.93,73.26,75.67,74.591,713207,0.0,1.0
36,2020-07-31,76.64,76.66,74.43,76.3,75.2121,3247664,0.0,1.0
37,2020-07-30,76.2,77.93,74.395,77.0,75.9021,878937,0.0,1.0
38,2020-07-29,77.07,77.75,74.63,77.49,76.3851,1034963,0.0,1.0
39,2020-07-28,73.69,76.83,73.1,76.13,75.0445,685504,0.0,1.0
40,2020-07-27,72.55,74.0,70.71,73.63,72.5801,1216083,0.0,1.0
41,2020-07-24,74.23,74.43,72.74,72.99,71.9492,677573,0.0,1.0
42,2020-07-23,74.76,75.73,73.11,73.84,72.7871,578987,0.0,1.0
43,2020-07-22,74.0,75.9,73.34,75.18,74.108,603853,0.0,1.0
44,2020-07-21,75.0,76.18,74.1,74.43,73.3687,610797,0.0,1.0
45,2020-07-20,77.94,78.46,75.04,75.04,73.97,570013,0.0,1.0
46,2020-07-17,79.68,79.88,77.86,78.43,77.3117,608368,0.0,1.0
47,2020-07-16,80.16,80.43,78.67,79.48,78.3467,519349,0.0,1.0
48,2020-07-15,80.41,81.11,79.0,80.97,79.8155,557003,0.0,1.0
49,2020-07-14,80.18,81.03,77.69,78.0,76.8878,553397,0.0,1.0
50,2020-07-13,80.73,81.4,78.79,80.18,79.0367,448150,0.0,1.0
51,2020-07-10,78.62,80.86,78.62,79.95,78.81,473419,0.0,1.0
52,2020-07-09,80.3,80.36,76.81,78.87,77.7454,702147,0.0,1.0
53,2020-07-08,82.4,82.96,80.22,80.26,79.1156,659611,0.0,1.0
54,2020-07-07,84.4,84.63,82.26,82.32,81.1462,339629,0.0,1.0
55,2020-07-06,87.63,88.03,85.44,86.12,84.892,475687,0.0,1.0
56,2020-07-02,89.7,90.09,84.85,85.54,84.3203,337082,0.0,1.0
57,2020-07-01,85.78,87.61,85.45,87.46,86.2129,764427,0.0,1.0
58,2020-06-30,85.05,86.61,84.25,85.21,83.995,598775,0.0,1.0
59,2020-06-29,83.88,85.3281,81.55,84.76,83.5514,525406,0.0,1.0
60,2020-06-26,83.93,84.68,82.0,82.77,81.5898,933900,0.0,1.0
61,2020-06-25,81.55,84.93,81.55,84.69,83.4824,573591,0.0,1.0
62,2020-06-24,83.64,83.64,79.01,82.47,81.2941,681815,0.0,1.0
63,2020-06-23,85.72,86.99,83.42,84.92,83.7091,620400,0.0,1.0
64,2020-06-22,84.49,85.4,82.75,84.72,83.512,774377,0.0,1.0
65,2020-06-19,88.01,88.31,84.5,84.75,83.5416,2026804,1.05,1.0
