,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,6.77,6.96,6.685,6.79,6.79,4629834,0.0,1.0
1,2020-09-21,7.01,7.06,6.565,6.7,6.7,7427504,0.0,1.0
2,2020-09-18,7.35,7.56,7.305,7.43,7.43,9375624,0.0,1.0
3,2020-09-17,7.17,7.4,7.12,7.4,7.4,4711442,0.0,1.0
4,2020-09-16,6.89,7.48,6.82,7.33,7.33,6445671,0.0,1.0
5,2020-09-15,6.86,7.01,6.745,6.82,6.82,4825437,0.0,1.0
6,2020-09-14,6.78,6.815,6.63,6.75,6.75,6153044,0.0,1.0
7,2020-09-11,6.87,6.9,6.66,6.79,6.79,8098945,0.0,1.0
8,2020-09-10,7.33,7.34,6.86,6.89,6.89,6278849,0.0,1.0
9,2020-09-09,7.3,7.31,7.05,7.15,7.15,4590448,0.0,1.0
10,2020-09-08,7.5,7.54,7.01,7.24,7.24,7113494,0.0,1.0
11,2020-09-04,7.64,7.85,7.51,7.81,7.81,6090135,0.0,1.0
12,2020-09-03,7.53,7.895,7.53,7.68,7.68,5046259,0.0,1.0
13,2020-09-02,7.57,7.705,7.475,7.56,7.56,4386555,0.0,1.0
14,2020-09-01,7.48,7.72,7.43,7.69,7.69,4513799,0.0,1.0
15,2020-08-31,7.91,7.93,7.7,7.7,7.7,4704882,0.0,1.0
16,2020-08-28,7.59,7.91,7.565,7.8,7.8,3215622,0.0,1.0
17,2020-08-27,7.53,7.635,7.4,7.6,7.6,3738732,0.0,1.0
18,2020-08-26,7.8,7.8,7.5,7.52,7.52,4234276,0.0,1.0
19,2020-08-25,8.0,8.08,7.74,7.77,7.77,2817297,0.0,1.0
20,2020-08-24,7.65,7.985,7.59,7.92,7.92,3926605,0.0,1.0
21,2020-08-21,7.63,7.635,7.44,7.47,7.47,4044430,0.0,1.0
22,2020-08-20,7.91,7.91,7.72,7.72,7.72,4615728,0.0,1.0
23,2020-08-19,7.95,8.155,7.9,8.01,8.01,4205938,0.0,1.0
24,2020-08-18,8.26,8.33,8.035,8.06,8.06,2570230,0.0,1.0
25,2020-08-17,8.47,8.485,8.21,8.32,8.32,3205121,0.0,1.0
26,2020-08-14,8.39,8.68,8.34,8.64,8.64,2412104,0.0,1.0
27,2020-08-13,8.68,8.72,8.465,8.58,8.58,2970246,0.0,1.0
28,2020-08-12,8.93,8.95,8.63,8.79,8.79,7502225,0.0,1.0
29,2020-08-11,8.97,9.01,8.6,8.64,8.64,6205319,0.0,1.0
30,2020-08-10,8.35,8.62,8.32,8.62,8.62,6789527,0.0,1.0
31,2020-08-07,8.14,8.315,8.05,8.31,8.31,3562592,0.0,1.0
32,2020-08-06,8.51,8.585,8.25,8.38,8.38,3284312,0.0,1.0
33,2020-08-05,8.5,8.685,8.47,8.6,8.6,5765683,0.0,1.0
34,2020-08-04,8.17,8.42,8.12,8.26,8.26,7458791,0.0,1.0
35,2020-08-03,8.15,8.245,8.01,8.06,8.06,7728756,0.0,1.0
36,2020-07-31,7.98,8.135,7.72,8.03,8.03,9298949,0.0,1.0
37,2020-07-30,8.04,8.15,7.73,8.01,8.01,8777749,0.0,1.0
38,2020-07-29,7.51,7.765,7.42,7.71,7.71,4220401,0.0,1.0
39,2020-07-28,7.72,7.815,7.49,7.53,7.53,4917266,0.0,1.0
40,2020-07-27,7.81,7.87,7.64,7.81,7.81,3331648,0.0,1.0
41,2020-07-24,7.85,8.04,7.77,7.94,7.94,4848875,0.0,1.0
42,2020-07-23,7.73,7.93,7.62,7.91,7.91,3819181,0.0,1.0
43,2020-07-22,7.94,8.06,7.8,7.84,7.84,3256127,0.0,1.0
44,2020-07-21,7.72,8.12,7.71,8.04,8.04,9971846,0.0,1.0
45,2020-07-20,7.71,7.8,7.53,7.6,7.6,4341043,0.0,1.0
46,2020-07-17,7.87,7.91,7.67,7.71,7.71,3992700,0.0,1.0
47,2020-07-16,7.85,8.0,7.72,7.88,7.88,4934500,0.0,1.0
48,2020-07-15,7.65,7.9,7.62,7.87,7.87,5576500,0.0,1.0
49,2020-07-14,7.18,7.53,7.09,7.43,7.43,6428500,0.0,1.0
50,2020-07-13,7.24,7.58,7.19,7.33,7.33,7522200,0.0,1.0
51,2020-07-10,6.83,7.09,6.79,7.06,7.06,4306900,0.0,1.0
52,2020-07-09,7.33,7.33,6.81,6.81,6.81,9170500,0.0,1.0
53,2020-07-08,7.67,7.76,7.24,7.43,7.43,13215800,0.0,1.0
54,2020-07-07,7.56,7.57,7.1,7.11,7.11,7204300,0.0,1.0
55,2020-07-06,7.54,7.75,7.47,7.72,7.72,6298300,0.0,1.0
