,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,72.28,72.99,71.77,72.78,72.78,3166016,0.0,1.0
1,2020-09-21,74.31,74.92,71.22,72.37,72.37,3923023,0.0,1.0
2,2020-09-18,77.15,77.98,75.42,75.79,75.79,10734597,0.0,1.0
3,2020-09-17,76.03,78.1,75.65,77.45,77.45,4802358,0.0,1.0
4,2020-09-16,77.47,78.095,76.51,76.9,76.9,5073253,0.0,1.0
5,2020-09-15,77.85,78.56,76.95,77.2,77.2,2291490,0.0,1.0
6,2020-09-14,78.0,78.68,77.4201,77.63,77.63,2914678,0.0,1.0
7,2020-09-11,76.73,77.88,76.28,77.37,77.37,3344030,0.0,1.0
8,2020-09-10,76.2,77.31,75.99,76.45,76.45,4934854,0.0,1.0
9,2020-09-09,74.36,76.2,73.65,75.66,75.66,4617383,0.0,1.0
10,2020-09-08,73.98,74.67,72.99,73.65,73.65,4115826,0.0,1.0
11,2020-09-04,74.3,75.05,73.78,74.21,74.21,3440490,0.0,1.0
12,2020-09-03,74.58,74.83,72.76,73.3,73.3,2388035,0.0,1.0
13,2020-09-02,73.74,74.68,73.16,74.33,74.33,2135497,0.0,1.0
14,2020-09-01,71.7,74.1906,71.66,73.59,73.59,2823468,0.0,1.0
15,2020-08-31,72.55,72.93,71.805,72.11,72.11,1641115,0.0,1.0
16,2020-08-28,70.96,72.96,70.35,72.83,72.83,2963598,0.0,1.0
17,2020-08-27,71.34,71.75,70.805,70.84,70.84,3399926,0.07,1.0
18,2020-08-26,70.65,71.3066,69.93,71.0,70.9299,3303121,0.0,1.0
19,2020-08-25,72.14,72.31,70.37,70.55,70.4804,4349632,0.0,1.0
20,2020-08-24,72.17,72.49,71.47,72.0,71.9289,1633094,0.0,1.0
21,2020-08-21,72.07,72.34,70.93,71.72,71.6492,1578693,0.0,1.0
22,2020-08-20,70.65,71.98,70.57,71.89,71.819,1455086,0.0,1.0
23,2020-08-19,72.3,72.34,71.24,71.41,71.3395,2065072,0.0,1.0
24,2020-08-18,73.22,73.42,71.93,72.08,72.0088,1775410,0.0,1.0
25,2020-08-17,73.55,73.96,72.96,73.48,73.4075,1022486,0.0,1.0
26,2020-08-14,73.5,74.43,73.355,73.58,73.5074,965232,0.0,1.0
27,2020-08-13,74.16,74.3783,73.21,73.77,73.6972,1650752,0.0,1.0
28,2020-08-12,74.0,75.0,72.93,74.94,74.866,2939102,0.0,1.0
29,2020-08-11,72.83,73.69,72.61,73.46,73.3875,8203708,0.0,1.0
30,2020-08-10,72.35,72.53,71.705,71.86,71.7891,4402051,0.0,1.0
31,2020-08-07,70.68,72.305,70.36,72.23,72.1587,2257655,0.0,1.0
32,2020-08-06,69.8,71.01,69.755,70.7,70.6302,3196337,0.0,1.0
33,2020-08-05,70.02,70.75,69.35,70.02,69.9509,3990749,0.0,1.0
34,2020-08-04,69.44,69.99,69.1,69.47,69.4014,3108661,0.0,1.0
35,2020-08-03,70.51,70.63,69.32,69.56,69.4913,3750227,0.0,1.0
36,2020-07-31,71.86,71.86,69.76,70.19,70.1207,2907660,0.0,1.0
37,2020-07-30,72.5,72.75,71.62,72.16,72.0888,2778348,0.0,1.0
38,2020-07-29,73.34,73.97,72.75,73.6,73.5273,3781026,0.0,1.0
39,2020-07-28,71.63,71.76,70.96,71.03,70.9599,2114342,0.0,1.0
40,2020-07-27,71.22,72.14,71.025,71.9,71.829,2125286,0.0,1.0
41,2020-07-24,72.63,72.63,70.86,71.0,70.9299,1850337,0.0,1.0
42,2020-07-23,71.84,73.02,71.825,72.53,72.4584,1328578,0.0,1.0
43,2020-07-22,71.03,71.74,70.87,71.53,71.4594,1973899,0.0,1.0
44,2020-07-21,70.95,71.79,70.95,71.2,71.1297,1325300,0.0,1.0
45,2020-07-20,71.94,72.0,70.51,70.75,70.6802,1144300,0.0,1.0
46,2020-07-17,72.07,72.51,71.66,72.09,72.0188,1221900,0.0,1.0
47,2020-07-16,71.02,72.15,70.23,71.71,71.6392,2042100,0.0,1.0
48,2020-07-15,70.22,71.59,69.92,71.19,71.1197,1793800,0.0,1.0
49,2020-07-14,67.77,69.33,67.03,69.16,69.0917,1934000,0.0,1.0
50,2020-07-13,67.67,68.66,67.44,67.63,67.5632,1289100,0.0,1.0
51,2020-07-10,67.39,67.62,66.93,67.26,67.1936,1725200,0.0,1.0
52,2020-07-09,67.98,68.62,66.88,67.28,67.2136,1190700,0.0,1.0
53,2020-07-08,67.89,68.34,67.14,68.28,68.2126,1231300,0.0,1.0
54,2020-07-07,68.73,68.94,68.01,68.06,67.9928,985700,0.0,1.0
55,2020-07-06,69.35,69.59,68.715,69.15,69.0817,1223300,0.0,1.0
56,2020-07-02,68.47,69.43,67.915,68.15,68.0827,1428800,0.0,1.0
57,2020-07-01,67.75,68.31,67.37,67.46,67.3934,2679300,0.0,1.0
58,2020-06-30,67.18,68.14,66.82,67.66,67.5932,2992300,0.0,1.0
59,2020-06-29,66.85,68.31,66.67,67.92,67.853,1727784,0.0,1.0
60,2020-06-26,67.41,67.41,65.78,66.37,66.3045,3093200,0.0,1.0
61,2020-06-25,66.17,67.87,65.305,67.66,67.5932,1866700,0.0,1.0
62,2020-06-24,67.21,67.835,65.39,66.01,65.9448,2509400,0.0,1.0
63,2020-06-23,69.24,69.55,68.24,68.29,68.2226,1906600,0.0,1.0
64,2020-06-22,67.23,68.87,66.8,68.4,68.3325,2318400,0.0,1.0
65,2020-06-19,69.83,69.89,67.79,67.85,67.783,4712300,0.0,1.0
66,2020-06-18,67.13,68.85,67.13,68.18,68.1127,2544000,0.0,1.0
67,2020-06-17,68.58,68.71,67.64,67.9,67.833,3106500,0.0,1.0
68,2020-06-16,66.82,68.37,64.91,67.81,67.7431,3427800,0.0,1.0
69,2020-06-15,61.85,64.66,61.19,64.39,64.3264,1992100,0.0,1.0
70,2020-06-12,65.18,65.18,61.91,63.65,63.5872,2070000,0.0,1.0
71,2020-06-11,64.1,64.45,62.628,62.85,62.788,2720800,0.0,1.0
72,2020-06-10,69.34,69.575,66.79,66.86,66.794,1624000,0.0,1.0
73,2020-06-09,69.23,70.01,68.27,69.58,69.5113,3057100,0.0,1.0
74,2020-06-08,71.63,72.13,69.39,70.38,70.3105,3699900,0.0,1.0
75,2020-06-05,70.26,73.15,70.11,70.61,70.5403,3884600,0.0,1.0
76,2020-06-04,66.36,67.66,66.27,67.46,67.3934,2008300,0.0,1.0
77,2020-06-03,65.0,67.22,64.78,67.08,67.0138,2838200,0.0,1.0
78,2020-06-02,62.76,64.1,62.23,64.03,63.9668,2195500,0.0,1.0
79,2020-06-01,60.98,62.5,60.36,62.17,62.1086,2301500,0.0,1.0
80,2020-05-29,61.24,61.36,60.415,60.98,60.9198,2403800,0.0,1.0
81,2020-05-28,64.08,64.14,61.42,61.54,61.4792,1843100,0.07,1.0
82,2020-05-27,62.91,64.08,62.625,63.66,63.5249,1734000,0.0,1.0
83,2020-05-26,60.36,61.87,60.265,61.37,61.2398,1569400,0.0,1.0
84,2020-05-22,58.45,58.7,57.39,58.53,58.4058,1556100,0.0,1.0
85,2020-05-21,59.0,59.06,57.92,58.28,58.1563,1928200,0.0,1.0
86,2020-05-20,59.01,59.72,58.91,59.1,58.9746,2901200,0.0,1.0
87,2020-05-19,59.08,60.86,58.71,59.11,58.9846,2505200,0.0,1.0
88,2020-05-18,56.82,59.72,56.82,59.19,59.0644,2962300,0.0,1.0
89,2020-05-15,55.18,56.25,54.93,55.25,55.1327,1908300,0.0,1.0
90,2020-05-14,53.67,55.82,52.46,55.76,55.6417,2145800,0.0,1.0
91,2020-05-13,56.0,56.62,53.78,54.46,54.3444,2074700,0.0,1.0
92,2020-05-12,59.08,59.58,56.15,56.16,56.0408,2111400,0.0,1.0
93,2020-05-11,58.59,59.71,57.82,58.82,58.6952,2186400,0.0,1.0
94,2020-05-08,58.55,59.52,58.12,59.27,59.1442,3084600,0.0,1.0
95,2020-05-07,58.67,58.94,57.725,57.93,57.8071,2469900,0.0,1.0
96,2020-05-06,58.38,58.82,57.46,57.77,57.6474,1976700,0.0,1.0
97,2020-05-05,60.12,60.36,58.19,58.33,58.2062,4542400,0.0,1.0
98,2020-05-04,59.57,61.01,59.36,61.0,60.8705,2696300,0.0,1.0
99,2020-05-01,63.75,64.0,60.01,60.75,60.6211,2919300,0.0,1.0
100,2020-04-30,64.33,64.5,62.99,64.0,63.8642,1720000,0.0,1.0
101,2020-04-29,66.4,66.97,65.27,65.55,65.4109,1972800,0.0,1.0
102,2020-04-28,65.16,65.96,64.0,64.71,64.5727,1951800,0.0,1.0
103,2020-04-27,60.85,64.25,60.5,63.98,63.8442,1718700,0.0,1.0
104,2020-04-24,59.0,60.79,58.57,60.34,60.2119,1645800,0.0,1.0
105,2020-04-23,58.24,59.45,57.86,58.6,58.4756,1857900,0.0,1.0
106,2020-04-22,57.17,58.25,56.17,57.74,57.6175,1226400,0.0,1.0
107,2020-04-21,56.74,58.12,55.734,55.84,55.7215,2167700,0.0,1.0
108,2020-04-20,59.49,59.705,57.99,58.7,58.5754,2010900,0.0,1.0
109,2020-04-17,58.31,60.46,58.24,60.36,60.2319,1823200,0.0,1.0
110,2020-04-16,56.87,57.0,55.51,56.78,56.6595,2144800,0.0,1.0
111,2020-04-15,59.43,59.83,57.39,57.49,57.368,2698800,0.0,1.0
112,2020-04-14,60.58,61.761,60.41,61.01,60.8805,2089600,0.0,1.0
113,2020-04-13,60.92,61.03,58.6,59.42,59.2939,1626100,0.0,1.0
114,2020-04-09,61.35,62.95,60.43,61.04,60.9105,1419600,0.0,1.0
115,2020-04-08,58.51,61.49,58.02,60.64,60.5113,2320600,0.0,1.0
116,2020-04-07,59.75,61.02,58.33,58.45,58.326,2360700,0.0,1.0
117,2020-04-06,55.79,57.98,54.895,57.25,57.1285,2683400,0.0,1.0
118,2020-04-03,56.21,58.31,53.41,54.28,54.1648,2324000,0.0,1.0
119,2020-04-02,54.69,56.48,54.34,56.0,55.8812,2357900,0.0,1.0
120,2020-04-01,53.44,55.59,52.55,54.97,54.8533,3819100,0.0,1.0
121,2020-03-31,51.57,55.84,51.57,55.19,55.0729,3168300,0.0,1.0
122,2020-03-30,49.0,52.59,48.97,52.1,51.9894,3703700,0.0,1.0
123,2020-03-27,49.3,50.94,47.7,49.65,49.5446,3945300,0.0,1.0
124,2020-03-26,50.73,52.44,49.26,51.67,51.5603,3996200,0.0,1.0
125,2020-03-25,50.44,51.95,48.42,49.89,49.7841,3886200,0.0,1.0
126,2020-03-24,44.36,50.21,43.798,49.92,49.8141,3345500,0.0,1.0
127,2020-03-23,44.34,45.04,40.638,42.01,41.9208,3677000,0.0,1.0
128,2020-03-20,47.25,47.59,43.9,45.58,45.4833,4091300,0.0,1.0
129,2020-03-19,44.67,47.11,42.5,46.05,45.9523,4527100,0.0,1.0
130,2020-03-18,49.15,49.15,37.31,45.06,44.9644,5951000,0.0,1.0
131,2020-03-17,52.86,53.55,49.42,52.66,52.5482,3610200,0.0,1.0
132,2020-03-16,53.34,56.06,50.8,51.84,51.73,3044100,0.0,1.0
133,2020-03-13,58.06,59.75,54.93,59.73,59.6032,3340200,0.0,1.0
134,2020-03-12,55.65,57.86,52.405,55.73,55.6117,5198100,0.0,1.0
135,2020-03-11,60.51,61.26,58.89,59.43,59.3039,3531900,0.0,1.0
136,2020-03-10,63.48,64.0,59.31,62.46,62.3274,5852200,0.0,1.0
137,2020-03-09,63.1,63.66,59.03,62.11,61.9782,3301000,0.0,1.0
138,2020-03-06,66.14,67.44,65.74,66.81,66.6682,2727300,0.0,1.0
139,2020-03-05,70.29,70.515,67.59,68.16,68.0153,2517900,0.0,1.0
140,2020-03-04,70.09,72.15,69.3,72.07,71.9171,5390100,0.0,1.0
141,2020-03-03,70.31,72.65,69.01,69.38,69.2328,2231300,0.0,1.0
142,2020-03-02,69.25,70.74,68.0,70.65,70.5001,2548200,0.0,1.0
143,2020-02-28,68.29,69.325,67.46,69.16,69.0132,3845700,0.0,1.0
144,2020-02-27,69.55,72.39,69.161,70.29,70.1408,4059900,0.07,1.0
145,2020-02-26,70.96,71.91,70.29,70.75,70.5296,3169800,0.0,1.0
146,2020-02-25,72.88,73.01,69.96,70.28,70.0611,2618200,0.0,1.0
147,2020-02-24,73.76,73.78,72.22,72.55,72.324,1808300,0.0,1.0
148,2020-02-21,76.27,76.51,75.67,75.81,75.5739,1128400,0.0,1.0
149,2020-02-20,76.76,77.34,76.25,76.79,76.5508,1417400,0.0,1.0
150,2020-02-19,77.97,77.98,76.73,76.86,76.6206,1326500,0.0,1.0
151,2020-02-18,77.56,77.99,76.8,77.65,77.4081,1110000,0.0,1.0
152,2020-02-14,77.37,77.87,77.22,77.81,77.5676,1168700,0.0,1.0
153,2020-02-13,78.46,78.68,77.05,77.24,76.9994,2093500,0.0,1.0
154,2020-02-12,80.0,80.1,78.625,79.0,78.7539,1746500,0.0,1.0
155,2020-02-11,79.47,79.91,79.1,79.4,79.1527,1839700,0.0,1.0
156,2020-02-10,78.57,79.37,78.17,79.34,79.0929,1514900,0.0,1.0
157,2020-02-07,77.16,80.61,77.1,79.02,78.7739,3676900,0.0,1.0
158,2020-02-06,77.76,78.03,76.88,77.83,77.5876,1979200,0.0,1.0
159,2020-02-05,77.55,77.68,76.935,77.56,77.3184,1165244,0.0,1.0
160,2020-02-04,75.67,76.705,75.66,76.49,76.2517,2095100,0.0,1.0
161,2020-02-03,75.48,76.11,74.576,74.78,74.5471,1618600,0.0,1.0
162,2020-01-31,75.8,75.94,74.56,74.93,74.6966,2004500,0.0,1.0
163,2020-01-30,74.94,76.28,74.71,76.2,75.9626,1608058,0.0,1.0
164,2020-01-29,75.58,75.97,75.17,75.31,75.0754,1396500,0.0,1.0
165,2020-01-28,74.71,75.62,74.44,75.03,74.7963,1824200,0.0,1.0
166,2020-01-27,75.49,75.835,74.59,74.62,74.3876,1397700,0.0,1.0
167,2020-01-24,77.79,77.94,76.25,76.91,76.6704,1153500,0.0,1.0
168,2020-01-23,77.36,77.86,76.82,77.59,77.3483,936900,0.0,1.0
169,2020-01-22,78.65,78.905,77.61,77.66,77.4181,1403200,0.0,1.0
170,2020-01-21,78.38,78.45,77.48,78.18,77.9365,1480300,0.0,1.0
171,2020-01-17,78.16,79.18,78.16,78.78,78.5346,1451200,0.0,1.0
172,2020-01-16,78.47,78.94,77.5,78.26,78.0162,1071300,0.0,1.0
173,2020-01-15,78.58,78.99,77.62,78.0,77.757,1192700,0.0,1.0
174,2020-01-14,78.8,79.395,78.21,78.34,78.096,1917100,0.0,1.0
175,2020-01-13,78.0,78.88,77.82,78.8,78.5545,2350600,0.0,1.0
176,2020-01-10,78.11,78.63,77.65,78.0,77.757,2112000,0.0,1.0
177,2020-01-09,77.44,78.66,77.44,77.98,77.7371,2785100,0.0,1.0
178,2020-01-08,77.06,77.3,76.4,77.01,76.7701,2287200,0.0,1.0
179,2020-01-07,76.82,77.1,76.18,77.08,76.8399,1677200,0.0,1.0
180,2020-01-06,76.31,76.991,75.97,76.83,76.5907,1986100,0.0,1.0
181,2020-01-03,76.2,77.35,76.03,77.23,76.9894,1143500,0.0,1.0
182,2020-01-02,77.0,77.56,76.52,77.55,77.3084,1622600,0.0,1.0
183,2019-12-31,76.2,76.54,75.98,76.39,76.152,865500,0.0,1.0
184,2019-12-30,76.63,76.86,76.02,76.28,76.0424,646900,0.0,1.0
185,2019-12-27,76.49,76.67,76.18,76.58,76.3415,781300,0.0,1.0
186,2019-12-26,76.64,76.865,75.92,76.29,76.0524,830600,0.0,1.0
187,2019-12-24,77.07,77.3,76.2,76.39,76.152,270100,0.0,1.0
188,2019-12-23,75.93,76.87,75.38,76.85,76.6106,1503800,0.0,1.0
189,2019-12-20,77.29,77.29,75.73,75.74,75.5041,3584900,0.0,1.0
190,2019-12-19,76.73,76.98,76.43,76.65,76.4112,1586500,0.0,1.0
191,2019-12-18,76.64,76.84,76.12,76.64,76.4013,1954700,0.0,1.0
192,2019-12-17,76.08,76.81,75.66,76.74,76.501,1722700,0.0,1.0
193,2019-12-16,75.83,76.7,75.36,76.16,75.9228,1826000,0.0,1.0
194,2019-12-13,76.06,76.778,75.18,75.19,74.9558,1537000,0.0,1.0
195,2019-12-12,74.97,76.3,74.5,76.17,75.9327,2222000,0.0,1.0
196,2019-12-11,74.71,75.76,74.28,74.97,74.7365,2535900,0.0,1.0
197,2019-12-10,74.15,74.37,73.76,73.84,73.61,1776100,0.0,1.0
198,2019-12-09,75.08,76.13,73.8,74.14,73.9091,2938700,0.0,1.0
199,2019-12-06,72.96,73.55,72.85,72.87,72.643,1711200,0.0,1.0
200,2019-12-05,71.45,72.69,71.33,72.3,72.0748,1997700,0.0,1.0
201,2019-12-04,71.38,72.64,71.38,71.41,71.1876,2008400,0.0,1.0
202,2019-12-03,71.09,71.28,70.3,71.11,70.8885,1894100,0.0,1.0
203,2019-12-02,72.64,72.98,71.75,71.78,71.5564,1976500,0.0,1.0
204,2019-11-29,72.36,72.36,71.94,72.17,71.9452,762000,0.0,1.0
205,2019-11-27,72.1,72.445,71.75,72.36,72.1346,968400,0.07,1.0
206,2019-11-26,71.65,72.2,71.57,72.15,71.8557,1111100,0.0,1.0
207,2019-11-25,70.73,71.71,70.52,71.48,71.1885,1831300,0.0,1.0
208,2019-11-22,71.28,71.44,70.36,70.7,70.4117,1318800,0.0,1.0
209,2019-11-21,70.28,71.34,69.75,70.93,70.6407,1805300,0.0,1.0
210,2019-11-20,70.82,71.11,70.09,70.1,69.8141,2629800,0.0,1.0
211,2019-11-19,71.35,71.6,70.73,71.1,70.81,1599600,0.0,1.0
212,2019-11-18,71.43,71.59,70.95,71.15,70.8598,1224300,0.0,1.0
213,2019-11-15,71.46,72.745,71.33,71.63,71.3379,1894700,0.0,1.0
214,2019-11-14,71.35,71.74,70.96,71.13,70.8399,1432300,0.0,1.0
215,2019-11-13,71.48,71.86,70.95,70.98,70.6905,1256600,0.0,1.0
216,2019-11-12,72.02,72.65,71.76,72.1,71.8059,1575900,0.0,1.0
217,2019-11-11,72.22,72.82,71.93,72.08,71.786,1206400,0.0,1.0
218,2019-11-08,72.23,72.93,71.915,72.88,72.5828,860700,0.0,1.0
219,2019-11-07,73.55,73.68,72.16,72.29,71.9952,1366600,0.0,1.0
220,2019-11-06,73.38,73.39,72.665,73.19,72.8915,1274100,0.0,1.0
221,2019-11-05,73.91,74.35,72.98,73.51,73.2102,1571900,0.0,1.0
222,2019-11-04,72.3,73.98,71.8,73.73,73.4293,2442600,0.0,1.0
223,2019-11-01,69.63,71.81,69.43,71.8,71.5072,2128400,0.0,1.0
224,2019-10-31,69.21,69.42,68.34,69.0,68.7186,1355800,0.0,1.0
225,2019-10-30,68.31,69.78,68.03,69.42,69.1369,1749200,0.0,1.0
226,2019-10-29,68.41,68.95,67.6,68.49,68.2107,4458000,0.0,1.0
227,2019-10-28,68.38,70.41,68.38,68.64,68.3601,3127600,0.0,1.0
228,2019-10-25,71.35,71.35,67.51,68.36,68.0812,4163700,0.0,1.0
229,2019-10-24,72.32,72.32,70.46,71.51,71.2184,2113700,0.0,1.0
230,2019-10-23,72.18,72.45,71.635,72.34,72.045,1508000,0.0,1.0
231,2019-10-22,71.6,72.885,71.03,72.26,71.9653,1346700,0.0,1.0
232,2019-10-21,71.4,72.38,71.15,71.92,71.6267,1771500,0.0,1.0
233,2019-10-18,70.44,71.35,70.31,70.94,70.6507,1680600,0.0,1.0
234,2019-10-17,69.78,71.07,69.585,70.91,70.6208,1696300,0.0,1.0
235,2019-10-16,69.35,70.14,69.09,69.35,69.0672,2122000,0.0,1.0
236,2019-10-15,67.91,69.63,67.84,69.51,69.2265,2312400,0.0,1.0
237,2019-10-14,67.59,68.06,67.28,67.96,67.6828,1521100,0.0,1.0
238,2019-10-11,66.26,68.46,66.26,67.95,67.6729,3217100,0.0,1.0
239,2019-10-10,64.69,65.74,64.69,65.43,65.1631,1283700,0.0,1.0
240,2019-10-09,65.01,65.01,63.92,64.87,64.6054,1669500,0.0,1.0
241,2019-10-08,64.84,65.0,64.1,64.24,63.978,1462000,0.0,1.0
242,2019-10-07,66.25,66.47,65.59,65.64,65.3723,1405000,0.0,1.0
243,2019-10-04,65.7,66.54,65.23,66.5,66.2288,1428900,0.0,1.0
244,2019-10-03,64.22,65.935,63.51,65.68,65.4121,2463700,0.0,1.0
245,2019-10-02,65.45,65.94,63.67,64.43,64.1672,4360200,0.0,1.0
246,2019-10-01,68.96,69.23,66.2,66.28,66.0097,3189600,0.0,1.0
247,2019-09-30,68.97,69.15,68.24,68.56,68.2804,2229800,0.0,1.0
248,2019-09-27,68.4,68.99,67.83,68.6,68.3202,2142600,0.0,1.0
249,2019-09-26,67.83,68.83,67.28,67.98,67.7027,2472000,0.0,1.0
250,2019-09-25,67.0,68.0,66.83,67.84,67.5633,2266300,0.0,1.0
251,2019-09-24,67.91,68.23,66.49,66.94,66.667,3026300,0.0,1.0
252,2019-09-23,67.8,68.45,67.65,67.95,67.6729,1978500,0.0,1.0
253,2019-09-20,68.85,69.17,67.93,68.18,67.9019,5981400,0.0,1.0
254,2019-09-19,69.68,70.23,68.79,68.79,68.5094,1494200,0.0,1.0
255,2019-09-18,68.67,69.73,68.25,69.69,69.4058,1423400,0.0,1.0
256,2019-09-17,69.33,69.7,68.71,69.06,68.7783,1354700,0.0,1.0
