,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,138.36,140.2515,137.355,139.45,139.45,935388,0.0,1.0
1,2020-09-21,141.35,141.49,137.43,138.33,138.33,1373662,0.0,1.0
2,2020-09-18,143.01,145.63,142.73,142.99,142.99,1836530,0.0,1.0
3,2020-09-17,140.65,144.91,139.51,144.59,144.59,1532792,0.0,1.0
4,2020-09-16,145.25,148.55,144.3,146.78,146.78,1069684,0.0,1.0
5,2020-09-15,147.32,148.11,144.98,145.14,145.14,831020,0.0,1.0
6,2020-09-14,146.46,148.52,145.75,147.47,147.47,763818,0.0,1.0
7,2020-09-11,144.1,146.2,142.62,145.36,145.36,1131554,0.0,1.0
8,2020-09-10,146.6,147.7531,142.41,142.58,142.58,1395988,0.0,1.0
9,2020-09-09,147.28,147.79,145.15,146.17,146.17,1289800,0.0,1.0
10,2020-09-08,149.78,150.55,146.6,146.96,146.96,1588167,0.0,1.0
11,2020-09-04,153.5,154.376,149.79,151.7,151.7,1121699,0.0,1.0
12,2020-09-03,155.0,156.56,150.61,151.94,151.94,1338514,0.0,1.0
13,2020-09-02,150.06,154.5,149.92,153.92,153.92,1259079,0.0,1.0
14,2020-09-01,147.8,150.3165,147.36,150.19,150.19,954272,0.0,1.0
15,2020-08-31,152.07,152.4,148.95,149.35,149.35,1176679,0.0,1.0
16,2020-08-28,152.84,152.99,150.734,152.27,152.27,670595,0.0,1.0
17,2020-08-27,150.61,153.53,150.4,152.44,152.44,1147616,0.0,1.0
18,2020-08-26,150.92,151.49,149.42,150.47,150.47,806588,0.0,1.0
19,2020-08-25,154.3,154.73,150.865,151.47,151.47,741532,0.0,1.0
20,2020-08-24,150.49,153.39,149.75,153.3,153.3,1002331,0.0,1.0
21,2020-08-21,150.0,151.35,149.03,149.81,149.81,1518919,0.0,1.0
22,2020-08-20,151.25,151.95,150.49,150.94,150.94,801528,0.0,1.0
23,2020-08-19,152.96,154.5613,152.09,152.49,152.49,701970,0.0,1.0
24,2020-08-18,153.28,154.1,152.72,153.03,153.03,617492,0.0,1.0
25,2020-08-17,156.52,156.79,153.35,153.72,153.72,1080798,0.0,1.0
26,2020-08-14,154.11,157.655,153.65,156.46,156.46,719343,0.0,1.0
27,2020-08-13,154.32,156.5,153.74,154.95,154.95,1053801,0.0,1.0
28,2020-08-12,160.37,160.68,154.69,156.41,156.41,1312038,0.0,1.0
29,2020-08-11,159.48,160.84,157.95,158.85,158.85,1793441,0.0,1.0
30,2020-08-10,153.52,156.77,153.43,156.56,156.56,1144639,0.0,1.0
31,2020-08-07,149.11,152.98,148.51,152.97,152.97,1851928,0.0,1.0
32,2020-08-06,148.99,149.65,148.33,149.14,149.14,867280,0.0,1.0
33,2020-08-05,148.7,149.89,148.08,149.19,149.19,1152691,0.0,1.0
34,2020-08-04,148.12,149.04,146.75,147.24,147.24,2103886,0.0,1.0
35,2020-08-03,145.66,148.3664,144.32,147.72,147.72,1387850,0.0,1.0
36,2020-07-31,148.225,148.225,144.76,146.74,146.74,1659624,0.0,1.0
37,2020-07-30,147.02,149.685,146.8,148.86,148.86,1408789,0.0,1.0
38,2020-07-29,147.23,149.65,144.58,149.44,149.44,1918506,0.0,1.0
39,2020-07-28,147.5,150.65,147.0982,148.57,148.57,1000796,0.0,1.0
40,2020-07-27,149.47,149.507,147.51,147.98,147.98,694986,0.0,1.0
41,2020-07-24,151.62,153.26,149.52,150.15,150.15,787717,0.0,1.0
42,2020-07-23,152.2,152.92,150.11,151.01,151.01,963256,0.0,1.0
43,2020-07-22,146.92,151.58,146.617,151.53,151.53,1253552,0.0,1.0
44,2020-07-21,146.66,149.76,146.3,147.81,147.81,880999,0.0,1.0
45,2020-07-20,147.85,148.47,145.35,145.45,145.45,1009792,0.0,1.0
46,2020-07-17,149.4,149.64,148.03,148.91,148.91,827100,0.0,1.0
47,2020-07-16,145.52,149.59,144.56,148.51,148.51,1647400,0.0,1.0
48,2020-07-15,146.85,146.85,145.21,145.79,145.79,1999900,0.0,1.0
49,2020-07-14,142.25,143.93,141.11,143.36,143.36,960100,0.0,1.0
50,2020-07-13,142.92,144.43,141.35,142.82,142.82,1292400,0.0,1.0
51,2020-07-10,138.2,142.06,138.2,141.97,141.97,948900,0.0,1.0
52,2020-07-09,142.98,143.89,137.82,138.02,138.02,1301400,0.0,1.0
53,2020-07-08,145.52,145.81,143.06,143.9,143.9,1176300,0.0,1.0
54,2020-07-07,148.0,149.2,145.01,145.18,145.18,1511700,0.0,1.0
55,2020-07-06,149.51,149.66,147.02,148.47,148.47,931300,0.0,1.0
56,2020-07-02,149.64,150.86,147.06,147.3,147.3,761200,0.0,1.0
57,2020-07-01,149.0,150.61,146.91,147.14,147.14,874000,1.1,1.0
58,2020-06-30,148.13,150.21,147.7,149.46,148.3509,1330300,0.0,1.0
59,2020-06-29,148.22,149.39,147.06,149.34,148.2318,1032600,0.0,1.0
60,2020-06-26,146.48,147.32,144.52,146.05,144.9663,2073100,0.0,1.0
61,2020-06-25,145.0,147.09,143.68,146.96,145.8695,1589500,0.0,1.0
62,2020-06-24,151.0,151.0,145.9,146.45,145.3633,1810300,0.0,1.0
63,2020-06-23,154.1,155.33,152.49,152.75,151.6165,1057400,0.0,1.0
64,2020-06-22,155.73,156.63,153.2,153.8,152.6587,1632800,0.0,1.0
65,2020-06-19,161.79,161.79,156.52,157.62,156.4504,3180200,0.0,1.0
66,2020-06-18,156.0,160.56,155.37,159.06,157.8797,1589000,0.0,1.0
67,2020-06-17,156.57,158.85,156.25,157.05,155.8846,1273600,0.0,1.0
68,2020-06-16,158.69,159.48,154.15,155.99,154.8325,1695800,0.0,1.0
69,2020-06-15,145.11,154.48,144.52,153.09,151.954,1338700,0.0,1.0
70,2020-06-12,153.33,153.68,147.4,149.2,148.0929,1859500,0.0,1.0
71,2020-06-11,151.67,153.66,148.11,148.55,147.4477,1864500,0.0,1.0
72,2020-06-10,162.81,162.81,157.97,158.05,156.8772,1184900,0.0,1.0
73,2020-06-09,165.0,165.75,162.0,163.48,162.2669,1389400,0.0,1.0
74,2020-06-08,164.15,168.33,164.02,167.78,166.535,1770800,0.0,1.0
75,2020-06-05,164.37,165.14,160.92,162.22,161.0163,1969000,0.0,1.0
76,2020-06-04,155.22,157.44,153.87,157.09,155.9243,1387700,0.0,1.0
77,2020-06-03,151.39,155.72,151.06,155.23,154.0781,1284100,0.0,1.0
78,2020-06-02,148.33,149.97,147.37,149.32,148.212,1225600,0.0,1.0
79,2020-06-01,146.75,148.8,146.48,147.27,146.1772,957000,0.0,1.0
80,2020-05-29,147.24,147.83,143.8,146.83,145.7405,1611000,0.0,1.0
81,2020-05-28,152.17,152.45,148.03,148.49,147.3881,1429400,0.0,1.0
82,2020-05-27,149.23,150.57,147.51,150.45,149.3336,1901200,0.0,1.0
83,2020-05-26,143.08,146.05,142.56,144.65,143.5766,1617600,0.0,1.0
84,2020-05-22,139.3,139.3,136.6,138.57,137.5418,884100,0.0,1.0
85,2020-05-21,137.2,139.1,136.4,138.67,137.641,1271400,0.0,1.0
86,2020-05-20,137.85,138.42,136.55,136.99,135.9735,1336300,0.0,1.0
87,2020-05-19,140.12,140.53,136.06,136.19,135.1794,1415700,0.0,1.0
88,2020-05-18,136.23,140.45,134.99,139.48,138.445,1719600,0.0,1.0
89,2020-05-15,131.32,134.03,130.2,130.92,129.9485,2975600,0.0,1.0
90,2020-05-14,130.0,134.31,129.11,132.91,131.9238,2547600,0.0,1.0
91,2020-05-13,131.54,132.04,129.95,131.5,130.5242,3236800,0.0,1.0
92,2020-05-12,134.11,134.83,131.73,132.04,131.0602,4013200,0.0,1.0
93,2020-05-11,134.02,136.9,133.04,133.81,132.8171,3247400,0.0,1.0
94,2020-05-08,128.8,135.58,128.8,135.35,134.3456,2916800,0.0,1.0
95,2020-05-07,123.27,127.36,123.11,127.13,126.1866,1855900,0.0,1.0
96,2020-05-06,126.71,127.12,121.67,121.73,120.8267,1792100,0.0,1.0
97,2020-05-05,126.0,129.38,125.51,126.36,125.4224,1987700,0.0,1.0
98,2020-05-04,126.08,126.55,123.53,124.78,123.8541,3111000,0.0,1.0
99,2020-05-01,129.16,129.34,126.39,127.8,126.8517,1880900,0.0,1.0
100,2020-04-30,133.94,135.27,129.51,130.62,129.6507,2783900,0.0,1.0
101,2020-04-29,139.8,140.26,134.79,136.65,135.636,3700700,0.0,1.0
102,2020-04-28,138.41,139.22,135.8,136.49,135.4772,1967200,0.0,1.0
103,2020-04-27,130.0,135.6,129.76,134.5,133.502,3679500,0.0,1.0
104,2020-04-24,131.4,131.62,128.66,129.3,128.3405,2651400,0.0,1.0
105,2020-04-23,134.0,134.82,130.36,130.49,129.5217,1884300,0.0,1.0
106,2020-04-22,134.57,134.88,132.58,133.37,132.3803,1692700,0.0,1.0
107,2020-04-21,132.45,133.85,130.68,131.69,130.7128,1328000,0.0,1.0
108,2020-04-20,137.99,138.2,135.2,135.25,134.2464,1272500,0.0,1.0
109,2020-04-17,136.01,139.5,135.25,138.19,137.1646,2036600,0.0,1.0
110,2020-04-16,133.61,134.06,130.56,132.44,131.4572,1286600,0.0,1.0
111,2020-04-15,135.2,136.0,131.8,133.81,132.8171,1609100,0.0,1.0
112,2020-04-14,139.01,141.52,138.42,138.5,137.4723,1445200,0.0,1.0
113,2020-04-13,140.94,141.43,136.52,136.95,135.9338,1406600,0.0,1.0
114,2020-04-09,140.35,142.46,138.61,141.01,139.9636,2273600,0.0,1.0
115,2020-04-08,135.42,138.38,134.04,137.39,136.3705,1701000,1.1,1.0
116,2020-04-07,140.41,141.38,134.18,134.4,132.3431,2783900,0.0,1.0
117,2020-04-06,131.62,134.49,130.3,133.69,131.644,2370200,0.0,1.0
118,2020-04-03,127.24,128.59,124.7,125.68,123.7566,1206700,0.0,1.0
119,2020-04-02,125.9,130.26,124.9,127.92,125.9623,1434500,0.0,1.0
120,2020-04-01,126.71,129.0,125.19,127.4,125.4502,1438500,0.0,1.0
121,2020-03-31,132.5,134.57,131.13,132.31,130.2851,1701200,0.0,1.0
122,2020-03-30,130.0,134.46,127.08,133.6,131.5553,1880700,0.0,1.0
123,2020-03-27,129.48,133.59,128.0,130.07,128.0794,2431400,0.0,1.0
124,2020-03-26,124.47,134.88,124.14,133.16,131.1221,2842400,0.0,1.0
125,2020-03-25,116.5,125.71,114.52,122.0,120.1329,3310200,0.0,1.0
126,2020-03-24,112.21,116.03,110.58,114.21,112.4621,3280000,0.0,1.0
127,2020-03-23,112.16,113.0,100.55,106.6,104.9686,3724400,0.0,1.0
128,2020-03-20,118.19,121.84,113.28,113.99,112.2455,3390300,0.0,1.0
129,2020-03-19,120.01,120.01,110.02,118.03,116.2236,3248100,0.0,1.0
130,2020-03-18,123.39,126.32,115.71,121.11,119.2565,2780000,0.0,1.0
131,2020-03-17,128.17,131.94,125.4,131.59,129.5761,3327300,0.0,1.0
132,2020-03-16,126.26,137.1,126.26,126.7,124.7609,3951400,0.0,1.0
133,2020-03-13,139.14,141.57,131.62,139.64,137.5029,4164700,0.0,1.0
134,2020-03-12,137.64,139.46,128.53,132.23,130.2063,5111500,0.0,1.0
135,2020-03-11,150.63,154.3,147.14,148.45,146.1781,2753300,0.0,1.0
136,2020-03-10,155.01,155.64,149.61,155.3,152.9232,2606800,0.0,1.0
137,2020-03-09,152.04,157.12,146.59,150.02,147.7241,3241700,0.0,1.0
138,2020-03-06,159.35,164.19,157.11,163.03,160.5349,1879300,0.0,1.0
139,2020-03-05,164.66,167.93,161.64,163.36,160.8599,2951400,0.0,1.0
140,2020-03-04,163.44,169.72,161.21,168.28,165.7046,2694600,0.0,1.0
141,2020-03-03,164.89,170.19,160.73,161.05,158.5852,2418200,0.0,1.0
142,2020-03-02,160.56,165.23,157.6,165.03,162.5043,2233200,0.0,1.0
143,2020-02-28,160.58,163.69,155.47,159.69,157.2461,3827400,0.0,1.0
144,2020-02-27,169.18,172.69,165.53,166.14,163.5973,2809100,0.0,1.0
145,2020-02-26,175.25,176.84,171.22,171.55,168.9246,2737400,0.0,1.0
146,2020-02-25,184.95,185.64,173.27,173.92,171.2583,2780100,0.0,1.0
147,2020-02-24,183.11,185.65,182.08,184.61,181.7847,1857600,0.0,1.0
148,2020-02-21,184.91,187.86,183.61,187.6,184.7289,1416900,0.0,1.0
149,2020-02-20,186.07,187.35,184.43,185.95,183.1042,1247900,0.0,1.0
150,2020-02-19,188.23,188.69,186.33,186.55,183.695,1191200,0.0,1.0
151,2020-02-18,187.16,188.73,186.69,188.14,185.2607,1139900,0.0,1.0
152,2020-02-14,189.36,189.4,186.62,188.06,185.1819,1351800,0.0,1.0
153,2020-02-13,187.82,190.08,187.58,189.43,186.5309,1546000,0.0,1.0
154,2020-02-12,187.36,188.75,186.44,188.75,185.8613,1447900,0.0,1.0
155,2020-02-11,186.93,188.38,185.38,186.94,184.079,1599100,0.0,1.0
156,2020-02-10,186.51,188.47,185.34,186.25,183.3996,1239300,0.0,1.0
157,2020-02-07,185.78,188.3,185.59,186.74,183.8821,1715400,0.0,1.0
158,2020-02-06,185.65,187.31,185.2,186.13,183.2814,1316900,0.0,1.0
159,2020-02-05,181.01,184.46,180.08,183.97,181.1545,1273300,0.0,1.0
160,2020-02-04,179.24,180.66,179.0,179.53,176.7824,1882500,0.0,1.0
161,2020-02-03,177.16,178.62,175.19,176.62,173.917,1589400,0.0,1.0
162,2020-01-31,180.24,180.91,174.79,175.44,172.755,2365700,0.0,1.0
163,2020-01-30,182.3,183.49,179.72,181.23,178.4564,1842500,0.0,1.0
164,2020-01-29,183.92,184.42,179.61,183.47,180.6621,2033200,0.0,1.0
165,2020-01-28,183.08,184.68,180.76,183.63,180.8197,1447500,0.0,1.0
166,2020-01-27,182.36,183.73,181.59,182.57,179.7759,1132300,0.0,1.0
167,2020-01-24,185.23,185.81,184.33,185.07,182.2376,925500,0.0,1.0
168,2020-01-23,182.87,185.47,182.05,184.62,181.7945,1146700,0.0,1.0
169,2020-01-22,183.86,185.58,183.09,183.1,180.2978,1058700,0.0,1.0
170,2020-01-21,181.46,184.56,180.82,183.29,180.4849,2074800,0.0,1.0
171,2020-01-17,182.78,183.12,181.48,181.89,179.1063,1820000,0.0,1.0
172,2020-01-16,181.53,183.07,181.11,182.4,179.6085,1289900,1.02,1.0
173,2020-01-15,181.07,182.96,181.07,181.61,177.8361,1174700,0.0,1.0
174,2020-01-14,181.0,181.53,179.66,180.97,177.2094,917900,0.0,1.0
175,2020-01-13,180.24,182.09,180.04,181.13,177.3661,898000,0.0,1.0
176,2020-01-10,181.51,181.79,179.41,179.51,175.7798,831700,0.0,1.0
177,2020-01-09,181.0,182.91,180.96,181.61,177.8361,1581600,0.0,1.0
178,2020-01-08,180.2,181.94,179.6,180.48,176.7296,1199900,0.0,1.0
179,2020-01-07,180.42,181.63,179.75,180.02,176.2792,1454700,0.0,1.0
180,2020-01-06,181.55,182.98,181.0,182.09,178.3061,1957000,0.0,1.0
181,2020-01-03,178.0,180.43,178.0,180.18,176.4358,1662200,0.0,1.0
182,2020-01-02,177.45,179.04,176.92,178.43,174.7222,1472100,0.0,1.0
183,2019-12-31,175.98,176.87,175.32,176.35,172.6854,726300,0.0,1.0
184,2019-12-30,177.54,177.87,175.77,176.01,172.3525,886600,0.0,1.0
185,2019-12-27,178.39,178.94,177.14,177.49,173.8017,781100,0.0,1.0
186,2019-12-26,179.12,179.27,177.41,178.19,174.4872,664600,0.0,1.0
187,2019-12-24,180.02,180.08,178.27,178.82,175.1041,321400,0.0,1.0
188,2019-12-23,179.17,180.72,178.51,179.74,176.005,1404400,0.0,1.0
189,2019-12-20,178.76,179.54,178.11,178.33,174.6243,1961900,0.0,1.0
190,2019-12-19,179.1,179.94,178.23,178.65,174.9376,1161900,0.0,1.0
191,2019-12-18,181.07,181.32,178.42,178.46,174.7516,995100,0.0,1.0
192,2019-12-17,181.29,182.05,180.68,181.1,177.3367,857500,0.0,1.0
193,2019-12-16,179.42,180.89,178.85,180.59,176.8373,1031500,0.0,1.0
194,2019-12-13,179.9,180.92,178.41,179.03,175.3097,968300,0.0,1.0
195,2019-12-12,180.0,182.67,179.39,180.47,176.7198,1204700,0.0,1.0
196,2019-12-11,180.28,180.57,177.57,179.27,175.5447,1565600,0.0,1.0
197,2019-12-10,183.03,183.29,180.24,180.48,176.7296,1191400,0.0,1.0
198,2019-12-09,183.04,183.93,182.25,183.17,179.3637,1275100,0.0,1.0
199,2019-12-06,183.0,183.74,181.98,183.55,179.7358,1467400,0.0,1.0
200,2019-12-05,179.0,182.58,178.7,182.37,178.5803,2458300,0.0,1.0
201,2019-12-04,177.83,180.7,177.75,178.08,174.3795,1409000,0.0,1.0
202,2019-12-03,177.0,178.2,175.7,177.04,173.3611,2985900,0.0,1.0
203,2019-12-02,182.03,182.26,177.75,177.99,174.2913,1963700,0.0,1.0
204,2019-11-29,182.69,182.69,181.2,181.74,177.9634,915600,0.0,1.0
205,2019-11-27,182.44,182.88,181.64,182.35,178.5607,1930400,0.0,1.0
206,2019-11-26,182.79,183.78,181.73,182.02,178.2376,1849100,0.0,1.0
207,2019-11-25,183.2,183.72,182.47,182.66,178.8643,855000,0.0,1.0
208,2019-11-22,183.32,183.57,182.16,182.88,179.0797,560200,0.0,1.0
209,2019-11-21,184.05,184.88,182.8,182.95,179.1483,808800,0.0,1.0
210,2019-11-20,184.75,185.2,183.35,184.33,180.4996,729200,0.0,1.0
211,2019-11-19,186.93,186.93,184.66,184.95,181.1067,805500,0.0,1.0
212,2019-11-18,186.9,187.02,186.19,186.58,182.7028,750100,0.0,1.0
213,2019-11-15,186.34,187.92,185.82,187.08,183.1924,1077900,0.0,1.0
214,2019-11-14,184.59,185.81,184.52,185.19,181.3417,739400,0.0,1.0
215,2019-11-13,185.31,186.08,184.08,184.72,180.8815,961700,0.0,1.0
216,2019-11-12,184.05,185.65,183.53,185.28,181.4298,852700,0.0,1.0
217,2019-11-11,184.25,184.86,182.46,184.35,180.5192,684100,0.0,1.0
218,2019-11-08,182.67,185.96,182.67,185.08,181.234,1446100,0.0,1.0
219,2019-11-07,182.0,183.23,181.53,182.95,179.1483,1427500,0.0,1.0
220,2019-11-06,179.92,181.69,179.92,181.57,177.7969,1445600,0.0,1.0
221,2019-11-05,177.93,179.69,177.1,179.3,175.5741,2252900,0.0,1.0
222,2019-11-04,181.18,181.46,176.97,178.07,174.3697,2483400,0.0,1.0
223,2019-11-01,178.03,180.19,178.03,179.73,175.9952,1136100,0.0,1.0
224,2019-10-31,177.78,178.24,175.53,176.8,173.1261,1373900,0.0,1.0
225,2019-10-30,176.44,178.69,176.0,178.24,174.5361,1262000,0.0,1.0
226,2019-10-29,175.07,178.23,174.92,176.03,172.3721,1856800,0.0,1.0
227,2019-10-28,174.28,175.97,173.97,174.93,171.2949,1544600,0.0,1.0
228,2019-10-25,175.24,176.74,173.34,173.54,169.9338,1894500,0.0,1.0
229,2019-10-24,175.98,177.76,174.63,174.67,171.0403,2458200,0.0,1.0
230,2019-10-23,177.69,177.72,172.4,173.56,169.9534,1998600,0.0,1.0
231,2019-10-22,175.32,180.06,175.32,179.88,176.1421,1261700,0.0,1.0
232,2019-10-21,175.3,176.92,174.65,175.45,171.8041,944800,0.0,1.0
233,2019-10-18,177.05,177.05,173.99,174.43,170.8053,1107800,0.0,1.0
