,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,64.08,64.58,63.29,63.4,63.4,7199937,0.0,1.0
1,2020-09-21,64.81,64.97,63.46,64.21,64.21,8575185,0.0,1.0
2,2020-09-18,64.95,65.169,64.045,65.05,65.05,14256854,0.0,1.0
3,2020-09-17,64.82,65.54,64.4,65.04,65.04,8498269,0.0,1.0
4,2020-09-16,66.32,66.55,65.61,65.65,65.65,7571432,0.0,1.0
5,2020-09-15,67.04,67.13,65.92,66.2,66.2,8327670,0.0,1.0
6,2020-09-14,64.44,67.92,64.31,66.34,66.34,18854221,0.68,1.0
7,2020-09-11,64.37,65.91,64.22,65.58,64.9146,10212997,0.0,1.0
8,2020-09-10,64.69,65.04,63.55,63.77,63.123,8420645,0.0,1.0
9,2020-09-09,64.28,65.08,63.61,64.51,63.8555,9309734,0.0,1.0
10,2020-09-08,65.1184,65.37,63.95,64.14,63.4892,10729350,0.0,1.0
11,2020-09-04,65.72,66.94,65.58,66.01,65.3402,8762248,0.0,1.0
12,2020-09-03,66.8121,67.43,65.48,65.91,65.2413,10457395,0.0,1.0
13,2020-09-02,65.32,66.96,65.32,66.79,66.1123,8334710,0.0,1.0
14,2020-09-01,66.335,66.47,64.91,65.83,65.1621,8355483,0.0,1.0
15,2020-08-31,65.46,66.89,65.42,66.75,66.0727,9083871,0.0,1.0
16,2020-08-28,65.22,65.745,64.98,65.26,64.5979,6820958,0.0,1.0
17,2020-08-27,65.59,65.845,65.32,65.55,64.8849,7919605,0.0,1.0
18,2020-08-26,65.88,65.88,65.16,65.6,64.9344,7522573,0.0,1.0
19,2020-08-25,65.9122,66.24,65.71,66.05,65.3798,7456605,0.0,1.0
20,2020-08-24,66.355,66.96,65.55,66.08,65.4095,8566231,0.0,1.0
21,2020-08-21,65.78,66.87,65.41,66.5,65.8253,9898022,0.0,1.0
22,2020-08-20,65.84,66.16,65.55,66.05,65.3798,8339307,0.0,1.0
23,2020-08-19,66.191,67.47,65.5,65.7,65.0334,19680286,0.0,1.0
24,2020-08-18,69.23,69.75,68.98,69.06,68.3593,6327465,0.0,1.0
25,2020-08-17,68.32,69.35,68.31,69.15,68.4484,6793902,0.0,1.0
