,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,58.01,58.77,57.63,57.99,57.99,3764878,0.0,1.0
1,2020-09-21,57.0,58.2,56.92,57.87,57.87,3401490,0.0,1.0
2,2020-09-18,57.33,58.06,57.15,57.32,57.32,4670956,0.0,1.0
3,2020-09-17,58.38,58.6,57.315,57.58,57.58,4270097,0.0,1.0
4,2020-09-16,59.19,59.54,58.67,58.75,58.75,2432486,0.0,1.0
5,2020-09-15,58.88,59.49,58.245,59.02,59.02,2522911,0.0,1.0
6,2020-09-14,58.86,59.64,58.275,58.76,58.76,3679889,0.0,1.0
7,2020-09-11,58.6,59.05,57.84,58.54,58.54,3557379,0.0,1.0
8,2020-09-10,59.86,60.13,58.38,58.49,58.49,3399766,0.0,1.0
9,2020-09-09,60.13,60.78,59.52,59.98,59.98,4654566,0.0,1.0
10,2020-09-08,63.0,63.35,59.145,59.52,59.52,5062297,0.0,1.0
11,2020-09-04,62.94,63.44,62.35,63.15,63.15,2566441,0.0,1.0
12,2020-09-03,64.45,65.52,62.4,62.97,62.97,3408497,0.0,1.0
13,2020-09-02,63.06,64.73,62.95,64.5,64.5,2669073,0.0,1.0
14,2020-09-01,63.92,64.08,62.49,63.12,63.12,2539203,0.0,1.0
15,2020-08-31,63.32,64.155,63.29,63.95,63.95,2646176,0.0,1.0
16,2020-08-28,64.71,64.71,63.0,63.39,63.39,2983105,0.0,1.0
17,2020-08-27,64.5,65.16,64.39,64.71,64.71,2158854,0.0,1.0
18,2020-08-26,63.67,64.35,63.63,64.25,64.25,2229886,0.0,1.0
19,2020-08-25,64.59,64.6,63.77,63.9,63.9,1735827,0.0,1.0
20,2020-08-24,64.02,64.23,63.52,64.13,64.13,1430985,0.0,1.0
21,2020-08-21,64.26,64.26,63.37,64.02,64.02,1786186,0.0,1.0
22,2020-08-20,64.21,64.48,63.93,64.21,64.21,1266630,0.0,1.0
23,2020-08-19,64.85,64.98,64.42,64.46,64.46,1665273,0.0,1.0
24,2020-08-18,64.27,65.06,63.67,64.63,64.63,2073802,0.0,1.0
25,2020-08-17,63.38,64.4,63.18,64.28,64.28,1879889,0.0,1.0
26,2020-08-14,63.11,63.6,62.95,63.27,63.27,2104022,0.0,1.0
27,2020-08-13,62.94,63.33,62.57,62.97,62.97,1241362,0.0,1.0
28,2020-08-12,62.26,63.54,62.24,63.06,63.06,2131362,0.0,1.0
29,2020-08-11,63.87,63.9,62.01,62.14,62.14,4117426,0.0,1.0
30,2020-08-10,64.26,64.31,63.5101,63.75,63.75,2250686,0.0,1.0
31,2020-08-07,63.93,64.46,63.77,64.35,64.35,1846969,0.0,1.0
32,2020-08-06,64.3,64.82,63.95,64.18,64.18,1607182,0.0,1.0
33,2020-08-05,65.5,65.69,64.04,64.42,64.42,2844099,0.0,1.0
34,2020-08-04,64.44,66.14,64.41,65.74,65.74,3823921,0.0,1.0
35,2020-08-03,63.82,64.82,63.82,64.6,64.6,2580482,0.0,1.0
36,2020-07-31,63.07,63.89,62.36,63.27,63.27,7100942,0.0,1.0
37,2020-07-30,64.11,64.4,63.03,63.48,63.48,2663282,0.0,1.0
38,2020-07-29,64.7,64.93,64.005,64.37,64.37,2131082,0.0,1.0
39,2020-07-28,64.18,64.93,64.14,64.54,64.54,2950679,0.0,1.0
40,2020-07-27,64.2,64.36,63.54,64.08,64.08,3150939,0.0,1.0
41,2020-07-24,65.01,65.48,63.955,64.23,64.23,2779503,0.0,1.0
42,2020-07-23,65.0,65.43,64.66,64.99,64.99,2214420,0.0,1.0
43,2020-07-22,64.5,64.76,63.76,64.72,64.72,2030110,0.0,1.0
44,2020-07-21,63.6,64.98,63.6,64.5,64.5,2800216,0.0,1.0
45,2020-07-20,64.45,64.65,63.43,63.64,63.64,3519468,0.0,1.0
46,2020-07-17,65.04,65.12,64.58,64.64,64.64,5570200,0.0,1.0
47,2020-07-16,64.61,65.29,64.5,64.69,64.69,3268600,0.0,1.0
48,2020-07-15,65.23,65.41,64.53,64.6,64.6,3837900,0.0,1.0
49,2020-07-14,63.63,65.29,63.6,65.17,65.17,4604300,0.0,1.0
50,2020-07-13,63.7,64.98,63.54,63.56,63.56,5405500,0.0,1.0
51,2020-07-10,62.75,63.6,62.59,63.55,63.55,3640100,0.0,1.0
52,2020-07-09,62.37,62.95,62.13,62.55,62.55,3289600,0.49,1.0
53,2020-07-08,62.88,63.15,62.59,62.94,62.4508,4059700,0.0,1.0
54,2020-07-07,62.23,63.3,62.08,62.98,62.4905,4820000,0.0,1.0
55,2020-07-06,61.79,62.39,61.14,62.19,61.7066,5789500,0.0,1.0
56,2020-07-02,61.12,62.07,60.85,61.48,61.0021,5711500,0.0,1.0
57,2020-07-01,60.48,61.1,59.67,60.43,59.9603,6881800,0.0,1.0
58,2020-06-30,61.27,61.65,60.25,61.65,61.1708,5631600,0.0,1.0
59,2020-06-29,59.68,61.04,59.64,60.74,60.2679,4280300,0.0,1.0
60,2020-06-26,60.58,61.06,59.16,59.21,58.7498,5592700,0.0,1.0
61,2020-06-25,60.29,60.55,59.73,60.33,59.8611,3076200,0.0,1.0
62,2020-06-24,60.59,60.8,59.41,60.29,59.8214,4326600,0.0,1.0
63,2020-06-23,61.92,62.17,60.95,61.0,60.5259,3234400,0.0,1.0
64,2020-06-22,61.7,61.99,61.28,61.52,61.0418,2297600,0.0,1.0
65,2020-06-19,62.36,62.41,61.04,61.58,61.1013,13648500,0.0,1.0
66,2020-06-18,61.64,62.1,61.24,61.76,61.2799,2871700,0.0,1.0
67,2020-06-17,61.79,62.28,61.51,61.8,61.3196,3290600,0.0,1.0
68,2020-06-16,61.41,61.86,60.78,61.79,61.3097,3749000,0.0,1.0
69,2020-06-15,59.85,60.87,59.04,60.87,60.3969,5597500,0.0,1.0
70,2020-06-12,60.72,60.95,59.65,60.15,59.6825,4259000,0.0,1.0
71,2020-06-11,62.22,62.89,60.4,60.58,60.1091,4042100,0.0,1.0
