,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,78.99,80.665,78.99,79.47,79.47,760779,0.0,1.0
1,2020-09-21,80.47,81.32,78.22,79.29,79.29,861411,0.0,1.0
2,2020-09-18,82.98,84.02,82.36,82.46,82.46,836900,0.0,1.0
3,2020-09-17,83.0,84.15,82.56,83.4,83.4,542160,0.0,1.0
4,2020-09-16,83.25,85.18,83.25,83.81,83.81,591022,0.0,1.0
5,2020-09-15,83.15,84.01,82.38,83.39,83.39,576485,0.0,1.0
6,2020-09-14,82.24,83.83,82.24,83.23,83.23,346002,0.0,1.0
7,2020-09-11,80.08,81.9,79.55,81.47,81.47,368699,0.0,1.0
8,2020-09-10,82.16,82.7,80.07,80.07,80.07,480318,0.0,1.0
9,2020-09-09,82.36,82.58,81.27,81.6,81.6,440578,0.0,1.0
10,2020-09-08,83.4,83.4,80.63,81.52,81.52,527825,0.0,1.0
11,2020-09-04,84.0,84.72,82.79,83.89,83.89,640873,0.0,1.0
12,2020-09-03,83.88,85.99,81.47,81.85,81.85,625379,0.0,1.0
13,2020-09-02,82.0,83.57,81.61,82.98,82.98,599442,0.0,1.0
14,2020-09-01,81.86,83.6,81.45,82.03,82.03,494143,0.0,1.0
15,2020-08-31,84.66,84.66,82.44,82.48,82.48,499894,0.0,1.0
16,2020-08-28,85.77,85.77,84.45,84.82,84.82,430649,0.0,1.0
17,2020-08-27,83.91,85.92,83.91,85.09,85.09,406393,0.0,1.0
18,2020-08-26,84.09,84.59,83.24,84.16,84.16,345997,0.0,1.0
19,2020-08-25,85.39,85.63,83.91,84.31,84.31,348965,0.0,1.0
20,2020-08-24,81.39,84.5,80.98,84.49,84.49,398246,0.0,1.0
21,2020-08-21,81.04,81.66,80.29,80.73,80.73,317891,0.0,1.0
22,2020-08-20,81.35,82.1193,81.01,81.16,81.16,283855,0.0,1.0
23,2020-08-19,82.68,83.56,82.43,82.61,82.61,271020,0.0,1.0
24,2020-08-18,83.37,83.86,82.255,82.66,82.66,473233,0.0,1.0
25,2020-08-17,85.17,85.41,83.28,83.41,83.41,254766,0.0,1.0
26,2020-08-14,84.37,85.94,84.37,85.48,85.48,250543,0.0,1.0
