,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,29.85,30.36,29.325,29.44,29.44,11063074,0.0,1.0
1,2020-09-21,30.3,30.42,29.16,30.0,30.0,20577928,0.0,1.0
2,2020-09-18,31.85,32.05,31.36,31.5,31.5,15040936,0.0,1.0
3,2020-09-17,31.31,31.95,30.95,31.92,31.92,11459926,0.0,1.0
4,2020-09-16,32.68,32.79,31.74,31.79,31.79,16402402,0.0,1.0
5,2020-09-15,31.36,33.14,30.825,31.58,31.58,21096305,0.0,1.0
6,2020-09-14,30.72,31.56,30.535,31.18,31.18,11972070,0.0,1.0
7,2020-09-11,30.3,30.57,29.87,30.46,30.46,13638656,0.0,1.0
8,2020-09-10,31.82,31.88,30.14,30.17,30.17,24848223,0.0,1.0
9,2020-09-09,32.11,32.75,31.725,31.95,31.95,22376277,0.0,1.0
10,2020-09-08,31.72,33.33,31.05,32.38,32.38,52000038,0.0,1.0
11,2020-09-04,29.93,30.37,29.355,30.0,30.0,13821989,0.0,1.0
12,2020-09-03,30.93,31.52,29.13,29.48,29.48,22358112,0.0,1.0
13,2020-09-02,29.85,31.09,29.8004,30.96,30.96,16246155,0.0,1.0
14,2020-09-01,29.53,29.85,29.34,29.79,29.79,9012046,0.0,1.0
15,2020-08-31,30.02,30.19,29.61,29.63,29.63,9585300,0.0,1.0
16,2020-08-28,29.86,30.225,29.635,30.02,30.02,9180199,0.0,1.0
17,2020-08-27,29.6,30.235,29.52,29.69,29.69,8745402,0.0,1.0
18,2020-08-26,29.78,29.83,29.12,29.48,29.48,9740007,0.0,1.0
19,2020-08-25,30.4,30.73,29.48,29.69,29.69,13006666,0.0,1.0
20,2020-08-24,29.28,30.755,28.99,30.31,30.31,20137882,0.0,1.0
21,2020-08-21,28.74,28.9548,28.43,28.56,28.56,9841202,0.0,1.0
22,2020-08-20,28.7,29.17,28.64,28.83,28.83,9680168,0.0,1.0
23,2020-08-19,29.65,30.0281,29.08,29.22,29.22,14504204,0.0,1.0
24,2020-08-18,30.55,31.12,29.79,29.84,29.84,23102828,0.0,1.0
25,2020-08-17,28.6,30.775,28.4284,30.01,30.01,33652819,0.0,1.0
26,2020-08-14,27.29,28.125,27.15,27.86,27.86,8587722,0.0,1.0
27,2020-08-13,27.73,28.22,27.5,27.55,27.55,7586072,0.0,1.0
28,2020-08-12,28.99,29.75,27.78,28.03,28.03,10062446,0.0,1.0
29,2020-08-11,28.47,29.3481,28.435,28.52,28.52,17260203,0.0,1.0
30,2020-08-10,26.91,28.06,26.86,27.98,27.98,10853597,0.0,1.0
31,2020-08-07,26.48,26.81,26.17,26.72,26.72,8038761,0.0,1.0
32,2020-08-06,26.17,27.19,26.15,26.62,26.62,14171812,0.0,1.0
33,2020-08-05,26.2,26.35,25.88,26.33,26.33,9252746,0.0,1.0
34,2020-08-04,25.87,26.03,25.51,25.8,25.8,15609605,0.0,1.0
35,2020-08-03,25.06,25.77,24.82,25.64,25.64,10445588,0.0,1.0
