,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,16.58,16.81,16.45,16.71,16.71,7328406,0.0,1.0
1,2020-09-21,16.3,16.725,15.995,16.4,16.4,8018098,0.0,1.0
2,2020-09-18,16.86,17.13,16.48,16.79,16.79,15657330,0.0,1.0
3,2020-09-17,17.0,17.1786,16.68,16.9,16.9,5006744,0.0,1.0
4,2020-09-16,17.08,17.53,16.86,17.24,17.24,6710587,0.0,1.0
5,2020-09-15,17.49,17.49,16.86,16.87,16.87,6288470,0.0,1.0
6,2020-09-14,16.97,17.35,16.87,17.31,17.31,6379060,0.0,1.0
7,2020-09-11,17.13,17.13,16.55,16.64,16.64,7797280,0.0,1.0
8,2020-09-10,17.63,18.0,16.92,16.99,16.99,11138526,0.0,1.0
9,2020-09-09,17.3,17.6,17.1005,17.47,17.47,5657738,0.0,1.0
10,2020-09-08,17.24,17.705,17.1,17.3,17.3,8508351,0.0,1.0
11,2020-09-04,17.99,18.05,17.18,17.52,17.52,8015986,0.0,1.0
12,2020-09-03,18.05,18.16,17.505,17.68,17.68,8406760,0.0,1.0
13,2020-09-02,17.87,18.46,17.87,18.39,18.39,9311082,0.0,1.0
14,2020-09-01,17.23,17.935,16.975,17.77,17.77,8723133,0.0,1.0
15,2020-08-31,17.42,17.85,17.302,17.39,17.39,8253741,0.0,1.0
16,2020-08-28,17.38,17.95,16.87,17.54,17.54,20169523,0.0,1.0
17,2020-08-27,17.12,17.88,17.11,17.38,17.38,20670605,0.0,1.0
18,2020-08-26,17.26,17.53,16.95,17.03,17.03,11749830,0.0,1.0
19,2020-08-25,16.2,17.2,16.07,17.11,17.11,29694403,0.0,1.0
20,2020-08-24,14.49,15.53,14.49,15.5,15.5,12058566,0.0,1.0
21,2020-08-21,14.64,14.87,14.38,14.43,14.43,5941666,0.0,1.0
22,2020-08-20,14.81,15.13,14.55,14.58,14.58,7082408,0.0,1.0
23,2020-08-19,14.78,15.19,14.58,14.88,14.88,7475415,0.0,1.0
24,2020-08-18,14.8,15.17,14.25,14.96,14.96,12229924,0.0,1.0
25,2020-08-17,15.24,15.78,15.185,15.39,15.39,11991803,0.0,1.0
26,2020-08-14,14.74,15.32,14.57,15.08,15.08,8086263,0.0,1.0
27,2020-08-13,14.97,15.04,14.59,14.83,14.83,9061580,0.0,1.0
28,2020-08-12,15.24,15.5,14.725,15.15,15.15,6770524,0.0,1.0
29,2020-08-11,14.94,15.63,14.91,15.02,15.02,16282916,0.0,1.0
