,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,94.03,95.39,93.625,95.14,95.14,904124,0.0,1.0
1,2020-09-21,95.44,95.44,93.23,94.26,94.26,878972,0.0,1.0
2,2020-09-18,98.42,99.24,96.12,96.33,96.33,1403072,0.0,1.0
3,2020-09-17,97.92,98.85,96.97,98.2,98.2,741977,0.0,1.0
4,2020-09-16,100.21,100.51,98.21,98.39,98.39,774558,0.0,1.0
5,2020-09-15,100.31,101.3,99.83,99.98,99.98,600279,0.0,1.0
6,2020-09-14,100.01,100.15,99.12,99.7,99.7,642720,0.61,1.0
7,2020-09-11,100.39,100.95,99.58,100.05,99.4416,657836,0.0,1.0
8,2020-09-10,102.1,102.35,98.92,99.4,98.7955,815455,0.0,1.0
9,2020-09-09,100.62,102.05,100.43,101.14,100.525,681427,0.0,1.0
10,2020-09-08,100.93,101.11,99.16,99.36,98.7558,883219,0.0,1.0
11,2020-09-04,102.31,102.91,100.33,101.73,101.1114,906305,0.0,1.0
12,2020-09-03,105.96,105.99,100.88,101.31,100.6939,858619,0.0,1.0
13,2020-09-02,104.48,106.0,103.6,105.81,105.1666,772684,0.0,1.0
14,2020-09-01,103.42,104.04,102.75,103.995,103.3626,695663,0.0,1.0
15,2020-08-31,103.62,104.57,103.12,103.61,102.9799,770051,0.0,1.0
16,2020-08-28,103.52,103.87,102.66,103.76,103.129,545378,0.0,1.0
17,2020-08-27,105.26,105.33,102.43,102.57,101.9463,845802,0.0,1.0
18,2020-08-26,103.82,104.7641,103.41,104.67,104.0335,724372,0.0,1.0
19,2020-08-25,104.47,104.47,103.15,103.64,103.0097,510928,0.0,1.0
20,2020-08-24,102.86,103.9,102.86,103.64,103.0097,688781,0.0,1.0
21,2020-08-21,102.99,103.13,102.28,102.43,101.8071,768471,0.0,1.0
22,2020-08-20,103.47,103.5,102.3,102.94,102.314,607914,0.0,1.0
23,2020-08-19,104.6,105.5,103.9,103.99,103.3576,790614,0.0,1.0
24,2020-08-18,104.72,104.72,103.62,104.22,103.5862,669763,0.0,1.0
25,2020-08-17,104.64,104.97,104.05,104.48,103.8446,552523,0.0,1.0
26,2020-08-14,104.43,104.68,103.67,104.275,103.6409,607871,0.0,1.0
27,2020-08-13,103.24,104.91,102.76,104.62,103.9838,987183,0.0,1.0
28,2020-08-12,101.82,103.55,101.43,103.28,102.6519,619889,0.0,1.0
29,2020-08-11,102.46,103.44,101.311,101.5,100.8828,870996,0.0,1.0
30,2020-08-10,101.78,102.3,101.53,102.11,101.4891,805740,0.0,1.0
31,2020-08-07,102.29,102.48,101.45,101.89,101.2704,681193,0.0,1.0
32,2020-08-06,102.09,102.62,100.98,102.33,101.7077,592017,0.0,1.0
33,2020-08-05,100.39,102.62,100.12,102.36,101.7375,938798,0.0,1.0
34,2020-08-04,99.7,100.1,99.18,99.935,99.3273,829314,0.0,1.0
35,2020-08-03,99.12,100.52,98.7,99.97,99.3621,951747,0.0,1.0
36,2020-07-31,100.01,100.16,97.08,98.59,97.9905,983899,0.0,1.0
37,2020-07-30,97.58,100.53,97.09,100.01,99.4018,1160737,0.0,1.0
38,2020-07-29,103.12,103.99,95.0238,98.78,98.1793,1807033,0.0,1.0
39,2020-07-28,100.65,100.68,98.67,99.36,98.7558,1548080,0.0,1.0
40,2020-07-27,94.84,100.71,94.51,100.29,99.6801,1657368,0.0,1.0
41,2020-07-24,97.0,99.22,96.18,96.74,96.1517,1806732,0.0,1.0
42,2020-07-23,101.41,102.4,99.5,100.2,99.5907,687735,0.0,1.0
43,2020-07-22,99.82,101.46,99.79,101.35,100.7337,768805,0.0,1.0
44,2020-07-21,100.0,100.78,99.75,99.81,99.203,686064,0.0,1.0
45,2020-07-20,100.4,100.43,99.45,100.2,99.5907,643341,0.0,1.0
46,2020-07-17,100.9,101.0,99.13,100.42,99.8093,1192158,0.0,1.0
47,2020-07-16,99.4,101.41,99.19,101.04,100.4256,1256953,0.0,1.0
48,2020-07-15,97.83,99.79,97.83,99.45,98.8452,785587,0.0,1.0
49,2020-07-14,95.78,97.96,95.33,97.84,97.245,724069,0.0,1.0
50,2020-07-13,97.75,98.64,96.36,96.49,95.9032,809853,0.0,1.0
51,2020-07-10,96.63,97.14,95.27,97.09,96.4996,779572,0.0,1.0
52,2020-07-09,98.25,98.49,96.05,96.92,96.3306,758050,0.0,1.0
53,2020-07-08,99.03,99.35,97.36,98.18,97.583,547925,0.0,1.0
54,2020-07-07,98.02,99.55,97.9,98.72,98.1197,580881,0.0,1.0
55,2020-07-06,98.8,99.45,98.21,99.08,98.4775,819615,0.0,1.0
56,2020-07-02,98.06,98.79,97.14,97.53,96.9369,577650,0.0,1.0
57,2020-07-01,98.01,98.64,97.04,97.13,96.5393,779956,0.0,1.0
58,2020-06-30,96.67,98.07,96.18,97.5,96.9071,1003541,0.0,1.0
59,2020-06-29,94.9,96.23,94.57,96.15,95.5653,1558999,0.0,1.0
60,2020-06-26,96.0,96.36,94.38,94.86,94.2831,872092,0.0,1.0
61,2020-06-25,94.73,96.32,94.06,96.23,95.6448,591506,0.0,1.0
62,2020-06-24,96.73,97.23,94.31,95.29,94.7105,765774,0.0,1.0
63,2020-06-23,98.21,98.95,97.71,97.73,97.1357,928857,0.0,1.0
64,2020-06-22,97.23,98.7,96.0,97.53,96.9369,1464321,0.0,1.0
65,2020-06-19,96.74,98.34,94.81,98.34,97.742,3615820,0.0,1.0
66,2020-06-18,95.23,95.98,94.42,95.18,94.6012,729902,0.0,1.0
67,2020-06-17,95.81,96.52,94.98,95.97,95.3864,838938,0.0,1.0
68,2020-06-16,95.57,95.96,92.78,95.07,94.4919,1059001,0.0,1.0
69,2020-06-15,91.7,94.01,90.6,93.57,93.001,951404,0.0,1.0
70,2020-06-12,92.63,93.5,90.12,91.67,91.1125,627015,0.61,1.0
71,2020-06-11,94.77,94.87,91.3,91.42,90.2634,928221,0.0,1.0
72,2020-06-10,98.54,98.54,96.33,96.94,95.7136,868532,0.0,1.0
73,2020-06-09,98.13,98.91,97.14,98.13,96.8885,829981,0.0,1.0
74,2020-06-08,96.62,99.34,96.62,99.3,98.0437,1100296,0.0,1.0
75,2020-06-05,95.63,97.28,94.17,96.53,95.3088,1116674,0.0,1.0
76,2020-06-04,95.38,95.43,92.87,93.27,92.09,1226669,0.0,1.0
77,2020-06-03,93.49,96.51,92.64,95.72,94.509,1356939,0.0,1.0
78,2020-06-02,90.85,92.55,90.5,92.44,91.2705,1003115,0.0,1.0
79,2020-06-01,90.39,91.92,89.8,90.54,89.3946,951217,0.0,1.0
80,2020-05-29,90.68,91.13,89.64,90.17,89.0292,2731654,0.0,1.0
81,2020-05-28,89.51,91.43,88.46,90.91,89.7599,2095332,0.0,1.0
82,2020-05-27,87.5,88.63,86.65,88.13,87.015,1061714,0.0,1.0
83,2020-05-26,85.21,87.49,85.21,86.63,85.534,945989,0.0,1.0
84,2020-05-22,83.86,84.49,83.63,83.89,82.8287,688825,0.0,1.0
85,2020-05-21,83.87,84.9,83.59,84.2,83.1348,771281,0.0,1.0
86,2020-05-20,82.82,84.06,82.42,83.87,82.8089,962548,0.0,1.0
87,2020-05-19,82.05,83.21,81.57,82.05,81.012,950144,0.0,1.0
88,2020-05-18,80.14,82.33,79.64,81.89,80.854,877807,0.0,1.0
89,2020-05-15,77.3,79.3,76.51,78.03,77.0428,2454717,0.0,1.0
90,2020-05-14,77.35,77.65,76.02,77.3,76.3221,1062841,0.0,1.0
91,2020-05-13,78.98,79.26,77.01,78.17,77.1811,968863,0.0,1.0
92,2020-05-12,81.03,81.68,79.42,79.42,78.4152,643606,0.0,1.0
93,2020-05-11,80.48,81.72,80.0,80.83,79.8074,722168,0.0,1.0
94,2020-05-08,79.5,81.48,78.51,81.34,80.3109,1063919,0.0,1.0
95,2020-05-07,79.27,80.18,77.98,78.04,77.0527,950044,0.0,1.0
96,2020-05-06,81.29,81.75,78.64,78.73,77.734,813543,0.0,1.0
97,2020-05-05,80.18,81.79,79.91,80.76,79.7383,1014437,0.0,1.0
98,2020-05-04,79.11,80.06,78.76,79.72,78.7114,1029573,0.0,1.0
99,2020-05-01,79.74,81.16,79.22,79.81,78.8003,1089326,0.0,1.0
100,2020-04-30,82.25,82.36,79.62,81.16,80.1332,1527405,0.0,1.0
101,2020-04-29,86.05,87.5,82.61,82.91,81.8611,1778612,0.0,1.0
102,2020-04-28,82.27,83.97,81.7,83.4,82.3449,1092294,0.0,1.0
103,2020-04-27,78.78,81.25,78.29,80.74,79.7185,994059,0.0,1.0
104,2020-04-24,79.73,80.35,78.38,78.92,77.9216,719233,0.0,1.0
105,2020-04-23,78.67,80.53,78.67,79.3,78.2968,661343,0.0,1.0
106,2020-04-22,79.57,79.95,78.51,78.96,77.9611,622731,0.0,1.0
107,2020-04-21,78.57,79.46,77.73,78.04,77.0527,913146,0.0,1.0
108,2020-04-20,81.41,81.74,79.53,80.05,79.0373,863558,0.0,1.0
109,2020-04-17,80.98,83.25,80.52,82.11,81.0712,2604877,0.0,1.0
110,2020-04-16,78.13,79.08,77.32,78.66,77.6649,1122165,0.0,1.0
111,2020-04-15,79.94,80.41,77.65,77.93,76.9441,1090023,0.0,1.0
112,2020-04-14,79.22,82.41,78.92,81.99,80.9527,1030259,0.0,1.0
113,2020-04-13,78.57,78.57,76.84,77.82,76.8355,1060180,0.0,1.0
114,2020-04-09,78.77,79.74,77.61,78.65,77.655,1326972,0.0,1.0
115,2020-04-08,74.69,77.73,74.05,77.36,76.3813,1106122,0.0,1.0
116,2020-04-07,77.52,78.48,73.63,74.23,73.2909,1484161,0.0,1.0
117,2020-04-06,74.35,76.18,74.11,75.44,74.4856,1387893,0.0,1.0
118,2020-04-03,73.35,74.1,70.65,71.56,70.6547,1112379,0.0,1.0
119,2020-04-02,70.91,73.66,70.63,73.46,72.5306,1345885,0.0,1.0
120,2020-04-01,71.99,74.48,70.21,71.41,70.5066,1244298,0.0,1.0
121,2020-03-31,76.04,76.98,74.57,74.96,74.0117,1023334,0.0,1.0
122,2020-03-30,73.87,77.23,72.41,76.69,75.7198,1117689,0.0,1.0
123,2020-03-27,72.04,76.18,70.26,73.53,72.5998,1260675,0.0,1.0
124,2020-03-26,72.16,74.95,71.08,74.23,73.2909,1469938,0.0,1.0
125,2020-03-25,70.45,73.79,66.47,71.71,70.8028,1551400,0.0,1.0
126,2020-03-24,66.64,70.81,65.22,70.37,69.4797,1219945,0.0,1.0
127,2020-03-23,65.91,65.91,61.04,63.63,62.825,1658794,0.0,1.0
128,2020-03-20,70.85,70.85,65.71,66.03,65.1946,1709033,0.0,1.0
129,2020-03-19,71.39,73.53,68.84,70.11,69.223,1091234,0.0,1.0
130,2020-03-18,70.39,71.96,65.62,71.71,70.8028,1270456,0.0,1.0
131,2020-03-17,71.73,75.73,70.65,73.93,72.9947,1600275,0.0,1.0
132,2020-03-16,69.0,73.5,67.5,70.85,69.9537,1940521,0.0,1.0
133,2020-03-13,75.07,77.72,73.25,77.34,76.3616,1430157,0.57,1.0
134,2020-03-12,75.95,77.86,72.38,72.88,71.4315,1602943,0.0,1.0
135,2020-03-11,82.35,83.04,79.47,80.51,78.9099,1122964,0.0,1.0
136,2020-03-10,83.36,84.78,81.03,84.42,82.7422,1289428,0.0,1.0
137,2020-03-09,81.84,83.66,79.56,81.16,79.547,1173805,0.0,1.0
138,2020-03-06,86.83,87.98,84.96,87.52,85.7806,1114694,0.0,1.0
139,2020-03-05,91.13,91.44,87.13,89.38,87.6036,1512778,0.0,1.0
140,2020-03-04,91.43,93.52,90.1,93.41,91.5535,881611,0.0,1.0
141,2020-03-03,93.61,94.94,89.39,90.07,88.2799,1399596,0.0,1.0
142,2020-03-02,90.0,93.55,89.4,93.47,91.6123,1474985,0.0,1.0
143,2020-02-28,87.73,88.86,85.44,88.39,86.6333,2043517,0.0,1.0
144,2020-02-27,89.59,91.26,88.51,89.28,87.5056,1346213,0.0,1.0
145,2020-02-26,91.45,93.54,90.32,90.38,88.5837,971010,0.0,1.0
146,2020-02-25,95.46,96.54,91.23,92.0,90.1715,1183706,0.0,1.0
147,2020-02-24,94.47,95.7,92.82,95.36,93.4647,1044276,0.0,1.0
148,2020-02-21,99.33,99.62,96.5,96.58,94.6605,943983,0.0,1.0
149,2020-02-20,103.5,103.95,98.41,99.81,97.8263,1307874,0.0,1.0
150,2020-02-19,103.87,105.58,101.78,103.67,101.6096,2959082,0.0,1.0
151,2020-02-18,98.44,98.72,96.84,97.12,95.1898,1224479,0.0,1.0
152,2020-02-14,98.14,98.45,97.57,98.18,96.2287,373927,0.0,1.0
153,2020-02-13,97.55,98.5,97.2,98.3,96.3463,474355,0.0,1.0
154,2020-02-12,98.1,99.0,96.94,97.81,95.866,391332,0.0,1.0
155,2020-02-11,97.58,98.26,97.39,98.04,96.0915,463375,0.0,1.0
156,2020-02-10,96.02,98.1,95.85,97.71,95.768,591187,0.0,1.0
157,2020-02-07,97.67,97.98,95.92,96.2,94.288,734375,0.0,1.0
158,2020-02-06,98.46,98.73,97.78,97.85,95.9052,615513,0.0,1.0
159,2020-02-05,99.21,99.98,97.7,98.04,96.0915,775793,0.0,1.0
160,2020-02-04,99.29,99.75,98.71,98.85,96.8854,585256,0.0,1.0
161,2020-02-03,97.52,98.91,97.4,98.12,96.1699,708952,0.0,1.0
162,2020-01-31,98.97,99.2,96.84,96.95,95.0231,618598,0.0,1.0
163,2020-01-30,99.87,100.17,98.18,99.32,97.346,516509,0.0,1.0
164,2020-01-29,102.35,102.35,100.51,100.53,98.532,568120,0.0,1.0
165,2020-01-28,99.74,102.42,99.02,101.92,99.8944,826250,0.0,1.0
166,2020-01-27,98.26,99.12,97.51,98.43,96.4737,923708,0.0,1.0
167,2020-01-24,100.62,100.97,99.15,99.59,97.6107,423385,0.0,1.0
168,2020-01-23,100.11,100.81,99.64,100.56,98.5614,500164,0.0,1.0
169,2020-01-22,100.97,101.31,100.08,100.22,98.2281,502797,0.0,1.0
170,2020-01-21,99.15,101.15,98.96,100.59,98.5908,1099192,0.0,1.0
171,2020-01-17,98.4,99.24,98.06,99.04,97.0716,1855145,0.0,1.0
172,2020-01-16,97.75,98.73,97.64,98.47,96.5129,699832,0.0,1.0
173,2020-01-15,97.82,97.87,96.96,97.19,95.2584,736409,0.0,1.0
174,2020-01-14,97.4,97.62,96.91,97.29,95.3564,788754,0.0,1.0
175,2020-01-13,96.97,97.6,96.7,97.59,95.6504,554539,0.0,1.0
176,2020-01-10,97.53,97.58,96.41,96.5,94.5821,387882,0.0,1.0
177,2020-01-09,97.67,97.79,96.88,97.4,95.4642,750085,0.0,1.0
178,2020-01-08,97.47,98.03,96.96,97.0,95.0721,1079994,0.0,1.0
179,2020-01-07,97.75,98.05,97.22,97.54,95.6014,781317,0.0,1.0
180,2020-01-06,97.4,98.06,96.76,97.69,95.7484,686499,0.0,1.0
181,2020-01-03,97.27,98.17,97.27,97.71,95.768,503810,0.0,1.0
182,2020-01-02,97.62,98.47,97.38,98.34,96.3855,828006,0.0,1.0
183,2019-12-31,97.69,97.97,97.46,97.56,95.621,794506,0.0,1.0
184,2019-12-30,98.47,98.63,97.63,97.95,96.0033,429518,0.0,1.0
185,2019-12-27,98.01,98.58,97.63,98.52,96.5619,482557,0.0,1.0
186,2019-12-26,98.45,98.6,97.86,98.07,96.1209,666237,0.0,1.0
187,2019-12-24,98.59,98.69,97.96,98.44,96.4835,164148,0.0,1.0
188,2019-12-23,98.65,99.26,98.21,98.59,96.6305,485978,0.0,1.0
189,2019-12-20,98.22,98.84,97.53,98.68,96.7188,2049038,0.0,1.0
190,2019-12-19,97.56,98.17,97.23,97.64,95.6994,971795,0.0,1.0
191,2019-12-18,97.85,98.21,97.17,97.47,95.5328,910687,0.0,1.0
192,2019-12-17,97.48,98.0,96.55,97.88,95.9347,737328,0.0,1.0
193,2019-12-16,97.6,98.17,97.3,97.79,95.8464,856700,0.0,1.0
194,2019-12-13,97.28,97.69,96.5,97.43,95.4936,530477,0.57,1.0
195,2019-12-12,97.49,98.75,97.12,97.78,95.2792,859533,0.0,1.0
196,2019-12-11,97.1,97.88,97.1,97.59,95.0941,905122,0.0,1.0
197,2019-12-10,97.21,98.01,96.65,96.71,94.2366,890985,0.0,1.0
198,2019-12-09,96.84,97.49,96.51,97.0,94.5192,778959,0.0,1.0
199,2019-12-06,96.12,96.68,95.89,96.52,94.0514,725078,0.0,1.0
200,2019-12-05,96.31,96.58,95.2,95.6,93.155,912983,0.0,1.0
201,2019-12-04,96.64,97.08,96.19,96.25,93.7884,856271,0.0,1.0
202,2019-12-03,96.13,96.92,95.98,96.49,94.0222,1103284,0.0,1.0
203,2019-12-02,98.2,98.44,96.17,96.92,94.4412,953615,0.0,1.0
204,2019-11-29,97.95,98.31,97.4,97.69,95.1915,524917,0.0,1.0
205,2019-11-27,98.67,98.67,97.8,98.14,95.63,571948,0.0,1.0
206,2019-11-26,97.77,98.32,97.23,98.29,95.7762,1211641,0.0,1.0
207,2019-11-25,97.94,98.32,97.34,97.66,95.1623,684067,0.0,1.0
208,2019-11-22,98.1,98.43,96.46,97.2,94.7141,750885,0.0,1.0
