,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,194.0,196.14,188.43,191.62,191.62,3338432,0.0,1.0
1,2020-09-21,189.9,194.17,187.47,194.0,194.0,4871299,0.0,1.0
2,2020-09-18,195.01,196.65,192.3848,194.86,194.86,9066647,0.0,1.0
3,2020-09-17,198.21,199.89,194.51,194.83,194.83,4274772,0.0,1.0
4,2020-09-16,198.49,203.8,198.07,200.68,200.68,3571873,0.0,1.0
5,2020-09-15,202.0,202.585,197.98,198.0,198.0,3717632,0.0,1.0
6,2020-09-14,203.3,203.3,200.67,201.34,201.34,2756891,0.0,1.0
7,2020-09-11,200.24,201.91,198.95,200.92,200.92,2376385,0.0,1.0
8,2020-09-10,203.73,205.35,199.55,200.01,200.01,2510274,0.0,1.0
9,2020-09-09,204.19,204.83,202.03,202.22,202.22,4681380,0.0,1.0
10,2020-09-08,209.51,209.96,201.27,202.48,202.48,4574748,0.0,1.0
11,2020-09-04,210.89,213.35,205.32,210.94,210.94,3668891,0.0,1.0
12,2020-09-03,211.75,215.23,205.83,207.56,207.56,3533485,0.0,1.0
13,2020-09-02,205.79,210.93,205.37,210.04,210.04,3565242,0.0,1.0
14,2020-09-01,203.6,206.71,203.01,205.46,205.46,2458801,0.0,1.0
15,2020-08-31,205.5,206.41,203.63,204.87,204.87,3046152,1.25,1.0
16,2020-08-28,211.89,212.0,207.09,207.71,206.4504,3697406,0.0,1.0
17,2020-08-27,206.68,213.0,206.41,210.15,208.8756,3692411,0.0,1.0
18,2020-08-26,205.89,207.28,205.03,207.22,205.9633,2563236,0.0,1.0
19,2020-08-25,209.99,210.49,205.17,206.0,204.7507,2627906,0.0,1.0
20,2020-08-24,203.11,207.43,201.32,207.34,206.0826,3097432,0.0,1.0
21,2020-08-21,200.11,203.35,199.82,202.43,201.2024,1781141,0.0,1.0
22,2020-08-20,200.76,203.28,200.34,201.85,200.6259,1764214,0.0,1.0
23,2020-08-19,202.4,206.1,201.77,203.02,201.7888,2458524,0.0,1.0
24,2020-08-18,203.45,203.58,201.1,201.31,200.0892,3067854,0.0,1.0
25,2020-08-17,207.0,207.85,202.53,203.07,201.8385,3895932,0.0,1.0
26,2020-08-14,207.46,209.48,206.61,207.97,206.7088,2287572,0.0,1.0
27,2020-08-13,210.41,212.2,207.69,208.39,207.1262,2219859,0.0,1.0
28,2020-08-12,214.7,215.95,209.27,212.13,210.8436,2439593,0.0,1.0
29,2020-08-11,212.72,216.95,210.53,211.06,209.78,4042742,0.0,1.0
30,2020-08-10,209.59,210.64,208.04,209.38,208.1102,2432770,0.0,1.0
31,2020-08-07,203.48,208.8,202.45,208.27,207.007,3074961,0.0,1.0
32,2020-08-06,205.0,206.29,203.83,204.25,203.0113,1882367,0.0,1.0
33,2020-08-05,203.17,204.8075,203.01,204.52,203.2797,2323194,0.0,1.0
34,2020-08-04,199.35,201.72,198.475,201.64,200.4172,1944676,0.0,1.0
35,2020-08-03,198.49,199.88,196.53,199.39,198.1808,2295652,0.0,1.0
36,2020-07-31,199.84,199.84,196.51,197.96,196.7595,2401074,0.0,1.0
37,2020-07-30,199.5,199.99,196.3,199.53,198.32,3057922,0.0,1.0
38,2020-07-29,201.7,203.89,199.62,202.58,201.3515,2634961,0.0,1.0
39,2020-07-28,201.91,203.6,201.09,201.62,200.3973,2139771,0.0,1.0
40,2020-07-27,200.1,204.18,199.59,203.02,201.7888,2601182,0.0,1.0
41,2020-07-24,203.0,204.93,201.32,201.47,200.2482,3191549,0.0,1.0
42,2020-07-23,205.1,206.0221,202.05,203.02,201.7888,4088636,0.0,1.0
43,2020-07-22,210.5,211.0,205.35,206.0,204.7507,4978425,0.0,1.0
44,2020-07-21,212.25,213.81,210.39,212.02,210.7342,3394200,0.0,1.0
45,2020-07-20,210.73,213.17,210.25,211.71,210.4261,2268700,0.0,1.0
46,2020-07-17,214.9,215.17,211.25,211.41,210.1279,3614300,0.0,1.0
47,2020-07-16,213.51,220.46,213.5,214.67,213.3681,5769600,0.0,1.0
48,2020-07-15,224.37,225.24,214.69,216.9,215.5846,12516700,0.0,1.0
49,2020-07-14,211.43,214.3,207.01,214.01,212.7122,5202000,0.0,1.0
50,2020-07-13,209.0,212.98,207.0,208.88,207.6133,4449600,0.0,1.0
51,2020-07-10,196.87,206.32,196.83,205.56,204.3134,4414800,0.0,1.0
52,2020-07-09,202.11,202.5,195.0,196.83,195.6363,3160100,0.0,1.0
53,2020-07-08,199.54,203.25,199.02,202.25,201.0235,2789700,0.0,1.0
54,2020-07-07,205.5,205.71,199.19,199.36,198.151,2853500,0.0,1.0
55,2020-07-06,201.34,207.79,201.13,207.36,206.1025,3567700,0.0,1.0
56,2020-07-02,202.5,203.0,197.13,197.4,196.2029,2698800,0.0,1.0
57,2020-07-01,198.88,199.74,195.52,197.57,196.3719,2620100,0.0,1.0
58,2020-06-30,193.84,198.41,193.62,197.62,196.4215,3102800,0.0,1.0
59,2020-06-29,191.38,193.9,188.66,193.47,192.2967,3735957,0.0,1.0
60,2020-06-26,199.0,200.24,188.51,189.19,188.0427,9530700,0.0,1.0
61,2020-06-25,197.86,207.39,197.61,207.1,205.8441,3466500,0.0,1.0
62,2020-06-24,202.34,202.61,197.38,198.02,196.8191,2756700,0.0,1.0
63,2020-06-23,206.5,207.51,203.64,204.78,203.5381,2451800,0.0,1.0
64,2020-06-22,200.99,204.58,200.0,203.42,202.1864,1806900,0.0,1.0
65,2020-06-19,207.05,207.42,200.97,201.63,200.4072,4962400,0.0,1.0
66,2020-06-18,203.99,207.26,202.67,203.84,202.6038,2051700,0.0,1.0
67,2020-06-17,210.0,210.79,205.44,206.19,204.9396,1795600,0.0,1.0
68,2020-06-16,214.98,214.98,203.73,209.59,208.319,3099100,0.0,1.0
69,2020-06-15,195.73,206.99,195.15,206.31,205.0588,3467400,0.0,1.0
70,2020-06-12,200.62,202.94,196.21,201.78,200.5563,3379400,0.0,1.0
71,2020-06-11,204.7,206.9,194.02,194.13,192.9527,4923400,0.0,1.0
72,2020-06-10,217.39,219.85,212.8,213.52,212.2251,3091200,0.0,1.0
73,2020-06-09,215.74,220.02,215.16,218.1,216.7773,2478400,0.0,1.0
74,2020-06-08,220.02,222.26,218.24,220.81,219.4709,3260300,0.0,1.0
75,2020-06-05,222.0,222.98,217.66,217.92,216.5984,4737600,0.0,1.0
76,2020-06-04,208.79,214.99,207.96,214.82,213.5172,3522300,0.0,1.0
77,2020-06-03,208.49,211.93,206.43,210.57,209.293,3471900,0.0,1.0
78,2020-06-02,203.77,206.5,201.32,204.14,202.902,4128700,0.0,1.0
79,2020-06-01,197.31,201.77,195.12,199.93,198.7175,2230800,0.0,1.0
80,2020-05-29,197.23,200.92,194.65,196.49,195.2984,3824500,1.25,1.0
81,2020-05-28,210.84,211.31,201.21,201.22,198.7354,4886100,0.0,1.0
82,2020-05-27,203.0,210.71,200.01,209.66,207.0712,8182100,0.0,1.0
83,2020-05-26,185.63,197.1,185.22,196.06,193.6391,5971200,0.0,1.0
84,2020-05-22,180.03,180.64,178.06,179.93,177.7083,2176400,0.0,1.0
85,2020-05-21,180.2,181.17,177.68,180.1,177.8762,2153500,0.0,1.0
86,2020-05-20,180.95,183.83,180.3,181.44,179.1997,2599900,0.0,1.0
87,2020-05-19,180.56,182.19,177.72,177.83,175.6342,2210500,0.0,1.0
88,2020-05-18,177.71,183.1,175.24,181.88,179.6342,4512600,0.0,1.0
89,2020-05-15,173.48,174.09,170.58,171.87,169.7478,2867800,0.0,1.0
90,2020-05-14,169.04,174.78,165.36,174.45,172.296,4176700,0.0,1.0
91,2020-05-13,175.66,176.88,170.76,171.8,169.6787,3445300,0.0,1.0
92,2020-05-12,183.89,184.3,176.75,177.21,175.0219,3549200,0.0,1.0
93,2020-05-11,182.54,184.85,181.26,183.16,180.8984,2212200,0.0,1.0
94,2020-05-08,185.03,185.91,182.74,185.39,183.1009,2282600,0.0,1.0
95,2020-05-07,179.18,183.38,179.18,182.32,180.0688,2480100,0.0,1.0
96,2020-05-06,179.68,181.2,175.21,176.92,174.7355,2408700,0.0,1.0
97,2020-05-05,179.1,182.6,178.14,178.3,176.0984,3272600,0.0,1.0
98,2020-05-04,175.0,176.31,171.72,176.03,173.8565,2990100,0.0,1.0
99,2020-05-01,179.0,179.6,176.65,177.1,174.9133,2650200,0.0,1.0
100,2020-04-30,186.0,187.55,182.9,183.42,181.1552,2695400,0.0,1.0
101,2020-04-29,192.61,193.72,189.57,190.03,187.6836,3086300,0.0,1.0
102,2020-04-28,189.16,190.42,184.87,187.01,184.7009,3344700,0.0,1.0
103,2020-04-27,179.1,184.25,178.72,183.54,181.2737,2743100,0.0,1.0
104,2020-04-24,177.0,177.95,173.49,177.0,174.8145,2024400,0.0,1.0
105,2020-04-23,177.0,179.07,174.45,175.05,172.8886,2013300,0.0,1.0
106,2020-04-22,177.5,178.18,174.47,175.98,173.8071,2316600,0.0,1.0
107,2020-04-21,175.44,179.2,173.66,173.81,171.6639,3819000,0.0,1.0
108,2020-04-20,179.7,186.32,178.02,180.4,178.1725,4674800,0.0,1.0
109,2020-04-17,183.49,185.28,178.29,183.49,181.2244,5426700,0.0,1.0
110,2020-04-16,177.22,178.44,172.39,177.04,174.854,4662200,0.0,1.0
111,2020-04-15,170.63,181.68,169.15,178.52,176.3157,6042700,0.0,1.0
112,2020-04-14,182.35,183.38,174.54,178.23,176.0293,4149600,0.0,1.0
113,2020-04-13,183.85,184.97,179.13,179.18,176.9676,4774300,0.0,1.0
114,2020-04-09,180.58,187.33,179.77,184.26,181.9848,6449900,0.0,1.0
115,2020-04-08,168.55,178.1,168.55,176.96,174.775,5194800,0.0,1.0
116,2020-04-07,166.0,169.14,162.45,166.02,163.9701,4953500,0.0,1.0
117,2020-04-06,155.47,158.93,153.77,158.23,156.2763,4689400,0.0,1.0
118,2020-04-03,149.2,150.92,145.23,146.93,145.1158,2801600,0.0,1.0
119,2020-04-02,143.02,150.45,141.67,149.93,148.0787,4446900,0.0,1.0
120,2020-04-01,146.1,149.57,145.0,145.29,143.496,4689100,0.0,1.0
121,2020-03-31,158.13,161.1,153.72,154.59,152.6812,3588200,0.0,1.0
122,2020-03-30,158.52,160.43,153.18,159.62,157.6491,4152800,0.0,1.0
123,2020-03-27,159.08,163.73,157.0,158.34,156.3849,4186700,0.0,1.0
124,2020-03-26,156.37,167.66,154.31,165.79,163.7429,6762200,0.0,1.0
125,2020-03-25,154.6,162.21,145.32,155.13,153.2145,8587800,0.0,1.0
126,2020-03-24,144.32,153.9,143.63,153.6,151.7034,6647400,0.0,1.0
127,2020-03-23,136.03,141.94,133.26,134.97,133.3035,5472600,0.0,1.0
128,2020-03-20,148.99,149.19,138.29,138.41,136.701,7561300,0.0,1.0
129,2020-03-19,137.38,152.49,130.85,149.49,147.6442,6548200,0.0,1.0
130,2020-03-18,150.0,155.97,135.41,140.02,138.2911,9543200,0.0,1.0
131,2020-03-17,157.0,166.74,150.0,158.67,156.7108,6876300,0.0,1.0
132,2020-03-16,150.23,169.54,150.0,154.66,152.7503,6888000,0.0,1.0
133,2020-03-13,162.82,177.56,152.35,177.17,174.9824,6368400,0.0,1.0
134,2020-03-12,160.0,166.75,150.0,150.68,148.8195,8357700,0.0,1.0
135,2020-03-11,178.48,180.77,170.97,171.89,169.7676,5314000,0.0,1.0
136,2020-03-10,181.62,185.4,173.29,184.35,182.0737,6803900,0.0,1.0
137,2020-03-09,173.58,179.25,170.16,172.81,170.6762,6443000,0.0,1.0
138,2020-03-06,190.68,196.3,189.28,192.85,190.4688,5071900,0.0,1.0
139,2020-03-05,201.33,203.47,196.95,198.79,196.3354,4151500,0.0,1.0
140,2020-03-04,205.84,208.92,202.7,208.74,206.1626,3520400,0.0,1.0
141,2020-03-03,209.0,211.79,202.12,203.43,200.9181,5677200,0.0,1.0
142,2020-03-02,201.41,209.62,197.63,209.47,206.8836,5285500,0.0,1.0
143,2020-02-28,199.09,202.25,194.85,200.77,198.291,6740700,1.25,1.0
144,2020-02-27,210.49,213.48,205.37,205.69,201.8932,5848200,0.0,1.0
145,2020-02-26,218.7,220.0,214.76,215.78,211.797,4171100,0.0,1.0
146,2020-02-25,224.78,225.87,215.89,217.61,213.5932,5343100,0.0,1.0
147,2020-02-24,223.23,226.69,222.54,224.54,220.3953,4139400,0.0,1.0
148,2020-02-21,230.91,231.8,228.37,230.62,226.3631,3081600,0.0,1.0
149,2020-02-20,236.41,236.9,231.25,232.73,228.4341,3183700,0.0,1.0
150,2020-02-19,235.0,237.8,233.28,237.33,232.9492,2207100,0.0,1.0
151,2020-02-18,236.55,237.07,231.2,233.21,228.9053,2736500,0.0,1.0
152,2020-02-14,237.94,239.01,236.23,237.08,232.7038,1718700,0.0,1.0
153,2020-02-13,237.85,238.97,236.57,238.35,233.9504,1461300,0.0,1.0
154,2020-02-12,238.01,241.18,237.72,238.65,234.2448,2119200,0.0,1.0
155,2020-02-11,239.0,239.55,236.22,236.46,232.0953,2238800,0.0,1.0
156,2020-02-10,237.4,237.87,235.46,237.36,232.9787,2591300,0.0,1.0
157,2020-02-07,239.75,240.52,236.55,238.0,233.6068,3006500,0.0,1.0
158,2020-02-06,245.35,245.77,241.18,241.82,237.3563,2225600,0.0,1.0
159,2020-02-05,244.99,245.13,243.0,244.3,239.7906,3126559,0.0,1.0
160,2020-02-04,242.88,243.74,241.55,241.94,237.4741,3052500,0.0,1.0
161,2020-02-03,238.36,242.39,238.05,239.01,234.5982,2733000,0.0,1.0
162,2020-01-31,241.99,242.89,236.88,237.75,233.3615,3482800,0.0,1.0
163,2020-01-30,237.69,244.34,236.73,244.13,239.6237,3261700,0.0,1.0
164,2020-01-29,244.52,246.5,239.57,240.12,235.6877,3711600,0.0,1.0
165,2020-01-28,239.49,243.58,238.05,242.58,238.1023,3123000,0.0,1.0
166,2020-01-27,236.37,238.99,235.01,238.14,233.7443,2506200,0.0,1.0
167,2020-01-24,245.07,245.71,240.6,241.92,237.4545,2877400,0.0,1.0
168,2020-01-23,244.5,247.0,242.88,245.58,241.0469,2806800,0.0,1.0
169,2020-01-22,246.61,248.52,246.34,247.05,242.4898,2030900,0.0,1.0
170,2020-01-21,247.21,248.85,245.6,245.7,241.1647,2492400,0.0,1.0
171,2020-01-17,250.23,250.46,248.0,249.46,244.8553,3108400,0.0,1.0
172,2020-01-16,247.01,249.82,246.23,249.72,245.1105,3968400,0.0,1.0
173,2020-01-15,242.0,249.5,239.16,245.21,240.6838,5411200,0.0,1.0
174,2020-01-14,245.32,248.52,244.6,245.66,241.1255,4302800,0.0,1.0
175,2020-01-13,244.44,246.11,243.0,245.21,240.6838,3359200,0.0,1.0
176,2020-01-10,242.75,243.39,241.39,242.11,237.641,2248100,0.0,1.0
177,2020-01-09,241.34,243.4,239.82,242.6,238.1219,3980700,0.0,1.0
178,2020-01-08,235.68,239.75,235.48,237.76,233.3713,3564700,0.0,1.0
179,2020-01-07,235.0,237.77,234.76,235.49,231.1432,5255200,0.0,1.0
180,2020-01-06,229.93,234.02,229.49,233.95,229.6316,3329300,0.0,1.0
181,2020-01-03,231.6,232.61,230.3,231.58,227.3054,2274500,0.0,1.0
182,2020-01-02,231.0,234.64,230.16,234.32,229.9948,3736300,0.0,1.0
183,2019-12-31,229.71,229.97,228.67,229.93,225.6858,1447200,0.0,1.0
184,2019-12-30,231.68,231.68,229.5,229.8,225.5582,1494500,0.0,1.0
185,2019-12-27,231.81,232.21,230.47,230.66,226.4023,1343900,0.0,1.0
186,2019-12-26,230.26,232.2,229.99,231.21,226.9422,1704000,0.0,1.0
187,2019-12-24,228.98,229.95,228.37,229.91,225.6662,467700,0.0,1.0
188,2019-12-23,229.66,230.48,228.41,229.09,224.8613,1670400,0.0,1.0
189,2019-12-20,230.96,231.29,228.62,228.93,224.7043,3715500,0.0,1.0
190,2019-12-19,230.95,231.39,228.96,229.94,225.6956,2418100,0.0,1.0
191,2019-12-18,231.97,232.2,229.94,230.45,226.1962,2280800,0.0,1.0
192,2019-12-17,230.0,232.07,228.8,231.15,226.8833,3590000,0.0,1.0
193,2019-12-16,228.5,230.7,227.87,228.04,223.8307,3218400,0.0,1.0
194,2019-12-13,226.72,227.99,223.7,225.0,220.8468,1908200,0.0,1.0
195,2019-12-12,221.91,226.78,220.6,226.05,221.8774,2974300,0.0,1.0
196,2019-12-11,222.25,222.85,220.84,221.19,217.1071,1778600,0.0,1.0
197,2019-12-10,221.67,222.88,220.55,221.88,217.7844,1854100,0.0,1.0
198,2019-12-09,224.61,224.65,221.77,221.81,217.7157,2134600,0.0,1.0
199,2019-12-06,219.95,225.4,218.82,224.61,220.464,4229400,0.0,1.0
200,2019-12-05,217.15,217.63,215.42,217.14,213.1319,1329300,0.0,1.0
201,2019-12-04,213.54,216.99,212.38,215.94,211.954,1583600,0.0,1.0
202,2019-12-03,215.43,215.43,210.0,212.24,208.3223,3207100,0.0,1.0
203,2019-12-02,220.97,221.8,217.08,217.64,213.6227,2118500,0.0,1.0
204,2019-11-29,220.88,222.0,220.41,221.35,217.2642,770400,1.25,1.0
205,2019-11-27,223.45,224.28,221.86,222.95,217.6058,1614600,0.0,1.0
206,2019-11-26,222.68,222.76,221.11,222.45,217.1178,1926300,0.0,1.0
207,2019-11-25,220.89,223.95,220.89,222.75,217.4106,2181800,0.0,1.0
208,2019-11-22,218.0,220.71,218.0,220.28,214.9998,1529100,0.0,1.0
209,2019-11-21,218.6,219.32,216.82,218.23,212.9989,1677500,0.0,1.0
210,2019-11-20,218.36,219.47,216.4,217.91,212.6866,2177700,0.0,1.0
211,2019-11-19,220.56,220.68,218.31,220.04,214.7655,1817100,0.0,1.0
212,2019-11-18,219.73,219.95,218.04,219.73,214.463,1603400,0.0,1.0
213,2019-11-15,220.0,221.09,219.04,220.25,214.9705,1693100,0.0,1.0
214,2019-11-14,218.79,220.47,218.03,219.43,214.1702,1483100,0.0,1.0
215,2019-11-13,218.39,219.84,217.01,219.32,214.0628,1756000,0.0,1.0
216,2019-11-12,218.56,221.11,217.93,220.41,215.1267,1891600,0.0,1.0
217,2019-11-11,220.9,221.41,218.52,219.03,213.7798,2754500,0.0,1.0
218,2019-11-08,223.0,223.23,221.1,222.91,217.5668,1610800,0.0,1.0
219,2019-11-07,220.77,224.77,220.41,223.29,217.9376,3748600,0.0,1.0
220,2019-11-06,218.01,219.07,216.55,218.42,213.1844,1863000,0.0,1.0
221,2019-11-05,220.8,221.78,218.47,218.64,213.3991,2525100,0.0,1.0
222,2019-11-04,219.7,220.69,218.57,219.87,214.5996,2538100,0.0,1.0
223,2019-11-01,215.26,217.89,214.75,217.39,212.1791,2112300,0.0,1.0
224,2019-10-31,215.15,215.36,211.32,213.38,208.2652,1876200,0.0,1.0
225,2019-10-30,217.02,217.05,213.81,215.81,210.6369,1584900,0.0,1.0
