,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,78.42,78.53,75.6,76.07,76.07,1066948,0.0,1.0
1,2020-09-18,80.29,81.97,79.51,79.91,79.91,1765716,0.0,1.0
2,2020-09-17,77.22,80.586,77.1,80.41,80.41,1257111,0.0,1.0
3,2020-09-16,76.78,80.01,76.65,78.51,78.51,1105517,0.0,1.0
4,2020-09-15,77.43,78.44,76.395,77.41,77.41,1169489,0.0,1.0
5,2020-09-14,78.73,80.425,77.1,77.18,77.18,1099914,0.0,1.0
6,2020-09-11,79.29,79.29,78.055,78.65,78.65,782183,0.0,1.0
7,2020-09-10,79.05,80.0,78.2,78.57,78.57,1098506,0.0,1.0
8,2020-09-09,78.5,79.5,76.77,78.37,78.37,1464067,0.0,1.0
9,2020-09-08,77.48,79.19,77.1578,78.09,78.09,869914,0.0,1.0
10,2020-09-04,80.71,81.0,78.2,79.055,79.055,613541,0.0,1.0
11,2020-09-03,82.65,83.26,79.26,80.01,80.01,755957,0.0,1.0
12,2020-09-02,82.93,83.1375,80.9,82.56,82.56,645974,0.0,1.0
13,2020-09-01,78.57,81.93,78.0,81.9,81.9,711420,0.0,1.0
14,2020-08-31,80.59,80.595,78.5,78.94,78.94,750455,0.0,1.0
15,2020-08-28,81.0,81.36,79.5,80.94,80.94,689127,0.0,1.0
16,2020-08-27,79.47,82.08,79.405,80.68,80.68,658286,0.0,1.0
17,2020-08-26,79.8,80.0,78.44,79.45,79.45,483115,0.0,1.0
18,2020-08-25,80.65,80.65,78.85,79.38,79.38,452828,0.0,1.0
19,2020-08-24,77.14,80.3,76.53,79.94,79.94,516990,0.0,1.0
20,2020-08-21,77.34,77.92,76.33,76.82,76.82,591126,0.0,1.0
21,2020-08-20,78.04,78.2,76.46,77.45,77.45,499966,0.0,1.0
22,2020-08-19,78.94,79.94,78.285,78.59,78.59,363283,0.0,1.0
23,2020-08-18,78.21,78.93,77.51,78.65,78.65,462943,0.0,1.0
24,2020-08-17,79.75,79.75,77.98,78.39,78.39,546577,0.0,1.0
25,2020-08-14,79.35,80.17,78.57,79.63,79.63,473404,0.0,1.0
26,2020-08-13,79.33,79.94,78.68,78.94,78.94,476863,0.0,1.0
27,2020-08-12,79.31,80.385,78.46,79.82,79.82,732596,0.0,1.0
28,2020-08-11,79.65,80.45,78.47,78.72,78.72,664878,0.0,1.0
29,2020-08-10,77.17,79.05,76.7039,78.97,78.97,787588,0.0,1.0
30,2020-08-07,76.48,76.76,75.59,76.75,76.75,543840,0.0,1.0
31,2020-08-06,77.38,77.66,76.54,76.89,76.89,707768,0.0,1.0
32,2020-08-05,75.39,77.42,75.38,77.36,77.36,982031,0.0,1.0
33,2020-08-04,74.25,75.22,73.9312,74.86,74.86,1140534,0.0,1.0
34,2020-08-03,72.96,74.92,72.28,74.87,74.87,1113053,0.0,1.0
35,2020-07-31,72.53,72.86,71.07,72.76,72.76,1111277,0.68,1.0
36,2020-07-30,73.33,73.88,72.51,73.3,72.6213,761418,0.0,1.0
37,2020-07-29,72.86,74.58,72.13,74.03,73.3445,1122956,0.0,1.0
38,2020-07-28,71.81,73.39,71.16,72.41,71.7395,1411371,0.0,1.0
39,2020-07-27,75.0365,75.3999,70.7801,71.84,71.1748,5159473,0.0,1.0
40,2020-07-24,80.24,80.8,77.02,77.59,76.8716,1653489,0.0,1.0
41,2020-07-23,79.56,80.8,79.12,79.8,79.0611,858478,0.0,1.0
42,2020-07-22,77.28,79.9,77.28,79.15,78.4171,689132,0.0,1.0
43,2020-07-21,79.03,80.73,78.6,78.83,78.1001,910800,0.0,1.0
44,2020-07-20,76.98,78.24,76.69,78.0,77.2778,762700,0.0,1.0
45,2020-07-17,77.83,78.96,77.05,77.49,76.7725,789400,0.0,1.0
46,2020-07-16,78.0,79.34,77.1,77.51,76.7923,599500,0.0,1.0
47,2020-07-15,75.4,78.68,75.14,78.33,77.6047,765200,0.0,1.0
48,2020-07-14,73.65,74.78,73.1,74.62,73.9291,589800,0.0,1.0
49,2020-07-13,75.0,75.43,72.76,73.61,72.9284,649300,0.0,1.0
50,2020-07-10,71.51,74.2,71.4,74.18,73.4931,670300,0.0,1.0
51,2020-07-09,73.1,73.49,71.01,71.5,70.838,1182700,0.0,1.0
52,2020-07-08,73.38,73.93,72.17,73.26,72.5817,595300,0.0,1.0
53,2020-07-07,74.64,74.67,73.16,73.54,72.8591,680000,0.0,1.0
54,2020-07-06,75.4,76.22,74.09,74.84,74.147,743600,0.0,1.0
55,2020-07-02,76.4,76.98,74.33,74.6,73.9093,692600,0.0,1.0
56,2020-07-01,74.69,75.92,74.38,74.69,73.9984,731600,0.0,1.0
57,2020-06-30,73.29,75.25,72.4,74.95,74.256,981400,0.0,1.0
58,2020-06-29,72.07,73.79,70.845,73.79,73.1068,1011767,0.0,1.0
59,2020-06-26,70.1,70.82,69.44,70.61,69.9562,3389700,0.0,1.0
60,2020-06-25,70.26,70.83,69.33,70.36,69.7085,1235900,0.0,1.0
61,2020-06-24,72.89,72.9,70.18,70.94,70.2831,999100,0.0,1.0
62,2020-06-23,74.73,74.73,73.12,73.77,73.0869,697700,0.0,1.0
63,2020-06-22,71.51,73.18,70.37,73.14,72.4628,1204900,0.0,1.0
64,2020-06-19,76.64,76.64,71.19,71.34,70.6794,3198300,0.0,1.0
65,2020-06-18,75.51,76.71,74.96,75.16,74.4641,755000,0.0,1.0
66,2020-06-17,77.33,77.57,75.87,76.65,75.9403,548700,0.0,1.0
67,2020-06-16,78.07,78.39,75.55,77.11,76.396,680900,0.0,1.0
68,2020-06-15,72.36,76.28,71.5,75.51,74.8108,856300,0.0,1.0
69,2020-06-12,73.58,74.54,72.14,74.3,73.612,800400,0.0,1.0
70,2020-06-11,73.5,73.67,70.37,71.08,70.4219,918800,0.0,1.0
71,2020-06-10,79.09,79.09,75.97,76.12,75.4152,813800,0.0,1.0
72,2020-06-09,79.84,80.54,77.33,79.21,78.4766,1110100,0.0,1.0
73,2020-06-08,81.78,83.99,81.55,83.92,83.143,1153000,0.0,1.0
74,2020-06-05,79.43,82.19,79.07,80.86,80.1113,1154500,0.0,1.0
75,2020-06-04,76.63,77.99,75.69,77.06,76.3465,927000,0.0,1.0
76,2020-06-03,74.29,77.3,74.25,77.19,76.4753,1307000,0.0,1.0
77,2020-06-02,73.12,74.82,72.91,73.32,72.6411,1050600,0.0,1.0
78,2020-06-01,73.56,74.21,72.35,72.66,71.9872,745400,0.0,1.0
79,2020-05-29,74.2,74.3,72.55,73.51,72.8294,1642000,0.0,1.0
80,2020-05-28,74.07,74.48,72.64,73.46,72.7798,1289000,0.0,1.0
81,2020-05-27,73.61,74.96,72.24,73.35,72.6708,1102400,0.0,1.0
82,2020-05-26,68.85,72.66,68.1,72.56,71.8881,2309300,0.0,1.0
83,2020-05-22,68.68,68.93,66.47,66.69,66.0725,1010100,0.0,1.0
84,2020-05-21,68.51,68.97,67.42,68.8,68.163,691400,0.0,1.0
85,2020-05-20,69.03,69.33,68.17,68.86,68.2224,677400,0.0,1.0
86,2020-05-19,68.67,69.22,67.37,67.97,67.3406,848100,0.0,1.0
87,2020-05-18,67.0,69.49,66.8,68.26,67.628,1264900,0.0,1.0
88,2020-05-15,64.2,65.28,62.85,64.8,64.2,1135100,0.0,1.0
89,2020-05-14,62.2,64.83,60.2,64.62,64.0217,1064700,0.0,1.0
90,2020-05-13,65.8,65.8,62.01,62.84,62.2581,1063900,0.0,1.0
91,2020-05-12,68.79,68.81,65.5,65.54,64.9331,819700,0.0,1.0
92,2020-05-11,69.09,69.46,67.5,68.6,67.9648,772700,0.0,1.0
93,2020-05-08,68.99,69.92,68.22,69.7,69.0546,719200,0.0,1.0
94,2020-05-07,66.95,68.93,66.82,68.38,67.7469,911900,0.0,1.0
95,2020-05-06,67.44,68.94,65.8,65.89,65.2799,1229400,0.0,1.0
96,2020-05-05,70.49,70.65,67.14,67.21,66.5877,1212700,0.0,1.0
97,2020-05-04,68.0,69.1,66.62,69.07,68.4305,1120000,0.0,1.0
98,2020-05-01,70.65,70.98,68.24,68.73,68.0936,1742400,0.0,1.0
99,2020-04-30,72.77,73.97,70.56,72.21,71.5414,1860600,0.68,1.0
100,2020-04-29,75.91,76.48,72.45,72.91,71.561,3835300,0.0,1.0
101,2020-04-28,78.46,80.49,77.3,77.86,76.4194,1926500,0.0,1.0
102,2020-04-27,75.7,77.4,75.6,76.76,75.3398,1045700,0.0,1.0
103,2020-04-24,73.45,75.26,71.75,74.87,73.4848,1540000,0.0,1.0
104,2020-04-23,74.11,74.69,72.68,72.76,71.4138,1209400,0.0,1.0
105,2020-04-22,73.66,74.85,73.23,74.15,72.7781,787300,0.0,1.0
106,2020-04-21,73.58,75.65,72.07,72.34,71.0016,1267700,0.0,1.0
107,2020-04-20,74.49,77.37,74.25,75.68,74.2798,1045800,0.0,1.0
108,2020-04-17,76.51,76.51,74.03,75.2,73.8086,1306700,0.0,1.0
109,2020-04-16,72.25,73.84,71.36,73.01,71.6592,1349700,0.0,1.0
