,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,9.18,9.28,8.83,8.89,8.89,10755049,0.0,1.0
1,2020-09-21,9.48,9.54,9.09,9.16,9.16,12605985,0.0,1.0
2,2020-09-18,9.72,9.845,9.64,9.69,9.69,19014113,0.0,1.0
3,2020-09-17,9.73,9.9152,9.66,9.79,9.79,8716343,0.0,1.0
4,2020-09-16,9.86,10.13,9.7936,9.89,9.89,9862945,0.15,1.0
5,2020-09-15,10.07,10.11,9.89,10.0,9.8506,12666942,0.0,1.0
6,2020-09-14,9.74,10.16,9.73,10.12,9.9688,12025941,0.0,1.0
7,2020-09-11,9.61,9.757,9.5,9.68,9.5354,8156664,0.0,1.0
8,2020-09-10,9.89,9.99,9.575,9.58,9.4369,7392660,0.0,1.0
9,2020-09-09,9.85,9.9,9.67,9.79,9.6437,9755785,0.0,1.0
10,2020-09-08,9.74,9.875,9.613,9.715,9.5699,13322364,0.0,1.0
11,2020-09-04,9.89,10.08,9.72,9.935,9.7866,9644130,0.0,1.0
12,2020-09-03,9.76,10.09,9.6,9.65,9.5058,7450268,0.0,1.0
13,2020-09-02,9.41,9.74,9.35,9.69,9.5452,10151929,0.0,1.0
14,2020-09-01,9.31,9.6,9.2526,9.44,9.299,6876987,0.0,1.0
15,2020-08-31,9.55,9.55,9.32,9.41,9.2694,8529806,0.0,1.0
16,2020-08-28,9.71,9.74,9.52,9.57,9.427,10208490,0.0,1.0
17,2020-08-27,9.39,9.71,9.37,9.64,9.496,5371465,0.0,1.0
18,2020-08-26,9.58,9.58,9.39,9.41,9.2694,5336454,0.0,1.0
19,2020-08-25,9.69,9.78,9.495,9.58,9.4369,10667133,0.0,1.0
20,2020-08-24,9.2,9.58,9.16,9.55,9.4073,10128327,0.0,1.0
21,2020-08-21,9.22,9.335,9.08,9.11,8.9739,7932468,0.0,1.0
22,2020-08-20,9.45,9.455,9.19,9.2,9.0625,7664812,0.0,1.0
23,2020-08-19,9.54,9.707,9.46,9.52,9.3778,7293773,0.0,1.0
24,2020-08-18,9.78,9.78,9.52,9.53,9.3876,4551132,0.0,1.0
25,2020-08-17,9.86,9.879,9.725,9.78,9.6339,5469201,0.0,1.0
26,2020-08-14,9.73,10.04,9.66,9.9,9.7521,5322330,0.0,1.0
27,2020-08-13,9.81,9.95,9.74,9.77,9.624,4153630,0.0,1.0
28,2020-08-12,10.29,10.385,9.8,9.97,9.821,6369924,0.0,1.0
29,2020-08-11,10.09,10.42,10.035,10.09,9.9393,7255725,0.0,1.0
30,2020-08-10,9.72,9.95,9.6699,9.87,9.7225,6664670,0.0,1.0
31,2020-08-07,9.23,9.68,9.17,9.66,9.5157,7202565,0.0,1.0
32,2020-08-06,9.3036,9.46,9.23,9.3,9.1611,4408926,0.0,1.0
33,2020-08-05,9.25,9.43,9.18,9.39,9.2497,6292892,0.0,1.0
34,2020-08-04,9.3,9.3,9.12,9.17,9.033,6545111,0.0,1.0
35,2020-08-03,9.37,9.375,9.165,9.265,9.1266,7791171,0.0,1.0
36,2020-07-31,9.18,9.29,9.09,9.27,9.1315,14092175,0.0,1.0
37,2020-07-30,9.22,9.33,9.02,9.31,9.1709,6761096,0.0,1.0
38,2020-07-29,9.09,9.475,9.02,9.45,9.3088,10358006,0.0,1.0
39,2020-07-28,9.22,9.4,9.12,9.13,8.9936,12542256,0.0,1.0
40,2020-07-27,9.6,9.62,9.24,9.27,9.1315,11633801,0.0,1.0
41,2020-07-24,9.76,9.825,9.545,9.6,9.4566,10270786,0.0,1.0
42,2020-07-23,9.46,9.8,9.34,9.7,9.5551,9209306,0.0,1.0
43,2020-07-22,9.14,9.2699,9.04,9.23,9.0921,6094233,0.0,1.0
44,2020-07-21,8.83,9.25,8.77,9.22,9.0823,9136029,0.0,1.0
45,2020-07-20,8.79,8.91,8.72,8.73,8.5996,5833338,0.0,1.0
46,2020-07-17,8.99,9.16,8.89,8.92,8.7867,9157314,0.0,1.0
47,2020-07-16,8.97,9.27,8.89,9.07,8.9345,6343545,0.0,1.0
48,2020-07-15,8.87,9.14,8.78,9.11,8.9739,8891121,0.0,1.0
49,2020-07-14,8.67,8.78,8.4,8.63,8.5011,19011240,0.0,1.0
50,2020-07-13,8.71,8.81,8.35,8.67,8.5405,9468467,0.0,1.0
51,2020-07-10,8.08,8.51,8.06,8.51,8.3829,8519230,0.0,1.0
52,2020-07-09,8.35,8.37,8.01,8.06,7.9396,10145128,0.0,1.0
53,2020-07-08,8.36,8.54,8.23,8.44,8.3139,8159339,0.0,1.0
54,2020-07-07,8.65,8.69,8.36,8.39,8.2647,10348861,0.0,1.0
55,2020-07-06,8.8,9.01,8.65,8.77,8.639,12276453,0.0,1.0
56,2020-07-02,8.94,9.01,8.55,8.6,8.4715,13713430,0.0,1.0
57,2020-07-01,9.02,9.13,8.57,8.64,8.5109,18736962,0.0,1.0
58,2020-06-30,8.75,9.12,8.66,9.04,8.9049,22709894,0.0,1.0
59,2020-06-29,9.04,9.105,8.75,8.87,8.7375,21560751,0.0,1.0
60,2020-06-26,9.61,9.61,8.78,8.8,8.6685,23500187,0.0,1.0
61,2020-06-25,9.5,9.93,9.44,9.89,9.7422,8499145,0.0,1.0
62,2020-06-24,10.04,10.05,9.51,9.54,9.3975,13394731,0.0,1.0
63,2020-06-23,10.3,10.45,10.16,10.2,10.0476,9562857,0.0,1.0
64,2020-06-22,10.18,10.28,10.01,10.12,9.9688,8338533,0.0,1.0
65,2020-06-19,10.32,10.39,9.87,10.29,10.1363,30329846,0.0,1.0
66,2020-06-18,9.98,10.33,9.88,10.16,10.0082,9694220,0.0,1.0
67,2020-06-17,10.37,10.38,10.08,10.12,9.9688,8631143,0.0,1.0
68,2020-06-16,10.42,10.53,9.97,10.28,10.1264,10490612,0.15,1.0
69,2020-06-15,9.47,10.21,9.39,10.12,9.8254,12984063,0.0,1.0
70,2020-06-12,10.03,10.1,9.53,9.89,9.6021,11398956,0.0,1.0
71,2020-06-11,9.82,9.97,9.43,9.48,9.2041,12517003,0.0,1.0
72,2020-06-10,10.87,11.01,10.38,10.4,10.0973,21210506,0.0,1.0
73,2020-06-09,10.94,11.17,10.77,11.0,10.6798,9279578,0.0,1.0
74,2020-06-08,11.36,11.46,11.01,11.35,11.0196,10438742,0.0,1.0
75,2020-06-05,11.37,11.68,10.85,10.99,10.6701,14563048,0.0,1.0
76,2020-06-04,9.83,10.47,9.7,10.47,10.1653,12353734,0.0,1.0
