,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,15.35,15.435,15.13,15.29,15.29,5156511,0.0,1.0
1,2020-09-18,15.77,15.875,15.505,15.67,15.67,14116529,0.0,1.0
2,2020-09-17,15.94,16.095,15.55,15.8,15.8,6030695,0.0,1.0
3,2020-09-16,15.81,16.44,15.745,16.21,16.21,6592931,0.0,1.0
4,2020-09-15,15.92,16.12,15.58,15.71,15.71,6808307,0.0,1.0
5,2020-09-14,15.55,15.84,15.39,15.78,15.78,4137077,0.0,1.0
6,2020-09-11,15.47,15.53,15.2,15.39,15.39,3955836,0.0,1.0
7,2020-09-10,15.52,15.655,15.22,15.28,15.28,2629709,0.0,1.0
8,2020-09-09,15.54,15.54,15.14,15.38,15.38,3071429,0.0,1.0
9,2020-09-08,15.25,15.69,15.19,15.52,15.52,4169453,0.0,1.0
10,2020-09-04,15.7,15.8,15.24,15.41,15.41,5482516,0.0,1.0
11,2020-09-03,15.94,16.145,15.42,15.51,15.51,3791460,0.0,1.0
12,2020-09-02,15.7,15.99,15.58,15.92,15.92,4859563,0.0,1.0
13,2020-09-01,15.24,15.6,15.13,15.54,15.54,4703154,0.0,1.0
14,2020-08-31,15.7,15.7,15.19,15.29,15.29,4902336,0.0,1.0
15,2020-08-28,15.81,15.895,15.46,15.72,15.72,3097849,0.0,1.0
16,2020-08-27,15.74,16.0,15.68,15.73,15.73,3340231,0.0,1.0
17,2020-08-26,15.87,15.99,15.56,15.57,15.57,4704803,0.0,1.0
18,2020-08-25,16.18,16.28,15.845,16.01,16.01,4519137,0.0,1.0
19,2020-08-24,15.72,16.06,15.62,16.04,16.04,4925959,0.0,1.0
20,2020-08-21,15.74,15.94,15.51,15.68,15.68,3514450,0.0,1.0
21,2020-08-20,15.7,15.85,15.55,15.65,15.65,3107719,0.0,1.0
22,2020-08-19,15.7,16.1,15.66,15.78,15.78,4755923,0.0,1.0
23,2020-08-18,15.77,15.885,15.46,15.76,15.76,3792560,0.0,1.0
24,2020-08-17,15.78,15.9,15.59,15.84,15.84,4196832,0.0,1.0
25,2020-08-14,15.58,15.895,15.45,15.77,15.77,3102350,0.0,1.0
26,2020-08-13,15.86,15.87,15.45,15.6,15.6,5504266,0.0,1.0
27,2020-08-12,16.12,16.18,15.64,15.97,15.97,5509732,0.0,1.0
28,2020-08-11,16.56,16.755,15.905,15.95,15.95,6786633,0.0,1.0
29,2020-08-10,15.0,16.025,14.93,15.78,15.78,10471962,0.15,1.0
30,2020-08-07,14.27,15.05,14.1625,15.04,14.8984,7000616,0.0,1.0
31,2020-08-06,14.79,14.84,14.24,14.27,14.1356,6645695,0.0,1.0
32,2020-08-05,14.35,14.78,14.35,14.74,14.6012,4792337,0.0,1.0
33,2020-08-04,14.3,14.61,14.135,14.26,14.1257,6068182,0.0,1.0
34,2020-08-03,14.23,14.52,14.12,14.32,14.1852,8092522,0.0,1.0
35,2020-07-31,14.4,14.56,13.86,14.13,13.9969,19984108,0.0,1.0
36,2020-07-30,15.05,15.6,14.01,14.26,14.1257,16741645,0.0,1.0
37,2020-07-29,14.31,14.76,14.2442,14.64,14.5021,6063571,0.0,1.0
