,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,143.9,145.92,142.3,143.61,143.61,365079,0.0,1.0
1,2020-09-21,146.7,147.44,142.69,143.9,143.9,477319,0.0,1.0
2,2020-09-18,150.0,151.52,148.78,149.18,149.18,670808,0.0,1.0
3,2020-09-17,146.01,151.19,145.47,150.59,150.59,383221,0.0,1.0
4,2020-09-16,145.17,150.1,143.97,147.94,147.94,360488,0.0,1.0
5,2020-09-15,146.77,147.135,144.0,145.27,145.27,448045,0.0,1.0
6,2020-09-14,148.0,148.1098,144.06,146.85,146.85,602778,0.0,1.0
7,2020-09-11,138.1,148.24,138.1,147.4,147.4,837503,0.0,1.0
8,2020-09-10,142.88,144.26,137.6379,137.83,137.83,794117,0.0,1.0
9,2020-09-09,142.42,143.81,138.61,141.35,141.35,575698,0.0,1.0
10,2020-09-08,147.09,147.945,141.35,141.76,141.76,899387,0.0,1.0
11,2020-09-04,151.53,153.48,146.82,147.51,147.51,598675,0.0,1.0
12,2020-09-03,153.08,154.4299,147.84,150.12,150.12,618627,0.0,1.0
13,2020-09-02,150.29,152.89,148.8,151.35,151.35,738973,0.0,1.0
14,2020-09-01,150.09,150.77,147.63,150.33,150.33,740433,0.0,1.0
15,2020-08-31,151.76,152.74,149.69,151.52,151.52,636550,0.0,1.0
16,2020-08-28,153.74,154.09,151.45,152.46,152.46,413616,0.0,1.0
17,2020-08-27,153.25,156.3,152.5,153.44,153.44,470114,1.03,1.0
18,2020-08-26,158.09,158.52,153.5073,153.89,152.8639,459841,0.0,1.0
19,2020-08-25,162.81,163.17,158.125,158.94,157.8802,261301,0.0,1.0
20,2020-08-24,159.15,162.3,157.61,162.18,161.0986,309072,0.0,1.0
21,2020-08-21,159.1,161.48,158.07,158.63,157.5723,331800,0.0,1.0
22,2020-08-20,161.51,161.98,159.41,159.54,158.4762,260101,0.0,1.0
23,2020-08-19,161.98,164.4899,161.98,162.77,161.6847,227988,0.0,1.0
24,2020-08-18,162.66,163.41,161.443,162.29,161.2079,333896,0.0,1.0
25,2020-08-17,166.74,166.89,162.6531,163.09,162.0025,352509,0.0,1.0
26,2020-08-14,163.62,169.0,163.5,166.89,165.7772,217023,0.0,1.0
27,2020-08-13,163.11,165.8099,161.855,164.13,163.0356,381284,0.0,1.0
28,2020-08-12,170.02,170.02,163.0,164.17,163.0753,416566,0.0,1.0
29,2020-08-11,172.23,174.5,168.39,168.54,167.4162,231505,0.0,1.0
30,2020-08-10,167.89,170.9935,165.87,169.13,168.0022,512270,0.0,1.0
31,2020-08-07,161.46,169.77,161.44,167.9,166.7804,550446,0.0,1.0
32,2020-08-06,171.01,174.415,160.0,162.8,161.7145,1171074,0.0,1.0
33,2020-08-05,175.44,178.67,174.05,178.67,177.4786,454129,0.0,1.0
34,2020-08-04,175.41,176.79,172.85,173.54,172.3828,278149,0.0,1.0
35,2020-08-03,174.03,176.97,173.45,175.34,174.1708,224303,0.0,1.0
36,2020-07-31,174.4,175.62,171.24,173.71,172.5517,313075,0.0,1.0
37,2020-07-30,173.67,176.98,172.9666,174.79,173.6245,177168,0.0,1.0
