,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,85.07,85.83,83.95,85.24,85.24,3812376,0.0,1.0
1,2020-09-21,87.2,87.3,83.52,85.48,85.48,5031539,0.0,1.0
2,2020-09-18,90.34,91.34,89.27,89.64,89.64,5451496,0.0,1.0
3,2020-09-17,92.68,93.1,90.62,91.17,91.17,3427499,0.0,1.0
4,2020-09-16,92.46,95.08,91.64,94.03,94.03,3831355,0.0,1.0
5,2020-09-15,92.45,93.78,91.79,91.94,91.94,1945275,0.0,1.0
6,2020-09-14,88.18,92.57,88.18,92.31,92.31,2139296,0.0,1.0
7,2020-09-11,89.61,89.635,86.21,87.37,87.37,1974467,0.0,1.0
8,2020-09-10,90.9,93.14,89.27,89.36,89.36,1774117,0.0,1.0
9,2020-09-09,91.7,91.88,90.13,90.39,90.39,2237962,0.0,1.0
10,2020-09-08,90.12,93.42,89.68,91.9,91.9,2781571,0.0,1.0
11,2020-09-04,92.68,93.39,90.75,90.94,90.94,3776024,0.0,1.0
12,2020-09-03,91.93,93.85,90.31,91.3,91.3,2541046,0.0,1.0
13,2020-09-02,91.89,91.97,90.38,91.34,91.34,3952749,0.0,1.0
14,2020-09-01,89.52,92.16,89.01,91.71,91.71,1712614,0.0,1.0
15,2020-08-31,91.61,91.69,89.48,90.36,90.36,3461786,0.0,1.0
16,2020-08-28,89.21,92.06,89.11,91.73,91.73,4251608,0.0,1.0
17,2020-08-27,87.66,89.2927,87.585,88.8,88.8,3373196,0.0,1.0
18,2020-08-26,88.21,88.21,86.7,86.8,86.8,2210255,0.0,1.0
19,2020-08-25,89.72,90.61,88.27,88.44,88.44,2053319,0.0,1.0
20,2020-08-24,87.85,89.21,86.8,88.4,88.4,2468661,0.0,1.0
21,2020-08-21,85.5,87.44,85.16,87.35,87.35,2318538,0.0,1.0
22,2020-08-20,83.47,85.71,83.12,85.1,85.1,2274405,0.0,1.0
23,2020-08-19,84.6,85.4,83.88,84.49,84.49,2010743,0.0,1.0
24,2020-08-18,85.01,85.22,83.36,84.07,84.07,1806633,0.0,1.0
25,2020-08-17,86.07,86.2,84.195,84.98,84.98,2322419,0.0,1.0
26,2020-08-14,85.89,86.84,85.25,86.0,86.0,1899780,0.0,1.0
27,2020-08-13,85.25,87.0523,84.26,85.5,85.5,1721135,0.0,1.0
28,2020-08-12,88.61,88.7,85.36,85.89,85.89,2169697,0.0,1.0
29,2020-08-11,87.55,88.46,86.45,87.02,87.02,5012172,0.0,1.0
30,2020-08-10,84.53,87.22,84.2,86.2,86.2,3588532,0.0,1.0
31,2020-08-07,82.35,83.86,81.21,83.7,83.7,3257136,0.0,1.0
32,2020-08-06,79.3,83.6,78.03,82.7,82.7,5000336,0.0,1.0
33,2020-08-05,79.61,80.03,77.83,80.0,80.0,3932789,0.0,1.0
34,2020-08-04,74.8,78.42,74.47,78.32,78.32,2856738,0.0,1.0
35,2020-08-03,74.4,75.62,73.5,74.74,74.74,1965751,0.0,1.0
36,2020-07-31,75.68,75.76,74.02,75.05,75.05,4115075,0.0,1.0
37,2020-07-30,76.5,76.96,75.38,76.14,76.14,2288581,0.0,1.0
38,2020-07-29,77.25,78.01,76.93,77.39,77.39,1605058,0.0,1.0
39,2020-07-28,77.02,77.58,76.5,76.67,76.67,2194787,0.0,1.0
40,2020-07-27,76.55,77.45,75.36,77.34,77.34,2389791,0.0,1.0
41,2020-07-24,78.42,78.5,76.93,77.43,77.43,1257384,0.0,1.0
42,2020-07-23,78.72,79.23,77.11,78.86,78.86,2150342,0.0,1.0
43,2020-07-22,79.61,80.35,78.79,79.62,79.62,2584135,0.0,1.0
44,2020-07-21,79.31,80.4,78.54,80.12,80.12,2086819,0.0,1.0
45,2020-07-20,79.44,80.32,77.53,78.17,78.17,2103476,0.0,1.0
46,2020-07-17,80.67,80.69,78.51,79.9,79.9,2268600,0.0,1.0
47,2020-07-16,79.8,81.22,78.96,80.89,80.89,2863200,0.0,1.0
48,2020-07-15,76.6,81.48,76.01,80.92,80.92,4625300,0.0,1.0
49,2020-07-14,73.21,73.54,71.86,73.51,73.51,2448700,0.0,1.0
50,2020-07-13,75.55,76.26,73.55,73.58,73.58,2983400,0.0,1.0
51,2020-07-10,73.83,75.27,73.5,75.24,75.24,2168300,0.0,1.0
52,2020-07-09,75.41,75.59,72.52,74.13,74.13,2807900,0.0,1.0
53,2020-07-08,74.3,75.09,73.4,75.09,75.09,3596800,0.0,1.0
54,2020-07-07,75.26,75.46,73.75,74.17,74.17,2761200,0.0,1.0
55,2020-07-06,76.08,76.35,74.98,76.24,76.24,2941700,0.0,1.0
56,2020-07-02,76.79,76.98,74.13,74.52,74.52,1766300,0.0,1.0
57,2020-07-01,74.68,76.53,74.12,74.44,74.44,3177400,0.0,1.0
58,2020-06-30,73.55,73.94,72.02,73.45,73.45,4377300,0.0,1.0
59,2020-06-29,71.52,73.92,70.11,73.92,73.92,3242400,0.0,1.0
60,2020-06-26,72.19,72.3,69.83,71.16,71.16,9989349,0.0,1.0
61,2020-06-25,72.49,72.73,70.8066,72.51,72.51,3999708,0.0,1.0
62,2020-06-24,75.0,75.0,71.59,73.19,73.19,3776673,0.0,1.0
63,2020-06-23,76.74,76.95,75.16,75.68,75.68,3952867,0.0,1.0
64,2020-06-22,75.95,76.805,74.83,76.08,76.08,1949470,0.0,1.0
65,2020-06-19,79.23,79.26,75.39,76.17,76.17,4260939,0.0,1.0
66,2020-06-18,75.74,79.14,75.43,78.16,78.16,3897242,0.0,1.0
67,2020-06-17,77.86,78.47,75.85,76.42,76.42,3457438,0.0,1.0
68,2020-06-16,81.29,81.74,76.725,78.25,78.25,3103885,0.0,1.0
69,2020-06-15,74.54,78.43,73.85,77.48,77.48,3402890,0.0,1.0
