,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,160.855,163.0,160.12,162.68,162.68,2391580,0.0,1.0
1,2020-09-21,164.82,165.18,158.5941,161.37,161.37,4459569,0.0,1.0
2,2020-09-18,169.48,170.47,167.7,168.7,168.7,4908245,0.0,1.0
3,2020-09-17,168.04,171.45,166.71,170.34,170.34,2661506,0.0,1.0
4,2020-09-16,169.29,171.36,168.476,170.0,170.0,3153636,0.0,1.0
5,2020-09-15,169.27,169.99,168.0687,168.3,168.3,1851506,0.0,1.0
6,2020-09-14,168.01,169.54,167.37,168.47,168.47,2134219,0.0,1.0
7,2020-09-11,164.51,167.45,164.27,166.45,166.45,2116896,0.0,1.0
8,2020-09-10,167.3,167.3,163.82,164.27,164.27,2815199,0.0,1.0
9,2020-09-09,165.25,167.55,164.86,165.75,165.75,2807776,0.0,1.0
10,2020-09-08,165.19,166.435,163.2971,164.27,164.27,2796785,0.0,1.0
11,2020-09-04,168.72,169.66,164.58,166.69,166.69,3326851,0.0,1.0
12,2020-09-03,173.37,173.8203,165.0624,166.3,166.3,3527698,0.0,1.0
13,2020-09-02,168.73,172.93,167.915,172.47,172.47,4111867,0.0,1.0
14,2020-09-01,163.79,168.155,163.5,167.97,167.97,3975061,0.0,1.0
15,2020-08-31,168.58,168.59,164.69,165.55,165.55,4561896,0.0,1.0
16,2020-08-28,166.32,168.7,165.46,168.38,168.38,13012086,0.0,1.0
17,2020-08-27,166.19,168.69,165.09,165.99,165.99,4281073,0.0,1.0
18,2020-08-26,164.8,166.4258,163.34,165.31,165.31,3466570,0.0,1.0
19,2020-08-25,164.34,166.9994,163.52,164.53,164.53,7400493,0.0,1.0
20,2020-08-24,158.1,159.45,156.51,159.37,159.37,2087009,0.0,1.0
21,2020-08-21,155.96,157.76,155.96,157.5,157.5,2507892,0.0,1.0
22,2020-08-20,155.5,157.02,155.21,156.17,156.17,1600585,0.0,1.0
23,2020-08-19,157.57,158.13,156.16,156.85,156.85,2098217,0.0,1.0
24,2020-08-18,158.99,159.76,157.22,157.38,157.38,1869295,0.0,1.0
25,2020-08-17,160.03,160.88,158.05,158.76,158.76,2816713,0.0,1.0
26,2020-08-14,158.0,160.87,157.96,160.28,160.28,2845057,0.0,1.0
27,2020-08-13,157.68,159.65,157.5695,158.98,158.98,2575155,0.9,1.0
28,2020-08-12,162.52,162.815,158.99,160.07,159.1689,2670107,0.0,1.0
29,2020-08-11,160.72,163.25,160.1,160.28,159.3777,3773736,0.0,1.0
30,2020-08-10,155.16,159.875,155.16,159.43,158.5325,2859020,0.0,1.0
