,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,9.28,9.36,9.17,9.31,9.31,9638132,0.0,1.0
1,2020-09-21,9.3,9.32,9.095,9.23,9.23,17300380,0.0,1.0
2,2020-09-18,9.61,9.63,9.425,9.5,9.5,15150963,0.0,1.0
3,2020-09-17,9.32,9.64,9.29,9.63,9.63,10690467,0.0,1.0
4,2020-09-16,9.36,9.67,9.29,9.47,9.47,12250810,0.0,1.0
5,2020-09-15,9.31,9.44,9.265,9.28,9.28,6831325,0.0,1.0
6,2020-09-14,9.32,9.47,9.27,9.37,9.37,10829071,0.0,1.0
7,2020-09-11,9.27,9.275,9.1,9.24,9.24,10212859,0.0,1.0
8,2020-09-10,9.48,9.55,9.18,9.22,9.22,9992992,0.0,1.0
9,2020-09-09,9.58,9.58,9.33,9.46,9.46,10452404,0.0,1.0
10,2020-09-08,9.35,9.68,9.2803,9.43,9.43,13464320,0.12,1.0
11,2020-09-04,9.6,9.77,9.42,9.59,9.4695,14867835,0.0,1.0
12,2020-09-03,9.85,10.1,9.45,9.52,9.52,11362058,0.0,1.0
13,2020-09-02,9.51,9.9,9.48,9.83,9.83,12537069,0.0,1.0
14,2020-09-01,9.67,9.71,9.375,9.47,9.47,13316121,0.0,1.0
15,2020-08-31,9.83,9.9,9.6,9.67,9.67,9872996,0.0,1.0
16,2020-08-28,9.59,9.85,9.5418,9.83,9.83,10165579,0.0,1.0
17,2020-08-27,9.67,9.71,9.42,9.57,9.57,10944378,0.0,1.0
18,2020-08-26,10.1,10.28,9.62,9.67,9.67,27301760,0.0,1.0
19,2020-08-25,9.63,9.75,9.305,9.33,9.33,15471074,0.0,1.0
20,2020-08-24,9.4,9.8,9.4,9.62,9.62,10576453,0.0,1.0
21,2020-08-21,9.24,9.36,9.12,9.33,9.33,8433815,0.0,1.0
22,2020-08-20,9.33,9.38,9.21,9.26,9.26,6993991,0.0,1.0
23,2020-08-19,9.51,9.635,9.4,9.42,9.42,5024164,0.0,1.0
24,2020-08-18,9.4,9.53,9.36,9.45,9.45,6092762,0.0,1.0
25,2020-08-17,9.71,9.72,9.43,9.46,9.46,8926455,0.0,1.0
26,2020-08-14,9.55,9.75,9.41,9.67,9.67,8041888,0.0,1.0
27,2020-08-13,10.01,10.03,9.55,9.61,9.61,11949518,0.0,1.0
28,2020-08-12,10.28,10.32,10.02,10.14,10.14,7469878,0.0,1.0
29,2020-08-11,10.38,10.6,10.1,10.16,10.16,9680149,0.0,1.0
30,2020-08-10,10.11,10.345,10.11,10.21,10.21,12021466,0.0,1.0
31,2020-08-07,10.09,10.14,9.97,10.09,10.09,7961138,0.0,1.0
32,2020-08-06,9.87,10.24,9.84,10.11,10.11,11468221,0.0,1.0
33,2020-08-05,10.05,10.14,9.87,9.96,9.96,6742284,0.0,1.0
34,2020-08-04,9.89,10.12,9.87,9.96,9.96,7913755,0.0,1.0
35,2020-08-03,9.87,10.0,9.71,9.89,9.89,9724086,0.0,1.0
36,2020-07-31,9.6,9.9,9.45,9.87,9.87,24919644,0.0,1.0
37,2020-07-30,9.59,9.67,9.35,9.62,9.62,9499836,0.0,1.0
38,2020-07-29,9.5,9.8161,9.4,9.71,9.71,10821017,0.0,1.0
39,2020-07-28,9.71,9.74,9.48,9.48,9.48,7919322,0.0,1.0
40,2020-07-27,9.57,9.77,9.47,9.75,9.75,5465095,0.0,1.0
41,2020-07-24,9.8,9.845,9.62,9.62,9.62,9185350,0.0,1.0
42,2020-07-23,9.76,9.94,9.645,9.82,9.82,7476313,0.0,1.0
43,2020-07-22,9.62,9.81,9.55,9.75,9.75,9564826,0.0,1.0
44,2020-07-21,9.6,9.83,9.59,9.66,9.66,13268300,0.0,1.0
45,2020-07-20,9.6,9.655,9.375,9.55,9.55,7194800,0.0,1.0
46,2020-07-17,9.76,9.79,9.605,9.67,9.67,7209900,0.0,1.0
47,2020-07-16,9.58,9.95,9.54,9.72,9.72,11771400,0.0,1.0
48,2020-07-15,9.76,9.875,9.535,9.64,9.64,8162600,0.0,1.0
49,2020-07-14,9.39,9.585,9.255,9.51,9.51,8845400,0.0,1.0
50,2020-07-13,9.38,9.58,9.095,9.44,9.44,13827800,0.0,1.0
51,2020-07-10,9.0,9.275,8.97,9.26,9.26,7315100,0.0,1.0
52,2020-07-09,9.21,9.23,8.95,8.98,8.98,9402800,0.0,1.0
53,2020-07-08,9.13,9.25,8.97,9.21,9.21,8795900,0.0,1.0
54,2020-07-07,9.48,9.52,9.055,9.07,9.07,10733300,0.0,1.0
55,2020-07-06,9.6,9.67,9.45,9.59,9.59,8967700,0.0,1.0
56,2020-07-02,9.59,9.745,9.38,9.41,9.41,9605700,0.0,1.0
57,2020-07-01,9.72,9.76,9.35,9.42,9.42,9192700,0.0,1.0
58,2020-06-30,9.54,9.76,9.51,9.73,9.73,10092000,0.0,1.0
59,2020-06-29,9.58,9.64,9.39,9.58,9.58,9436121,0.0,1.0
60,2020-06-26,9.4,9.52,9.321,9.5,9.5,13084400,0.0,1.0
61,2020-06-25,9.19,9.52,8.97,9.47,9.47,14374000,0.0,1.0
62,2020-06-24,9.56,9.59,9.25,9.27,9.27,16171700,0.0,1.0
63,2020-06-23,9.86,10.0,9.65,9.67,9.67,16645400,0.0,1.0
64,2020-06-22,9.79,9.815,9.61,9.71,9.71,11991600,0.0,1.0
65,2020-06-19,10.34,10.37,9.74,9.82,9.82,26732700,0.0,1.0
66,2020-06-18,9.94,10.245,9.84,10.14,10.14,13211300,0.0,1.0
67,2020-06-17,10.44,10.49,10.0,10.04,10.04,15293100,0.0,1.0
68,2020-06-16,10.61,10.74,10.32,10.41,10.41,12433400,0.0,1.0
69,2020-06-15,9.89,10.285,9.84,10.21,10.21,15890400,0.0,1.0
70,2020-06-12,10.19,10.27,9.81,10.15,10.15,14444900,0.0,1.0
71,2020-06-11,10.06,10.21,9.69,9.75,9.75,21903500,0.0,1.0
72,2020-06-10,10.91,10.99,10.6,10.7,10.7,12908400,0.0,1.0
73,2020-06-09,11.2,11.21,10.92,11.02,11.02,13803600,0.12,1.0
74,2020-06-08,11.46,11.71,11.28,11.59,11.4652,17123900,0.0,1.0
75,2020-06-05,11.17,11.38,10.96,11.11,10.9903,16560200,0.0,1.0
76,2020-06-04,10.2,10.53,10.13,10.48,10.3671,13596000,0.0,1.0
77,2020-06-03,10.03,10.445,9.98,10.34,10.2286,11925600,0.0,1.0
78,2020-06-02,9.87,9.99,9.8,9.95,9.8428,10944300,0.0,1.0
79,2020-06-01,9.67,9.93,9.55,9.76,9.6549,11042300,0.0,1.0
80,2020-05-29,9.52,9.755,9.38,9.71,9.6054,23840800,0.0,1.0
81,2020-05-28,9.76,9.83,9.47,9.59,9.4867,16005300,0.0,1.0
82,2020-05-27,9.55,9.76,9.47,9.76,9.6549,14601600,0.0,1.0
83,2020-05-26,9.45,9.55,9.33,9.42,9.3185,22433200,0.0,1.0
84,2020-05-22,9.4,9.66,9.03,9.17,9.0712,28856500,0.0,1.0
85,2020-05-21,10.25,10.45,10.205,10.36,10.2484,11153900,0.0,1.0
86,2020-05-20,10.1,10.3,10.045,10.28,10.1693,7696000,0.0,1.0
87,2020-05-19,9.93,10.19,9.66,10.04,9.9318,8220800,0.0,1.0
