,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,18.42,18.59,18.27,18.44,18.44,8148616,0.0,1.0
1,2020-09-21,18.52,18.58,18.09,18.34,18.34,11370722,0.0,1.0
2,2020-09-18,19.09,19.25,18.875,18.95,18.95,21729615,0.0,1.0
3,2020-09-17,19.14,19.26,18.885,19.14,19.14,8434111,0.0,1.0
4,2020-09-16,19.43,19.755,19.37,19.41,19.41,9704894,0.0,1.0
5,2020-09-15,19.43,19.755,19.245,19.26,19.26,8732675,0.0,1.0
6,2020-09-14,19.5,19.63,19.28,19.33,19.33,12678129,0.0,1.0
7,2020-09-11,19.19,19.465,19.035,19.29,19.29,10224677,0.0,1.0
8,2020-09-10,19.78,19.84,18.975,19.01,19.01,10408667,0.0,1.0
9,2020-09-09,19.51,19.83,19.45,19.7,19.7,10103406,0.0,1.0
10,2020-09-08,18.87,19.98,18.73,19.45,19.45,17584277,0.1762,1.0
11,2020-09-04,19.25,19.5,18.92,19.23,19.0574,10339365,0.0,1.0
12,2020-09-03,19.67,20.045,19.11,19.3,19.1267,12562435,0.0,1.0
13,2020-09-02,19.38,19.9,19.3326,19.84,19.6619,10325855,0.0,1.0
14,2020-09-01,19.53,19.55,19.055,19.26,19.0871,12852190,0.0,1.0
15,2020-08-31,19.8,20.17,19.55,19.55,19.3745,18537607,0.0,1.0
16,2020-08-28,19.28,20.18,18.8501,19.85,19.6718,22607772,0.0,1.0
17,2020-08-27,18.5,18.8645,18.35,18.7,18.5321,14543357,0.0,1.0
18,2020-08-26,18.5,18.58,18.3,18.33,18.1654,10460973,0.0,1.0
19,2020-08-25,18.72,18.795,18.3,18.44,18.2744,7465111,0.0,1.0
20,2020-08-24,18.42,18.83,18.42,18.65,18.4826,5669992,0.0,1.0
21,2020-08-21,18.11,18.3,17.95,18.23,18.0663,7473881,0.0,1.0
22,2020-08-20,18.0,18.215,17.97,18.15,17.9871,5865496,0.0,1.0
23,2020-08-19,18.3,18.49,18.09,18.14,17.9771,6196990,0.0,1.0
24,2020-08-18,17.94,18.27,17.81,18.24,18.0762,8279034,0.0,1.0
25,2020-08-17,18.24,18.325,17.9,17.95,17.7888,12899784,0.0,1.0
26,2020-08-14,18.28,18.35,18.035,18.18,18.0168,11523025,0.0,1.0
27,2020-08-13,18.55,18.72,18.35,18.38,18.215,9263166,0.0,1.0
28,2020-08-12,18.81,18.86,18.4,18.8,18.6312,9132406,0.0,1.0
29,2020-08-11,19.0,19.43,18.48,18.57,18.4033,10594017,0.0,1.0
30,2020-08-10,18.5,19.04,18.49,18.98,18.8096,8436357,0.0,1.0
31,2020-08-07,18.24,18.47,18.16,18.47,18.3042,6907718,0.0,1.0
32,2020-08-06,17.85,18.36,17.835,18.27,18.106,8267219,0.0,1.0
33,2020-08-05,18.05,18.22,17.875,17.97,17.8087,9827616,0.0,1.0
34,2020-08-04,17.79,18.025,17.6882,17.89,17.7294,8697136,0.0,1.0
35,2020-08-03,17.59,17.88,17.38,17.77,17.6105,7614312,0.0,1.0
36,2020-07-31,17.28,17.63,17.15,17.58,17.4222,14608551,0.0,1.0
37,2020-07-30,16.91,17.3,16.73,17.24,17.0852,8938720,0.0,1.0
38,2020-07-29,16.81,17.21,16.77,17.08,16.9267,12325942,0.0,1.0
39,2020-07-28,17.77,17.87,16.655,16.7,16.5501,19905960,0.0,1.0
40,2020-07-27,17.59,17.865,17.46,17.81,17.6501,9427338,0.0,1.0
41,2020-07-24,17.56,17.65,17.33,17.5,17.3429,8019458,0.0,1.0
42,2020-07-23,17.7,17.93,17.53,17.66,17.5015,7281274,0.0,1.0
