,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,10.53,10.62,10.34,10.4,10.4,9711090,0.0,1.0
1,2020-09-21,10.92,10.92,10.37,10.49,10.49,12074207,0.0,1.0
2,2020-09-18,11.59,11.6018,11.13,11.15,11.15,13427986,0.0,1.0
3,2020-09-17,11.86,11.91,11.55,11.65,11.65,8687226,0.0,1.0
4,2020-09-16,12.12,12.185,11.775,12.06,12.06,11202344,0.0,1.0
5,2020-09-15,11.88,12.25,11.84,12.02,12.02,14812094,0.0,1.0
6,2020-09-14,11.26,11.93,11.21,11.92,11.92,10404530,0.0,1.0
7,2020-09-11,11.42,11.43,10.885,11.13,11.13,7320783,0.0,1.0
8,2020-09-10,11.68,11.87,11.38,11.4,11.4,10075102,0.0,1.0
9,2020-09-09,11.7,11.72,11.47,11.65,11.65,11963755,0.0,1.0
10,2020-09-08,11.79,11.865,11.455,11.64,11.64,8658590,0.0,1.0
11,2020-09-04,11.75,11.995,11.68,11.94,11.94,7350739,0.0,1.0
12,2020-09-03,11.51,11.83,11.445,11.57,11.57,7166259,0.0,1.0
13,2020-09-02,11.26,11.42,11.15,11.42,11.42,5374305,0.0,1.0
14,2020-09-01,11.08,11.38,10.97,11.28,11.28,7919352,0.0,1.0
15,2020-08-31,11.64,11.66,11.23,11.23,11.23,8119358,0.0,1.0
16,2020-08-28,11.46,11.72,11.29,11.69,11.69,5823668,0.0,1.0
17,2020-08-27,11.04,11.415,11.0,11.33,11.33,6192967,0.0,1.0
18,2020-08-26,11.23,11.265,11.0,11.01,11.01,5328142,0.0,1.0
19,2020-08-25,11.21,11.4,11.095,11.3,11.3,6870148,0.0,1.0
20,2020-08-24,10.65,11.1,10.515,11.09,11.09,5954699,0.0,1.0
21,2020-08-21,10.77,10.835,10.54,10.6,10.6,6159648,0.0,1.0
22,2020-08-20,10.69,10.89,10.62,10.74,10.74,6061764,0.0,1.0
23,2020-08-19,10.73,10.95,10.66,10.79,10.79,4909339,0.0,1.0
24,2020-08-18,10.87,10.94,10.66,10.78,10.78,8166646,0.0,1.0
25,2020-08-17,11.27,11.3,10.67,10.89,10.89,10183479,0.0,1.0
26,2020-08-14,11.2,11.42,11.17,11.25,11.25,6201553,0.0,1.0
27,2020-08-13,11.49,11.71,11.23,11.27,11.27,6140765,0.0,1.0
28,2020-08-12,11.79,11.86,11.375,11.57,11.57,8261230,0.0,1.0
29,2020-08-11,12.24,12.49,11.605,11.67,11.67,9951114,0.0,1.0
30,2020-08-10,11.6,11.945,11.525,11.88,11.88,9891227,0.0,1.0
31,2020-08-07,10.67,11.53,10.62,11.5,11.5,13942319,0.0,1.0
32,2020-08-06,10.79,10.945,10.68,10.76,10.76,8427370,0.0,1.0
33,2020-08-05,11.06,11.1,10.76,10.89,10.89,8643483,0.0,1.0
34,2020-08-04,10.23,11.465,10.2,10.91,10.91,34284661,0.0,1.0
35,2020-08-03,10.67,10.67,10.3,10.31,10.31,9115273,0.0,1.0
36,2020-07-31,10.76,10.86,10.25,10.78,10.78,18973378,0.0,1.0
37,2020-07-30,10.78,10.89,10.61,10.84,10.84,11190337,0.0,1.0
38,2020-07-29,10.77,11.035,10.54,11.02,11.02,9742579,0.0,1.0
39,2020-07-28,10.28,10.635,10.26,10.52,10.52,7402011,0.0,1.0
40,2020-07-27,10.5,10.51,10.145,10.32,10.32,11145523,0.0,1.0
41,2020-07-24,10.5,10.63,10.32,10.5,10.5,9623156,0.0,1.0
