,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,136.98,138.3082,136.54,137.43,137.43,617612,0.0,1.0
1,2020-09-21,138.0,138.67,135.01,137.0,137.0,1291215,0.0,1.0
2,2020-09-18,140.87,141.52,138.12,138.92,138.92,1567924,0.0,1.0
3,2020-09-17,142.55,142.55,139.56,140.5,140.5,857724,0.0,1.0
4,2020-09-16,145.25,146.08,143.16,143.19,143.19,629194,0.0,1.0
5,2020-09-15,144.68,146.365,143.75,144.34,144.34,882319,0.0,1.0
6,2020-09-14,146.15,146.8,144.48,144.5,144.5,585604,0.0,1.0
7,2020-09-11,145.45,146.9,145.1,145.5,145.5,484404,0.0,1.0
8,2020-09-10,147.39,147.87,144.93,145.15,145.15,694948,0.0,1.0
9,2020-09-09,146.78,149.06,146.63,147.72,147.72,624218,0.0,1.0
10,2020-09-08,148.57,149.1,145.1846,145.52,145.52,924286,0.0,1.0
11,2020-09-04,148.88,149.57,146.26,148.8,148.8,779532,0.0,1.0
12,2020-09-03,149.74,152.18,146.99,148.36,148.36,861882,0.0,1.0
13,2020-09-02,148.01,150.61,148.01,149.42,149.42,773493,0.0,1.0
14,2020-09-01,148.64,148.75,146.62,148.42,148.42,644640,0.0,1.0
15,2020-08-31,148.82,149.6,148.4576,148.64,148.64,682391,0.0,1.0
16,2020-08-28,148.91,149.27,147.1948,149.2,149.2,406957,0.0,1.0
17,2020-08-27,149.91,150.67,148.57,148.7,148.7,646534,0.0,1.0
18,2020-08-26,148.38,149.48,147.285,149.15,149.15,1042531,0.0,1.0
19,2020-08-25,149.7,149.7,147.97,148.67,148.67,503726,0.0,1.0
20,2020-08-24,148.0,149.2,147.15,148.84,148.84,436801,0.0,1.0
21,2020-08-21,148.03,148.28,146.74,147.43,147.43,707486,0.0,1.0
22,2020-08-20,146.54,148.89,146.34,147.74,147.74,1241242,0.804,1.0
23,2020-08-19,148.45,148.98,147.63,147.76,146.9602,1220100,0.0,1.0
24,2020-08-18,148.19,150.28,147.33,149.59,148.7803,1046325,0.0,1.0
25,2020-08-17,146.33,148.89,145.82,148.33,147.5272,862912,0.0,1.0
26,2020-08-14,146.47,146.93,145.705,146.07,145.2794,513958,0.0,1.0
27,2020-08-13,146.5,146.99,145.43,146.57,145.7767,734862,0.0,1.0
28,2020-08-12,142.97,146.73,142.5,146.02,145.2297,878684,0.0,1.0
29,2020-08-11,144.4,144.5,141.89,142.51,141.7387,998564,0.0,1.0
30,2020-08-10,144.28,144.75,143.53,143.92,143.141,561601,0.0,1.0
31,2020-08-07,143.01,144.325,142.76,143.92,143.141,671897,0.0,1.0
32,2020-08-06,141.82,143.75,141.73,143.67,142.8924,617989,0.0,1.0
33,2020-08-05,144.52,144.9,141.955,142.27,141.5,709462,0.0,1.0
34,2020-08-04,144.32,145.7,144.14,144.3,143.519,974031,0.0,1.0
35,2020-08-03,145.33,146.31,144.37,144.94,144.1555,1060143,0.0,1.0
36,2020-07-31,144.97,145.47,143.41,145.41,144.623,1757059,0.0,1.0
37,2020-07-30,145.04,145.68,144.15,145.29,144.5036,774019,0.0,1.0
38,2020-07-29,145.68,146.65,145.27,145.81,145.0208,863872,0.0,1.0
39,2020-07-28,146.0,146.83,145.19,145.73,144.9412,919440,0.0,1.0
40,2020-07-27,145.96,146.73,144.41,146.29,145.4982,879555,0.0,1.0
41,2020-07-24,147.03,147.61,144.96,145.68,144.8915,1162150,0.0,1.0
42,2020-07-23,143.0,146.55,142.41,146.33,145.538,2281393,0.0,1.0
43,2020-07-22,137.11,138.47,136.2,138.46,137.7106,1589711,0.0,1.0
44,2020-07-21,135.71,138.27,135.67,137.31,136.5668,1162500,0.0,1.0
45,2020-07-20,136.24,136.52,134.68,135.51,134.7765,1080100,0.0,1.0
46,2020-07-17,134.38,137.16,133.91,136.4,135.6617,2708300,0.0,1.0
47,2020-07-16,132.48,135.51,132.15,134.45,133.7223,1614800,0.0,1.0
48,2020-07-15,132.87,133.53,131.46,132.0,131.2855,1155600,0.0,1.0
49,2020-07-14,127.57,131.95,127.41,131.8,131.0866,1856600,0.0,1.0
