,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,395.81,398.56,385.11,386.76,386.76,1086406,0.0,1.0
1,2020-09-21,393.96,395.26,383.21,394.51,394.51,1151810,0.0,1.0
2,2020-09-18,397.9,405.5099,397.03,402.63,402.63,1275253,0.0,1.0
3,2020-09-17,396.34,399.3,391.52,397.5,397.5,559183,0.0,1.0
4,2020-09-16,403.48,406.085,398.641,399.07,399.07,420408,0.0,1.0
5,2020-09-15,404.74,407.0,398.61,399.99,399.99,509403,0.0,1.0
6,2020-09-14,395.44,406.24,394.26,403.63,403.63,430327,0.0,1.0
7,2020-09-11,395.78,397.13,386.33,391.36,391.36,731949,0.0,1.0
8,2020-09-10,409.12,411.0,392.8,393.37,393.37,557230,0.0,1.0
9,2020-09-09,406.95,411.98,405.64,408.22,408.22,464610,0.0,1.0
10,2020-09-08,411.46,411.46,401.55,405.37,405.37,630901,0.0,1.0
11,2020-09-04,421.21,421.31,409.75,413.19,413.19,738885,0.0,1.0
12,2020-09-03,428.18,431.12,414.23,421.28,421.28,814796,0.0,1.0
13,2020-09-02,417.32,429.065,415.37,427.77,427.77,736940,0.0,1.0
14,2020-09-01,413.14,418.51,413.14,414.85,414.85,597449,0.0,1.0
15,2020-08-31,407.75,416.28,406.69,415.17,415.17,1035276,0.0,1.0
16,2020-08-28,408.85,413.21,404.79,408.04,408.04,537475,0.0,1.0
17,2020-08-27,404.52,411.52,401.68,407.45,407.45,650502,0.0,1.0
18,2020-08-26,404.21,405.09,397.59,403.73,403.73,535015,0.0,1.0
19,2020-08-25,408.97,408.97,401.835,405.84,405.84,527666,0.0,1.0
20,2020-08-24,420.03,422.75,405.08,406.08,406.08,593948,0.0,1.0
21,2020-08-21,415.52,419.02,412.35,418.79,418.79,473515,0.0,1.0
22,2020-08-20,417.08,418.28,412.16,413.96,413.96,335272,0.0,1.0
23,2020-08-19,415.74,421.88,415.08,418.0,418.0,685841,0.0,1.0
24,2020-08-18,422.55,422.55,415.45,417.17,417.17,379087,0.0,1.0
25,2020-08-17,420.91,423.42,418.64,420.01,420.01,366846,0.0,1.0
26,2020-08-14,417.37,422.02,413.55,422.02,422.02,337787,0.0,1.0
27,2020-08-13,417.94,419.93,414.0168,419.5,419.5,322209,0.0,1.0
28,2020-08-12,419.15,423.89,417.31,420.06,420.06,543232,0.0,1.0
29,2020-08-11,423.22,425.46,414.76,415.77,415.77,566319,0.0,1.0
30,2020-08-10,418.01,423.8498,414.75,419.76,419.76,639943,0.0,1.0
31,2020-08-07,407.76,418.84,407.76,417.94,417.94,915788,0.0,1.0
32,2020-08-06,403.72,410.75,403.04,407.63,407.63,899971,0.0,1.0
33,2020-08-05,394.52,404.75,394.51,403.91,403.91,905234,0.0,1.0
34,2020-08-04,391.95,396.3656,388.8905,391.18,391.18,748723,0.0,1.0
35,2020-08-03,395.23,395.56,387.9,394.55,394.55,446368,0.0,1.0
36,2020-07-31,396.56,398.11,387.35,392.45,392.45,722654,0.0,1.0
37,2020-07-30,391.04,401.69,387.8043,398.54,398.54,492035,0.0,1.0
38,2020-07-29,388.46,401.0,387.0,396.4,396.4,804435,0.0,1.0
39,2020-07-28,390.04,390.92,384.51,386.65,386.65,402583,0.0,1.0
40,2020-07-27,390.99,394.28,387.125,391.02,391.02,831362,0.0,1.0
41,2020-07-24,398.94,399.0,390.89,392.14,392.14,458852,0.0,1.0
42,2020-07-23,403.1,407.099,396.63,397.75,397.75,297065,0.0,1.0
43,2020-07-22,398.24,402.74,395.0,402.37,402.37,414981,0.0,1.0
44,2020-07-21,399.99,401.52,396.28,397.59,397.59,518632,0.0,1.0
45,2020-07-20,404.0,404.84,394.67,396.76,396.76,506527,0.0,1.0
46,2020-07-17,399.16,405.19,397.69,404.49,404.49,672300,0.0,1.0
47,2020-07-16,394.95,401.83,392.77,395.89,395.89,894600,0.0,1.0
48,2020-07-15,392.69,395.85,385.58,395.37,395.37,813300,0.0,1.0
49,2020-07-14,380.25,396.82,379.73,396.54,396.54,1093200,0.0,1.0
50,2020-07-13,382.76,390.39,381.17,381.87,381.87,595400,0.0,1.0
51,2020-07-10,385.02,385.02,377.2,381.58,381.58,464900,0.0,1.0
52,2020-07-09,385.12,387.59,378.62,382.92,382.92,942200,0.0,1.0
53,2020-07-08,393.0,396.03,384.02,386.0,386.0,544400,0.0,1.0
54,2020-07-07,393.34,397.56,390.74,391.7,391.7,888900,0.0,1.0
55,2020-07-06,395.54,396.76,389.62,396.46,396.46,733100,0.0,1.0
56,2020-07-02,393.0,397.71,389.81,391.89,391.89,669000,0.0,1.0
57,2020-07-01,388.49,395.0,385.77,391.55,391.55,870500,0.0,1.0
58,2020-06-30,381.03,389.3,379.0,387.75,387.75,909100,0.0,1.0
59,2020-06-29,374.94,379.9,373.67,379.36,379.36,732500,0.625,1.0
60,2020-06-26,376.84,380.31,373.25,374.64,374.0238,1159300,0.0,1.0
61,2020-06-25,370.93,376.91,365.06,376.13,375.5113,585700,0.0,1.0
62,2020-06-24,378.49,382.39,365.91,371.8,371.1885,711900,0.0,1.0
63,2020-06-23,381.95,385.89,375.51,381.78,381.152,740500,0.0,1.0
64,2020-06-22,378.6,381.43,371.3,379.81,379.1853,659500,0.0,1.0
65,2020-06-19,385.05,389.73,379.72,380.76,380.1337,959200,0.0,1.0
66,2020-06-18,377.8,379.46,373.0,379.07,378.4465,793700,0.0,1.0
67,2020-06-17,379.87,383.23,377.1,380.0,379.375,949000,0.0,1.0
68,2020-06-16,388.07,388.07,375.0,378.0,377.3783,935700,0.0,1.0
69,2020-06-15,369.0,379.3,366.06,378.85,378.2269,1011900,0.0,1.0
70,2020-06-12,383.34,385.44,370.62,378.72,378.0971,1076000,0.0,1.0
71,2020-06-11,387.9,387.9,367.77,373.54,372.9256,1206900,0.0,1.0
72,2020-06-10,393.86,394.6,385.55,392.51,391.8644,1047500,0.0,1.0
73,2020-06-09,395.0,399.56,390.0,390.18,389.5382,1050700,0.0,1.0
74,2020-06-08,390.0,402.47,383.54,398.1,397.4452,1262900,0.0,1.0
75,2020-06-05,396.26,403.06,388.48,389.86,389.2188,1528900,0.0,1.0
76,2020-06-04,390.19,399.8,386.51,392.27,391.6248,872500,0.0,1.0
77,2020-06-03,405.0,407.35,392.41,393.73,393.0824,801100,0.0,1.0
78,2020-06-02,400.72,410.37,395.22,404.9,404.234,769500,0.0,1.0
79,2020-06-01,407.92,409.41,399.21,401.5,400.8396,733900,0.0,1.0
80,2020-05-29,406.29,411.88,397.48,410.65,409.9746,1810200,0.0,1.0
81,2020-05-28,404.74,411.52,402.03,403.81,403.1458,839500,0.0,1.0
82,2020-05-27,398.0,400.03,383.66,399.34,398.6832,835300,0.0,1.0
83,2020-05-26,404.07,404.74,396.34,397.09,396.4369,731300,0.0,1.0
84,2020-05-22,396.23,397.73,389.6,394.43,393.7812,415900,0.0,1.0
85,2020-05-21,391.02,398.33,387.41,395.27,394.6199,691900,0.0,1.0
86,2020-05-20,397.83,400.87,389.51,391.19,390.5466,686400,0.0,1.0
87,2020-05-19,391.05,402.44,387.99,394.47,393.8212,759300,0.0,1.0
88,2020-05-18,407.99,412.7,391.0,392.37,391.7246,1063800,0.0,1.0
89,2020-05-15,385.22,398.82,385.22,398.22,397.565,960400,0.0,1.0
90,2020-05-14,373.07,387.87,373.01,385.81,385.1754,754100,0.0,1.0
91,2020-05-13,386.54,393.65,372.21,377.42,376.7992,982800,0.0,1.0
92,2020-05-12,383.0,392.13,383.0,383.71,383.0789,1148500,0.0,1.0
