,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,120.33,121.45,119.53,120.51,120.51,2932672,0.0,1.0
1,2020-09-21,120.48,120.7,118.58,120.25,120.25,5311441,0.0,1.0
2,2020-09-18,124.26,124.92,122.65,122.76,122.76,5391570,0.0,1.0
3,2020-09-17,122.62,125.55,121.97,124.92,124.92,3171262,0.0,1.0
4,2020-09-16,122.71,125.82,122.71,124.22,124.22,3789458,0.0,1.0
5,2020-09-15,122.82,123.4,122.24,122.44,122.44,2915221,0.0,1.0
6,2020-09-14,122.36,123.38,121.76,122.09,122.09,3641887,0.0,1.0
7,2020-09-11,121.39,122.7,120.73,121.46,121.46,3548091,0.0,1.0
8,2020-09-10,122.53,123.5764,120.24,120.56,120.56,3978805,0.0,1.0
9,2020-09-09,122.13,123.7,121.29,122.26,122.26,3770678,0.0,1.0
10,2020-09-08,122.16,122.87,120.71,121.21,121.21,5210292,0.0,1.0
11,2020-09-04,124.35,125.35,121.24,122.3,122.3,6018238,0.0,1.0
12,2020-09-03,128.19,129.95,123.65,124.45,124.45,5716750,0.0,1.0
13,2020-09-02,123.72,128.7,123.575,128.18,128.18,6592430,0.0,1.0
14,2020-09-01,122.85,123.95,122.15,123.4,123.4,3155623,0.0,1.0
15,2020-08-31,125.25,125.25,123.03,123.31,123.31,4827879,0.0,1.0
16,2020-08-28,124.96,125.3,124.2187,125.07,125.07,3099940,0.0,1.0
17,2020-08-27,124.6,125.1,123.98,124.65,124.65,3422654,0.0,1.0
18,2020-08-26,124.95,125.12,123.95,124.17,124.17,3388687,0.0,1.0
19,2020-08-25,126.0,126.82,124.49,124.64,124.64,2977697,0.0,1.0
20,2020-08-24,123.79,126.06,123.36,125.68,125.68,4070816,0.0,1.0
21,2020-08-21,123.01,123.4842,122.31,123.16,123.16,3385051,0.0,1.0
22,2020-08-20,123.2,124.04,122.81,123.15,123.15,2561164,0.0,1.0
23,2020-08-19,124.83,125.5,123.5,123.84,123.84,3743949,0.0,1.0
24,2020-08-18,125.0,125.5,124.24,124.92,124.92,2882355,0.0,1.0
25,2020-08-17,125.25,125.59,124.41,124.44,124.44,3336459,0.0,1.0
26,2020-08-14,124.2,125.56,123.91,125.27,125.27,2963753,0.0,1.0
27,2020-08-13,125.96,126.39,124.77,125.03,125.03,3171258,0.0,1.0
28,2020-08-12,127.61,127.79,125.876,126.7,126.7,3530177,0.0,1.0
29,2020-08-11,128.76,130.47,126.61,126.75,126.75,5001176,0.0,1.0
30,2020-08-10,125.42,127.24,125.1849,127.11,127.11,3968295,0.0,1.0
31,2020-08-07,123.5,125.07,123.21,124.96,124.96,3651226,1.63,1.0
32,2020-08-06,125.0,126.26,125.0,126.12,124.4961,3417131,0.0,1.0
33,2020-08-05,126.73,126.75,124.61,125.45,123.8347,3675400,0.0,1.0
34,2020-08-04,123.82,125.86,123.82,125.84,124.2197,3431366,0.0,1.0
35,2020-08-03,123.5,124.41,122.15,124.31,122.7094,3526574,0.0,1.0
36,2020-07-31,122.71,122.99,121.09,122.94,121.357,5277652,0.0,1.0
37,2020-07-30,123.71,123.9046,121.64,122.9,121.3175,3988062,0.0,1.0
38,2020-07-29,124.56,125.99,124.07,125.32,123.7064,2833141,0.0,1.0
39,2020-07-28,125.82,126.34,124.15,124.47,122.8673,4178176,0.0,1.0
40,2020-07-27,124.86,126.32,124.71,126.21,124.5849,3733547,0.0,1.0
41,2020-07-24,126.48,127.6459,125.5,125.79,124.1703,3531076,0.0,1.0
42,2020-07-23,129.1,129.37,127.15,127.33,125.6905,4220136,0.0,1.0
43,2020-07-22,125.9,129.47,125.8,128.67,127.0132,8195366,0.0,1.0
44,2020-07-21,131.16,132.17,125.8,126.06,124.4368,15364900,0.0,1.0
45,2020-07-20,126.07,127.07,125.14,126.37,124.7428,9927700,0.0,1.0
46,2020-07-17,124.39,125.63,123.2,125.11,123.4991,3984600,0.0,1.0
47,2020-07-16,122.68,124.48,122.16,124.01,122.4132,4330900,0.0,1.0
48,2020-07-15,122.4,123.96,122.15,123.0,121.4162,4473400,0.0,1.0
49,2020-07-14,118.62,120.89,117.92,120.6,119.0471,4534400,0.0,1.0
50,2020-07-13,119.78,120.99,118.66,119.2,117.6652,4650700,0.0,1.0
51,2020-07-10,115.5,118.57,115.29,118.35,116.8261,4285700,0.0,1.0
52,2020-07-09,118.0,118.0,115.2,115.71,114.2201,4763000,0.0,1.0
53,2020-07-08,118.06,118.64,116.48,117.71,116.1943,5192800,0.0,1.0
54,2020-07-07,119.0,119.51,117.33,117.58,116.066,4278100,0.0,1.0
55,2020-07-06,121.25,121.85,119.46,120.19,118.6424,4045400,0.0,1.0
56,2020-07-02,119.69,121.42,119.26,119.7,118.1587,3745800,0.0,1.0
57,2020-07-01,120.27,121.23,118.37,118.54,117.0137,4655800,0.0,1.0
58,2020-06-30,119.19,121.2,119.0,120.77,119.2149,3919500,0.0,1.0
59,2020-06-29,117.98,119.78,117.37,119.75,118.2081,4159488,0.0,1.0
60,2020-06-26,118.26,118.99,116.26,117.19,115.681,10750100,0.0,1.0
61,2020-06-25,116.76,119.21,116.1,119.03,117.4973,6130600,0.0,1.0
62,2020-06-24,118.32,118.32,115.88,116.42,114.921,6751000,0.0,1.0
63,2020-06-23,122.01,122.9,119.23,119.41,117.8725,6632600,0.0,1.0
64,2020-06-22,122.12,122.5,120.53,121.07,119.5111,4773500,0.0,1.0
65,2020-06-19,126.17,126.82,122.25,122.47,120.8931,8099000,0.0,1.0
66,2020-06-18,123.0,124.4,122.33,124.16,122.5613,2865400,0.0,1.0
67,2020-06-17,125.83,126.25,123.4,124.15,122.5514,3154200,0.0,1.0
68,2020-06-16,125.0,127.5,123.16,125.15,123.5385,5606700,0.0,1.0
69,2020-06-15,119.19,122.37,118.29,121.65,120.0836,5149100,0.0,1.0
70,2020-06-12,121.25,123.12,119.28,121.91,120.3403,6218100,0.0,1.0
71,2020-06-11,126.03,126.1,117.84,118.01,116.4905,11763600,0.0,1.0
72,2020-06-10,132.15,132.23,129.8,129.87,128.1978,4734800,0.0,1.0
73,2020-06-09,133.52,133.6,131.02,131.87,130.172,5393600,0.0,1.0
74,2020-06-08,132.27,135.88,132.27,135.75,134.0021,5370500,0.0,1.0
75,2020-06-05,133.89,134.23,131.75,132.06,130.3596,5892700,0.0,1.0
76,2020-06-04,127.78,128.95,127.02,128.89,127.2304,3864800,0.0,1.0
77,2020-06-03,127.15,129.6,127.0,129.05,127.3883,3917700,0.0,1.0
78,2020-06-02,125.67,126.0,124.66,126.0,124.3776,2978100,0.0,1.0
79,2020-06-01,124.64,125.75,124.03,124.89,123.2819,2871700,0.0,1.0
80,2020-05-29,123.67,125.13,122.24,124.9,123.2918,7930500,0.0,1.0
81,2020-05-28,126.87,126.97,124.22,124.53,122.9265,3915300,0.0,1.0
82,2020-05-27,123.94,125.83,123.47,125.54,123.9235,5727500,0.0,1.0
83,2020-05-26,121.3,122.62,121.01,121.76,120.1922,5469300,0.0,1.0
84,2020-05-22,119.37,119.47,117.59,118.39,116.8656,4180800,0.0,1.0
85,2020-05-21,120.99,121.72,118.97,119.12,117.5862,4000900,0.0,1.0
86,2020-05-20,120.93,122.47,120.6,121.38,119.8171,3840700,0.0,1.0
87,2020-05-19,121.19,122.17,120.14,120.29,118.7411,3241100,0.0,1.0
88,2020-05-18,119.88,122.36,119.75,121.56,119.9948,4207600,0.0,1.0
89,2020-05-15,115.93,117.39,115.25,116.98,115.4737,4786300,0.0,1.0
90,2020-05-14,114.57,117.09,111.81,116.95,115.4441,5259400,0.0,1.0
91,2020-05-13,119.95,119.99,114.85,115.73,114.2398,5882800,0.0,1.0
92,2020-05-12,123.01,124.32,120.26,120.26,118.7115,4784500,0.0,1.0
93,2020-05-11,121.81,123.45,120.67,122.59,121.0115,3535300,0.0,1.0
94,2020-05-08,122.67,123.23,121.06,122.99,121.4064,5003900,0.0,1.0
95,2020-05-07,122.98,123.26,120.85,121.23,119.669,4412600,1.63,1.0
96,2020-05-06,123.24,124.05,122.41,123.17,119.971,3864600,0.0,1.0
97,2020-05-05,123.39,124.32,122.47,122.58,119.3963,3899400,0.0,1.0
98,2020-05-04,120.82,121.97,119.39,121.68,118.5197,4017900,0.0,1.0
99,2020-05-01,123.19,123.47,121.39,121.87,118.7047,4925500,0.0,1.0
100,2020-04-30,126.52,127.27,125.22,125.56,122.2989,6635800,0.0,1.0
101,2020-04-29,128.88,129.31,127.53,128.69,125.3476,5257600,0.0,1.0
102,2020-04-28,128.03,128.2,125.38,126.27,122.9905,4778100,0.0,1.0
103,2020-04-27,125.56,126.99,125.47,125.92,122.6495,4923800,0.0,1.0
104,2020-04-24,122.41,125.0,120.76,124.72,121.4807,4987300,0.0,1.0
105,2020-04-23,119.57,123.03,119.12,121.35,118.1982,6881600,0.0,1.0
106,2020-04-22,119.87,120.33,117.55,119.31,116.2112,7087900,0.0,1.0
107,2020-04-21,114.0,117.15,112.06,116.76,113.7274,14349000,0.0,1.0
108,2020-04-20,119.15,122.86,118.14,120.41,117.2826,8181700,0.0,1.0
109,2020-04-17,119.3,120.39,117.92,120.12,117.0002,4966000,0.0,1.0
110,2020-04-16,119.01,119.75,114.42,115.73,112.7242,6457600,0.0,1.0
111,2020-04-15,119.12,120.19,116.76,118.69,115.6073,5637300,0.0,1.0
112,2020-04-14,123.46,125.18,122.62,123.91,120.6917,5088700,0.0,1.0
113,2020-04-13,121.63,121.8,118.04,121.15,118.0034,5119700,0.0,1.0
114,2020-04-09,120.48,122.92,120.17,121.5,118.3443,5576800,0.0,1.0
115,2020-04-08,116.31,119.96,115.07,119.29,116.1917,5158600,0.0,1.0
116,2020-04-07,118.8,119.57,114.87,114.94,111.9547,5595300,0.0,1.0
117,2020-04-06,110.35,115.63,110.13,114.82,111.8378,7034200,0.0,1.0
118,2020-04-03,108.92,110.07,104.92,106.34,103.5781,4538800,0.0,1.0
119,2020-04-02,105.37,110.32,105.14,110.0,107.143,6328700,0.0,1.0
120,2020-04-01,106.36,109.92,104.52,105.14,102.4092,6112900,0.0,1.0
121,2020-03-31,112.0,113.81,110.17,110.93,108.0489,6343300,0.0,1.0
122,2020-03-30,108.09,113.46,107.81,112.93,109.9969,5564500,0.0,1.0
123,2020-03-27,108.58,111.5,107.65,108.03,105.2242,6423000,0.0,1.0
124,2020-03-26,106.91,113.15,105.57,112.89,109.958,7153500,0.0,1.0
125,2020-03-25,105.48,112.48,102.83,105.85,103.1008,8654000,0.0,1.0
126,2020-03-24,99.99,106.04,99.26,105.48,102.7404,7973900,0.0,1.0
127,2020-03-23,94.6,97.74,90.56,94.77,92.3086,9729400,0.0,1.0
128,2020-03-20,100.92,100.99,94.71,95.39,92.9125,10546500,0.0,1.0
129,2020-03-19,102.33,103.69,98.24,100.34,97.7339,8396500,0.0,1.0
130,2020-03-18,99.41,106.93,99.4,103.55,100.8605,8772500,0.0,1.0
131,2020-03-17,100.61,107.4,97.1,106.65,103.88,9258300,0.0,1.0
132,2020-03-16,98.0,107.41,95.0,99.08,96.5066,10568000,0.0,1.0
133,2020-03-13,108.68,109.16,100.81,107.95,105.1463,12502100,0.0,1.0
134,2020-03-12,109.65,109.8,102.28,102.81,100.1398,12512700,0.0,1.0
135,2020-03-11,121.01,122.58,116.38,117.97,114.906,8446500,0.0,1.0
136,2020-03-10,122.78,124.88,115.76,124.77,121.5294,11410700,0.0,1.0
137,2020-03-09,120.16,122.41,117.28,117.81,114.7502,10757500,0.0,1.0
138,2020-03-06,126.7,128.33,124.52,127.73,124.4125,8193300,0.0,1.0
139,2020-03-05,130.5,132.29,128.45,129.55,126.1853,5446200,0.0,1.0
140,2020-03-04,131.58,134.28,129.0,134.22,130.734,4996400,0.0,1.0
141,2020-03-03,134.48,136.1,127.8,128.9,125.5521,7896100,0.0,1.0
142,2020-03-02,130.75,134.44,127.95,134.3,130.8119,8531400,0.0,1.0
143,2020-02-28,129.98,131.09,126.36,130.15,126.7697,13012200,0.0,1.0
144,2020-02-27,137.24,138.69,133.01,133.11,129.6528,8421100,0.0,1.0
145,2020-02-26,142.9,144.06,139.6,139.75,136.1203,5407900,0.0,1.0
146,2020-02-25,146.51,147.07,141.26,141.71,138.0294,6211500,0.0,1.0
147,2020-02-24,145.51,148.05,145.38,146.43,142.6268,5452400,0.0,1.0
148,2020-02-21,151.04,151.04,148.84,149.84,145.9483,3536900,0.0,1.0
149,2020-02-20,150.81,151.62,149.51,151.22,147.2924,2880500,0.0,1.0
150,2020-02-19,151.54,151.89,150.31,150.86,146.9418,2732900,0.0,1.0
