,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,179.06,180.785,177.53,180.34,180.34,379143,0.0,1.0
1,2020-09-21,183.57,184.16,176.5,178.25,178.25,498975,0.0,1.0
2,2020-09-18,186.16,187.5,184.88,186.04,186.04,572452,0.0,1.0
3,2020-09-17,185.31,188.17,183.13,186.52,186.52,383709,0.0,1.0
4,2020-09-16,187.22,188.14,185.68,186.46,186.46,357877,0.0,1.0
5,2020-09-15,184.2,186.63,184.2,186.21,186.21,304263,0.0,1.0
6,2020-09-14,181.82,184.65,181.42,184.1,184.1,360705,0.0,1.0
7,2020-09-11,178.39,181.55,177.97,181.12,181.12,356430,0.0,1.0
8,2020-09-10,179.86,180.53,177.33,177.4,177.4,353731,0.0,1.0
9,2020-09-09,177.22,181.46,176.2,179.69,179.69,282807,0.0,1.0
10,2020-09-08,176.86,178.94,173.98,176.01,176.01,368727,0.0,1.0
11,2020-09-04,182.72,183.2,176.9,177.62,177.62,440459,0.0,1.0
12,2020-09-03,184.48,184.48,178.97,180.15,180.15,328785,0.0,1.0
13,2020-09-02,182.43,185.18,181.98,184.17,184.17,319120,0.0,1.0
14,2020-09-01,179.55,182.56,178.81,182.08,182.08,234189,0.0,1.0
15,2020-08-31,180.69,180.69,178.97,180.23,180.23,361799,0.0,1.0
16,2020-08-28,178.73,180.9,177.63,180.89,180.89,284692,0.0,1.0
17,2020-08-27,180.63,181.25,178.68,178.74,178.74,335459,0.0,1.0
18,2020-08-26,179.53,180.59,178.38,180.0,180.0,280883,0.0,1.0
19,2020-08-25,180.9,181.085,179.11,179.7,179.7,480560,0.0,1.0
20,2020-08-24,179.02,181.13,178.87,180.59,180.59,337735,0.0,1.0
21,2020-08-21,176.38,179.58,175.84,178.85,178.85,637142,0.0,1.0
22,2020-08-20,174.49,176.31,173.58,176.28,176.28,370380,0.0,1.0
23,2020-08-19,177.22,177.5707,175.38,175.79,175.79,300931,0.0,1.0
