,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,119.63,121.47,119.2,120.61,120.61,689229,0.0,1.0
1,2020-09-21,120.4,120.65,118.75,120.43,120.43,867721,0.0,1.0
2,2020-09-18,123.96,125.05,122.03,122.54,122.54,821234,0.0,1.0
3,2020-09-17,122.49,124.98,121.88,124.18,124.18,1216619,0.0,1.0
4,2020-09-16,124.38,126.0,124.14,124.24,124.24,786328,0.0,1.0
5,2020-09-15,124.14,125.17,123.8,124.24,124.24,718910,0.0,1.0
6,2020-09-14,122.0,123.99,121.68,122.98,122.98,722275,0.0,1.0
7,2020-09-11,121.32,121.32,119.14,121.03,121.03,941219,0.0,1.0
8,2020-09-10,121.67,122.52,120.31,120.36,120.36,900714,0.0,1.0
9,2020-09-09,122.49,125.09,121.94,122.0,122.0,686959,0.0,1.0
10,2020-09-08,121.7,123.405,120.27,121.63,121.63,849695,0.0,1.0
11,2020-09-04,124.66,125.87,122.455,123.12,123.12,935966,0.0,1.0
12,2020-09-03,125.18,126.32,122.43,123.88,123.88,1094250,0.0,1.0
13,2020-09-02,125.25,126.54,124.36,125.96,125.96,1165749,0.0,1.0
14,2020-09-01,123.4,124.75,121.5,124.74,124.74,930506,0.0,1.0
15,2020-08-31,124.17,125.515,123.14,123.79,123.79,683776,0.0,1.0
16,2020-08-28,123.87,125.09,122.23,124.47,124.47,451908,0.0,1.0
17,2020-08-27,125.12,125.56,122.64,123.58,123.58,579480,0.0,1.0
18,2020-08-26,124.47,126.12,124.1,124.9,124.9,794420,0.0,1.0
19,2020-08-25,124.18,124.76,122.64,122.88,122.88,588208,0.0,1.0
20,2020-08-24,121.52,122.961,120.9,122.89,122.89,397265,0.0,1.0
21,2020-08-21,120.3,121.1,118.83,120.55,120.55,728891,0.0,1.0
22,2020-08-20,120.94,121.23,119.65,120.69,120.69,852949,0.0,1.0
23,2020-08-19,123.27,123.27,121.69,121.98,121.98,417481,0.0,1.0
24,2020-08-18,123.31,124.602,122.2001,122.62,122.62,612915,0.0,1.0
25,2020-08-17,123.62,124.44,122.57,123.29,123.29,434337,0.0,1.0
26,2020-08-14,123.21,124.24,122.55,123.17,123.17,530491,0.0,1.0
27,2020-08-13,125.47,125.71,123.58,123.81,123.81,878758,0.0,1.0
28,2020-08-12,126.93,128.89,126.14,127.0,127.0,797339,0.0,1.0
29,2020-08-11,131.6,132.75,125.06,125.29,125.29,2052569,0.0,1.0
30,2020-08-10,126.6,130.88,126.6,130.55,130.55,1188725,0.0,1.0
31,2020-08-07,125.57,126.96,124.4,126.8,126.8,664333,0.0,1.0
32,2020-08-06,125.98,126.5,125.175,125.38,125.38,761433,0.0,1.0
33,2020-08-05,126.97,128.8,126.33,126.42,126.42,973678,0.0,1.0
34,2020-08-04,123.47,126.8,122.15,125.89,125.89,810899,0.0,1.0
35,2020-08-03,126.22,126.22,124.17,124.54,124.54,1060057,0.0,1.0
36,2020-07-31,124.29,126.04,122.41,125.95,125.95,1081235,0.0,1.0
37,2020-07-30,126.67,126.91,123.43,124.49,124.49,915337,0.0,1.0
38,2020-07-29,128.82,129.9799,128.14,128.24,128.24,804549,0.0,1.0
39,2020-07-28,128.78,129.805,127.48,128.34,128.34,827067,0.0,1.0
40,2020-07-27,127.18,129.16,126.13,128.79,128.79,702124,0.0,1.0
41,2020-07-24,128.64,128.795,125.52,126.82,126.82,781359,0.0,1.0
42,2020-07-23,128.72,130.56,127.2,128.49,128.49,834543,0.0,1.0
43,2020-07-22,128.48,129.995,127.64,128.55,128.55,547923,0.0,1.0
44,2020-07-21,129.25,129.9,127.71,127.94,127.94,541952,0.0,1.0
45,2020-07-20,131.0,131.31,127.41,128.72,128.72,1306094,0.0,1.0
46,2020-07-17,130.43,132.31,129.3,130.99,130.99,774800,0.0,1.0
47,2020-07-16,129.29,130.64,128.57,129.61,129.61,517600,0.0,1.0
48,2020-07-15,128.87,130.36,128.33,129.72,129.72,595900,0.0,1.0
49,2020-07-14,124.65,127.41,124.49,127.01,127.01,611000,0.0,1.0
50,2020-07-13,126.32,127.16,124.29,124.52,124.52,778100,0.0,1.0
51,2020-07-10,122.87,125.54,121.83,125.25,125.25,520600,0.0,1.0
52,2020-07-09,123.6,123.84,120.16,122.3,122.3,1100800,0.0,1.0
53,2020-07-08,126.91,128.11,122.08,123.37,123.37,968400,0.0,1.0
54,2020-07-07,127.2,128.07,125.89,127.05,127.05,694200,0.0,1.0
55,2020-07-06,127.81,128.78,125.83,128.2,128.2,876600,0.0,1.0
56,2020-07-02,125.86,127.49,125.38,126.88,126.88,960300,0.0,1.0
57,2020-07-01,122.0,124.35,121.7,124.17,124.17,818500,0.0,1.0
58,2020-06-30,121.6,123.18,120.0,122.46,122.46,1085400,0.0,1.0
59,2020-06-29,120.08,123.42,119.73,121.88,121.88,686400,0.0,1.0
60,2020-06-26,121.88,121.88,118.89,119.05,119.05,858718,0.0,1.0
61,2020-06-25,121.9,122.67,120.05,122.4,122.4,693567,0.0,1.0
62,2020-06-24,121.17,123.81,119.595,122.07,122.07,1121207,0.75,1.0
63,2020-06-23,126.72,126.72,123.07,123.31,122.557,886077,0.0,1.0
64,2020-06-22,124.96,126.72,122.8527,125.07,124.3063,1181122,0.0,1.0
65,2020-06-19,130.86,131.62,125.91,126.09,125.32,1273840,0.0,1.0
66,2020-06-18,127.81,129.68,127.33,128.53,127.7451,666333,0.0,1.0
67,2020-06-17,130.57,131.15,128.22,128.65,127.8644,470336,0.0,1.0
68,2020-06-16,131.66,132.79,127.09,129.05,128.262,962885,0.0,1.0
69,2020-06-15,123.97,128.04,123.66,127.34,126.5624,780047,0.0,1.0
