,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,309.81,318.12,306.695,317.28,317.28,2093620,0.0,1.0
1,2020-09-21,296.29,308.02,295.37,307.7,307.7,1594620,0.0,1.0
2,2020-09-18,307.7,312.95,296.77,300.13,300.13,2284451,0.0,1.0
3,2020-09-17,304.91,308.4,301.34,307.23,307.23,1795549,0.0,1.0
4,2020-09-16,324.86,326.23,312.61,313.38,313.38,1668809,0.0,1.0
5,2020-09-15,321.38,324.145,319.38,322.47,322.47,1111618,0.0,1.0
6,2020-09-14,320.17,321.25,315.77,318.31,318.31,888851,0.0,1.0
7,2020-09-11,323.82,325.35,311.41,315.0,315.0,955183,0.0,1.0
8,2020-09-10,329.58,332.66,317.07,320.39,320.39,1254155,0.0,1.0
9,2020-09-09,324.4,331.305,319.7354,328.21,328.21,1303238,0.0,1.0
10,2020-09-08,320.79,329.36,319.6466,320.82,320.82,1578582,0.0,1.0
11,2020-09-04,337.76,340.53,324.61,333.11,333.11,1219458,0.0,1.0
12,2020-09-03,353.11,353.11,336.66,339.63,339.63,1570070,0.0,1.0
13,2020-09-02,348.67,355.67,347.47,354.18,354.18,1438039,0.0,1.0
14,2020-09-01,344.92,349.33,343.56,347.18,347.18,1074621,0.0,1.0
15,2020-08-31,345.89,346.2389,342.1,345.39,345.39,1070807,0.0,1.0
16,2020-08-28,346.73,347.38,343.84,346.11,346.11,1189442,0.0,1.0
17,2020-08-27,341.84,349.51,339.06,345.0,345.0,1880870,0.0,1.0
18,2020-08-26,356.86,360.0,338.07,342.34,342.34,3108571,0.0,1.0
19,2020-08-25,332.5,337.37,329.9513,336.42,336.42,1718389,0.0,1.0
20,2020-08-24,325.27,334.15,324.63,333.12,333.12,2088371,0.0,1.0
21,2020-08-21,319.86,322.6,318.4,322.23,322.23,1174791,0.0,1.0
22,2020-08-20,310.0,320.655,309.94,320.06,320.06,1083578,0.0,1.0
23,2020-08-19,308.67,313.95,305.86,310.55,310.55,991195,0.0,1.0
24,2020-08-18,310.0,311.0,306.58,308.9,308.9,755750,0.0,1.0
25,2020-08-17,307.84,310.015,306.83,308.01,308.01,714452,0.0,1.0
26,2020-08-14,307.55,308.74,304.82,305.54,305.54,596048,0.0,1.0
27,2020-08-13,305.25,310.71,305.25,306.71,306.71,760839,0.0,1.0
28,2020-08-12,299.93,305.6,299.88,304.75,304.75,813950,0.0,1.0
29,2020-08-11,303.63,305.15,298.47,299.2,299.2,828403,0.0,1.0
30,2020-08-10,308.1,308.75,301.01,304.18,304.18,569011,0.0,1.0
31,2020-08-07,311.39,312.425,306.22,309.43,309.43,752038,0.0,1.0
32,2020-08-06,310.36,312.42,307.865,312.23,312.23,716744,0.0,1.0
33,2020-08-05,311.26,312.72,308.64,310.95,310.95,863030,0.0,1.0
34,2020-08-04,310.81,312.38,307.24,310.64,310.64,1200944,0.0,1.0
35,2020-08-03,309.84,313.45,308.97,311.7,311.7,1248595,0.0,1.0
36,2020-07-31,304.77,306.49,298.87,306.37,306.37,1015630,0.0,1.0
37,2020-07-30,297.1,305.05,295.05,303.94,303.94,867332,0.0,1.0
38,2020-07-29,298.87,305.22,298.02,302.18,302.18,1115551,0.0,1.0
39,2020-07-28,292.28,300.67,292.21,296.8,296.8,1050268,0.0,1.0
40,2020-07-27,290.47,297.43,290.46,296.145,296.145,1227911,0.0,1.0
41,2020-07-24,290.45,291.11,286.35,288.68,288.68,1193362,0.0,1.0
42,2020-07-23,295.94,298.88,290.2,291.55,291.55,1266090,0.0,1.0
43,2020-07-22,300.16,300.16,294.22,296.44,296.44,1145083,0.0,1.0
44,2020-07-21,299.42,300.71,296.85,297.88,297.88,1014806,0.0,1.0
45,2020-07-20,289.5,300.41,289.01,298.72,298.72,1019272,0.0,1.0
46,2020-07-17,287.93,290.42,284.59,289.27,289.27,896500,0.0,1.0
47,2020-07-16,287.93,288.41,281.19,285.7,285.7,1128500,0.0,1.0
48,2020-07-15,288.03,290.88,284.77,289.97,289.97,1527000,0.0,1.0
49,2020-07-14,294.57,294.71,280.99,285.37,285.37,3106200,0.0,1.0
50,2020-07-13,309.0,311.23,296.98,297.64,297.64,1383100,0.0,1.0
51,2020-07-10,307.78,308.64,303.0,307.55,307.55,762400,0.0,1.0
52,2020-07-09,309.72,311.0,303.95,307.91,307.91,1027600,0.53,1.0
53,2020-07-08,310.54,312.07,307.77,310.38,309.8467,774500,0.0,1.0
54,2020-07-07,309.18,314.73,307.19,307.93,307.4009,1133300,0.0,1.0
55,2020-07-06,308.0,314.14,308.0,309.65,309.1179,1162000,0.0,1.0
56,2020-07-02,304.85,307.78,303.11,305.3,304.7754,1230100,0.0,1.0
57,2020-07-01,297.41,304.92,297.02,302.58,302.0601,1653800,0.0,1.0
58,2020-06-30,289.15,297.92,288.0,296.19,295.681,1621900,0.0,1.0
59,2020-06-29,285.81,289.78,281.75,287.92,287.4253,965700,0.0,1.0
60,2020-06-26,286.5,290.0,283.92,286.52,286.0277,1376800,0.0,1.0
61,2020-06-25,286.25,289.34,281.98,288.75,288.2538,966600,0.0,1.0
62,2020-06-24,291.44,296.0,284.2,286.13,285.6383,951000,0.0,1.0
63,2020-06-23,294.98,296.49,292.44,293.83,293.3251,1291500,0.0,1.0
64,2020-06-22,285.8,294.2,285.29,294.12,293.6146,1179200,0.0,1.0
65,2020-06-19,289.53,291.99,285.27,286.32,285.828,2480600,0.0,1.0
66,2020-06-18,285.01,287.91,282.37,287.23,286.7364,1127000,0.0,1.0
67,2020-06-17,291.31,291.95,285.97,286.49,285.9977,855500,0.0,1.0
68,2020-06-16,289.98,293.4,285.42,288.58,288.0841,1225700,0.0,1.0
69,2020-06-15,275.0,285.14,274.19,283.14,282.6535,943300,0.0,1.0
70,2020-06-12,283.91,287.04,275.95,280.68,280.1977,1173600,0.0,1.0
71,2020-06-11,293.9,294.98,277.72,277.87,277.3925,1392800,0.0,1.0
72,2020-06-10,293.95,298.0,291.1,295.87,295.3616,1072000,0.0,1.0
73,2020-06-09,292.63,295.25,290.6,291.25,290.7495,1283000,0.0,1.0
74,2020-06-08,285.36,293.29,284.11,293.05,292.5464,1067200,0.0,1.0
75,2020-06-05,280.77,289.0,275.63,288.11,287.6149,1874000,0.0,1.0
76,2020-06-04,286.93,288.46,280.96,282.92,282.4339,1316800,0.0,1.0
77,2020-06-03,288.56,290.72,285.65,290.1,289.6015,1309700,0.0,1.0
78,2020-06-02,289.95,290.0,283.71,287.18,286.6865,1133200,0.0,1.0
79,2020-06-01,289.11,291.72,288.08,289.95,289.4518,1283800,0.0,1.0
80,2020-05-29,285.86,290.87,281.95,290.32,289.8211,1689800,0.0,1.0
81,2020-05-28,282.0,290.24,281.38,283.87,283.3822,1718200,0.0,1.0
82,2020-05-27,283.14,283.14,271.54,281.21,280.7268,1479400,0.0,1.0
83,2020-05-26,291.46,291.94,280.97,282.2,281.7151,1775700,0.0,1.0
84,2020-05-22,286.18,289.64,280.59,287.61,287.1158,1770200,0.0,1.0
85,2020-05-21,291.15,293.47,286.4,290.0,289.5017,1337200,0.0,1.0
86,2020-05-20,288.63,293.63,288.63,290.49,289.9908,1418300,0.0,1.0
87,2020-05-19,290.89,292.98,286.54,286.75,286.2573,1318600,0.0,1.0
88,2020-05-18,290.87,295.37,286.41,290.37,289.8711,1187800,0.0,1.0
89,2020-05-15,277.24,285.08,276.59,284.39,283.9013,850000,0.0,1.0
90,2020-05-14,274.94,280.56,270.91,280.27,279.7884,912900,0.0,1.0
91,2020-05-13,281.58,286.17,273.55,277.16,276.6837,957200,0.0,1.0
92,2020-05-12,288.99,289.77,280.73,281.68,281.196,933500,0.0,1.0
93,2020-05-11,280.47,289.28,279.64,287.84,287.3454,882200,0.0,1.0
94,2020-05-08,282.0,282.96,277.16,280.36,279.8783,1209500,0.0,1.0
95,2020-05-07,278.99,284.04,278.25,280.8,280.3175,955200,0.0,1.0
96,2020-05-06,276.01,278.24,273.89,275.87,275.396,754500,0.0,1.0
97,2020-05-05,270.08,277.84,269.54,274.48,274.0084,1052700,0.0,1.0
98,2020-05-04,259.0,268.01,258.3,267.78,267.3199,1366600,0.0,1.0
99,2020-05-01,265.33,267.53,259.75,261.13,260.6813,1193600,0.0,1.0
100,2020-04-30,272.76,275.1,268.22,269.81,269.3464,1410900,0.0,1.0
101,2020-04-29,269.91,274.94,267.69,273.43,272.9602,1132400,0.0,1.0
102,2020-04-28,273.34,276.98,265.78,266.31,265.8524,1000000,0.0,1.0
