,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,158.97,162.465,157.9501,162.28,162.28,146447,0.0,1.0
1,2020-09-21,163.46,164.0,156.63,157.79,157.79,294408,0.0,1.0
2,2020-09-18,168.45,170.2,166.17,167.22,167.22,356268,0.0,1.0
3,2020-09-17,164.86,169.01,164.86,168.8,168.8,162017,0.0,1.0
4,2020-09-16,167.44,170.43,167.44,168.37,168.37,270803,0.0,1.0
5,2020-09-15,165.1,166.99,164.71,166.21,166.21,166775,0.0,1.0
6,2020-09-14,161.29,163.62,160.285,162.88,162.88,205021,0.0,1.0
7,2020-09-11,159.11,162.58,157.49,158.53,158.53,234809,0.0,1.0
8,2020-09-10,166.85,168.08,158.93,159.3,159.3,241647,0.0,1.0
9,2020-09-09,163.75,166.43,161.0,164.89,164.89,334877,0.0,1.0
10,2020-09-08,159.21,163.28,156.49,161.0,161.0,324041,0.0,1.0
11,2020-09-04,162.36,164.82,159.0001,162.65,162.65,308982,0.0,1.0
12,2020-09-03,166.32,166.47,160.46,163.2,163.2,497343,0.0,1.0
13,2020-09-02,161.84,168.67,160.8,168.45,168.45,331630,0.0,1.0
14,2020-09-01,161.37,162.435,158.58,160.82,160.82,245021,0.0,1.0
15,2020-08-31,160.69,162.24,159.69,161.73,161.73,304220,0.0,1.0
16,2020-08-28,156.15,160.46,154.19,159.65,159.65,247098,0.0,1.0
17,2020-08-27,156.07,157.07,154.08,155.31,155.31,312498,0.0,1.0
18,2020-08-26,153.26,157.14,152.11,156.66,156.66,271226,0.0,1.0
19,2020-08-25,151.53,153.49,151.07,152.58,152.58,237460,0.0,1.0
20,2020-08-24,150.93,154.29,150.56,151.74,151.74,232540,0.0,1.0
21,2020-08-21,150.65,152.29,149.51,150.58,150.58,209734,0.0,1.0
22,2020-08-20,153.69,153.975,149.81,150.44,150.44,377449,0.0,1.0
23,2020-08-19,155.94,156.99,153.445,154.24,154.24,245944,0.0,1.0
24,2020-08-18,160.28,160.28,154.45,154.89,154.89,362113,0.0,1.0
25,2020-08-17,159.29,162.77,159.29,161.7,161.7,178042,0.0,1.0
26,2020-08-14,159.9,161.12,157.5,158.25,158.25,214302,0.0,1.0
27,2020-08-13,160.45,162.06,158.6,160.01,160.01,263318,0.0,1.0
28,2020-08-12,160.38,162.05,159.02,160.75,160.75,364604,0.0,1.0
29,2020-08-11,157.54,162.2775,156.465,158.94,158.94,558682,0.0,1.0
30,2020-08-10,162.63,164.53,157.385,158.2,158.2,474682,0.0,1.0
31,2020-08-07,164.54,164.54,161.22,163.26,163.26,392873,0.0,1.0
32,2020-08-06,166.92,166.94,163.57,165.02,165.02,474938,0.0,1.0
33,2020-08-05,171.1,173.25,165.12,166.67,166.67,366382,0.0,1.0
34,2020-08-04,177.88,177.88,161.0543,167.66,167.66,879232,0.0,1.0
35,2020-08-03,180.61,183.44,178.96,180.01,180.01,497878,0.0,1.0
36,2020-07-31,181.78,182.05,177.06,179.01,179.01,529845,0.0,1.0
37,2020-07-30,178.25,182.48,176.86,180.97,180.97,385022,0.0,1.0
38,2020-07-29,181.87,183.83,180.69,181.5,181.5,411022,0.0,1.0
39,2020-07-28,181.72,183.35,180.12,180.53,180.53,279787,0.0,1.0
40,2020-07-27,176.93,183.74,175.01,183.07,183.07,280650,0.0,1.0
41,2020-07-24,174.84,179.2,173.0572,175.29,175.29,383655,0.0,1.0
42,2020-07-23,177.69,182.35,177.41,178.74,178.74,245735,0.0,1.0
43,2020-07-22,179.03,181.67,176.32,177.94,177.94,254381,0.0,1.0
44,2020-07-21,183.33,184.02,179.64,179.99,179.99,325534,0.0,1.0
45,2020-07-20,175.29,180.05,175.05,179.89,179.89,366390,0.0,1.0
46,2020-07-17,171.0,176.73,170.98,175.92,175.92,394300,0.0,1.0
47,2020-07-16,168.7,171.31,167.49,171.0,171.0,417800,0.0,1.0
48,2020-07-15,166.94,171.33,165.46,171.1,171.1,496600,0.0,1.0
49,2020-07-14,159.15,164.92,156.54,164.74,164.74,309500,0.0,1.0
50,2020-07-13,162.85,166.48,159.07,159.24,159.24,294600,0.0,1.0
51,2020-07-10,165.21,165.28,160.99,161.62,161.62,183600,0.0,1.0
52,2020-07-09,162.06,165.64,160.74,164.08,164.08,238700,0.0,1.0
53,2020-07-08,163.42,163.95,160.05,161.7,161.7,125200,0.0,1.0
54,2020-07-07,163.93,165.64,161.71,162.01,162.01,169500,0.0,1.0
55,2020-07-06,162.71,165.82,161.39,164.84,164.84,325700,0.0,1.0
56,2020-07-02,156.54,162.4,156.54,159.08,159.08,291200,0.0,1.0
57,2020-07-01,161.75,161.75,155.42,155.78,155.78,200500,0.0,1.0
58,2020-06-30,157.53,162.55,157.53,160.39,160.39,272700,0.0,1.0
59,2020-06-29,156.79,158.29,154.26,157.16,157.16,135100,0.0,1.0
60,2020-06-26,157.49,159.91,154.685,155.22,155.22,313853,0.0,1.0
61,2020-06-25,156.0,157.99,153.42,157.58,157.58,185892,0.0,1.0
62,2020-06-24,158.23,160.29,156.89,157.21,157.21,238922,0.0,1.0
63,2020-06-23,165.19,165.19,160.88,161.11,161.11,263090,0.0,1.0
64,2020-06-22,161.39,164.24,157.85,163.3,163.3,220257,0.0,1.0
65,2020-06-19,166.69,168.41,161.985,162.24,162.24,553941,0.0,1.0
66,2020-06-18,162.12,164.73,161.17,162.52,162.52,263215,0.0,1.0
67,2020-06-17,164.34,165.18,160.7,163.64,163.64,250183,0.0,1.0
68,2020-06-16,162.5,166.75,160.61,161.97,161.97,399564,0.0,1.0
69,2020-06-15,153.02,160.45,151.425,160.43,160.43,270932,0.0,1.0
70,2020-06-12,158.96,160.64,153.45,156.14,156.14,272218,0.0,1.0
71,2020-06-11,164.0,164.0,155.485,155.73,155.73,303123,0.0,1.0
72,2020-06-10,168.3,168.46,165.07,165.39,165.39,197303,0.0,1.0
73,2020-06-09,162.39,168.7,160.5,165.59,165.59,528609,0.0,1.0
74,2020-06-08,168.42,169.46,165.02,167.03,167.03,563192,0.0,1.0
75,2020-06-05,165.0,170.03,164.265,169.47,169.47,619865,0.0,1.0
76,2020-06-04,160.69,162.57,160.01,161.29,161.29,343703,0.0,1.0
77,2020-06-03,161.53,163.53,161.14,162.94,162.94,229819,0.0,1.0
78,2020-06-02,159.74,163.17,157.23,159.89,159.89,417280,0.0,1.0
79,2020-06-01,155.22,160.04,154.0,159.81,159.81,468178,0.0,1.0
80,2020-05-29,153.04,155.83,150.45,155.4,155.4,522591,0.0,1.0
81,2020-05-28,152.52,155.58,151.685,152.17,152.17,234580,0.0,1.0
82,2020-05-27,155.25,155.25,149.35,154.41,154.41,398998,0.0,1.0
83,2020-05-26,156.03,157.99,152.65,152.99,152.99,587312,0.0,1.0
84,2020-05-22,154.12,157.46,153.87,157.39,157.39,244869,0.0,1.0
85,2020-05-21,160.0,160.48,154.91,155.86,155.86,300235,0.0,1.0
86,2020-05-20,156.71,161.18,156.37,158.28,158.28,398223,0.0,1.0
87,2020-05-19,149.08,156.75,149.08,154.16,154.16,365005,0.0,1.0
88,2020-05-18,150.0,153.12,149.81,150.22,150.22,292782,0.0,1.0
89,2020-05-15,142.51,146.625,141.02,146.18,146.18,356121,0.0,1.0
90,2020-05-14,143.21,146.19,139.7,146.02,146.02,438448,0.0,1.0
91,2020-05-13,150.54,152.005,143.29,145.21,145.21,590601,0.0,1.0
92,2020-05-12,154.99,156.0025,151.33,151.52,151.52,419297,0.0,1.0
93,2020-05-11,147.86,155.06,146.47,153.77,153.77,571498,0.0,1.0
94,2020-05-08,149.85,153.22,149.56,152.06,152.06,613622,0.0,1.0
95,2020-05-07,144.12,149.83,143.13,147.39,147.39,726078,0.0,1.0
96,2020-05-06,145.85,146.96,140.735,144.2,144.2,700916,0.0,1.0
97,2020-05-05,140.0,146.515,136.2,144.1,144.1,1219666,0.0,1.0
98,2020-05-04,117.75,120.86,116.4555,119.07,119.07,518119,0.0,1.0
99,2020-05-01,127.41,127.41,118.545,119.37,119.37,531027,0.0,1.0
100,2020-04-30,131.34,132.27,129.14,129.33,129.33,416567,0.0,1.0
101,2020-04-29,131.42,134.3663,129.525,133.0,133.0,368601,0.0,1.0
102,2020-04-28,128.33,132.77,127.84,131.09,131.09,384097,0.0,1.0
103,2020-04-27,122.44,127.62,122.31,126.08,126.08,233746,0.0,1.0
104,2020-04-24,115.88,121.51,115.88,120.9,120.9,315283,0.0,1.0
105,2020-04-23,114.98,119.195,114.98,116.34,116.34,366158,0.0,1.0
106,2020-04-22,114.44,117.12,113.7,116.51,116.51,223334,0.0,1.0
107,2020-04-21,113.99,115.29,111.41,111.65,111.65,348370,0.0,1.0
108,2020-04-20,118.39,120.4427,116.05,117.94,117.94,305629,0.0,1.0
109,2020-04-17,117.74,121.13,117.01,119.05,119.05,281413,0.0,1.0
110,2020-04-16,116.28,117.36,112.51,115.48,115.48,489134,0.0,1.0
111,2020-04-15,117.9,118.58,113.0101,114.44,114.44,295358,0.0,1.0
112,2020-04-14,119.92,122.15,117.79,120.75,120.75,304678,0.0,1.0
113,2020-04-13,118.29,119.16,115.01,116.99,116.99,252240,0.0,1.0
114,2020-04-09,117.25,121.12,115.5098,119.05,119.05,479912,0.0,1.0
115,2020-04-08,116.36,117.35,112.375,117.31,117.31,368823,0.0,1.0
116,2020-04-07,117.43,119.59,113.595,114.35,114.35,384839,0.0,1.0
117,2020-04-06,106.49,114.62,106.445,113.95,113.95,354385,0.0,1.0
118,2020-04-03,102.09,105.57,101.845,102.74,102.74,516245,0.0,1.0
119,2020-04-02,104.28,108.46,100.92,102.92,102.92,458009,0.0,1.0
120,2020-04-01,106.27,109.89,103.65,105.8,105.8,545970,0.0,1.0
121,2020-03-31,108.71,114.52,108.71,110.28,110.28,344255,0.0,1.0
122,2020-03-30,109.25,111.805,104.65,109.2,109.2,435489,0.0,1.0
123,2020-03-27,113.39,114.37,106.45,109.03,109.03,467011,0.0,1.0
124,2020-03-26,117.76,118.98,113.75,116.98,116.98,472377,0.0,1.0
125,2020-03-25,115.7,123.37,111.7482,116.75,116.75,642463,0.0,1.0
126,2020-03-24,115.26,123.38,113.93,121.2,121.2,616279,0.0,1.0
127,2020-03-23,109.56,115.72,107.06,110.02,110.02,650015,0.0,1.0
