,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,27.27,27.6,27.115,27.19,27.19,2804779,0.0,1.0
1,2020-09-21,27.89,28.05,26.99,27.27,27.27,3741925,0.0,1.0
2,2020-09-18,28.65,28.8253,28.3,28.33,28.33,3288702,0.0,1.0
3,2020-09-17,29.11,29.25,28.72,28.86,28.86,2655931,0.0,1.0
4,2020-09-16,29.05,29.56,28.91,29.32,29.32,2814425,0.0,1.0
5,2020-09-15,29.0,29.33,28.76,29.07,29.07,2052793,0.0,1.0
6,2020-09-14,29.5,29.57,28.88,28.96,28.96,2624411,0.6185,1.0
7,2020-09-11,29.93,30.0051,29.525,29.82,29.1965,2457954,0.0,1.0
8,2020-09-10,30.1,30.21,29.78,29.8,29.1769,3035198,0.0,1.0
9,2020-09-09,30.3,30.79,30.03,30.07,29.4412,3116492,0.0,1.0
10,2020-09-08,30.03,30.39,29.58,30.1,29.4706,2358786,0.0,1.0
11,2020-09-04,30.44,30.64,29.86,30.16,29.5293,2173884,0.0,1.0
12,2020-09-03,30.58,30.68,30.01,30.29,29.6566,2235729,0.0,1.0
13,2020-09-02,29.93,30.54,29.74,30.5,29.8622,2736227,0.0,1.0
14,2020-09-01,30.03,30.14,29.7299,29.94,29.3139,1711078,0.0,1.0
15,2020-08-31,30.34,30.375,30.02,30.09,29.4608,2467822,0.0,1.0
16,2020-08-28,30.46,30.47,30.005,30.34,29.7056,2141317,0.0,1.0
17,2020-08-27,30.33,30.63,30.23,30.45,29.8133,2131401,0.0,1.0
18,2020-08-26,30.23,30.3,29.78,30.26,29.6272,1680849,0.0,1.0
19,2020-08-25,30.45,30.59,29.98,30.38,29.7447,1562267,0.0,1.0
20,2020-08-24,30.19,30.34,29.67,30.34,29.7056,2123883,0.0,1.0
21,2020-08-21,30.19,30.3,30.09,30.21,29.5783,1686723,0.0,1.0
22,2020-08-20,29.97,30.225,29.9,30.1,29.4706,1558929,0.0,1.0
23,2020-08-19,30.0,30.12,29.63,30.0,29.3727,1513307,0.0,1.0
24,2020-08-18,30.31,30.38,29.86,30.0,29.3727,2081501,0.0,1.0
25,2020-08-17,29.79,30.41,29.55,30.33,29.6958,2896070,0.0,1.0
26,2020-08-14,29.27,29.85,29.13,29.74,29.1181,1997768,0.0,1.0
27,2020-08-13,29.74,30.15,29.26,29.36,28.7461,2739896,0.0,1.0
28,2020-08-12,29.71,29.92,29.45,29.82,29.1965,1621061,0.0,1.0
29,2020-08-11,30.0,30.08,29.5,29.56,28.9419,2847884,0.0,1.0
30,2020-08-10,29.47,29.87,29.445,29.75,29.1279,3068911,0.0,1.0
31,2020-08-07,29.1,29.69,29.0,29.45,28.8342,2837509,0.0,1.0
32,2020-08-06,29.76,29.8,28.8,29.09,28.4817,5511630,0.0,1.0
33,2020-08-05,29.0,29.15,28.62,28.98,28.374,2761253,0.0,1.0
34,2020-08-04,27.97,28.94,27.97,28.86,28.2565,2834990,0.0,1.0
35,2020-08-03,28.05,28.15,27.84,28.05,27.4635,2109220,0.0,1.0
36,2020-07-31,28.34,28.44,27.935,28.19,27.6005,3273052,0.0,1.0
37,2020-07-30,27.85,28.27,27.79,28.25,27.6593,2258844,0.0,1.0
38,2020-07-29,28.12,28.32,27.79,28.26,27.6691,2293094,0.0,1.0
39,2020-07-28,27.7,28.08,27.67,27.87,27.2872,3100611,0.0,1.0
40,2020-07-27,27.25,27.75,27.1,27.75,27.1697,1626961,0.0,1.0
41,2020-07-24,27.51,27.68,27.2,27.24,26.6704,1170027,0.0,1.0
42,2020-07-23,27.37,27.75,27.2,27.51,26.9348,2311246,0.0,1.0
43,2020-07-22,27.17,27.8599,27.09,27.5,26.925,3248284,0.0,1.0
44,2020-07-21,27.09,27.31,26.95,27.27,26.6998,2460582,0.0,1.0
45,2020-07-20,27.06,27.2,26.7,26.88,26.3179,1484271,0.0,1.0
46,2020-07-17,27.5,27.58,27.1,27.27,26.6998,2405393,0.0,1.0
47,2020-07-16,27.4,27.72,27.29,27.35,26.7781,1558869,0.0,1.0
48,2020-07-15,27.71,27.75,27.35,27.6,27.0229,2544213,0.0,1.0
49,2020-07-14,26.86,27.38,26.71,27.31,26.7389,2053544,0.0,1.0
50,2020-07-13,26.88,27.06,26.55,26.86,26.2983,2720428,0.0,1.0
51,2020-07-10,26.21,26.78,26.19,26.74,26.1809,2910441,0.0,1.0
52,2020-07-09,26.16,26.22,25.58,26.18,25.6326,2860205,0.0,1.0
53,2020-07-08,26.03,26.18,25.75,26.16,25.613,2497291,0.0,1.0
54,2020-07-07,26.02,26.38,25.8,26.04,25.4955,2928692,0.0,1.0
55,2020-07-06,26.66,26.77,26.22,26.42,25.8675,2974706,0.0,1.0
56,2020-07-02,26.58,26.66,25.96,26.16,25.613,2705050,0.0,1.0
57,2020-07-01,26.28,26.61,26.07,26.25,25.7011,3251553,0.0,1.0
58,2020-06-30,25.75,26.36,25.61,26.1,25.5542,5261609,0.0,1.0
59,2020-06-29,24.92,25.75,24.78,25.7,25.1626,6226113,0.0,1.0
60,2020-06-26,24.62,24.98,24.37,24.67,24.1541,9110315,0.0,1.0
61,2020-06-25,24.86,24.95,24.41,24.64,24.1248,4667813,0.0,1.0
62,2020-06-24,25.75,25.82,24.89,25.03,24.5066,7757350,0.0,1.0
63,2020-06-23,25.96,26.37,25.84,26.1,25.5542,4169556,0.0,1.0
64,2020-06-22,26.1,26.16,25.21,25.75,25.2116,5638965,0.0,1.0
65,2020-06-19,27.47,27.49,26.14,26.34,25.7892,10126117,0.0,1.0
66,2020-06-18,27.51,27.51,26.81,26.98,26.4158,4799659,0.0,1.0
67,2020-06-17,28.29,28.4,27.67,27.85,27.2676,1927656,0.0,1.0
68,2020-06-16,28.99,29.09,27.74,28.17,27.581,2755801,0.0,1.0
69,2020-06-15,26.93,28.26,26.83,28.02,27.4341,2538156,0.0,1.0
70,2020-06-12,28.0,28.0,27.16,27.82,27.2383,3007888,0.6185,1.0
71,2020-06-11,28.04,28.04,26.96,27.61,26.4447,7158863,0.0,1.0
72,2020-06-10,30.03,30.09,28.9,29.34,28.1017,2653577,0.0,1.0
73,2020-06-09,29.77,30.23,29.31,30.13,28.8584,3192946,0.0,1.0
74,2020-06-08,30.25,30.68,29.84,30.56,29.2702,3162327,0.0,1.0
75,2020-06-05,30.03,30.61,29.6,29.71,28.4561,4942972,0.0,1.0
76,2020-06-04,28.35,29.06,28.02,29.06,27.8335,3898901,0.0,1.0
77,2020-06-03,27.17,28.46,27.11,28.4,27.2014,4392553,0.0,1.0
78,2020-06-02,26.64,26.92,26.31,26.71,25.5827,2994650,0.0,1.0
79,2020-06-01,25.77,26.57,25.7,26.41,25.2954,3357295,0.0,1.0
80,2020-05-29,25.47,26.0,25.36,25.76,24.6728,4239267,0.0,1.0
81,2020-05-28,25.87,25.99,25.44,25.7,24.6153,3004311,0.0,1.0
82,2020-05-27,25.41,25.48,24.95,25.46,24.3855,2944672,0.0,1.0
83,2020-05-26,25.1,25.3,24.69,24.85,23.8012,3895510,0.0,1.0
84,2020-05-22,23.91,24.21,23.72,24.17,23.1499,1510804,0.0,1.0
85,2020-05-21,23.72,24.13,23.56,23.93,22.92,2030904,0.0,1.0
86,2020-05-20,24.18,24.34,23.61,23.88,22.8722,2188491,0.0,1.0
87,2020-05-19,23.6,23.98,23.18,23.46,22.4699,2123140,0.0,1.0
88,2020-05-18,23.19,23.89,23.13,23.67,22.671,3376815,0.0,1.0
89,2020-05-15,22.42,22.65,22.19,22.42,21.4738,1887320,0.0,1.0
90,2020-05-14,22.03,22.67,21.54,22.64,21.6845,3330309,0.0,1.0
91,2020-05-13,22.96,23.09,22.57,22.82,21.8569,3181544,0.0,1.0
92,2020-05-12,24.16,24.21,23.03,23.1,22.1251,2938628,0.0,1.0
93,2020-05-11,24.34,24.42,23.92,24.04,23.0254,2274272,0.0,1.0
94,2020-05-08,24.74,25.13,24.37,24.57,23.533,3469664,0.0,1.0
95,2020-05-07,24.0,25.66,23.85,24.55,23.5139,7481519,0.0,1.0
96,2020-05-06,22.78,22.82,21.57,21.92,20.9949,6362965,0.0,1.0
97,2020-05-05,23.15,23.21,22.46,22.54,21.5887,3748736,0.0,1.0
98,2020-05-04,23.45,23.52,22.68,22.92,21.9527,3713798,0.0,1.0
99,2020-05-01,23.67,23.75,23.11,23.6,22.604,2273813,0.0,1.0
100,2020-04-30,24.73,24.81,23.69,24.18,23.1595,3812753,0.0,1.0
101,2020-04-29,25.31,25.64,24.76,24.95,23.897,2877375,0.0,1.0
102,2020-04-28,25.12,25.82,24.7,24.79,23.7438,2650122,0.0,1.0
103,2020-04-27,23.72,24.77,23.64,24.43,23.3989,2706286,0.0,1.0
104,2020-04-24,24.52,24.59,23.33,23.53,22.5369,3733138,0.0,1.0
105,2020-04-23,24.4,24.9,24.33,24.43,23.3989,1647650,0.0,1.0
106,2020-04-22,25.04,25.23,24.42,24.5,23.466,2068531,0.0,1.0
107,2020-04-21,24.26,24.87,24.14,24.7,23.6576,1820097,0.0,1.0
108,2020-04-20,24.48,25.23,24.23,24.67,23.6288,2232553,0.0,1.0
109,2020-04-17,25.0,25.42,24.51,24.99,23.9353,2480962,0.0,1.0
110,2020-04-16,24.77,24.99,24.13,24.25,23.2265,2517648,0.0,1.0
111,2020-04-15,25.84,26.0,24.13,24.61,23.5714,3961360,0.0,1.0
112,2020-04-14,26.9,27.48,26.35,26.67,25.5444,2684346,0.0,1.0
113,2020-04-13,27.11,27.2,25.65,26.24,25.1326,2426552,0.0,1.0
114,2020-04-09,26.5,28.41,26.25,27.11,25.9658,7546039,0.0,1.0
115,2020-04-08,25.1,26.32,24.81,25.95,24.8548,3918317,0.0,1.0
116,2020-04-07,24.23,25.46,24.15,24.66,23.6192,5649120,0.0,1.0
117,2020-04-06,23.5,24.17,22.59,23.31,22.3262,3111834,0.0,1.0
118,2020-04-03,21.3,22.1,21.25,22.06,21.129,2843054,0.0,1.0
119,2020-04-02,21.9,22.3,21.0,21.52,20.6118,4461960,0.0,1.0
120,2020-04-01,22.97,23.49,21.93,22.22,21.2822,3595830,0.0,1.0
121,2020-03-31,24.65,24.83,23.34,23.8,22.7955,3884708,0.0,1.0
122,2020-03-30,24.5,25.06,23.41,24.85,23.8012,2994361,0.0,1.0
123,2020-03-27,24.64,25.3,23.87,24.37,23.3415,4111765,0.0,1.0
124,2020-03-26,25.13,26.66,24.32,25.47,24.3951,4333389,0.0,1.0
125,2020-03-25,24.75,26.91,23.87,25.05,23.9928,4861948,0.0,1.0
126,2020-03-24,23.46,24.66,23.23,24.0,22.9871,4502671,0.0,1.0
127,2020-03-23,22.35,23.33,21.02,22.4,21.4546,3985524,0.0,1.0
128,2020-03-20,25.38,25.64,22.43,22.71,21.7515,5693816,0.0,1.0
129,2020-03-19,25.92,26.5,24.65,25.14,24.079,4340521,0.0,1.0
130,2020-03-18,25.3,26.71,24.52,26.0,24.9027,4892032,0.0,1.0
131,2020-03-17,25.12,28.78,25.02,26.87,25.736,5515608,0.0,1.0
132,2020-03-16,26.03,27.7,24.52,24.63,23.5905,5055640,0.0,1.0
133,2020-03-13,27.38,29.27,26.87,28.99,27.7665,5817515,0.6185,1.0
134,2020-03-12,28.04,28.05,26.24,26.63,24.9733,6145380,0.0,1.0
135,2020-03-11,29.89,30.15,29.06,29.95,28.0867,4906676,0.0,1.0
136,2020-03-10,30.63,30.79,28.73,30.65,28.7432,4601633,0.0,1.0
137,2020-03-09,30.0,30.81,29.54,29.55,27.7116,5993323,0.0,1.0
138,2020-03-06,31.22,31.96,30.74,31.77,29.7935,4507472,0.0,1.0
139,2020-03-05,32.1,32.4,31.63,32.12,30.1217,2404545,0.0,1.0
140,2020-03-04,31.91,32.76,31.79,32.71,30.675,4231842,0.0,1.0
141,2020-03-03,31.76,32.25,31.08,31.41,29.4559,4846786,0.0,1.0
142,2020-03-02,30.63,31.92,30.12,31.7,29.7279,6296469,0.0,1.0
143,2020-02-28,30.75,30.82,29.08,30.41,28.5181,7534300,0.0,1.0
144,2020-02-27,32.75,32.75,31.2,31.2,29.259,5237883,0.0,1.0
145,2020-02-26,33.09,33.46,32.94,33.05,30.9939,3342343,0.0,1.0
