,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,10.22,10.41,9.93,10.19,10.19,5767104,0.0,1.0
1,2020-09-21,10.55,10.65,10.0701,10.22,10.22,7655598,0.0,1.0
2,2020-09-18,11.09,11.18,10.97,10.98,10.98,11346044,0.0,1.0
3,2020-09-17,10.86,11.185,10.679,11.15,11.15,6891936,0.0,1.0
4,2020-09-16,10.48,11.08,10.48,10.89,10.89,5686233,0.0,1.0
5,2020-09-15,10.7,10.75,10.485,10.53,10.53,4688956,0.0,1.0
6,2020-09-14,10.8,10.965,10.61,10.68,10.68,5753158,0.0,1.0
7,2020-09-11,10.36,10.735,10.35,10.7,10.7,8101526,0.0,1.0
8,2020-09-10,10.72,10.774,10.24,10.26,10.26,7114379,0.0,1.0
9,2020-09-09,10.74,10.79,10.52,10.69,10.69,5405429,0.0,1.0
10,2020-09-08,11.17,11.22,10.69,10.7,10.7,7694691,0.0,1.0
11,2020-09-04,11.4,11.56,11.1,11.39,11.39,10788434,0.0,1.0
12,2020-09-03,11.25,11.47,10.865,11.14,11.14,11160226,0.0,1.0
13,2020-09-02,10.2,10.66,10.1,10.63,10.63,5927627,0.0,1.0
14,2020-09-01,10.1,10.325,10.02,10.18,10.18,5142133,0.0,1.0
15,2020-08-31,10.57,10.61,10.18,10.2,10.2,6734290,0.0,1.0
16,2020-08-28,10.82,10.88,10.57,10.73,10.73,2977624,0.0,1.0
17,2020-08-27,10.51,10.88,10.49,10.82,10.82,4687425,0.0,1.0
18,2020-08-26,10.72,10.72,10.47,10.57,10.57,3932795,0.0,1.0
19,2020-08-25,10.68,10.84,10.575,10.7,10.7,4969901,0.0,1.0
20,2020-08-24,10.17,10.61,10.1,10.6,10.6,3691485,0.0,1.0
21,2020-08-21,10.0,10.25,9.9406,10.14,10.14,3499381,0.0,1.0
22,2020-08-20,10.2,10.23,10.0,10.02,10.02,2820786,0.0,1.0
23,2020-08-19,10.31,10.59,10.28,10.33,10.33,2253997,0.0,1.0
24,2020-08-18,10.55,10.685,10.25,10.28,10.28,4376463,0.0,1.0
25,2020-08-17,10.62,10.805,10.53,10.57,10.57,3086450,0.0,1.0
26,2020-08-14,10.55,10.785,10.43,10.68,10.68,4555013,0.0,1.0
27,2020-08-13,10.99,11.12,10.675,10.7,10.7,5652567,0.155,1.0
28,2020-08-12,11.5,11.78,11.22,11.39,11.2274,8707326,0.0,1.0
29,2020-08-11,11.08,11.315,10.91,10.94,10.7838,4520860,0.0,1.0
30,2020-08-10,10.86,10.94,10.76,10.79,10.6359,3581022,0.0,1.0
31,2020-08-07,10.25,10.78,10.19,10.78,10.6261,4376606,0.0,1.0
