,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,89.48,91.76,89.48,91.33,91.33,588475,0.0,1.0
1,2020-09-21,92.5,92.63,88.66,89.29,89.29,1060346,0.0,1.0
2,2020-09-18,93.97,95.34,93.47,94.11,94.11,1636264,0.0,1.0
3,2020-09-17,93.81,95.63,92.7323,94.38,94.38,615647,0.0,1.0
4,2020-09-16,95.3,95.61,94.36,94.64,94.64,778849,0.0,1.0
5,2020-09-15,94.07,95.1,93.5852,94.87,94.87,747280,0.0,1.0
6,2020-09-14,93.74,94.84,93.05,94.03,94.03,740192,0.0,1.0
7,2020-09-11,91.61,93.18,91.17,92.8,92.8,719572,0.0,1.0
8,2020-09-10,92.52,92.83,90.39,91.12,91.12,895300,0.0,1.0
9,2020-09-09,91.56,93.435,91.14,92.8,92.8,911781,0.0,1.0
10,2020-09-08,91.06,91.34,90.02,90.62,90.62,1185304,0.0,1.0
11,2020-09-04,91.64,92.37,90.9,91.96,91.96,938064,0.0,1.0
12,2020-09-03,93.35,93.43,90.26,91.0,91.0,1210075,0.0,1.0
13,2020-09-02,91.72,93.11,90.91,93.11,93.11,605784,0.0,1.0
14,2020-09-01,89.98,91.83,89.615,91.44,91.44,650797,0.0,1.0
15,2020-08-31,88.84,90.65,88.64,90.27,90.27,798709,0.0,1.0
16,2020-08-28,89.39,89.51,88.45,89.46,89.46,354108,0.0,1.0
17,2020-08-27,88.97,89.81,88.11,89.08,89.08,440310,0.0,1.0
18,2020-08-26,87.94,88.86,87.32,88.44,88.44,531143,0.0,1.0
19,2020-08-25,90.0,90.0,88.31,88.48,88.48,633983,0.0,1.0
20,2020-08-24,89.12,89.92,88.74,89.37,89.37,469637,0.0,1.0
21,2020-08-21,88.88,89.3,88.21,88.82,88.82,756301,0.0,1.0
22,2020-08-20,88.87,89.31,88.79,89.03,89.03,515513,0.0,1.0
23,2020-08-19,89.69,90.14,89.3,89.78,89.78,851928,0.0,1.0
24,2020-08-18,90.17,90.48,89.335,89.86,89.86,506097,0.0,1.0
25,2020-08-17,89.95,90.195,89.42,89.97,89.97,590142,0.0,1.0
26,2020-08-14,89.19,90.29,89.19,90.0,90.0,472254,0.0,1.0
27,2020-08-13,89.88,90.71,89.24,89.96,89.96,612223,0.0,1.0
28,2020-08-12,92.38,92.45,90.13,90.49,90.49,953606,0.0,1.0
29,2020-08-11,92.2,92.43,90.43,90.98,90.98,931904,0.0,1.0
30,2020-08-10,91.28,91.56,90.47,91.12,91.12,677448,0.0,1.0
31,2020-08-07,90.09,91.425,89.745,91.32,91.32,551771,0.0,1.0
32,2020-08-06,91.57,92.22,90.02,90.47,90.47,692114,0.0,1.0
33,2020-08-05,92.55,93.14,91.775,92.12,92.12,738442,0.0,1.0
34,2020-08-04,90.86,92.5,90.13,92.36,92.36,965754,0.0,1.0
35,2020-08-03,85.7,91.45,85.35,90.5,90.5,1290976,0.0,1.0
36,2020-07-31,85.26,85.73,83.54,85.35,85.35,906881,0.0,1.0
37,2020-07-30,85.62,86.11,84.639,85.38,85.38,567583,0.0,1.0
38,2020-07-29,84.31,86.73,83.92,86.72,86.72,765940,0.0,1.0
39,2020-07-28,84.17,84.5,83.42,83.71,83.71,566785,0.0,1.0
40,2020-07-27,83.63,84.45,82.92,84.21,84.21,511196,0.0,1.0
41,2020-07-24,84.83,84.89,83.72,83.94,83.94,564430,0.0,1.0
42,2020-07-23,84.16,85.53,83.85,84.64,84.64,507829,0.19,1.0
43,2020-07-22,83.35,84.755,83.35,84.39,84.201,376127,0.0,1.0
44,2020-07-21,83.4,84.49,83.4,83.96,83.7719,480348,0.0,1.0
45,2020-07-20,82.64,83.32,82.42,82.98,82.7941,465438,0.0,1.0
46,2020-07-17,83.35,83.84,82.86,83.52,83.3329,545201,0.0,1.0
47,2020-07-16,81.54,83.41,81.13,82.62,82.4349,770909,0.0,1.0
48,2020-07-15,80.31,81.71,79.62,81.16,80.9782,1524348,0.0,1.0
49,2020-07-14,77.88,80.0,77.51,79.04,78.863,1559215,0.0,1.0
50,2020-07-13,79.92,80.3,78.57,78.73,78.5537,680885,0.0,1.0
51,2020-07-10,78.79,79.59,78.24,78.57,78.394,839569,0.0,1.0
52,2020-07-09,81.42,82.06,78.81,78.85,78.6734,953175,0.0,1.0
53,2020-07-08,83.0,84.32,80.88,81.6,81.4172,1368489,0.0,1.0
54,2020-07-07,85.1,85.1,83.35,83.52,83.3329,660738,0.0,1.0
55,2020-07-06,86.44,87.21,84.25,84.91,84.7198,634306,0.0,1.0
56,2020-07-02,85.65,86.49,84.65,85.66,85.4681,915197,0.0,1.0
57,2020-07-01,85.44,85.98,83.66,83.9,83.7121,1076405,0.0,1.0
58,2020-06-30,84.55,85.21,84.37,84.8,84.6101,903879,0.0,1.0
59,2020-06-29,83.69,84.975,82.51,84.83,84.64,662469,0.0,1.0
60,2020-06-26,83.17,83.46,81.75,82.5,82.3152,1336902,0.0,1.0
61,2020-06-25,82.09,83.76,81.52,83.64,83.4527,717673,0.0,1.0
62,2020-06-24,84.27,84.69,82.46,82.88,82.6944,894130,0.0,1.0
63,2020-06-23,86.74,87.07,85.3,85.32,85.1289,792849,0.0,1.0
64,2020-06-22,85.09,86.18,83.6,85.66,85.4681,755866,0.0,1.0
65,2020-06-19,86.68,87.48,85.01,85.58,85.3883,2310830,0.0,1.0
66,2020-06-18,84.76,85.63,84.41,85.14,84.9493,812778,0.0,1.0
67,2020-06-17,85.52,86.36,84.94,85.42,85.2287,1200966,0.0,1.0
68,2020-06-16,85.87,88.08,84.51,85.12,84.9294,1179000,0.0,1.0
69,2020-06-15,79.9,82.62,78.47,82.39,82.2055,987293,0.0,1.0
70,2020-06-12,82.83,82.9,78.58,80.49,80.3097,1071683,0.0,1.0
71,2020-06-11,82.34,82.84,79.59,80.13,79.9505,1330932,0.0,1.0
72,2020-06-10,88.77,88.77,84.84,84.87,84.6799,822685,0.0,1.0
73,2020-06-09,88.04,89.26,87.81,88.59,88.3916,645398,0.0,1.0
74,2020-06-08,89.15,90.33,88.77,89.51,89.3095,884182,0.0,1.0
75,2020-06-05,90.0,91.48,88.75,89.06,88.8605,765911,0.0,1.0
76,2020-06-04,87.09,87.59,86.6,87.59,87.3938,672036,0.0,1.0
77,2020-06-03,86.54,88.01,86.23,87.81,87.6133,690515,0.0,1.0
78,2020-06-02,85.64,85.88,84.62,85.36,85.1688,729410,0.0,1.0
79,2020-06-01,83.99,85.8,83.22,85.09,84.8994,727435,0.0,1.0
80,2020-05-29,83.15,84.42,82.51,84.02,83.8318,1296141,0.0,1.0
81,2020-05-28,85.12,85.15,83.5,84.29,84.1012,797645,0.0,1.0
82,2020-05-27,82.23,84.37,81.87,84.22,84.0314,1090397,0.0,1.0
83,2020-05-26,79.07,81.2,78.66,80.61,80.4295,838077,0.0,1.0
84,2020-05-22,76.32,77.38,76.25,77.1,76.9273,770647,0.0,1.0
85,2020-05-21,76.49,77.38,76.0,76.97,76.7976,661298,0.0,1.0
86,2020-05-20,75.27,76.74,74.76,76.41,76.2389,783823,0.0,1.0
87,2020-05-19,77.04,77.3,74.25,74.28,74.1136,729860,0.19,1.0
88,2020-05-18,74.95,77.81,74.6,77.37,76.9998,1244278,0.0,1.0
89,2020-05-15,70.64,72.37,70.16,72.11,71.7649,766768,0.0,1.0
