,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,40.8,41.48,40.79,41.33,41.33,3449849,0.0,1.0
1,2020-09-21,41.94,42.03,40.47,40.91,40.91,4655214,0.0,1.0
2,2020-09-18,42.76,43.195,42.41,42.78,42.78,5590469,0.0,1.0
3,2020-09-17,42.48,43.15,42.07,42.97,42.97,4498389,0.0,1.0
4,2020-09-16,42.7,43.13,42.24,42.9,42.9,5812729,0.0,1.0
5,2020-09-15,42.52,42.865,42.235,42.29,42.29,4711658,0.0,1.0
6,2020-09-14,41.95,42.81,41.91,42.51,42.51,4234042,0.0,1.0
7,2020-09-11,41.45,42.315,41.3,41.67,41.67,4951344,0.0,1.0
8,2020-09-10,41.37,41.65,41.01,41.13,41.13,5009517,0.0,1.0
9,2020-09-09,40.78,41.625,40.75,41.21,41.21,4436669,0.0,1.0
10,2020-09-08,41.05,41.34,40.45,40.74,40.74,5846143,0.0,1.0
11,2020-09-04,41.1,41.58,40.7,41.31,41.31,8616388,0.0,1.0
12,2020-09-03,42.2,42.34,40.34,40.54,40.54,4930932,0.0,1.0
13,2020-09-02,41.25,42.325,41.11,42.18,42.18,4217514,0.0,1.0
14,2020-09-01,40.52,41.335,40.365,41.18,41.18,3580853,0.0,1.0
15,2020-08-31,41.29,41.41,40.71,40.73,40.73,4453138,0.0,1.0
16,2020-08-28,41.0,41.33,40.75,41.3,41.3,3702119,0.0,1.0
17,2020-08-27,41.24,41.47,40.775,40.9,40.9,3357164,0.0,1.0
18,2020-08-26,41.14,41.49,40.9,41.07,41.07,4702211,0.0,1.0
19,2020-08-25,41.25,41.37,40.79,41.2,41.2,3753007,0.0,1.0
20,2020-08-24,40.8,41.24,40.74,40.99,40.99,4331795,0.0,1.0
21,2020-08-21,40.23,40.64,39.95,40.59,40.59,7170616,0.0,1.0
22,2020-08-20,39.96,40.62,39.8,40.11,40.11,4732816,0.0,1.0
23,2020-08-19,40.22,40.655,40.13,40.23,40.23,3395100,0.0,1.0
24,2020-08-18,40.65,40.93,40.24,40.33,40.33,4218307,0.0,1.0
25,2020-08-17,40.77,40.935,40.5844,40.73,40.73,3536093,0.0,1.0
26,2020-08-14,40.38,41.03,40.26,40.86,40.86,3105351,0.0,1.0
27,2020-08-13,40.75,41.045,40.35,40.65,40.65,4043283,0.0,1.0
28,2020-08-12,41.09,41.41,40.81,41.06,41.06,4809301,0.0,1.0
29,2020-08-11,41.3,42.13,40.715,40.79,40.79,8454545,0.0,1.0
30,2020-08-10,39.33,40.195,39.08,40.1,40.1,5176018,0.0,1.0
31,2020-08-07,38.41,39.16,38.34,39.05,39.05,3218709,0.0,1.0
32,2020-08-06,38.14,38.61,38.14,38.39,38.39,2762142,0.0,1.0
33,2020-08-05,38.3,38.63,38.075,38.34,38.34,4306432,0.0,1.0
34,2020-08-04,38.59,38.78,37.82,38.36,38.36,5214019,0.0,1.0
35,2020-08-03,38.58,39.15,38.31,38.92,38.92,8042850,0.0,1.0
36,2020-07-31,39.12,39.95,38.11,38.48,38.48,8528746,0.0,1.0
37,2020-07-30,37.33,37.495,36.84,37.24,37.24,4262777,0.0,1.0
38,2020-07-29,36.64,38.28,36.56,37.99,37.99,6896470,0.0,1.0
39,2020-07-28,36.92,37.15,36.53,36.58,36.58,3124616,0.0,1.0
40,2020-07-27,36.72,37.21,36.5,37.07,37.07,3199077,0.0,1.0
41,2020-07-24,37.34,37.43,36.7,36.8,36.8,3674150,0.0,1.0
42,2020-07-23,37.07,37.635,36.975,37.35,37.35,4929233,0.0,1.0
43,2020-07-22,36.47,37.155,36.41,37.05,37.05,3335597,0.0,1.0
44,2020-07-21,36.8,37.11,36.56,36.71,36.71,4355046,0.0,1.0
45,2020-07-20,37.44,37.85,36.79,36.8,36.8,4176003,0.0,1.0
46,2020-07-17,37.23,37.72,36.95,37.67,37.67,6259900,0.0,1.0
47,2020-07-16,36.4,37.57,36.07,37.17,37.17,7025000,0.0,1.0
48,2020-07-15,35.73,36.72,35.64,36.44,36.44,8046200,0.0,1.0
49,2020-07-14,34.0,34.98,33.55,34.97,34.97,6221100,0.0,1.0
50,2020-07-13,34.11,34.56,33.93,34.0,34.0,5851500,0.0,1.0
