,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,94.96,95.66,93.67,94.27,94.27,19166647,0.0,1.0
1,2020-09-21,95.2,96.05,93.82,95.31,95.31,28378768,0.0,1.0
2,2020-09-18,97.89,99.49,97.44,98.35,98.35,20121579,0.0,1.0
3,2020-09-17,98.7,99.3433,97.71,98.56,98.56,18290104,0.0,1.0
4,2020-09-16,99.43,101.13,98.76,99.7,99.7,19284239,0.0,1.0
5,2020-09-15,102.73,102.85,99.14,99.28,99.28,23682973,0.0,1.0
6,2020-09-14,101.51,103.46,101.37,102.47,102.47,19017373,0.0,1.0
7,2020-09-11,99.97,101.36,99.59,101.07,101.07,13784342,0.0,1.0
8,2020-09-10,101.4,102.42,99.64,99.83,99.83,15922793,0.0,1.0
9,2020-09-09,100.8,101.69,99.56,100.87,100.87,13434024,0.0,1.0
10,2020-09-08,102.98,103.57,99.48,99.92,99.92,22108612,0.0,1.0
11,2020-09-04,104.05,105.21,101.37,103.52,103.52,26325470,0.0,1.0
12,2020-09-03,103.32,104.99,100.64,101.33,101.33,23281235,0.0,1.0
13,2020-09-02,99.95,101.94,99.56,101.65,101.65,14475673,0.0,1.0
14,2020-09-01,99.55,100.8712,99.04,100.14,100.14,11602053,0.0,1.0
15,2020-08-31,102.12,102.18,100.02,100.19,100.19,14219441,0.0,1.0
16,2020-08-28,103.14,103.25,101.81,102.77,102.77,13756725,0.0,1.0
17,2020-08-27,99.0,102.65,99.0,102.35,102.35,22163863,0.0,1.0
18,2020-08-26,99.94,100.27,99.05,99.09,99.09,12052437,0.0,1.0
19,2020-08-25,101.27,101.98,99.8,100.5,100.5,13648931,0.0,1.0
20,2020-08-24,98.45,100.21,97.42,100.06,100.06,17898270,0.0,1.0
21,2020-08-21,97.27,98.565,96.94,97.32,97.32,12228301,0.0,1.0
22,2020-08-20,97.26,98.03,96.8,97.37,97.37,13672577,0.0,1.0
23,2020-08-19,98.92,100.59,98.34,98.55,98.55,13533015,0.0,1.0
24,2020-08-18,99.91,99.91,98.12,98.32,98.32,13246506,0.0,1.0
25,2020-08-17,101.5,102.0,99.53,99.71,99.71,14886101,0.0,1.0
26,2020-08-14,101.5,103.31,101.42,102.41,102.41,12134360,0.0,1.0
27,2020-08-13,102.0,103.36,101.635,102.37,102.37,13598648,0.0,1.0
28,2020-08-12,106.16,106.43,101.71,102.94,102.94,19250157,0.0,1.0
29,2020-08-11,103.86,106.16,103.51,103.82,103.82,31518607,0.0,1.0
30,2020-08-10,100.11,102.04,100.0343,100.64,100.64,14989853,0.0,1.0
31,2020-08-07,96.93,99.49,96.56,99.38,99.38,14743678,0.0,1.0
32,2020-08-06,97.58,98.1,96.54,97.24,97.24,10482062,0.0,1.0
