,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,62.72,63.66,62.42,62.67,62.67,2960398,0.0,1.0
1,2020-09-21,62.44,63.25,61.91,62.72,62.72,2793751,0.0,1.0
2,2020-09-18,62.72,63.56,62.27,62.92,62.92,5991890,0.0,1.0
3,2020-09-17,63.35,63.6,62.6686,63.51,63.51,4076610,0.0,1.0
4,2020-09-16,65.59,65.81,63.85,63.93,63.93,5199617,0.0,1.0
5,2020-09-15,65.39,66.295,65.12,65.63,65.63,2105815,0.0,1.0
6,2020-09-14,65.56,66.06,65.365,65.42,65.42,1666106,0.0,1.0
7,2020-09-11,65.89,66.02,65.1,65.44,65.44,2121710,0.0,1.0
8,2020-09-10,66.42,67.17,65.82,66.0,66.0,2185357,0.0,1.0
9,2020-09-09,66.95,67.52,66.09,66.53,66.53,2347924,0.0,1.0
10,2020-09-08,69.0,69.59,65.87,66.34,66.34,3153539,0.0,1.0
11,2020-09-04,69.69,70.25,68.67,69.22,69.22,2563303,0.0,1.0
12,2020-09-03,70.31,71.65,69.25,69.94,69.94,2082167,0.0,1.0
13,2020-09-02,69.08,70.8,69.08,70.42,70.42,1627981,0.0,1.0
14,2020-09-01,70.44,70.78,68.9,69.24,69.24,1716013,0.0,1.0
15,2020-08-31,70.07,71.13,70.01,70.91,70.91,1713410,0.57,1.0
16,2020-08-28,70.36,70.78,69.35,70.54,69.9775,1847152,0.0,1.0
17,2020-08-27,70.5,71.14,70.37,70.46,69.8981,1043495,0.0,1.0
18,2020-08-26,69.3,70.47,69.02,70.38,69.8188,1447565,0.0,1.0
19,2020-08-25,69.83,69.83,68.8,69.49,68.9359,1848210,0.0,1.0
20,2020-08-24,68.97,69.58,68.42,69.58,69.0252,1176681,0.0,1.0
21,2020-08-21,68.79,69.06,68.16,68.89,68.3407,1682726,0.0,1.0
22,2020-08-20,68.84,69.24,68.54,68.74,68.1918,1073272,0.0,1.0
23,2020-08-19,69.97,70.24,68.73,68.85,68.301,1653944,0.0,1.0
24,2020-08-18,69.54,70.465,69.08,70.11,69.5509,1750572,0.0,1.0
25,2020-08-17,69.1,69.79,68.79,69.68,69.1244,1481782,0.0,1.0
26,2020-08-14,68.87,69.34,68.615,69.1,68.549,1279132,0.0,1.0
27,2020-08-13,69.28,69.28,68.54,69.02,68.4696,903151,0.0,1.0
28,2020-08-12,68.3,69.8297,68.18,69.28,68.7275,1206035,0.0,1.0
29,2020-08-11,69.07,69.23,67.91,68.13,67.5867,1386508,0.0,1.0
30,2020-08-10,69.58,69.8,68.56,69.02,68.4696,1476891,0.0,1.0
31,2020-08-07,69.25,69.73,68.7,69.52,68.9656,1316089,0.0,1.0
32,2020-08-06,69.09,69.84,68.94,69.23,68.6779,1548594,0.0,1.0
33,2020-08-05,69.77,70.21,69.16,69.26,68.7077,1096570,0.0,1.0
34,2020-08-04,69.36,69.78,69.06,69.71,69.1541,1871108,0.0,1.0
35,2020-08-03,69.0,69.65,68.76,69.35,68.797,1790064,0.0,1.0
36,2020-07-31,70.1,70.58,68.07,68.99,68.4399,5541573,0.0,1.0
37,2020-07-30,72.0,72.88,69.83,70.59,70.0271,4132870,0.0,1.0
38,2020-07-29,71.3,71.55,70.59,70.94,70.3743,2639756,0.0,1.0
39,2020-07-28,69.97,71.32,69.97,70.91,70.3445,2123573,0.0,1.0
40,2020-07-27,68.5,70.095,68.5,69.97,69.412,2354893,0.0,1.0
41,2020-07-24,68.65,69.21,67.85,68.68,68.1323,1216988,0.0,1.0
42,2020-07-23,67.67,68.48,67.66,68.41,67.8645,1425891,0.0,1.0
43,2020-07-22,67.66,67.71,66.55,67.46,66.9221,1903683,0.0,1.0
44,2020-07-21,67.51,68.45,67.48,67.67,67.1304,1389500,0.0,1.0
45,2020-07-20,68.45,68.5,67.18,67.42,66.8824,2149700,0.0,1.0
46,2020-07-17,68.45,68.84,68.36,68.63,68.0827,1842500,0.0,1.0
47,2020-07-16,68.14,69.04,67.83,68.24,67.6958,1213200,0.0,1.0
48,2020-07-15,68.35,69.05,67.95,68.09,67.547,1242900,0.0,1.0
49,2020-07-14,66.7,68.49,66.51,68.4,67.8546,1764300,0.0,1.0
50,2020-07-13,67.78,67.9,66.47,66.95,66.4161,2133600,0.0,1.0
51,2020-07-10,66.06,67.28,65.95,67.19,66.6542,1794000,0.0,1.0
52,2020-07-09,66.24,66.51,65.68,65.9,65.3745,1708300,0.0,1.0
53,2020-07-08,66.69,66.7,65.48,66.61,66.0788,2506000,0.0,1.0
54,2020-07-07,66.01,66.99,65.58,66.61,66.0788,1233500,0.0,1.0
55,2020-07-06,66.75,67.19,65.78,66.2,65.6721,1450700,0.0,1.0
56,2020-07-02,66.32,66.75,66.12,66.31,65.7812,1016400,0.0,1.0
57,2020-07-01,66.07,66.56,65.5,65.93,65.4043,1777000,0.0,1.0
58,2020-06-30,65.53,66.23,65.0,66.06,65.5332,2095100,0.0,1.0
59,2020-06-29,64.08,65.49,64.01,65.08,64.561,1950661,0.0,1.0
60,2020-06-26,65.7,66.1,63.68,63.86,63.3508,2582700,0.0,1.0
61,2020-06-25,64.78,65.77,64.38,65.51,64.9876,1795600,0.0,1.0
62,2020-06-24,66.24,66.24,64.28,64.88,64.3626,2330900,0.0,1.0
63,2020-06-23,67.03,67.46,66.25,66.32,65.7911,2876300,0.0,1.0
64,2020-06-22,67.59,67.69,66.35,66.7,66.1681,3319300,0.0,1.0
65,2020-06-19,68.2,68.55,67.3,67.78,67.2395,6451600,0.0,1.0
66,2020-06-18,66.96,67.82,66.8,67.75,67.2097,3066800,0.0,1.0
67,2020-06-17,66.85,67.65,66.79,67.08,66.5451,3835400,0.0,1.0
68,2020-06-16,66.01,67.06,65.66,66.68,66.1483,2662600,0.0,1.0
69,2020-06-15,63.27,65.54,62.72,65.49,64.9678,3147600,0.0,1.0
70,2020-06-12,64.28,64.55,63.07,63.59,63.0829,2667900,0.0,1.0
71,2020-06-11,65.53,65.98,63.76,63.77,63.2615,2240100,0.0,1.0
72,2020-06-10,66.41,66.95,66.15,66.52,65.9896,2026700,0.0,1.0
73,2020-06-09,67.0,67.11,66.01,66.2,65.6721,1736100,0.0,1.0
74,2020-06-08,65.26,67.52,65.16,67.17,66.6344,2734700,0.0,1.0
75,2020-06-05,64.87,66.23,64.43,65.62,65.0967,2468100,0.0,1.0
76,2020-06-04,65.22,65.54,64.27,64.71,64.194,1519600,0.0,1.0
77,2020-06-03,67.17,67.22,65.38,65.43,64.9082,2731700,0.0,1.0
78,2020-06-02,65.97,66.87,65.23,66.81,66.2772,2516400,0.0,1.0
79,2020-06-01,65.53,66.35,64.97,66.11,65.5828,1767800,0.0,1.0
80,2020-05-29,64.87,65.64,64.12,65.31,64.7892,2947300,0.57,1.0
81,2020-05-28,65.06,65.84,64.79,65.42,64.3368,3305900,0.0,1.0
82,2020-05-27,62.2,64.61,61.95,64.61,63.5402,2396600,0.0,1.0
83,2020-05-26,62.3,62.79,61.93,62.12,61.0915,1980200,0.0,1.0
84,2020-05-22,61.27,62.16,60.92,62.09,61.062,1338000,0.0,1.0
85,2020-05-21,62.39,62.48,60.72,61.37,60.3539,2222700,0.0,1.0
86,2020-05-20,62.33,62.78,61.49,62.48,61.4455,2039500,0.0,1.0
87,2020-05-19,63.71,63.85,62.32,62.43,61.3963,2214800,0.0,1.0
88,2020-05-18,64.45,64.52,62.93,63.75,62.6945,3166000,0.0,1.0
89,2020-05-15,63.63,64.96,63.5,64.07,63.0092,3931400,0.0,1.0
90,2020-05-14,64.41,64.94,62.83,63.65,62.5961,2104000,0.0,1.0
91,2020-05-13,63.57,64.97,63.57,64.17,63.1075,1569800,0.0,1.0
92,2020-05-12,63.56,64.45,63.51,63.53,62.4781,1358000,0.0,1.0
93,2020-05-11,63.7,64.39,63.13,63.26,62.2126,1682800,0.0,1.0
94,2020-05-08,63.21,63.83,62.76,63.68,62.6256,1362800,0.0,1.0
95,2020-05-07,64.45,64.67,62.51,62.69,61.652,1626400,0.0,1.0
96,2020-05-06,63.3,64.38,62.87,64.09,63.0288,1792900,0.0,1.0
97,2020-05-05,63.59,64.19,63.14,63.24,62.1929,1769000,0.0,1.0
98,2020-05-04,64.87,65.1,63.52,63.67,62.6158,1525800,0.0,1.0
