,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,11.85,11.9,11.36,11.55,11.55,5878663,0.0,1.0
1,2020-09-18,12.72,12.805,12.19,12.2,12.2,8099033,0.0,1.0
2,2020-09-17,12.84,13.03,12.745,12.85,12.85,3930729,0.0,1.0
3,2020-09-16,13.0,13.18,12.8,13.06,13.06,5124776,0.0,1.0
4,2020-09-15,12.44,13.18,12.36,12.97,12.97,6268308,0.0,1.0
5,2020-09-14,11.91,12.415,11.85,12.37,12.37,6067092,0.0,1.0
6,2020-09-11,12.05,12.06,11.54,11.66,11.66,8760496,0.0,1.0
7,2020-09-10,12.1,12.32,12.05,12.13,12.13,5819148,0.0,1.0
8,2020-09-09,12.21,12.29,11.98,12.09,12.09,4402975,0.1,1.0
9,2020-09-08,12.51,12.6,12.21,12.26,12.1594,5595015,0.0,1.0
10,2020-09-04,12.6,12.755,12.335,12.66,12.5561,5199982,0.0,1.0
11,2020-09-03,12.46,12.73,12.2901,12.51,12.4074,3772051,0.0,1.0
12,2020-09-02,12.23,12.37,12.0,12.36,12.2586,4995518,0.0,1.0
13,2020-09-01,11.78,12.36,11.68,12.21,12.1098,4725786,0.0,1.0
14,2020-08-31,12.07,12.07,11.855,11.99,11.8916,6286380,0.0,1.0
15,2020-08-28,11.92,12.09,11.615,12.07,11.971,5936650,0.0,1.0
16,2020-08-27,11.63,11.985,11.63,11.88,11.7825,3042209,0.0,1.0
17,2020-08-26,11.85,11.9,11.505,11.57,11.4751,2527405,0.0,1.0
18,2020-08-25,11.89,12.03,11.59,11.82,11.723,2834839,0.0,1.0
19,2020-08-24,11.49,11.865,11.35,11.85,11.7528,3759241,0.0,1.0
20,2020-08-21,11.54,11.61,11.32,11.43,11.3362,3777710,0.0,1.0
21,2020-08-20,11.34,11.75,11.23,11.55,11.4553,3206754,0.0,1.0
22,2020-08-19,11.78,11.8,11.4,11.43,11.3362,4285418,0.0,1.0
23,2020-08-18,11.96,12.0,11.52,11.75,11.6536,3498049,0.0,1.0
24,2020-08-17,11.99,12.08,11.83,12.0,11.9016,3763777,0.0,1.0
25,2020-08-14,11.93,12.205,11.88,11.98,11.8817,4449409,0.0,1.0
26,2020-08-13,12.25,12.47,11.97,12.01,11.9115,3034873,0.0,1.0
27,2020-08-12,12.52,12.66,12.19,12.39,12.2884,3128033,0.0,1.0
28,2020-08-11,12.63,12.885,12.43,12.46,12.3578,5225826,0.0,1.0
29,2020-08-10,11.96,12.26,11.905,12.07,11.971,5633913,0.0,1.0
30,2020-08-07,11.36,11.94,11.18,11.93,11.8321,4742564,0.0,1.0
31,2020-08-06,11.24,11.61,11.24,11.44,11.3462,5193602,0.0,1.0
32,2020-08-05,11.68,11.77,11.22,11.32,11.2271,4781949,0.0,1.0
33,2020-08-04,11.14,11.605,11.12,11.54,11.4453,3833392,0.0,1.0
34,2020-08-03,11.11,11.18,10.88,11.09,10.999,3225513,0.0,1.0
35,2020-07-31,11.23,11.2318,10.84,11.15,11.0585,14200439,0.0,1.0
36,2020-07-30,11.07,11.28,10.82,11.23,11.1379,6250936,0.0,1.0
37,2020-07-29,11.32,11.45,10.825,11.33,11.2371,9111121,0.0,1.0
38,2020-07-28,10.65,11.24,10.53,11.12,11.0288,6390118,0.0,1.0
39,2020-07-27,10.68,10.77,10.35,10.71,10.6221,6599177,0.0,1.0
40,2020-07-24,11.09,11.26,10.74,10.75,10.6618,5944230,0.0,1.0
41,2020-07-23,11.19,11.3565,11.02,11.09,10.999,6380570,0.0,1.0
42,2020-07-22,11.11,11.418,10.99,11.29,11.1974,5589953,0.0,1.0
43,2020-07-21,11.37,11.52,11.14,11.21,11.118,6117600,0.0,1.0
44,2020-07-20,11.59,11.7,11.21,11.25,11.1577,4613900,0.0,1.0
45,2020-07-17,11.88,11.88,11.45,11.62,11.5247,4768000,0.0,1.0
46,2020-07-16,11.85,12.0,11.74,11.84,11.7429,5607900,0.0,1.0
47,2020-07-15,11.9,12.07,11.66,12.02,11.9214,9877300,0.0,1.0
48,2020-07-14,11.71,11.77,11.43,11.5,11.4057,3959000,0.0,1.0
49,2020-07-13,12.25,12.3,11.65,11.8,11.7032,4136700,0.0,1.0
50,2020-07-10,11.76,12.12,11.74,12.1,12.0007,3570500,0.0,1.0
51,2020-07-09,12.1,12.17,11.66,11.84,11.7429,4718300,0.0,1.0
52,2020-07-08,12.14,12.22,11.77,12.15,12.0503,3769200,0.0,1.0
53,2020-07-07,12.67,12.67,12.14,12.15,12.0503,3972600,0.0,1.0
54,2020-07-06,13.3,13.4,12.78,12.93,12.8239,3497900,0.0,1.0
55,2020-07-02,13.33,13.46,12.73,12.76,12.6553,3597900,0.0,1.0
56,2020-07-01,12.93,13.4,12.89,12.91,12.8041,6099100,0.0,1.0
57,2020-06-30,12.77,13.15,12.65,12.84,12.7347,6929400,0.0,1.0
58,2020-06-29,12.7,12.92,12.38,12.72,12.6157,6410454,0.0,1.0
59,2020-06-26,12.7,12.92,12.44,12.52,12.4173,7351800,0.0,1.0
60,2020-06-25,12.5,12.91,12.44,12.75,12.6454,5812200,0.0,1.0
61,2020-06-24,12.77,12.88,12.19,12.81,12.7049,5392100,0.0,1.0
62,2020-06-23,13.32,13.54,12.95,13.05,12.9429,4625000,0.0,1.0
63,2020-06-22,12.63,13.12,12.49,13.06,12.9529,4770100,0.0,1.0
64,2020-06-19,13.61,13.66,12.7,12.72,12.6157,12156600,0.0,1.0
65,2020-06-18,13.11,13.41,12.9,13.33,13.2206,4611000,0.0,1.0
66,2020-06-17,14.15,14.16,13.32,13.33,13.2206,4258700,0.0,1.0
67,2020-06-16,14.62,14.69,13.81,14.13,14.0141,6372900,0.0,1.0
68,2020-06-15,12.62,13.8,12.51,13.62,13.5083,6629300,0.0,1.0
69,2020-06-12,13.48,13.86,12.99,13.76,13.6471,6723900,0.0,1.0
70,2020-06-11,12.67,13.54,12.42,12.55,12.447,9753000,0.0,1.0
71,2020-06-10,14.71,14.81,13.84,14.06,13.9447,8064800,0.0,1.0
72,2020-06-09,14.44,15.24,14.43,14.92,14.7976,7228700,0.0,1.0
73,2020-06-08,15.82,16.06,15.54,15.69,15.5613,7750000,0.0,1.0
74,2020-06-05,15.32,15.89,15.02,15.22,15.0951,8813100,0.0,1.0
75,2020-06-04,13.8,14.35,13.43,14.31,14.1926,7499100,0.0,1.0
76,2020-06-03,12.9,14.09,12.86,13.9,13.786,10540400,0.0,1.0
77,2020-06-02,12.24,12.64,12.11,12.48,12.3776,7177400,0.0,1.0
78,2020-06-01,11.15,12.17,11.1,11.98,11.8817,8212500,0.0,1.0
79,2020-05-29,11.49,11.6,10.96,11.11,11.0189,38668600,0.0,1.0
