,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,178.36,181.22,175.612,181.1,181.1,1099329,0.0,1.0
1,2020-09-18,181.23,184.55,176.64,178.96,178.96,1792847,0.0,1.0
2,2020-09-17,175.37,180.72,174.7,180.49,180.49,1090140,0.0,1.0
3,2020-09-16,182.4,185.19,180.61,180.81,180.81,1624484,0.0,1.0
4,2020-09-15,179.98,180.94,177.33,180.76,180.76,1441443,0.0,1.0
5,2020-09-14,176.56,178.51,174.99,178.08,178.08,1254365,0.0,1.0
6,2020-09-11,174.87,176.52,171.31,171.94,171.94,1318835,0.0,1.0
7,2020-09-10,176.03,177.35,172.62,173.13,173.13,2413087,0.0,1.0
8,2020-09-09,178.9163,179.94,172.8501,174.46,174.46,2314517,0.0,1.0
9,2020-09-08,181.19,182.67,173.825,174.47,174.47,2919401,0.0,1.0
10,2020-09-04,199.84,200.43,186.78,193.37,193.37,2380604,0.0,1.0
11,2020-09-03,213.61,214.04,200.25,201.41,201.41,1807358,0.0,1.0
12,2020-09-02,210.68,216.17,209.0,215.54,215.54,1171850,0.0,1.0
13,2020-09-01,205.89,208.485,204.51,207.95,207.95,738071,0.0,1.0
14,2020-08-31,207.78,208.11,203.98,205.14,205.14,930130,0.0,1.0
15,2020-08-28,204.79,208.92,203.95,208.61,208.61,828891,0.0,1.0
16,2020-08-27,213.78,214.14,203.5,204.45,204.45,1158966,0.0,1.0
17,2020-08-26,209.77,212.66,209.595,212.23,212.23,615178,0.0,1.0
18,2020-08-25,208.03,211.18,207.19,210.28,210.28,869698,0.0,1.0
19,2020-08-24,207.5,208.67,205.3,208.36,208.36,922389,0.0,1.0
20,2020-08-21,206.75,206.87,202.1132,203.97,203.97,1425883,0.0,1.0
21,2020-08-20,206.6,208.8325,205.08,206.85,206.85,915264,0.0,1.0
22,2020-08-19,212.71,212.719,209.49,210.54,210.54,734320,0.0,1.0
23,2020-08-18,217.71,217.9,211.365,211.76,211.76,842705,0.0,1.0
24,2020-08-17,213.19,218.57,212.81,216.63,216.63,1303676,0.0,1.0
25,2020-08-14,210.08,215.2,209.5,211.51,211.51,1209398,0.9,1.0
26,2020-08-13,207.79,210.26,206.42,209.96,209.0704,1152713,0.0,1.0
27,2020-08-12,201.56,208.76,201.11,208.0,207.1187,823551,0.0,1.0
28,2020-08-11,203.56,204.82,200.05,200.54,199.6903,745274,0.0,1.0
29,2020-08-10,201.4,203.36,198.25,203.09,202.2295,1018875,0.0,1.0
30,2020-08-07,201.86,206.5322,200.29,202.85,201.9905,990972,0.0,1.0
31,2020-08-06,203.25,204.2,200.99,203.59,202.7274,1036683,0.0,1.0
32,2020-08-05,206.02,206.2,202.365,203.99,203.1257,834902,0.0,1.0
33,2020-08-04,200.241,205.17,200.1543,204.9,204.0318,1727901,0.0,1.0
34,2020-08-03,202.59,208.04,202.5,207.65,206.7702,1809921,0.0,1.0
35,2020-07-31,200.0,200.0,195.04,199.83,198.9833,1150187,0.0,1.0
36,2020-07-30,194.81,199.0,193.75,197.9,197.0615,1166931,0.0,1.0
37,2020-07-29,191.5,195.72,190.34,195.13,194.3032,1479781,0.0,1.0
38,2020-07-28,195.3,196.93,192.19,192.47,191.6545,1151974,0.0,1.0
39,2020-07-27,192.27,197.88,190.185,197.07,196.235,1857903,0.0,1.0
40,2020-07-24,196.39,197.26,187.14,188.21,187.4125,2477569,0.0,1.0
41,2020-07-23,205.78,209.3,202.29,203.92,203.056,1156125,0.0,1.0
42,2020-07-22,204.99,206.865,203.21,205.94,205.0674,947247,0.0,1.0
43,2020-07-21,203.87,204.68,200.79,203.51,202.6477,921000,0.0,1.0
44,2020-07-20,197.32,203.97,196.57,203.01,202.1498,756600,0.0,1.0
45,2020-07-17,198.02,198.38,195.02,197.2,196.3644,824200,0.0,1.0
46,2020-07-16,193.98,197.48,193.0,196.04,195.2094,989600,0.0,1.0
47,2020-07-15,201.86,204.17,194.31,196.04,195.2094,1454200,0.0,1.0
48,2020-07-14,197.81,201.65,194.01,200.93,200.0786,1612000,0.0,1.0
49,2020-07-13,204.96,207.78,199.08,199.57,198.7244,1152500,0.0,1.0
50,2020-07-10,203.6,204.2,198.23,202.26,201.403,994900,0.0,1.0
51,2020-07-09,203.0,206.49,200.64,203.59,202.7274,1083700,0.0,1.0
52,2020-07-08,203.33,205.73,201.18,204.51,203.6435,748700,0.0,1.0
53,2020-07-07,203.48,205.33,201.8,202.69,201.8312,1311300,0.0,1.0
54,2020-07-06,199.39,206.51,198.22,203.59,202.7274,1367400,0.0,1.0
55,2020-07-02,194.56,198.21,194.27,196.51,195.6774,1247000,0.0,1.0
56,2020-07-01,194.48,195.27,191.92,193.15,192.3316,1262000,0.0,1.0
57,2020-06-30,191.03,195.86,191.03,194.48,193.656,1253500,0.0,1.0
58,2020-06-29,190.54,191.75,186.585,191.73,190.9176,677689,0.0,1.0
59,2020-06-26,192.63,193.2,189.04,189.57,188.7668,1713500,0.0,1.0
60,2020-06-25,190.91,192.71,187.42,192.35,191.535,1133700,0.0,1.0
61,2020-06-24,192.21,193.0,185.69,188.62,187.8208,1486600,0.0,1.0
62,2020-06-23,195.16,195.16,192.29,193.21,192.3914,1089200,0.0,1.0
63,2020-06-22,189.35,193.77,189.35,191.86,191.0471,1179200,0.0,1.0
64,2020-06-19,196.43,197.5,192.05,193.1,192.2818,3331000,0.0,1.0
65,2020-06-18,194.29,194.29,192.05,193.74,192.9191,938000,0.0,1.0
66,2020-06-17,193.17,196.3,192.17,193.89,193.0685,1246200,0.0,1.0
67,2020-06-16,193.86,196.97,188.73,192.99,192.1723,1482500,0.0,1.0
68,2020-06-15,178.24,188.13,176.58,187.75,186.9545,1270800,0.0,1.0
69,2020-06-12,186.17,188.4,180.07,184.69,183.9075,1253100,0.0,1.0
70,2020-06-11,191.32,191.32,179.84,180.58,179.8149,1460300,0.0,1.0
71,2020-06-10,192.43,195.0,190.34,192.77,191.9532,779600,0.0,1.0
72,2020-06-09,190.54,192.55,188.65,191.03,190.2206,776000,0.0,1.0
73,2020-06-08,193.62,194.06,188.77,191.87,191.057,816400,0.0,1.0
74,2020-06-05,190.22,196.25,189.33,192.48,191.6644,1500200,0.0,1.0
75,2020-06-04,184.81,189.12,183.69,186.29,185.5007,1068700,0.0,1.0
76,2020-06-03,178.84,186.95,178.38,186.05,185.2617,1659800,0.0,1.0
77,2020-06-02,175.3,177.55,172.94,177.29,176.5388,892600,0.0,1.0
78,2020-06-01,175.0,178.4,173.45,175.96,175.2144,1085400,0.0,1.0
79,2020-05-29,176.0,177.97,173.57,175.96,175.2144,1792100,0.0,1.0
80,2020-05-28,177.66,180.22,173.4,174.61,173.8702,1272000,0.0,1.0
81,2020-05-27,178.12,178.9,168.24,176.73,175.9812,1659600,0.0,1.0
82,2020-05-26,176.91,180.33,174.69,176.64,175.8916,1911100,0.0,1.0
83,2020-05-22,173.77,173.97,170.4,173.0,172.267,666400,0.0,1.0
84,2020-05-21,176.13,177.25,171.86,172.43,171.6994,1001800,0.0,1.0
85,2020-05-20,175.5,180.21,174.97,177.92,177.1661,1302600,0.0,1.0
86,2020-05-19,172.21,177.63,171.14,172.52,171.789,1074800,0.0,1.0
87,2020-05-18,171.81,173.47,168.78,172.31,171.5799,1492100,0.0,1.0
88,2020-05-15,168.03,171.62,165.98,167.43,166.7206,3709900,0.85,1.0
89,2020-05-14,162.55,176.96,158.89,176.75,175.1121,2683500,0.0,1.0
90,2020-05-13,165.37,168.61,160.66,164.07,162.5496,1805100,0.0,1.0
91,2020-05-12,170.22,171.19,165.41,165.57,164.0357,965300,0.0,1.0
92,2020-05-11,169.19,169.95,167.28,168.78,167.216,1145800,0.0,1.0
93,2020-05-08,166.83,172.39,165.68,171.5,169.9107,1265400,0.0,1.0
94,2020-05-07,167.37,169.69,163.57,163.84,162.3217,1682200,0.0,1.0
95,2020-05-06,163.41,169.13,158.46,163.81,162.292,2422700,0.0,1.0
96,2020-05-05,156.46,160.69,153.96,155.63,154.1878,1868900,0.0,1.0
97,2020-05-04,149.68,152.87,147.54,152.0,150.5914,1473200,0.0,1.0
98,2020-05-01,158.3,158.89,147.71,150.27,148.8775,2692500,0.0,1.0
99,2020-04-30,173.95,175.31,163.97,164.09,162.5694,1241400,0.0,1.0
100,2020-04-29,169.93,177.17,168.21,175.89,174.2601,1518900,0.0,1.0
101,2020-04-28,168.39,170.77,165.95,166.27,164.7292,1198900,0.0,1.0
102,2020-04-27,167.04,169.24,164.64,166.06,164.5212,1030500,0.0,1.0
103,2020-04-24,160.98,165.57,158.02,164.92,163.3917,1492500,0.0,1.0
104,2020-04-23,158.44,160.84,157.01,159.45,157.9724,1404500,0.0,1.0
105,2020-04-22,154.31,159.36,151.29,158.68,157.2095,1207500,0.0,1.0
106,2020-04-21,153.44,154.18,147.46,148.59,147.213,1284700,0.0,1.0
107,2020-04-20,158.79,160.34,156.05,156.3,154.8516,634800,0.0,1.0
108,2020-04-17,160.93,162.29,157.79,161.21,159.7161,998100,0.0,1.0
109,2020-04-16,158.21,160.75,154.23,156.65,155.1984,1563000,0.0,1.0
110,2020-04-15,158.18,158.3,151.11,153.22,151.8001,1278600,0.0,1.0
111,2020-04-14,155.1,162.34,153.81,161.73,160.2313,1274700,0.0,1.0
112,2020-04-13,149.5,152.42,148.18,152.09,150.6806,868300,0.0,1.0
113,2020-04-09,152.15,157.87,148.49,150.12,148.7289,1303800,0.0,1.0
114,2020-04-08,149.59,153.15,146.91,152.37,150.958,1350000,0.0,1.0
115,2020-04-07,154.1,155.0,146.52,147.27,145.9053,1454100,0.0,1.0
116,2020-04-06,135.21,149.21,132.93,148.5,147.1239,1846000,0.0,1.0
117,2020-04-03,130.82,132.99,125.56,127.94,126.7544,1143700,0.0,1.0
118,2020-04-02,129.57,133.79,129.31,132.44,131.2127,1346000,0.0,1.0
119,2020-04-01,138.7,141.22,129.66,131.61,130.3904,1660800,0.0,1.0
120,2020-03-31,150.84,150.84,141.53,143.74,142.408,2907200,0.0,1.0
121,2020-03-30,142.07,150.57,142.0,149.52,148.1344,1623700,0.0,1.0
122,2020-03-27,145.04,147.17,141.32,142.24,140.9219,2240600,0.0,1.0
123,2020-03-26,140.77,150.47,139.06,149.76,148.3722,1870400,0.0,1.0
124,2020-03-25,135.72,145.94,134.39,137.47,136.1961,1703000,0.0,1.0
125,2020-03-24,121.7,136.55,120.0,136.36,135.0964,2776100,0.0,1.0
126,2020-03-23,114.32,120.69,110.19,116.36,115.2817,2124900,0.0,1.0
127,2020-03-20,129.71,132.55,113.08,114.02,112.9634,2632600,0.0,1.0
128,2020-03-19,131.88,135.42,126.76,127.36,126.1798,1954800,0.0,1.0
129,2020-03-18,132.25,143.13,127.36,132.02,130.7966,2664600,0.0,1.0
130,2020-03-17,131.87,150.44,125.64,149.63,148.2434,3213600,0.0,1.0
131,2020-03-16,128.69,140.48,126.19,129.5,128.3,2752300,0.0,1.0
132,2020-03-13,132.82,145.76,127.89,145.37,144.0229,2804300,0.0,1.0
133,2020-03-12,135.24,139.0,125.25,125.36,124.1983,2672700,0.0,1.0
134,2020-03-11,150.13,152.22,142.62,144.92,143.5771,2730500,0.0,1.0
135,2020-03-10,148.51,154.76,145.58,154.57,153.1376,2438500,0.0,1.0
136,2020-03-09,144.98,150.49,144.26,144.92,143.5771,2815600,0.0,1.0
137,2020-03-06,152.05,156.14,151.49,155.68,154.2373,1858400,0.0,1.0
138,2020-03-05,156.65,158.88,154.48,156.69,155.238,1697000,0.0,1.0
139,2020-03-04,157.09,160.71,154.66,160.71,159.2207,1493300,0.0,1.0
140,2020-03-03,156.81,159.29,152.38,153.81,152.3847,2397400,0.0,1.0
141,2020-03-02,154.5,159.0,151.71,158.74,157.269,2706400,0.0,1.0
142,2020-02-28,142.09,153.93,142.09,153.71,152.2856,3695100,0.0,1.0
143,2020-02-27,142.81,148.38,142.27,147.99,146.6186,3589700,0.0,1.0
144,2020-02-26,149.0,150.65,146.22,147.27,145.9053,1879300,0.0,1.0
145,2020-02-25,155.28,155.99,147.07,147.41,146.044,2046900,0.0,1.0
146,2020-02-24,154.75,156.86,152.9,153.73,152.3054,2649600,0.0,1.0
147,2020-02-21,165.67,166.25,160.81,161.12,159.6269,1909900,0.0,1.0
148,2020-02-20,171.74,172.42,165.67,167.3,165.7497,1664400,0.85,1.0
149,2020-02-19,172.21,174.82,171.0,172.98,170.5107,1069300,0.0,1.0
150,2020-02-18,167.0,172.0,166.67,169.23,166.8142,1778300,0.0,1.0
151,2020-02-14,179.12,179.76,174.89,176.28,173.7636,864800,0.0,1.0
152,2020-02-13,175.68,180.08,174.91,178.72,176.1688,1158000,0.0,1.0
153,2020-02-12,174.0,176.46,173.85,175.97,173.458,957700,0.0,1.0
154,2020-02-11,169.21,173.53,168.33,173.04,170.5699,1269000,0.0,1.0
155,2020-02-10,164.1,169.01,164.08,168.92,166.5087,1680300,0.0,1.0
156,2020-02-07,170.71,171.27,164.76,165.1,162.7432,1492800,0.0,1.0
157,2020-02-06,171.43,173.39,170.15,171.74,169.2884,1370300,0.0,1.0
158,2020-02-05,176.06,177.79,168.8,171.28,168.835,3113142,0.0,1.0
159,2020-02-04,174.33,178.8,173.84,178.8,176.2476,1735900,0.0,1.0
160,2020-02-03,167.27,170.65,167.01,169.93,167.5043,1181500,0.0,1.0
161,2020-01-31,171.38,172.75,165.25,165.74,163.3741,1505700,0.0,1.0
162,2020-01-30,173.5,175.37,169.57,172.92,170.4516,1447964,0.0,1.0
163,2020-01-29,176.35,176.94,171.66,171.72,169.2687,1028900,0.0,1.0
164,2020-01-28,172.2,176.33,171.7,175.93,173.4186,938100,0.0,1.0
165,2020-01-27,174.77,175.23,169.85,170.31,167.8788,1581300,0.0,1.0
166,2020-01-24,183.88,184.5,178.43,179.4,176.8391,961000,0.0,1.0
167,2020-01-23,179.82,182.66,179.12,182.55,179.9441,1056900,0.0,1.0
168,2020-01-22,180.0,182.78,179.87,180.13,177.5587,1084600,0.0,1.0
169,2020-01-21,177.65,180.89,177.57,178.81,176.2575,1571400,0.0,1.0
170,2020-01-17,180.87,180.9,177.36,178.73,176.1786,1604700,0.0,1.0
171,2020-01-16,179.5,181.83,179.01,180.91,178.3275,1197200,0.0,1.0
172,2020-01-15,177.09,178.7,175.85,177.92,175.3802,922800,0.0,1.0
173,2020-01-14,175.91,178.22,174.07,177.48,174.9465,1279600,0.0,1.0
174,2020-01-13,173.97,175.11,173.36,175.1,172.6005,662000,0.0,1.0
