,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,145.85,146.81,144.36,145.87,145.87,1238779,0.0,1.0
1,2020-09-18,146.04,147.34,144.68,145.97,145.97,1949365,0.0,1.0
2,2020-09-17,146.77,147.82,145.39,146.62,146.62,1450440,0.0,1.0
3,2020-09-16,146.76,148.92,146.58,147.75,147.75,1476607,0.0,1.0
4,2020-09-15,148.5,149.55,146.39,146.48,146.48,1811480,0.0,1.0
5,2020-09-14,149.26,149.6594,148.15,148.5,148.5,1583490,0.0,1.0
6,2020-09-11,148.6,149.04,147.25,148.5,148.5,2101182,0.0,1.0
7,2020-09-10,151.1,151.61,148.03,148.15,148.15,1723610,0.0,1.0
8,2020-09-09,150.82,153.07,150.54,151.45,151.45,1730858,0.0,1.0
9,2020-09-08,152.3,153.0,148.3337,148.97,148.97,2038602,0.0,1.0
10,2020-09-04,152.34,154.28,150.09,152.23,152.23,1592809,0.0,1.0
11,2020-09-03,155.73,156.43,151.0,152.25,152.25,1543142,1.07,1.0
12,2020-09-02,154.05,157.35,154.05,156.51,155.4177,1365555,0.0,1.0
13,2020-09-01,157.39,157.7,153.93,154.26,153.1834,1419027,0.0,1.0
14,2020-08-31,156.42,157.91,156.405,157.76,156.659,1147919,0.0,1.0
15,2020-08-28,156.12,156.58,154.6522,156.5,155.4078,897596,0.0,1.0
16,2020-08-27,156.57,157.59,156.14,156.2,155.1099,899370,0.0,1.0
17,2020-08-26,155.84,156.76,155.48,156.0,154.9113,1238542,0.0,1.0
18,2020-08-25,157.68,157.68,155.79,156.05,154.9609,1169760,0.0,1.0
19,2020-08-24,157.33,158.1,156.82,157.42,156.3214,1003755,0.0,1.0
20,2020-08-21,157.38,157.62,156.14,157.3,156.2022,1354591,0.0,1.0
21,2020-08-20,157.0,157.91,156.35,157.57,156.4703,746736,0.0,1.0
22,2020-08-19,157.95,158.43,157.03,157.35,156.2519,1065392,0.0,1.0
23,2020-08-18,157.71,158.5,156.17,157.62,156.52,2209079,0.0,1.0
24,2020-08-17,157.95,158.88,157.56,157.81,156.7087,1190757,0.0,1.0
25,2020-08-14,158.43,158.71,157.74,158.23,157.1257,1174041,0.0,1.0
26,2020-08-13,158.72,159.14,157.82,158.46,157.3541,837130,0.0,1.0
27,2020-08-12,156.59,160.16,156.15,158.84,157.7315,1096875,0.0,1.0
28,2020-08-11,157.88,158.38,155.17,155.79,154.7028,1643455,0.0,1.0
29,2020-08-10,157.61,158.93,157.17,158.09,156.9867,1841063,0.0,1.0
30,2020-08-07,156.5,158.31,156.45,157.26,156.1625,1648448,0.0,1.0
31,2020-08-06,155.67,156.88,155.215,156.47,155.378,1093916,0.0,1.0
32,2020-08-05,155.73,156.575,155.14,155.84,154.7524,1352243,0.0,1.0
33,2020-08-04,152.0,156.31,151.44,156.3,155.2092,1895893,0.0,1.0
34,2020-08-03,151.59,152.48,151.07,151.6,150.542,1068102,0.0,1.0
35,2020-07-31,151.09,152.5206,150.42,152.04,150.9789,1907467,0.0,1.0
36,2020-07-30,152.01,152.01,150.21,151.96,150.8995,1193651,0.0,1.0
37,2020-07-29,150.77,152.73,150.0,152.04,150.9789,1860895,0.0,1.0
38,2020-07-28,147.7,150.79,147.5,150.78,149.7277,2568330,0.0,1.0
39,2020-07-27,147.13,148.22,146.1,147.38,146.3515,1652552,0.0,1.0
40,2020-07-24,147.77,148.9,146.66,147.34,146.3117,1759344,0.0,1.0
41,2020-07-23,145.44,149.36,145.0,147.33,146.3018,3576642,0.0,1.0
42,2020-07-22,143.78,144.8,142.41,144.3,143.2929,1259563,0.0,1.0
43,2020-07-21,143.95,144.78,142.6,143.8,142.7964,1128800,0.0,1.0
44,2020-07-20,144.47,144.64,142.29,142.69,141.6942,1884600,0.0,1.0
45,2020-07-17,144.39,144.91,143.7,144.37,143.3625,1212200,0.0,1.0
46,2020-07-16,143.71,144.62,142.41,143.68,142.6773,1048900,0.0,1.0
47,2020-07-15,144.22,145.0,142.73,143.28,142.2801,1281800,0.0,1.0
48,2020-07-14,142.23,144.31,142.17,143.96,142.9553,1408700,0.0,1.0
49,2020-07-13,143.1,144.68,141.7,142.14,141.148,1473600,0.0,1.0
50,2020-07-10,142.68,143.78,141.8,143.24,142.2403,1073400,0.0,1.0
51,2020-07-09,143.01,143.86,141.96,142.22,141.2275,1209600,0.0,1.0
52,2020-07-08,142.39,143.5,142.11,143.35,142.3496,1210100,0.0,1.0
53,2020-07-07,142.31,143.89,141.73,142.52,141.5254,1313200,0.0,1.0
54,2020-07-06,143.79,144.43,141.78,142.73,141.7339,1076400,0.0,1.0
55,2020-07-02,143.13,144.04,142.4,143.2,142.2006,1049900,0.0,1.0
56,2020-07-01,141.16,142.74,141.01,141.89,140.8998,954600,0.0,1.0
57,2020-06-30,139.86,141.81,139.76,141.35,140.3635,1504600,0.0,1.0
58,2020-06-29,138.1,140.04,137.15,139.45,138.4768,1073344,0.0,1.0
59,2020-06-26,138.99,139.95,136.0,136.89,135.9347,2516200,0.0,1.0
60,2020-06-25,138.51,138.87,136.88,138.79,137.8214,1306200,0.0,1.0
61,2020-06-24,140.0,140.72,137.82,137.91,136.9475,1622300,0.0,1.0
62,2020-06-23,142.53,143.34,140.17,140.56,139.5791,1775800,0.0,1.0
63,2020-06-22,142.71,143.43,141.05,142.06,141.0686,1098900,0.0,1.0
64,2020-06-19,144.54,144.86,141.68,143.96,142.9553,5321200,0.0,1.0
65,2020-06-18,142.06,142.87,141.59,142.41,141.4161,1137300,0.0,1.0
66,2020-06-17,141.08,143.1,140.64,142.05,141.0587,1381300,0.0,1.0
67,2020-06-16,140.74,141.41,139.16,140.64,139.6585,1450700,0.0,1.0
68,2020-06-15,134.86,139.52,133.77,139.11,138.1392,1893700,0.0,1.0
69,2020-06-12,137.29,138.36,135.22,135.94,134.9913,1634400,0.0,1.0
70,2020-06-11,139.72,140.45,136.52,136.97,136.0141,2108200,0.0,1.0
71,2020-06-10,138.83,139.55,137.85,138.51,137.5434,1470500,0.0,1.0
72,2020-06-09,139.18,139.3,136.9,138.58,137.6129,1595200,0.0,1.0
73,2020-06-08,137.22,139.28,137.08,138.92,137.9505,1959700,0.0,1.0
74,2020-06-05,137.89,140.67,135.45,139.28,138.308,2427300,0.0,1.0
75,2020-06-04,140.06,140.78,137.42,137.72,136.7589,1515600,1.07,1.0
76,2020-06-03,143.36,143.36,141.34,141.66,139.5869,1417800,0.0,1.0
77,2020-06-02,140.65,142.09,140.2,142.05,139.9712,1215700,0.0,1.0
78,2020-06-01,141.5,142.69,140.65,141.28,139.2124,846400,0.0,1.0
79,2020-05-29,141.02,141.81,139.57,141.44,139.3701,1945500,0.0,1.0
80,2020-05-28,139.8,141.37,138.8,140.8,138.7395,1961600,0.0,1.0
81,2020-05-27,136.18,138.43,134.53,138.42,136.3943,1904200,0.0,1.0
82,2020-05-26,140.36,140.91,135.77,136.0,134.0097,2003200,0.0,1.0
83,2020-05-22,137.37,140.24,136.34,139.74,137.695,1442500,0.0,1.0
84,2020-05-21,136.73,137.93,135.81,137.46,135.4483,1597500,0.0,1.0
85,2020-05-20,135.68,137.45,134.25,136.85,134.8473,1523300,0.0,1.0
86,2020-05-19,136.75,137.17,135.12,135.27,133.2904,1104900,0.0,1.0
87,2020-05-18,139.17,139.64,136.31,137.73,135.7144,1740600,0.0,1.0
88,2020-05-15,136.65,138.7,135.94,138.64,136.6111,1928100,0.0,1.0
89,2020-05-14,136.94,137.66,134.22,136.59,134.5911,1396200,0.0,1.0
90,2020-05-13,137.45,139.48,136.5,137.01,135.0049,1398600,0.0,1.0
91,2020-05-12,139.0,139.87,137.52,137.82,135.8031,1231900,0.0,1.0
92,2020-05-11,138.45,139.6,137.55,138.57,136.5421,1428700,0.0,1.0
93,2020-05-08,138.79,139.09,137.43,138.51,136.483,1138100,0.0,1.0
94,2020-05-07,136.36,138.27,135.93,136.7,134.6995,1861600,0.0,1.0
95,2020-05-06,137.01,137.73,134.55,134.77,132.7977,1729100,0.0,1.0
96,2020-05-05,136.21,138.51,135.7,137.13,135.1232,1992300,0.0,1.0
97,2020-05-04,137.27,137.6,135.45,135.73,133.7437,2393300,0.0,1.0
98,2020-05-01,137.98,139.55,136.17,136.78,134.7783,1454200,0.0,1.0
99,2020-04-30,138.8,140.28,137.6,138.48,136.4534,3357900,0.0,1.0
100,2020-04-29,140.41,140.63,137.53,138.96,136.9264,2495800,0.0,1.0
101,2020-04-28,141.1,141.86,138.77,141.0,138.9365,1513800,0.0,1.0
102,2020-04-27,142.02,142.25,139.77,140.36,138.3059,1318900,0.0,1.0
103,2020-04-24,140.18,141.95,139.48,141.66,139.5869,1511900,0.0,1.0
104,2020-04-23,142.7,144.6,139.61,140.36,138.3059,2415000,0.0,1.0
105,2020-04-22,140.95,143.34,137.3,142.8,140.7102,3091100,0.0,1.0
106,2020-04-21,137.94,140.82,137.68,139.47,137.4289,2020200,0.0,1.0
107,2020-04-20,141.12,141.44,139.31,139.72,137.6753,1814600,0.0,1.0
108,2020-04-17,140.72,142.07,137.26,141.94,139.8628,1949200,0.0,1.0
109,2020-04-16,138.79,140.62,136.91,139.73,137.6851,1577000,0.0,1.0
110,2020-04-15,138.71,140.0,136.74,137.67,135.6553,1857200,0.0,1.0
111,2020-04-14,136.23,140.63,135.22,140.09,138.0398,2554000,0.0,1.0
112,2020-04-13,131.15,133.52,130.35,132.71,130.7678,1858100,0.0,1.0
113,2020-04-09,132.17,136.33,130.52,131.49,129.5657,2256900,0.0,1.0
114,2020-04-08,132.76,133.4,130.45,132.64,130.6989,1929800,0.0,1.0
115,2020-04-07,134.93,135.44,130.92,131.39,129.4672,2132700,0.0,1.0
116,2020-04-06,132.31,134.34,129.65,133.15,131.2014,2270100,0.0,1.0
117,2020-04-03,128.61,131.4,127.21,129.92,128.0187,1398400,0.0,1.0
118,2020-04-02,124.43,130.27,124.19,129.28,127.388,2494100,0.0,1.0
119,2020-04-01,124.88,126.77,122.76,125.66,123.821,1951000,0.0,1.0
120,2020-03-31,131.27,132.16,127.28,127.87,125.9987,2394600,0.0,1.0
121,2020-03-30,128.96,132.96,126.36,132.43,130.4919,2413500,0.0,1.0
122,2020-03-27,122.01,129.89,121.54,124.89,123.0623,2288300,0.0,1.0
123,2020-03-26,117.2,124.66,116.68,124.01,122.1952,3381700,0.0,1.0
124,2020-03-25,117.59,121.69,113.61,116.36,114.6571,3060600,0.0,1.0
125,2020-03-24,116.23,118.13,110.66,117.38,115.6622,3076800,0.0,1.0
126,2020-03-23,117.97,121.77,111.15,112.34,110.696,3541000,0.0,1.0
127,2020-03-20,125.86,127.43,117.65,118.28,116.549,3866100,0.0,1.0
128,2020-03-19,135.78,136.57,123.56,126.41,124.56,4362300,0.0,1.0
129,2020-03-18,138.84,145.01,132.17,134.35,132.3838,4329400,0.0,1.0
130,2020-03-17,137.42,146.85,133.56,144.07,141.9616,5317100,0.0,1.0
131,2020-03-16,122.29,139.68,122.29,134.71,132.7386,4316200,0.0,1.0
132,2020-03-13,127.92,134.95,125.23,134.18,132.2163,4477400,0.0,1.0
133,2020-03-12,127.08,131.64,121.78,122.31,120.52,3817000,0.0,1.0
134,2020-03-11,138.0,139.29,131.84,134.16,132.1966,2985600,0.0,1.0
135,2020-03-10,143.42,144.23,134.53,141.02,138.9562,3858200,0.0,1.0
136,2020-03-09,139.6,147.53,138.95,141.32,139.2518,3688100,0.0,1.0
137,2020-03-06,139.14,147.34,138.64,146.46,144.3166,3375700,0.0,1.0
138,2020-03-05,144.56,146.98,141.85,143.31,141.2127,2588300,1.07,1.0
139,2020-03-04,143.33,149.1,142.93,148.25,144.9978,3070500,0.0,1.0
140,2020-03-03,141.66,143.74,138.21,140.79,137.7015,2939600,0.0,1.0
141,2020-03-02,132.13,141.18,132.13,141.1,138.0047,3094700,0.0,1.0
142,2020-02-28,131.11,132.64,126.86,131.19,128.3121,4069200,0.0,1.0
143,2020-02-27,137.65,139.26,133.95,134.01,131.0702,2804200,0.0,1.0
144,2020-02-26,139.25,141.37,137.87,138.26,135.227,1703300,0.0,1.0
145,2020-02-25,139.95,141.39,138.64,138.98,135.9312,1387500,0.0,1.0
146,2020-02-24,140.73,142.0,139.68,140.12,137.0462,2669800,0.0,1.0
147,2020-02-21,141.64,142.61,141.12,141.35,138.2492,1562200,0.0,1.0
148,2020-02-20,143.37,143.85,141.82,142.17,139.0512,1364300,0.0,1.0
149,2020-02-19,143.88,144.99,143.38,143.77,140.6161,1047800,0.0,1.0
150,2020-02-18,144.97,145.08,143.52,143.84,140.6846,1381800,0.0,1.0
151,2020-02-14,144.88,145.63,144.26,145.56,142.3668,941400,0.0,1.0
152,2020-02-13,144.49,145.59,144.18,144.74,141.5648,1100100,0.0,1.0
153,2020-02-12,144.54,145.23,143.9,144.29,141.1247,954200,0.0,1.0
154,2020-02-11,146.06,146.65,144.86,145.25,142.0636,1070700,0.0,1.0
155,2020-02-10,145.07,146.53,145.01,146.21,143.0026,1241700,0.0,1.0
156,2020-02-07,144.73,145.23,144.43,144.82,141.6431,1005200,0.0,1.0
157,2020-02-06,145.16,146.08,144.51,144.53,141.3594,1063400,0.0,1.0
