,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,22.53,22.9399,21.475,21.5,21.5,7535029,0.0,1.0
1,2020-09-18,23.22,23.86,23.1,23.4,23.4,34310566,0.0,1.0
2,2020-09-17,23.54,24.04,22.985,23.26,23.26,5923414,0.0,1.0
3,2020-09-16,23.16,24.505,22.95,23.82,23.82,8884632,0.0,1.0
4,2020-09-15,23.09,23.48,22.75,23.13,23.13,6548063,0.0,1.0
5,2020-09-14,21.68,23.4,21.59,23.37,23.37,10608022,0.0,1.0
6,2020-09-11,21.99,21.99,21.1144,21.33,21.33,6724706,0.0,1.0
7,2020-09-10,22.18,22.7,21.78,21.89,21.89,6279025,0.0,1.0
8,2020-09-09,22.2,22.38,21.9,22.03,22.03,6947867,0.0,1.0
9,2020-09-08,21.81,22.78,21.3599,22.38,22.38,10203989,0.0,1.0
10,2020-09-04,22.05,22.285,20.9713,22.25,22.25,8286952,0.0,1.0
11,2020-09-03,21.32,22.09,21.0059,21.72,21.72,9814927,0.0,1.0
12,2020-09-02,21.28,21.93,20.835,21.2,21.2,7239562,0.0,1.0
13,2020-09-01,20.9,21.59,20.78,20.97,20.97,7108920,0.0,1.0
14,2020-08-31,21.6,21.61,20.81,21.36,21.36,6882137,0.0,1.0
15,2020-08-28,21.36,21.685,21.12,21.65,21.65,7460558,0.0,1.0
16,2020-08-27,20.75,21.72,20.75,21.12,21.12,7446800,0.0,1.0
17,2020-08-26,20.55,20.9701,20.35,20.71,20.71,6286968,0.0,1.0
18,2020-08-25,20.53,20.8,19.935,20.62,20.62,8317001,0.0,1.0
19,2020-08-24,19.19,20.43,19.0726,20.39,20.39,12822206,0.0,1.0
20,2020-08-21,18.95,19.34,18.74,18.9,18.9,9189672,0.0,1.0
21,2020-08-20,19.09,19.74,19.0,19.0,19.0,10126259,0.0,1.0
22,2020-08-19,19.71,20.4,19.45,19.58,19.58,15202306,0.0,1.0
23,2020-08-18,20.94,21.09,19.35,20.01,20.01,45075042,0.0,1.0
24,2020-08-17,23.58,23.82,22.67,23.45,23.45,9495938,0.0,1.0
25,2020-08-14,22.81,24.3069,22.56,23.4,23.4,10009737,0.0,1.0
26,2020-08-13,22.99,23.2,22.58,22.77,22.77,7063327,0.0,1.0
27,2020-08-12,23.71,23.96,22.535,23.43,23.43,6792319,0.0,1.0
28,2020-08-11,23.71,24.14,23.13,23.24,23.24,8622082,0.0,1.0
29,2020-08-10,22.13,23.33,22.07,22.85,22.85,10086751,0.0,1.0
30,2020-08-07,20.62,22.22,20.46,22.02,22.02,7119058,0.0,1.0
31,2020-08-06,20.55,21.145,20.23,20.72,20.72,6078374,0.0,1.0
32,2020-08-05,20.28,21.115,20.17,20.83,20.83,9003433,0.0,1.0
33,2020-08-04,19.35,19.855,19.17,19.65,19.65,6211885,0.0,1.0
34,2020-08-03,19.02,19.68,18.61,19.33,19.33,6602915,0.0,1.0
