,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,34.62,35.31,34.38,34.72,34.72,964311,0.0,1.0
1,2020-09-21,35.73,35.9141,34.13,34.82,34.82,1478474,0.0,1.0
2,2020-09-18,36.83,37.28,36.62,36.69,36.69,2222892,0.0,1.0
3,2020-09-17,36.61,37.25,36.4,36.99,36.99,923753,0.0,1.0
4,2020-09-16,35.65,37.5,35.44,37.07,37.07,2435573,0.0,1.0
5,2020-09-15,36.17,36.57,35.35,35.39,35.39,1241070,0.0,1.0
6,2020-09-14,35.56,36.47,35.3325,36.1,36.1,1022606,0.0,1.0
7,2020-09-11,34.97,35.6,34.67,35.27,35.27,1009162,0.0,1.0
8,2020-09-10,36.13,36.44,35.13,35.16,35.16,959100,0.0,1.0
9,2020-09-09,36.03,36.35,35.61,35.81,35.81,1042497,0.0,1.0
10,2020-09-08,36.44,36.53,35.25,35.63,35.63,1103191,0.0,1.0
11,2020-09-04,37.25,37.57,36.57,36.87,36.87,846912,0.0,1.0
12,2020-09-03,37.03,37.9,36.34,36.62,36.62,1050669,0.0,1.0
13,2020-09-02,36.01,36.78,35.86,36.6,36.6,1304357,0.0,1.0
14,2020-09-01,35.58,36.64,35.31,36.17,36.17,989182,0.0,1.0
15,2020-08-31,36.71,36.78,35.84,35.86,35.86,1274261,0.0,1.0
16,2020-08-28,37.0,37.0,36.08,36.92,36.92,594758,0.0,1.0
17,2020-08-27,36.09,37.05,35.93,36.78,36.78,612613,0.0,1.0
18,2020-08-26,36.32,36.46,35.63,35.9,35.9,974433,0.0,1.0
19,2020-08-25,37.07,37.14,36.19,36.48,36.48,776190,0.0,1.0
20,2020-08-24,35.45,36.61,35.45,36.61,36.61,1080880,0.0,1.0
21,2020-08-21,35.64,35.97,35.1618,35.32,35.32,860531,0.0,1.0
22,2020-08-20,35.75,36.25,35.6,35.61,35.61,657313,0.0,1.0
23,2020-08-19,36.57,36.94,36.02,36.21,36.21,852279,0.0,1.0
24,2020-08-18,36.86,37.49,36.23,36.37,36.37,1233511,0.0625,1.0
25,2020-08-17,37.61,37.73,36.75,36.8,36.7369,564520,0.0,1.0
26,2020-08-14,37.49,38.06,37.32,37.61,37.5455,577930,0.0,1.0
27,2020-08-13,37.58,38.33,37.29,37.86,37.7951,541093,0.0,1.0
28,2020-08-12,39.4,39.44,38.01,38.14,38.0746,781690,0.0,1.0
29,2020-08-11,39.58,40.18,38.58,38.61,38.5438,1215587,0.0,1.0
30,2020-08-10,37.96,38.8,37.86,38.6,38.5338,804378,0.0,1.0
31,2020-08-07,36.38,37.79,36.375,37.76,37.6952,604957,0.0,1.0
32,2020-08-06,36.25,37.18,36.25,36.51,36.4474,767900,0.0,1.0
33,2020-08-05,36.03,36.88,35.81,36.48,36.4174,897297,0.0,1.0
34,2020-08-04,35.5,35.7838,35.1,35.38,35.3193,904691,0.0,1.0
35,2020-08-03,33.98,36.045,33.7,35.6,35.5389,1471718,0.0,1.0
36,2020-07-31,36.51,36.58,35.75,36.41,36.3475,655689,0.0,1.0
37,2020-07-30,36.35,36.9,35.8,36.53,36.4673,636557,0.0,1.0
38,2020-07-29,36.4,37.4624,36.4,37.37,37.3059,683085,0.0,1.0
39,2020-07-28,36.13,36.63,36.04,36.38,36.3176,721540,0.0,1.0
40,2020-07-27,36.67,36.67,35.94,36.28,36.2178,493151,0.0,1.0
41,2020-07-24,37.29,37.54,36.77,36.87,36.8067,751272,0.0,1.0
42,2020-07-23,36.63,37.27,36.57,37.06,36.9964,544310,0.0,1.0
43,2020-07-22,35.97,36.73,35.83,36.67,36.6071,603369,0.0,1.0
44,2020-07-21,35.7,36.83,35.54,36.45,36.3875,863300,0.0,1.0
45,2020-07-20,35.91,36.01,35.24,35.44,35.3792,729600,0.0,1.0
46,2020-07-17,36.3,36.42,35.95,36.17,36.108,737900,0.0,1.0
47,2020-07-16,35.83,36.77,35.57,36.24,36.1778,465600,0.0,1.0
48,2020-07-15,36.36,36.7,35.66,36.05,35.9882,754500,0.0,1.0
49,2020-07-14,34.98,35.65,34.54,35.52,35.4591,800900,0.0,1.0
50,2020-07-13,34.71,35.23,34.45,34.67,34.6105,920500,0.0,1.0
51,2020-07-10,32.92,34.53,32.73,34.5,34.4408,1003900,0.0,1.0
52,2020-07-09,33.66,33.97,32.35,32.82,32.7637,1066900,0.0,1.0
53,2020-07-08,33.38,34.25,33.38,33.92,33.8618,880700,0.0,1.0
54,2020-07-07,34.17,34.3,33.56,33.67,33.6122,727300,0.0,1.0
55,2020-07-06,34.53,35.17,34.37,34.52,34.4608,852100,0.0,1.0
56,2020-07-02,34.44,34.97,33.56,33.69,33.6322,992000,0.0,1.0
57,2020-07-01,34.18,34.56,33.46,33.54,33.4825,984500,0.0,1.0
58,2020-06-30,33.54,34.55,33.34,34.29,34.2312,1014200,0.0,1.0
59,2020-06-29,33.2,33.82,32.84,33.69,33.6322,871594,0.0,1.0
60,2020-06-26,33.32,33.49,32.29,32.81,32.7537,2485900,0.0,1.0
61,2020-06-25,32.88,33.9,32.71,33.84,33.7819,1062500,0.0,1.0
62,2020-06-24,33.78,33.78,32.42,33.17,33.1131,1110900,0.0,1.0
63,2020-06-23,34.65,35.0,34.3,34.34,34.2811,1273800,0.0,1.0
64,2020-06-22,34.36,34.36,33.55,34.06,34.0016,1525000,0.0,1.0
65,2020-06-19,34.63,34.85,33.89,34.73,34.6704,4982900,0.0,1.0
66,2020-06-18,32.93,34.03,32.51,33.88,33.8219,1521700,0.0,1.0
67,2020-06-17,34.03,34.03,33.14,33.4,33.3427,1505900,0.0,1.0
68,2020-06-16,35.4,35.4,33.33,33.92,33.8618,1275900,0.0,1.0
69,2020-06-15,31.34,33.82,31.18,33.58,33.5224,1399300,0.0,1.0
70,2020-06-12,33.75,33.77,31.71,33.02,32.9634,1933900,0.0,1.0
71,2020-06-11,34.22,34.56,32.15,32.19,32.1348,2472400,0.0,1.0
72,2020-06-10,37.88,37.88,36.01,36.17,36.108,1699100,0.0,1.0
73,2020-06-09,38.69,38.91,37.85,38.26,38.1944,1150300,0.0,1.0
74,2020-06-08,39.79,40.07,39.1,39.95,39.8815,1403000,0.0,1.0
75,2020-06-05,38.73,39.82,38.18,39.08,39.013,1478700,0.0,1.0
76,2020-06-04,35.31,36.52,34.55,36.5,36.4374,1176200,0.0,1.0
77,2020-06-03,35.36,35.9,35.28,35.48,35.4191,1131000,0.0,1.0
78,2020-06-02,34.23,35.09,34.02,34.64,34.5806,1668300,0.0,1.0
79,2020-06-01,33.16,33.89,32.75,33.77,33.7121,1000600,0.0,1.0
80,2020-05-29,33.27,33.64,32.66,33.24,33.183,2610600,0.0,1.0
81,2020-05-28,34.69,34.8,33.6,33.78,33.7221,1021300,0.0,1.0
82,2020-05-27,34.38,34.75,33.81,34.24,34.1813,1070200,0.0,1.0
83,2020-05-26,33.28,33.65,32.91,33.04,32.9833,1011400,0.0625,1.0
84,2020-05-22,32.24,32.28,31.31,31.91,31.7951,846300,0.0,1.0
85,2020-05-21,32.07,32.46,31.83,32.09,31.9745,1144400,0.0,1.0
86,2020-05-20,31.54,32.44,31.54,32.19,32.0741,1045100,0.0,1.0
87,2020-05-19,31.53,31.73,31.05,31.06,30.9482,1197200,0.0,1.0
88,2020-05-18,31.45,32.09,31.26,31.65,31.536,1705600,0.0,1.0
89,2020-05-15,28.71,29.89,28.16,29.81,29.7027,4071300,0.0,1.0
90,2020-05-14,28.25,29.44,27.33,29.09,28.9853,1463500,0.0,1.0
91,2020-05-13,29.16,29.42,28.24,28.8,28.6963,2390200,0.0,1.0
92,2020-05-12,30.1,30.13,29.33,29.6,29.4934,1556700,0.0,1.0
93,2020-05-11,30.55,30.55,29.5,30.01,29.902,1447700,0.0,1.0
94,2020-05-08,30.99,31.34,30.36,31.02,30.9083,920900,0.0,1.0
95,2020-05-07,30.03,31.71,29.9,30.34,30.2308,1186000,0.0,1.0
96,2020-05-06,30.93,30.93,29.53,29.68,29.5731,1492100,0.0,1.0
97,2020-05-05,32.03,32.31,30.7,30.79,30.6791,1418100,0.0,1.0
98,2020-05-04,31.11,31.86,30.13,31.76,31.6457,2092100,0.0,1.0
99,2020-05-01,33.79,33.89,31.54,31.62,31.5062,1850000,0.0,1.0
