,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,29.49,30.76,29.38,30.55,30.55,5468784,0.0,1.0
1,2020-09-21,29.53,29.86,28.53,29.45,29.45,3981017,0.0,1.0
2,2020-09-18,30.19,30.64,29.74,30.16,30.16,8060496,0.0,1.0
3,2020-09-17,29.28,30.865,29.15,30.32,30.32,4419649,0.0,1.0
4,2020-09-16,29.25,30.29,28.84,29.84,29.84,3768738,0.0,1.0
5,2020-09-15,29.42,29.65,28.52,28.99,28.99,2921516,0.0,1.0
6,2020-09-14,28.49,29.12,28.35,29.05,29.05,3659524,0.0,1.0
7,2020-09-11,28.05,28.295,27.54,28.0,28.0,3457749,0.0,1.0
8,2020-09-10,28.86,29.35,27.92,28.01,28.01,3704946,0.0,1.0
9,2020-09-09,29.0,29.035,28.23,28.59,28.59,3500195,0.0,1.0
10,2020-09-08,29.52,29.95,28.88,28.92,28.92,4129530,0.0,1.0
11,2020-09-04,30.14,30.58,29.32,30.14,30.14,3480494,0.0,1.0
12,2020-09-03,30.91,31.13,29.355,29.62,29.62,3584254,0.0,1.0
13,2020-09-02,31.67,31.93,30.545,31.25,31.25,3535744,0.0,1.0
14,2020-09-01,29.33,31.56,28.83,31.54,31.54,7223969,0.0,1.0
15,2020-08-31,29.58,29.98,29.28,29.4,29.4,3802904,0.0,1.0
16,2020-08-28,29.98,30.24,29.445,29.67,29.67,4007345,0.0,1.0
17,2020-08-27,30.99,31.07,29.91,29.93,29.93,3425504,0.0,1.0
18,2020-08-26,30.99,30.99,30.33,30.76,30.76,3518209,0.0,1.0
19,2020-08-25,30.16,30.97,29.93,30.62,30.62,5849338,0.0,1.0
20,2020-08-24,30.0,30.46,29.21,29.63,29.63,5889759,0.0,1.0
21,2020-08-21,29.83,30.01,28.9522,29.97,29.97,6340239,0.0,1.0
22,2020-08-20,29.31,31.33,28.8,29.57,29.57,22998790,0.0,1.0
23,2020-08-19,27.83,28.63,27.615,28.47,28.47,7083855,0.0,1.0
24,2020-08-18,28.54,28.84,27.41,28.18,28.18,5639002,0.0,1.0
25,2020-08-17,26.78,29.135,26.58,28.8,28.8,8346858,0.0,1.0
26,2020-08-14,26.66,26.89,26.36,26.54,26.54,7175597,0.0,1.0
27,2020-08-13,26.82,27.07,26.24,26.54,26.54,7619484,0.0,1.0
28,2020-08-12,27.3,27.3,26.63,27.0,27.0,9832165,0.0,1.0
29,2020-08-11,27.85,28.17,26.85,26.93,26.93,8763312,0.0,1.0
30,2020-08-10,26.32,27.69,26.26,27.49,27.49,7368430,0.0,1.0
31,2020-08-07,25.13,26.075,25.07,26.04,26.04,3426185,0.0,1.0
32,2020-08-06,25.52,25.7,25.2,25.26,25.26,2830483,0.0,1.0
33,2020-08-05,25.33,26.06,25.1,25.52,25.52,4082676,0.0,1.0
34,2020-08-04,24.73,25.31,24.58,24.95,24.95,4722244,0.0,1.0
35,2020-08-03,24.37,24.635,23.79,24.38,24.38,4712848,0.0,1.0
36,2020-07-31,24.42,24.91,23.87,24.41,24.41,5620433,0.0,1.0
37,2020-07-30,24.77,25.1599,24.18,24.54,24.54,10562553,0.0,1.0
38,2020-07-29,23.55,26.655,23.21,25.88,25.88,39023863,0.0,1.0
39,2020-07-28,19.09,19.48,19.055,19.12,19.12,2998547,0.0,1.0
40,2020-07-27,19.09,19.28,18.85,19.16,19.16,3392093,0.0,1.0
41,2020-07-24,19.34,19.7601,19.11,19.19,19.19,4142329,0.0,1.0
42,2020-07-23,19.23,19.835,19.06,19.36,19.36,5304712,0.0,1.0
43,2020-07-22,18.65,19.46,18.44,19.41,19.41,5954093,0.0,1.0
44,2020-07-21,18.37,19.27,18.25,18.87,18.87,5050256,0.0,1.0
45,2020-07-20,18.38,18.42,17.77,18.28,18.28,3566715,0.0,1.0
46,2020-07-17,18.54,18.65,18.15,18.5,18.5,4427400,0.0,1.0
47,2020-07-16,17.72,18.49,17.33,18.46,18.46,5043600,0.0,1.0
48,2020-07-15,17.39,18.12,17.08,18.04,18.04,6020300,0.0,1.0
49,2020-07-14,16.36,16.74,16.12,16.66,16.66,4755900,0.0,1.0
50,2020-07-13,16.09,16.81,15.94,16.39,16.39,6075300,0.0,1.0
51,2020-07-10,15.47,15.94,15.23,15.93,15.93,5170800,0.0,1.0
52,2020-07-09,15.61,15.81,15.07,15.52,15.52,6539600,0.0,1.0
53,2020-07-08,15.09,15.69,14.86,15.67,15.67,3990900,0.0,1.0
54,2020-07-07,15.37,15.53,15.11,15.15,15.15,3196600,0.0,1.0
55,2020-07-06,15.55,16.0,15.27,15.62,15.62,4896300,0.0,1.0
56,2020-07-02,15.65,15.81,14.83,15.11,15.11,4468400,0.0,1.0
57,2020-07-01,15.03,15.64,14.94,15.1,15.1,6266800,0.0,1.0
58,2020-06-30,14.99,15.13,14.63,14.97,14.97,4578300,0.0,1.0
59,2020-06-29,14.04,15.18,13.9,15.12,15.12,7132700,0.0,1.0
60,2020-06-26,14.13,14.45,13.71,13.86,13.86,7638258,0.0,1.0
61,2020-06-25,13.57,14.31,13.18,14.13,14.13,10093157,0.0,1.0
62,2020-06-24,14.4,14.4,13.44,13.86,13.86,6530974,0.0,1.0
63,2020-06-23,14.92,14.92,14.32,14.69,14.69,4827423,0.0,1.0
64,2020-06-22,14.5,14.95,14.21,14.65,14.65,5795352,0.0,1.0
65,2020-06-19,15.9,15.95,14.44,14.48,14.48,10330482,0.0,1.0
66,2020-06-18,15.19,15.86,14.97,15.62,15.62,4483233,0.0,1.0
67,2020-06-17,16.08,16.1,15.2,15.46,15.46,6367428,0.0,1.0
68,2020-06-16,16.57,16.99,15.77,16.14,16.14,7182015,0.0,1.0
69,2020-06-15,14.74,15.84,14.41,15.52,15.52,6342184,0.0,1.0
70,2020-06-12,16.49,16.87,15.035,15.65,15.65,7282507,0.0,1.0
71,2020-06-11,15.75,16.45,15.035,15.48,15.48,8242554,0.0,1.0
72,2020-06-10,17.92,18.26,17.29,17.46,17.46,6953694,0.0,1.0
73,2020-06-09,18.7,18.86,17.87,18.05,18.05,8065070,0.0,1.0
74,2020-06-08,19.58,19.74,18.815,19.31,19.31,9461642,0.0,1.0
75,2020-06-05,19.14,19.875,18.52,18.68,18.68,10919988,0.0,1.0
76,2020-06-04,17.93,18.3,17.47,17.85,17.85,14751346,0.0,1.0
77,2020-06-03,17.25,18.69,17.2494,18.31,18.31,9155211,0.0,1.0
78,2020-06-02,16.84,16.8999,16.07,16.8,16.8,7707254,0.0,1.0
79,2020-06-01,16.25,17.15,15.97,16.54,16.54,7625661,0.0,1.0
80,2020-05-29,15.75,16.6299,15.51,16.19,16.19,7885830,0.0,1.0
81,2020-05-28,17.24,17.315,16.16,16.28,16.28,10964706,0.0,1.0
82,2020-05-27,17.27,17.63,16.07,17.2,17.2,10452304,0.0,1.0
83,2020-05-26,15.8,16.98,15.68,16.68,16.68,13531323,0.0,1.0
84,2020-05-22,14.5,15.18,14.205,15.08,15.08,12096785,0.0,1.0
85,2020-05-21,13.26,14.83,13.01,14.45,14.45,28677537,0.0,1.0
86,2020-05-20,12.64,12.87,11.51,12.22,12.22,13944644,0.0,1.0
87,2020-05-19,12.54,13.1086,12.16,12.51,12.51,9403459,0.0,1.0
88,2020-05-18,11.61,12.9,11.54,12.77,12.77,15579476,0.0,1.0
89,2020-05-15,10.25,11.2,10.055,10.86,10.86,8898083,0.0,1.0
90,2020-05-14,10.24,11.315,10.03,10.48,10.48,9827144,0.0,1.0
91,2020-05-13,11.22,11.22,10.25,10.6,10.6,11355766,0.0,1.0
92,2020-05-12,11.7,12.02,11.22,11.24,11.24,5820969,0.0,1.0
93,2020-05-11,12.0,12.08,11.24,11.53,11.53,7495362,0.0,1.0
94,2020-05-08,11.43,12.54,11.41,12.22,12.22,10235744,0.0,1.0
95,2020-05-07,11.14,11.73,11.06,11.18,11.18,5579542,0.0,1.0
96,2020-05-06,11.74,12.0,10.8,10.99,10.99,8595272,0.0,1.0
97,2020-05-05,12.19,12.54,11.52,11.62,11.62,13242672,0.0,1.0
98,2020-05-04,11.56,12.19,11.25,12.04,12.04,7037121,0.0,1.0
99,2020-05-01,11.53,12.05,11.295,12.0,12.0,6706071,0.0,1.0
100,2020-04-30,12.44,12.64,11.63,11.89,11.89,17246620,0.0,1.0
101,2020-04-29,13.21,13.63,12.64,12.78,12.78,8891054,0.0,1.0
102,2020-04-28,12.15,12.915,11.71,12.58,12.58,10711243,0.0,1.0
103,2020-04-27,10.5,11.59,10.12,11.5,11.5,8745992,0.0,1.0
104,2020-04-24,10.75,10.97,10.05,10.31,10.31,8736796,0.0,1.0
105,2020-04-23,10.06,11.3,10.01,10.63,10.63,20244412,0.0,1.0
106,2020-04-22,12.31,12.4,8.8,10.19,10.19,49445562,0.0,1.0
107,2020-04-21,11.85,12.68,11.81,12.06,12.06,4728123,0.0,1.0
108,2020-04-20,13.13,13.5,12.43,12.54,12.54,5466342,0.0,1.0
109,2020-04-17,13.01,13.94,12.91,13.78,13.78,7100222,0.0,1.0
110,2020-04-16,12.75,12.85,12.04,12.24,12.24,3900724,0.0,1.0
111,2020-04-15,12.98,13.16,12.18,12.62,12.62,6958192,0.0,1.0
112,2020-04-14,14.28,15.05,13.7,14.07,14.07,6609697,0.0,1.0
113,2020-04-13,14.93,14.95,13.48,13.71,13.71,6748284,0.0,1.0
114,2020-04-09,15.65,16.96,14.69,14.93,14.93,12328469,0.0,1.0
115,2020-04-08,13.42,15.08,13.35,14.58,14.58,9083419,0.0,1.0
116,2020-04-07,13.8,14.79,12.99,13.24,13.24,9002091,0.0,1.0
117,2020-04-06,12.12,13.09,11.55,12.55,12.55,13755862,0.0,1.0
