,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,90.04,91.86,88.6,91.6,91.6,885013,0.0,1.0
1,2020-09-21,88.29,88.7599,87.21,88.43,88.43,1384666,0.0,1.0
2,2020-09-18,90.03,90.6,89.39,90.06,90.06,1719120,0.0,1.0
3,2020-09-17,88.8,90.44,88.12,90.23,90.23,639268,0.0,1.0
4,2020-09-16,88.97,90.09,88.97,89.1,89.1,934380,0.0,1.0
5,2020-09-15,88.72,89.79,88.45,88.74,88.74,1082619,0.0,1.0
6,2020-09-14,87.66,89.48,87.61,88.34,88.34,714707,0.34,1.0
7,2020-09-11,86.76,87.39,86.33,87.17,86.8358,621058,0.0,1.0
8,2020-09-10,87.59,88.0699,85.6041,85.9,85.5707,973082,0.0,1.0
9,2020-09-09,87.43,87.89,86.3,87.17,86.8358,805552,0.0,1.0
10,2020-09-08,87.13,87.9,85.63,86.55,86.2182,1176311,0.0,1.0
11,2020-09-04,89.26,90.47,86.96,88.49,88.1507,1057333,0.0,1.0
12,2020-09-03,91.75,91.75,88.22,89.01,88.6687,1155885,0.0,1.0
13,2020-09-02,89.82,91.88,89.5,91.64,91.2887,903870,0.0,1.0
14,2020-09-01,90.06,90.37,88.2,89.7,89.3561,929911,0.0,1.0
15,2020-08-31,90.83,90.87,88.96,90.49,90.1431,1467277,0.0,1.0
16,2020-08-28,92.22,92.22,90.73,91.31,90.9599,568156,0.0,1.0
17,2020-08-27,90.85,91.87,90.43,91.68,91.3285,643358,0.0,1.0
18,2020-08-26,90.45,90.8,89.05,90.54,90.1929,804886,0.0,1.0
19,2020-08-25,90.96,91.9348,90.4,90.62,90.2726,596836,0.0,1.0
20,2020-08-24,89.59,90.82,89.1,90.81,90.4618,836411,0.0,1.0
21,2020-08-21,91.2,91.37,88.9432,89.17,88.8281,1046862,0.0,1.0
22,2020-08-20,91.88,92.04,90.805,91.02,90.671,794041,0.0,1.0
23,2020-08-19,91.83,93.23,91.59,92.6,92.245,865742,0.0,1.0
24,2020-08-18,92.25,92.78,91.51,91.81,91.458,866726,0.0,1.0
25,2020-08-17,94.79,95.2,91.97,92.24,91.8864,894408,0.0,1.0
26,2020-08-14,94.33,95.34,94.21,94.72,94.3568,620524,0.0,1.0
27,2020-08-13,94.0,95.5231,94.0,94.39,94.0281,999400,0.0,1.0
28,2020-08-12,96.21,96.7399,93.14,94.41,94.048,1289338,0.0,1.0
29,2020-08-11,94.86,96.7,94.71,95.95,95.5821,1436965,0.0,1.0
30,2020-08-10,92.87,95.28,92.87,94.42,94.058,1144184,0.0,1.0
31,2020-08-07,91.21,93.82,90.68,93.21,92.8526,1511415,0.0,1.0
32,2020-08-06,89.95,91.58,89.555,91.01,90.6611,1241632,0.0,1.0
33,2020-08-05,92.11,92.735,89.33,89.73,89.386,1235254,0.0,1.0
34,2020-08-04,98.41,99.88,91.34,92.27,91.9162,2465723,0.0,1.0
35,2020-08-03,95.36,98.59,94.9,98.3,97.9231,1197507,0.0,1.0
36,2020-07-31,92.37,95.19,91.52,95.16,94.7952,1120572,0.0,1.0
37,2020-07-30,91.01,92.54,90.81,92.36,92.0059,633066,0.0,1.0
38,2020-07-29,90.86,92.19,90.59,91.97,91.6174,965923,0.0,1.0
39,2020-07-28,90.0,91.47,89.85,90.18,89.8342,922095,0.0,1.0
40,2020-07-27,90.66,91.0332,89.65,90.16,89.8143,861438,0.0,1.0
41,2020-07-24,90.36,91.32,90.11,91.07,90.7208,754833,0.0,1.0
42,2020-07-23,91.33,92.2,90.39,90.67,90.3224,648359,0.0,1.0
43,2020-07-22,89.08,91.65,88.99,91.37,91.0197,624800,0.0,1.0
