,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,77.15,80.06,76.46,79.85,79.85,2795290,0.0,1.0
1,2020-09-21,77.38,78.1,74.75,76.75,76.75,2794580,0.0,1.0
2,2020-09-18,78.03,79.88,77.76,79.18,79.18,5293141,0.0,1.0
3,2020-09-17,78.6,79.28,77.27,78.14,78.14,3218114,0.0,1.0
4,2020-09-16,77.44,79.84,77.11,78.89,78.89,5037951,0.0,1.0
5,2020-09-15,75.55,79.3599,74.65,75.9,75.9,7432398,0.0,1.0
6,2020-09-14,79.46,79.47,77.52,79.0,79.0,5171313,0.0,1.0
7,2020-09-11,76.6,77.91,76.25,77.48,77.48,2562620,0.0,1.0
8,2020-09-10,76.33,77.36,74.93,75.5,75.5,1549554,0.0,1.0
9,2020-09-09,74.31,76.35,73.5,75.79,75.79,1761313,0.0,1.0
10,2020-09-08,72.0,75.1,71.78,73.37,73.37,2092679,0.0,1.0
11,2020-09-04,75.73,76.49,71.34,73.62,73.62,2120188,0.0,1.0
12,2020-09-03,77.88,78.22,73.8,75.31,75.31,2518380,0.0,1.0
13,2020-09-02,78.51,78.74,76.36,78.37,78.37,2506776,0.0,1.0
14,2020-09-01,74.9,78.17,74.31,78.13,78.13,2331970,0.0,1.0
15,2020-08-31,75.52,75.9699,74.22,74.82,74.82,2043206,0.0,1.0
16,2020-08-28,76.09,77.36,75.65,75.93,75.93,1662264,0.0,1.0
17,2020-08-27,77.52,78.28,75.76,75.8,75.8,1990508,0.0,1.0
18,2020-08-26,78.39,78.92,77.12,77.15,77.15,1598001,0.0,1.0
19,2020-08-25,79.27,79.27,77.22,77.98,77.98,1726180,0.0,1.0
20,2020-08-24,80.0,80.0,78.11,78.75,78.75,1736991,0.0,1.0
21,2020-08-21,76.85,79.64,76.2468,79.36,79.36,3400925,0.0,1.0
22,2020-08-20,76.12,78.15,75.61,76.94,76.94,1447987,0.0,1.0
23,2020-08-19,76.85,77.275,76.14,76.81,76.81,1712674,0.0,1.0
24,2020-08-18,78.46,78.59,77.03,77.17,77.17,2991373,0.0,1.0
25,2020-08-17,75.0,77.518,74.57,77.07,77.07,3182593,0.0,1.0
26,2020-08-14,74.1,74.64,73.75,74.25,74.25,1207722,0.0,1.0
27,2020-08-13,73.97,75.03,73.47,74.58,74.58,1526126,0.0,1.0
28,2020-08-12,74.29,74.42,73.28,74.29,74.29,2873637,0.0,1.0
29,2020-08-11,75.18,75.47,73.33,73.57,73.57,2679177,0.0,1.0
30,2020-08-10,73.42,76.69,73.36,74.5,74.5,3076226,0.0,1.0
31,2020-08-07,72.98,73.41,71.93,73.24,73.24,1765642,0.0,1.0
32,2020-08-06,73.8,74.35,73.06,73.29,73.29,1516616,0.0,1.0
33,2020-08-05,73.17,74.05,72.41,73.56,73.56,1372774,0.0,1.0
34,2020-08-04,73.2,73.93,72.51,72.73,72.73,1587926,0.0,1.0
35,2020-08-03,72.86,73.8,72.26,73.6,73.6,1942544,0.0,1.0
36,2020-07-31,72.38,72.4885,70.81,72.35,72.35,1840800,0.0,1.0
37,2020-07-30,71.26,73.06,71.13,72.28,72.28,1720391,0.0,1.0
38,2020-07-29,70.79,72.94,70.73,72.68,72.68,2399199,0.0,1.0
39,2020-07-28,73.55,74.32,70.22,70.38,70.38,3624649,0.0,1.0
40,2020-07-27,70.31,73.12,69.93,73.03,73.03,3440724,0.0,1.0
41,2020-07-24,69.87,70.39,68.45,69.79,69.79,2245661,0.0,1.0
42,2020-07-23,71.83,73.75,69.0,70.08,70.08,3769167,0.0,1.0
43,2020-07-22,68.32,71.19,68.24,70.93,70.93,2921258,0.0,1.0
44,2020-07-21,69.02,69.44,67.37,68.35,68.35,3058568,0.0,1.0
45,2020-07-20,69.12,69.25,67.86,68.85,68.85,2088127,0.0,1.0
46,2020-07-17,70.62,71.68,69.25,69.6,69.6,3569700,0.0,1.0
