,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,150.91,151.57,149.15,149.86,149.86,2911829,0.0,1.0
1,2020-09-21,153.17,153.66,149.06,151.18,151.18,3501584,0.0,1.0
2,2020-09-18,152.04,154.5,152.04,154.17,154.17,13210113,0.0,1.0
3,2020-09-17,150.13,152.68,149.455,152.47,152.47,3620831,0.0,1.0
4,2020-09-16,151.72,152.68,150.79,150.96,150.96,3619715,0.0,1.0
5,2020-09-15,149.96,151.87,149.415,150.08,150.08,2923507,0.0,1.0
6,2020-09-14,149.09,150.505,147.47,149.0,149.0,3072507,0.0,1.0
7,2020-09-11,147.56,149.185,146.88,148.09,148.09,3001470,0.0,1.0
8,2020-09-10,149.88,150.6,145.715,146.22,146.22,3961343,0.0,1.0
9,2020-09-09,150.62,154.12,150.31,151.97,151.97,2328525,0.0,1.0
10,2020-09-08,150.95,151.31,148.5,149.31,149.31,4351532,0.0,1.0
11,2020-09-04,148.77,152.58,147.95,150.91,150.91,4361833,0.0,1.0
12,2020-09-03,152.19,153.37,147.46,149.02,149.02,4226126,0.0,1.0
13,2020-09-02,146.79,150.0,146.51,149.55,149.55,2407127,0.0,1.0
14,2020-09-01,148.61,149.2,146.645,147.3,147.3,2359277,0.0,1.0
15,2020-08-31,147.35,148.795,147.03,148.39,148.39,4430706,0.0,1.0
16,2020-08-28,148.84,149.1518,146.98,147.34,147.34,2102621,0.0,1.0
17,2020-08-27,150.58,150.94,148.94,148.97,148.97,3146090,0.0,1.0
18,2020-08-26,149.19,149.46,147.41,149.26,149.26,3029691,0.0,1.0
19,2020-08-25,150.36,151.31,149.31,149.68,149.68,2216224,0.0,1.0
20,2020-08-24,150.05,150.4,148.25,149.52,149.52,2268439,0.0,1.0
21,2020-08-21,151.34,151.35,147.95,149.26,149.26,3111979,0.0,1.0
22,2020-08-20,152.55,152.85,150.85,151.34,151.34,1830243,0.0,1.0
23,2020-08-19,153.81,154.41,152.01,152.29,152.29,1939000,0.0,1.0
24,2020-08-18,152.15,153.15,151.15,153.11,153.11,1960131,0.0,1.0
25,2020-08-17,150.92,152.7,150.36,151.53,151.53,2701754,0.0,1.0
26,2020-08-14,149.8,151.69,149.15,150.09,150.09,1538044,0.0,1.0
27,2020-08-13,150.82,151.69,149.79,150.46,150.46,2077861,0.74,1.0
28,2020-08-12,150.79,153.17,150.6,152.55,151.8034,2430758,0.0,1.0
29,2020-08-11,153.14,153.14,150.2,150.63,149.8928,2103351,0.0,1.0
30,2020-08-10,152.93,153.49,151.53,153.0,152.2512,1745207,0.0,1.0
31,2020-08-07,152.96,153.5,151.58,152.93,152.1815,2017370,0.0,1.0
32,2020-08-06,153.85,155.5,151.0,152.88,152.1318,2176543,0.0,1.0
33,2020-08-05,157.31,157.49,153.3,154.34,153.5846,2476460,0.0,1.0
34,2020-08-04,153.38,156.0,153.09,154.85,154.0921,3260042,0.0,1.0
35,2020-08-03,152.8,153.85,151.22,152.84,152.092,3618435,0.0,1.0
36,2020-07-31,153.13,153.335,148.74,150.29,149.5545,5342109,0.0,1.0
37,2020-07-30,158.45,158.5,150.45,153.0,152.2512,6638127,0.0,1.0
38,2020-07-29,162.53,163.025,161.1,161.75,160.9584,3108858,0.0,1.0
39,2020-07-28,161.67,165.41,161.345,162.65,161.854,3483155,0.0,1.0
40,2020-07-27,159.6,161.74,158.59,160.5,159.7145,2709788,0.0,1.0
41,2020-07-24,161.47,161.47,158.45,159.54,158.7592,2247922,0.0,1.0
42,2020-07-23,165.26,165.46,160.79,161.52,160.7295,2408773,0.0,1.0
43,2020-07-22,165.54,165.85,162.33,164.84,164.0332,1686461,0.0,1.0
44,2020-07-21,166.87,167.23,164.76,165.3,164.491,1540700,0.0,1.0
45,2020-07-20,166.49,167.71,165.73,167.04,166.2225,1806200,0.0,1.0
46,2020-07-17,166.04,167.26,165.11,165.96,165.1478,2935800,0.0,1.0
47,2020-07-16,164.95,165.44,162.6,165.0,164.1925,1486800,0.0,1.0
48,2020-07-15,165.19,166.48,163.9,165.45,164.6403,2346200,0.0,1.0
49,2020-07-14,162.88,164.77,161.53,163.88,163.0779,2642900,0.0,1.0
50,2020-07-13,164.61,167.0,161.04,162.08,161.2868,3455600,0.0,1.0
51,2020-07-10,166.14,166.14,162.74,163.36,162.5605,2245100,0.0,1.0
52,2020-07-09,169.88,170.75,163.71,166.45,165.6354,2955200,0.0,1.0
53,2020-07-08,166.84,169.82,166.84,169.13,168.3022,2781800,0.0,1.0
54,2020-07-07,166.12,168.38,165.27,166.75,165.9339,3273300,0.0,1.0
55,2020-07-06,164.46,168.92,164.01,166.89,166.0732,2760100,0.0,1.0
56,2020-07-02,164.07,164.77,162.37,163.87,163.068,1960200,0.0,1.0
57,2020-07-01,164.32,165.47,162.52,163.3,162.5008,2065100,0.0,1.0
58,2020-06-30,163.11,165.17,162.3,164.18,163.3765,3296300,0.0,1.0
59,2020-06-29,163.85,164.205,161.03,162.72,161.9236,2640297,0.0,1.0
60,2020-06-26,162.33,163.79,160.18,162.83,162.0331,5290400,0.0,1.0
61,2020-06-25,157.64,163.39,156.71,162.86,162.0629,3735400,0.0,1.0
62,2020-06-24,158.55,159.79,156.33,157.03,156.2615,3096000,0.0,1.0
63,2020-06-23,160.89,162.87,158.95,159.34,158.5602,2771500,0.0,1.0
64,2020-06-22,159.18,161.48,158.92,160.45,159.6647,2647300,0.0,1.0
65,2020-06-19,162.23,162.48,158.26,159.94,159.1572,6004900,0.0,1.0
66,2020-06-18,159.2,162.97,158.2,161.07,160.2817,3631600,0.0,1.0
67,2020-06-17,164.23,164.36,159.4,159.97,159.1871,4709400,0.0,1.0
68,2020-06-16,156.32,167.43,155.0,163.71,162.9088,15029300,0.0,1.0
69,2020-06-15,142.0,142.9,139.68,141.52,140.8274,3709900,0.0,1.0
70,2020-06-12,145.54,146.38,141.47,143.54,142.8375,3973200,0.0,1.0
71,2020-06-11,151.85,152.24,143.05,144.08,143.3748,4547400,0.0,1.0
72,2020-06-10,149.96,152.4,149.84,151.0,150.261,4940200,0.0,1.0
73,2020-06-09,149.75,151.75,149.11,149.13,148.4001,4302100,0.0,1.0
74,2020-06-08,146.75,149.25,146.52,149.21,148.4797,4076400,0.0,1.0
75,2020-06-05,149.7,151.76,148.34,149.21,148.4797,4578800,0.0,1.0
76,2020-06-04,152.21,153.54,149.71,150.71,149.9724,3328700,0.0,1.0
77,2020-06-03,153.34,154.39,150.85,152.53,151.7835,3190300,0.0,1.0
78,2020-06-02,152.08,154.08,151.04,153.86,153.107,3269400,0.0,1.0
79,2020-06-01,154.47,154.99,150.89,152.45,151.7039,5233800,0.0,1.0
80,2020-05-29,151.66,153.64,149.94,152.95,152.2014,9466300,0.0,1.0
81,2020-05-28,147.43,152.1,146.51,150.65,149.9127,3982700,0.0,1.0
82,2020-05-27,148.17,148.17,143.62,145.7,144.9869,5376100,0.0,1.0
83,2020-05-26,151.11,151.76,147.16,147.96,147.2359,5013400,0.0,1.0
84,2020-05-22,152.22,152.56,150.17,151.16,150.4202,2355000,0.0,1.0
85,2020-05-21,153.15,153.15,149.72,152.28,151.5347,3049800,0.0,1.0
86,2020-05-20,155.27,157.43,151.61,153.13,152.3806,3780800,0.0,1.0
87,2020-05-19,156.85,159.13,155.28,156.7,155.9331,2339400,0.0,1.0
88,2020-05-18,161.34,162.37,157.11,157.96,157.1869,2703700,0.0,1.0
89,2020-05-15,158.63,159.51,156.03,159.23,158.4507,2824500,0.0,1.0
90,2020-05-14,155.94,158.95,153.81,158.38,157.6049,2393900,0.74,1.0
91,2020-05-13,157.03,159.35,156.04,157.93,156.4262,2650000,0.0,1.0
92,2020-05-12,159.87,161.4,157.59,157.72,156.2182,2329400,0.0,1.0
93,2020-05-11,153.47,159.47,153.08,158.55,157.0403,3196200,0.0,1.0
94,2020-05-08,154.2,154.42,152.55,153.51,152.0483,1967700,0.0,1.0
95,2020-05-07,157.5,157.69,152.72,152.97,151.5134,2330600,0.0,1.0
96,2020-05-06,158.46,158.94,156.35,156.68,155.1881,1964800,0.0,1.0
97,2020-05-05,153.8,159.22,152.75,157.89,156.3866,2862600,0.0,1.0
98,2020-05-04,154.65,156.0,151.26,153.28,151.8205,2228500,0.0,1.0
99,2020-05-01,153.72,154.6,151.57,153.63,152.1671,2576400,0.0,1.0
100,2020-04-30,155.2,156.98,153.28,154.64,153.1675,4175800,0.0,1.0
101,2020-04-29,157.76,158.03,154.67,155.16,153.6826,3240700,0.0,1.0
102,2020-04-28,160.94,161.98,156.59,157.3,155.8022,3270200,0.0,1.0
103,2020-04-27,164.0,164.5,160.72,161.29,159.7542,3210300,0.0,1.0
104,2020-04-24,162.0,164.9,160.61,162.93,161.3786,4414000,0.0,1.0
105,2020-04-23,157.18,162.56,154.0,159.93,158.4071,5692900,0.0,1.0
106,2020-04-22,154.61,157.28,153.57,156.71,155.2178,3279300,0.0,1.0
107,2020-04-21,155.41,155.8,151.41,152.67,151.2163,4270200,0.0,1.0
108,2020-04-20,156.63,160.2,155.61,157.79,156.2875,2562200,0.0,1.0
109,2020-04-17,155.42,157.67,153.03,157.29,155.7923,3709900,0.0,1.0
110,2020-04-16,152.89,155.59,152.0,154.73,153.2567,3512900,0.0,1.0
111,2020-04-15,148.94,153.4,148.51,151.18,149.7405,3614400,0.0,1.0
112,2020-04-14,147.28,151.55,144.05,151.11,149.6711,3809600,0.0,1.0
113,2020-04-13,144.97,146.59,142.88,144.42,143.0448,2289000,0.0,1.0
114,2020-04-09,144.51,146.4,143.55,145.73,144.3424,4415300,0.0,1.0
115,2020-04-08,142.05,147.25,140.5,146.22,144.8277,4006600,0.0,1.0
116,2020-04-07,143.13,144.8,140.05,141.88,140.529,3900600,0.0,1.0
117,2020-04-06,142.27,143.5,140.3,141.61,140.2616,4159900,0.0,1.0
118,2020-04-03,140.92,144.6,138.46,139.66,138.3302,4013200,0.0,1.0
119,2020-04-02,135.35,142.8,133.03,142.18,140.8262,4725000,0.0,1.0
120,2020-04-01,134.0,137.19,132.98,136.42,135.121,3297900,0.0,1.0
121,2020-03-31,136.96,142.02,134.52,138.72,137.3991,7560100,0.0,1.0
122,2020-03-30,133.87,141.77,133.51,138.44,137.1218,5057400,0.0,1.0
123,2020-03-27,130.65,137.61,130.2,134.11,132.833,4717400,0.0,1.0
124,2020-03-26,123.29,135.74,121.94,134.35,133.0707,6723600,0.0,1.0
125,2020-03-25,120.12,126.14,119.21,121.94,120.7789,6472100,0.0,1.0
126,2020-03-24,123.24,124.6,117.41,122.89,121.7198,6827300,0.0,1.0
127,2020-03-23,120.95,126.88,117.06,119.05,117.9164,7299300,0.0,1.0
128,2020-03-20,132.16,132.25,120.23,122.4,121.2345,9113500,0.0,1.0
129,2020-03-19,142.49,142.98,131.12,133.09,131.8227,6554800,0.0,1.0
130,2020-03-18,136.34,144.0,134.08,143.09,141.7275,6734600,0.0,1.0
131,2020-03-17,133.21,143.59,131.1,143.2,141.8364,8909200,0.0,1.0
132,2020-03-16,131.0,138.68,128.25,129.38,128.148,6619700,0.0,1.0
133,2020-03-13,132.95,139.37,128.51,139.37,138.0429,6841700,0.0,1.0
134,2020-03-12,130.79,136.5,125.93,126.02,124.82,7836300,0.0,1.0
135,2020-03-11,139.46,141.84,137.39,140.02,138.6867,7211800,0.0,1.0
136,2020-03-10,139.23,141.93,134.72,141.19,139.8456,5961200,0.0,1.0
137,2020-03-09,134.02,140.93,133.31,135.72,134.4277,5351300,0.0,1.0
138,2020-03-06,136.12,142.36,135.55,141.46,140.113,8010700,0.0,1.0
139,2020-03-05,138.38,141.91,137.53,140.15,138.8155,6882100,0.0,1.0
140,2020-03-04,133.03,140.86,133.0,140.38,139.0433,5301900,0.0,1.0
141,2020-03-03,133.28,135.65,128.69,130.31,129.0692,6936600,0.0,1.0
142,2020-03-02,127.74,133.0,126.21,132.84,131.5751,7355700,0.0,1.0
143,2020-02-28,126.38,126.8,121.51,126.13,124.929,7898300,0.0,1.0
144,2020-02-27,133.33,134.67,129.05,129.19,127.9599,4292800,0.0,1.0
145,2020-02-26,136.03,137.02,133.31,133.53,132.2585,4659000,0.0,1.0
146,2020-02-25,138.94,139.23,134.62,135.41,134.1206,3401600,0.0,1.0
147,2020-02-24,139.28,141.59,137.87,138.15,136.8345,4727400,0.0,1.0
148,2020-02-21,141.34,142.65,140.33,142.04,140.6875,2900900,0.0,1.0
149,2020-02-20,141.63,142.81,141.2,142.0,140.6479,3417000,0.0,1.0
150,2020-02-19,141.62,141.84,140.36,140.83,139.489,3082800,0.0,1.0
151,2020-02-18,141.02,141.96,140.53,141.01,139.6673,2858200,0.0,1.0
152,2020-02-14,142.25,142.32,140.57,141.12,139.7763,2273700,0.0,1.0
153,2020-02-13,142.86,143.74,141.79,141.8,140.4498,3455500,0.74,1.0
154,2020-02-12,144.67,144.9,143.49,143.51,141.4056,3953200,0.0,1.0
155,2020-02-11,145.73,145.86,143.18,144.25,142.1347,2976400,0.0,1.0
156,2020-02-10,141.5,145.55,141.12,145.51,143.3762,4892100,0.0,1.0
157,2020-02-07,147.22,147.22,145.38,146.41,144.263,2670400,0.0,1.0
158,2020-02-06,147.74,147.87,146.81,147.3,145.14,3285000,0.0,1.0
159,2020-02-05,144.78,147.36,144.53,147.35,145.1892,4060900,0.0,1.0
160,2020-02-04,142.3,144.07,141.78,143.44,141.3366,3177500,0.0,1.0
161,2020-02-03,140.53,141.57,139.68,141.0,138.9324,5137800,0.0,1.0
162,2020-01-31,142.85,142.85,139.47,139.64,137.5923,3913500,0.0,1.0
163,2020-01-30,138.18,143.72,138.1,142.67,140.5779,5243437,0.0,1.0
164,2020-01-29,139.51,141.14,138.97,139.92,137.8682,2815500,0.0,1.0
165,2020-01-28,138.69,139.88,138.23,139.26,137.2179,2649100,0.0,1.0
166,2020-01-27,137.34,139.1,137.34,138.31,136.2818,2826400,0.0,1.0
167,2020-01-24,141.85,141.99,138.7,139.07,137.0307,3183300,0.0,1.0
168,2020-01-23,141.25,141.74,139.88,141.21,139.1393,3138700,0.0,1.0
169,2020-01-22,141.25,142.25,140.69,141.56,139.4842,2742100,0.0,1.0
170,2020-01-21,139.5,141.57,138.43,140.91,138.8437,4849500,0.0,1.0
171,2020-01-17,140.88,141.74,139.36,139.58,137.5332,5393200,0.0,1.0
172,2020-01-16,141.83,141.97,139.85,141.43,139.3561,3794800,0.0,1.0
173,2020-01-15,140.58,141.69,140.01,141.11,139.0408,3676500,0.0,1.0
174,2020-01-14,138.99,140.9,138.12,140.65,138.5875,4685200,0.0,1.0
175,2020-01-13,138.2,139.99,137.89,138.94,136.9026,5117100,0.0,1.0
176,2020-01-10,135.78,138.27,135.53,138.0,135.9764,4177600,0.0,1.0
177,2020-01-09,134.55,136.36,134.01,135.92,133.9269,4522800,0.0,1.0
178,2020-01-08,132.46,134.21,132.01,133.71,131.7493,5188600,0.0,1.0
179,2020-01-07,131.7,132.93,131.7,132.51,130.5669,2448300,0.0,1.0
180,2020-01-06,131.42,132.56,130.94,132.26,130.3205,2102900,0.0,1.0
181,2020-01-03,130.3,132.47,130.23,131.77,129.8377,1963500,0.0,1.0
182,2020-01-02,131.77,132.26,130.73,132.21,130.2713,2204200,0.0,1.0
183,2019-12-31,131.18,131.52,130.5,131.43,129.5027,1549800,0.0,1.0
184,2019-12-30,131.52,131.93,130.87,131.3,129.3746,1856200,0.0,1.0
185,2019-12-27,131.57,131.77,130.84,131.52,129.5914,2161300,0.0,1.0
186,2019-12-26,131.0,131.7,130.66,131.14,129.217,1272000,0.0,1.0
187,2019-12-24,131.07,131.21,130.13,131.11,129.1874,1215800,0.0,1.0
188,2019-12-23,132.39,132.58,131.03,131.15,129.2268,2473400,0.0,1.0
189,2019-12-20,132.49,137.0,131.24,132.43,130.488,9229900,0.0,1.0
190,2019-12-19,129.08,130.99,128.34,130.85,128.9312,4423400,0.0,1.0
191,2019-12-18,127.88,129.98,127.69,129.48,127.5813,8173000,0.0,1.0
192,2019-12-17,124.0,127.03,123.31,125.33,123.4921,6718800,0.0,1.0
193,2019-12-16,123.07,124.26,122.06,122.85,121.0485,3468400,0.0,1.0
194,2019-12-13,121.98,122.19,120.72,121.53,119.7479,3343900,0.0,1.0
195,2019-12-12,120.56,121.93,120.56,121.7,119.9154,2959400,0.0,1.0
196,2019-12-11,120.56,121.2,119.98,120.78,119.0089,3438100,0.0,1.0
197,2019-12-10,120.56,121.15,120.11,120.65,118.8808,3592600,0.0,1.0
198,2019-12-09,119.53,120.84,118.94,120.24,118.4768,2335100,0.0,1.0
199,2019-12-06,119.97,120.71,119.58,119.64,117.8856,2462800,0.0,1.0
200,2019-12-05,118.4,119.92,117.54,119.77,118.0137,3003200,0.0,1.0
201,2019-12-04,118.28,118.84,117.57,118.67,116.9298,2597000,0.0,1.0
202,2019-12-03,116.4,117.92,115.92,117.61,115.8854,2786000,0.0,1.0
203,2019-12-02,117.52,118.25,116.1,116.74,115.0281,2199700,0.0,1.0
204,2019-11-29,117.23,118.04,117.17,117.35,115.6292,1243900,0.0,1.0
205,2019-11-27,117.73,117.9,116.62,117.44,115.7178,1798200,0.0,1.0
206,2019-11-26,117.47,118.11,117.0,117.09,115.373,4704900,0.0,1.0
207,2019-11-25,116.6,118.46,116.6,117.47,115.7474,2939300,0.0,1.0
208,2019-11-22,115.09,116.68,114.71,116.2,114.496,3120100,0.0,1.0
209,2019-11-21,114.7,115.52,113.29,114.75,113.0673,2909500,0.0,1.0
210,2019-11-20,114.96,115.92,114.05,114.61,112.9293,3638200,0.0,1.0
211,2019-11-19,114.03,116.12,113.75,115.1,113.4122,3781600,0.0,1.0
212,2019-11-18,113.02,114.13,112.86,114.07,112.3973,3361600,0.0,1.0
213,2019-11-15,111.33,113.82,111.33,113.19,111.5302,4857400,0.0,1.0
214,2019-11-14,112.19,112.36,111.0,111.39,109.7566,2627100,0.645,1.0
215,2019-11-13,112.87,113.53,112.25,112.79,110.4962,3250600,0.0,1.0
216,2019-11-12,112.77,114.04,112.45,113.17,110.8685,2273200,0.0,1.0
217,2019-11-11,113.46,114.21,112.22,112.8,110.506,1770200,0.0,1.0
218,2019-11-08,112.65,113.57,112.1,113.53,111.2212,2224100,0.0,1.0
219,2019-11-07,114.23,114.63,112.03,112.77,110.4766,3076200,0.0,1.0
220,2019-11-06,111.57,114.29,111.51,113.82,111.5053,3973700,0.0,1.0
221,2019-11-05,112.95,113.08,110.51,111.25,108.9875,3357300,0.0,1.0
222,2019-11-04,113.24,114.33,112.87,113.11,110.8097,3002100,0.0,1.0
223,2019-11-01,114.07,114.51,112.31,112.51,110.2219,2629100,0.0,1.0
224,2019-10-31,112.36,114.67,112.0,113.95,111.6326,4124300,0.0,1.0
225,2019-10-30,111.37,113.21,111.26,112.72,110.4276,2424600,0.0,1.0
226,2019-10-29,112.5,112.81,111.5,111.67,109.399,2987700,0.0,1.0
227,2019-10-28,110.62,113.19,110.62,112.99,110.6921,4168500,0.0,1.0
228,2019-10-25,108.08,110.59,107.54,110.2,107.9589,4234600,0.0,1.0
229,2019-10-24,107.5,108.21,106.25,107.84,105.6469,3304500,0.0,1.0
230,2019-10-23,106.0,107.75,101.36,107.4,105.2158,9047500,0.0,1.0
231,2019-10-22,109.98,111.46,108.89,109.84,107.6062,5708500,0.0,1.0
232,2019-10-21,108.87,109.0,107.77,107.91,105.7155,3944900,0.0,1.0
233,2019-10-18,108.31,108.94,107.9,108.64,106.4306,2207100,0.0,1.0
234,2019-10-17,109.22,109.46,108.26,108.46,106.2543,2018900,0.0,1.0
235,2019-10-16,109.18,109.48,107.79,107.95,105.7546,2314600,0.0,1.0
236,2019-10-15,108.35,110.1,108.22,109.7,107.4691,1760000,0.0,1.0
237,2019-10-14,108.52,109.13,107.88,107.9,105.7057,1341300,0.0,1.0
238,2019-10-11,107.75,109.14,107.59,108.36,106.1563,2554900,0.0,1.0
239,2019-10-10,107.03,107.49,106.58,106.92,104.7456,2736900,0.0,1.0
240,2019-10-09,107.56,108.15,106.88,107.3,105.1179,1636600,0.0,1.0
241,2019-10-08,106.89,108.33,105.95,107.19,105.0101,2802500,0.0,1.0
242,2019-10-07,108.31,108.65,107.57,107.83,105.6371,1460800,0.0,1.0
243,2019-10-04,107.49,108.26,107.0,108.2,105.9996,2865300,0.0,1.0
