,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,381.88,392.48,381.3443,388.42,388.42,1269478,0.0,1.0
1,2020-09-21,388.5,389.8658,377.23,379.61,379.61,1447716,0.0,1.0
2,2020-09-18,394.15,399.0,394.15,395.14,395.14,2636802,0.0,1.0
3,2020-09-17,392.0,398.55,389.54,395.94,395.94,959548,0.0,1.0
4,2020-09-16,391.11,399.6,390.93,395.58,395.58,1052509,0.0,1.0
5,2020-09-15,395.65,396.0,386.89,392.55,392.55,955899,0.0,1.0
6,2020-09-14,393.37,396.67,391.62,393.75,393.75,991054,0.0,1.0
7,2020-09-11,381.47,390.4999,380.75,389.45,389.45,933979,0.0,1.0
8,2020-09-10,386.02,388.5323,378.33,379.11,379.11,716427,0.0,1.0
9,2020-09-09,382.69,389.42,381.0101,385.24,385.24,1218293,0.0,1.0
10,2020-09-08,383.99,385.285,378.36,380.23,380.23,1071648,0.0,1.0
11,2020-09-04,388.51,391.55,379.58,385.02,385.02,933794,0.0,1.0
12,2020-09-03,399.5,401.8755,383.38,386.29,386.29,1500784,0.0,1.0
13,2020-09-02,385.15,398.9,384.11,398.07,398.07,1214735,0.0,1.0
14,2020-09-01,387.82,389.185,385.0,386.81,386.81,908902,0.0,1.0
15,2020-08-31,392.17,395.0,388.47,390.26,390.26,1030838,2.4,1.0
16,2020-08-28,395.51,396.0,391.73,395.59,393.1721,728261,0.0,1.0
17,2020-08-27,396.84,400.085,394.88,395.02,392.6056,700460,0.0,1.0
18,2020-08-26,393.0,397.66,390.56,395.44,393.023,908779,0.0,1.0
19,2020-08-25,395.72,402.375,392.4,394.84,392.4267,987415,0.0,1.0
20,2020-08-24,390.83,395.57,389.9,395.04,392.6255,1006398,0.0,1.0
21,2020-08-21,387.71,390.79,386.8596,389.57,387.1889,996274,0.0,1.0
22,2020-08-20,388.28,389.2,383.577,387.88,385.5092,1203695,0.0,1.0
23,2020-08-19,390.08,391.97,388.84,390.05,387.666,717523,0.0,1.0
24,2020-08-18,389.17,391.91,388.3434,390.26,387.8747,806128,0.0,1.0
25,2020-08-17,393.98,395.19,387.73,388.96,386.5826,863571,0.0,1.0
26,2020-08-14,388.64,394.2,388.02,391.42,389.0276,648605,0.0,1.0
27,2020-08-13,390.35,394.05,387.0,389.24,386.8609,1053647,0.0,1.0
28,2020-08-12,394.02,396.52,391.29,392.44,390.0413,878821,0.0,1.0
29,2020-08-11,391.51,399.49,391.33,391.96,389.5643,1312906,0.0,1.0
30,2020-08-10,386.02,391.11,385.96,389.26,386.8808,856011,0.0,1.0
31,2020-08-07,380.01,386.66,378.76,385.62,383.263,924890,0.0,1.0
