,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,318.33,319.73,310.1921,318.69,318.69,1483240,0.0,1.0
1,2020-09-21,305.08,317.82,300.695,314.96,314.96,1880324,0.0,1.0
2,2020-09-18,308.26,310.83,301.89,307.21,307.21,2660415,0.0,1.0
3,2020-09-17,296.17,308.59,296.17,305.89,305.89,1913606,0.0,1.0
4,2020-09-16,311.67,314.38,305.863,306.6,306.6,1415901,0.0,1.0
5,2020-09-15,310.6094,312.817,303.0,308.93,308.93,1714344,0.0,1.0
6,2020-09-14,301.77,308.62,299.63,305.42,305.42,1954683,0.0,1.0
7,2020-09-11,300.54,303.336,292.28,293.99,293.99,1727381,0.0,1.0
8,2020-09-10,303.76,305.7104,295.78,297.51,297.51,2085604,0.0,1.0
9,2020-09-09,310.96,311.81,300.335,300.91,300.91,3086742,0.0,1.0
10,2020-09-08,310.96,316.46,302.19,302.72,302.72,3113834,0.0,1.0
11,2020-09-04,339.0,339.9,319.69,333.12,333.12,2471089,0.0,1.0
12,2020-09-03,357.295,357.295,339.395,341.53,341.53,2556555,0.0,1.0
13,2020-09-02,345.98,365.141,344.25,362.7,362.7,2763134,0.0,1.0
14,2020-09-01,339.55,346.5,337.568,340.56,340.56,2087778,0.0,1.0
15,2020-08-31,348.55,349.145,336.24,336.34,336.34,2533407,0.0,1.0
16,2020-08-28,342.66,351.99,341.45,350.78,350.78,1596368,0.0,1.0
17,2020-08-27,354.86,354.86,338.59,341.45,341.45,1902198,0.0,1.0
18,2020-08-26,352.55,354.0,348.07,351.8,351.8,1194983,0.0,1.0
19,2020-08-25,353.05,356.3,350.5,352.5,352.5,1310322,0.0,1.0
20,2020-08-24,359.4,360.67,347.32,351.02,351.02,1682341,0.0,1.0
21,2020-08-21,355.92,356.71,350.33,353.44,353.44,2555541,0.0,1.0
22,2020-08-20,360.1,363.4,355.27,358.5,358.5,2214003,0.0,1.0
23,2020-08-19,374.03,376.19,368.26,372.19,372.19,1074829,0.0,1.0
24,2020-08-18,381.95,382.7021,372.93,374.57,374.57,1047285,0.0,1.0
25,2020-08-17,376.55,384.17,372.81,379.08,379.08,1408441,0.0,1.0
26,2020-08-14,379.0,384.99,373.0,373.64,373.64,1344708,0.0,1.0
27,2020-08-13,380.01,382.45,374.3801,377.02,377.02,1076446,0.0,1.0
28,2020-08-12,372.18,383.28,369.93,381.52,381.52,1223566,0.0,1.0
29,2020-08-11,378.86,380.87,367.39,369.01,369.01,1110113,0.0,1.0
30,2020-08-10,372.44,376.82,369.15,375.76,375.76,929245,0.0,1.0
31,2020-08-07,378.38,381.69,366.45,372.44,372.44,1385459,0.0,1.0
32,2020-08-06,377.0,379.6,370.79,377.81,377.81,1699860,0.0,1.0
33,2020-08-05,384.58,387.09,382.28,383.47,383.47,846470,0.0,1.0
34,2020-08-04,382.18,385.75,380.22,384.96,384.96,1148235,0.0,1.0
35,2020-08-03,380.8,387.695,379.18,381.41,381.41,1517996,0.0,1.0
36,2020-07-31,379.56,380.16,369.29,377.16,377.16,2040329,0.0,1.0
37,2020-07-30,367.775,381.48,367.08,378.54,378.54,2567844,0.0,1.0
38,2020-07-29,352.1,361.84,349.0,360.83,360.83,2167323,0.0,1.0
39,2020-07-28,354.61,358.93,348.6,348.93,348.93,1332399,0.0,1.0
40,2020-07-27,347.44,360.0773,346.675,358.08,358.08,1752260,0.0,1.0
41,2020-07-24,344.21,348.0,336.28,345.72,345.72,2003052,0.0,1.0
42,2020-07-23,358.85,367.56,350.91,354.82,354.82,1724860,0.0,1.0
43,2020-07-22,359.97,363.0,356.5,361.96,361.96,1036703,0.0,1.0
44,2020-07-21,357.37,362.2,352.34,357.02,357.02,1726279,0.0,1.0
45,2020-07-20,346.27,355.94,342.01,353.75,353.75,1231469,0.0,1.0
