,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,37.35,38.1978,37.11,38.12,38.12,10142700,0.0,1.0
1,2020-09-21,38.05,38.47,36.75,37.52,37.52,14266936,0.0,1.0
2,2020-09-18,39.77,40.51,39.31,39.83,39.83,21206269,0.0,1.0
3,2020-09-17,41.31,41.995,40.085,40.4,40.4,15234636,0.0,1.0
4,2020-09-16,40.52,42.88,40.275,42.1,42.1,19858499,0.0,1.0
5,2020-09-15,40.26,40.98,40.1,40.61,40.61,10131161,0.0,1.0
6,2020-09-14,39.35,40.25,39.063,40.06,40.06,9680749,0.0,1.0
7,2020-09-11,39.05,39.41,38.68,38.95,38.95,8044874,0.0,1.0
8,2020-09-10,39.52,39.95,38.865,38.94,38.94,9024766,0.0,1.0
9,2020-09-09,40.09,40.44,38.81,39.22,39.22,12211514,0.0,1.0
10,2020-09-08,39.18,40.8,39.18,40.5,40.5,15808632,0.0,1.0
11,2020-09-04,39.19,40.0699,38.06,39.39,39.39,15543428,0.0,1.0
12,2020-09-03,39.28,40.655,37.85,38.74,38.74,16721372,0.0,1.0
13,2020-09-02,38.57,39.34,37.68,39.17,39.17,11157420,0.0,1.0
14,2020-09-01,36.84,38.67,36.5606,37.91,37.91,10884673,0.0,1.0
15,2020-08-31,38.75,38.81,37.58,37.58,37.58,9824277,0.0,1.0
16,2020-08-28,38.11,39.06,37.59,38.81,38.81,14082625,0.0,1.0
17,2020-08-27,37.54,38.88,37.313,37.65,37.65,14342548,0.0,1.0
18,2020-08-26,36.91,37.07,36.325,36.38,36.38,7938202,0.0,1.0
19,2020-08-25,37.43,37.5,36.34,37.06,37.06,11774024,0.0,1.0
20,2020-08-24,35.29,36.94,34.96,36.91,36.91,15211942,0.0,1.0
21,2020-08-21,34.3,35.19,34.28,34.69,34.69,11435502,0.0,1.0
22,2020-08-20,33.65,34.575,33.48,34.46,34.46,9149336,0.0,1.0
23,2020-08-19,34.91,35.78,34.145,34.27,34.27,14959371,0.0,1.0
24,2020-08-18,33.82,34.25,33.54,34.16,34.16,7256144,0.0,1.0
25,2020-08-17,35.06,35.18,33.7927,33.81,33.81,8050042,0.0,1.0
26,2020-08-14,34.3,35.13,34.2,34.9,34.9,7373448,0.0,1.0
27,2020-08-13,34.71,35.6999,34.6213,34.71,34.71,8576839,0.0,1.0
28,2020-08-12,35.83,36.08,34.3611,35.25,35.25,13028989,0.0,1.0
29,2020-08-11,36.61,37.44,35.07,35.29,35.29,21870251,0.0,1.0
30,2020-08-10,33.65,35.145,33.55,34.99,34.99,15957998,0.0,1.0
31,2020-08-07,32.84,33.3,32.69,33.28,33.28,9381196,0.0,1.0
32,2020-08-06,33.26,33.35,32.315,33.02,33.02,15007851,0.0,1.0
33,2020-08-05,31.9,33.1997,31.79,32.72,32.72,15269880,0.0,1.0
34,2020-08-04,31.7,32.27,31.38,31.4,31.4,12040130,0.0,1.0
35,2020-08-03,30.75,32.15,30.295,31.58,31.58,13471909,0.0,1.0
36,2020-07-31,30.8,31.02,30.24,30.89,30.89,11131689,0.0,1.0
37,2020-07-30,31.33,31.65,30.77,30.96,30.96,12316532,0.0,1.0
38,2020-07-29,32.58,32.63,31.48,31.79,31.79,11150809,0.0,1.0
39,2020-07-28,31.51,32.67,31.48,32.29,32.29,10257628,0.0,1.0
40,2020-07-27,31.57,31.93,31.235,31.53,31.53,9759043,0.0,1.0
41,2020-07-24,32.31,32.45,31.57,31.66,31.66,14976688,0.0,1.0
42,2020-07-23,32.75,34.16,32.0626,32.79,32.79,22888544,0.0,1.0
43,2020-07-22,33.5,33.91,33.05,33.3,33.3,10424032,0.0,1.0
44,2020-07-21,33.33,34.16,33.25,33.62,33.62,11921991,0.0,1.0
45,2020-07-20,33.97,34.3,32.73,32.98,32.98,12515678,0.0,1.0
46,2020-07-17,34.07,34.52,33.82,34.13,34.13,7771400,0.0,1.0
47,2020-07-16,34.83,35.08,33.9,34.21,34.21,11375400,0.0,1.0
48,2020-07-15,35.03,36.1,34.27,35.75,35.75,21231800,0.0,1.0
49,2020-07-14,31.84,33.38,31.75,33.25,33.25,11400400,0.0,1.0
50,2020-07-13,33.42,33.53,32.27,32.64,32.64,15458100,0.0,1.0
51,2020-07-10,31.16,33.35,31.16,33.22,33.22,14925300,0.0,1.0
52,2020-07-09,32.47,32.73,31.3,31.57,31.57,17161400,0.0,1.0
53,2020-07-08,32.56,33.47,32.07,32.89,32.89,16019000,0.0,1.0
54,2020-07-07,33.49,33.54,32.94,33.01,33.01,10887800,0.0,1.0
55,2020-07-06,34.72,34.88,33.15,34.3,34.3,16416600,0.0,1.0
56,2020-07-02,34.7,34.92,33.96,34.12,34.12,12257800,0.0,1.0
57,2020-07-01,35.29,35.6,33.67,33.81,33.81,16100100,0.0,1.0
58,2020-06-30,34.98,34.99,33.57,34.18,34.18,18677700,0.0,1.0
59,2020-06-29,33.15,35.36,32.33,35.04,35.04,25578100,0.0,1.0
60,2020-06-26,33.13,33.15,31.18,31.96,31.96,23936947,0.0,1.0
61,2020-06-25,31.19,33.06,30.94,32.97,32.97,18157168,0.0,1.0
62,2020-06-24,34.0,34.27,32.23,32.25,32.25,18905169,0.0,1.0
