,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,46.51,47.38,45.88,46.25,46.25,4108665,0.0,1.0
1,2020-09-21,46.88,47.21,45.18,46.44,46.44,6518366,0.0,1.0
2,2020-09-18,49.07,49.76,48.73,49.0,49.0,7615628,0.0,1.0
3,2020-09-17,48.84,49.32,48.57,49.08,49.08,5451924,0.0,1.0
4,2020-09-16,51.54,51.77,47.2306,49.67,49.67,12559646,0.0,1.0
5,2020-09-15,53.25,53.51,51.81,51.85,51.85,5173718,0.0,1.0
6,2020-09-14,52.16,53.19,52.1101,53.1,53.1,4281808,0.0,1.0
7,2020-09-11,52.95,53.14,51.26,51.91,51.91,5678084,0.0,1.0
8,2020-09-10,51.35,53.1,50.91,52.32,52.32,5980617,0.0,1.0
9,2020-09-09,51.67,51.81,50.51,50.84,50.84,4342008,0.0,1.0
10,2020-09-08,51.03,52.45,50.6,51.67,51.67,8702165,0.0,1.0
11,2020-09-04,51.4,52.45,50.96,51.96,51.96,7735085,0.0,1.0
12,2020-09-03,51.51,52.27,49.92,50.63,50.63,5820525,0.0,1.0
13,2020-09-02,49.7,51.64,49.6,51.33,51.33,6872539,0.0,1.0
14,2020-09-01,50.73,51.32,49.58,49.65,49.65,7728638,0.0,1.0
15,2020-08-31,52.06,52.1,50.71,50.71,50.71,5732322,0.0,1.0
16,2020-08-28,51.14,52.96,50.67,52.16,52.16,6978248,0.0,1.0
17,2020-08-27,49.9,51.285,49.81,50.53,50.53,4932226,0.0,1.0
18,2020-08-26,50.0,50.195,49.1,49.86,49.86,3755820,0.0,1.0
19,2020-08-25,50.18,50.8,49.6314,49.96,49.96,3833061,0.0,1.0
20,2020-08-24,48.72,49.9,47.72,49.81,49.81,5074144,0.0,1.0
21,2020-08-21,48.15,49.37,47.86,48.52,48.52,6626343,0.0,1.0
22,2020-08-20,46.91,47.79,46.62,47.46,47.46,2930159,0.0,1.0
23,2020-08-19,48.15,48.48,47.22,47.47,47.47,3587336,0.0,1.0
24,2020-08-18,47.63,48.105,47.21,47.69,47.69,3495055,0.0,1.0
25,2020-08-17,48.2,48.39,47.51,47.72,47.72,4279587,0.0,1.0
26,2020-08-14,48.09,48.73,47.8,48.37,48.37,5896962,0.0,1.0
27,2020-08-13,48.49,49.11,47.98,48.62,48.62,4557633,0.0,1.0
28,2020-08-12,51.39,51.515,48.585,49.07,49.07,5334499,0.0,1.0
29,2020-08-11,49.55,51.41,49.39,51.0,51.0,18750362,0.0,1.0
30,2020-08-10,46.45,48.255,46.33,47.52,47.52,10497059,0.0,1.0
31,2020-08-07,44.75,44.96,43.5,44.2,44.2,5886267,0.0,1.0
32,2020-08-06,43.12,45.62,42.68,45.22,45.22,9063175,0.0,1.0
33,2020-08-05,44.24,44.86,42.95,43.34,43.34,5467258,0.0,1.0
34,2020-08-04,44.03,44.265,43.33,43.73,43.73,4017947,0.0,1.0
35,2020-08-03,43.18,44.53,42.58,44.0,44.0,4364250,0.0,1.0
36,2020-07-31,45.14,45.17,43.14,43.64,43.64,4675582,0.0,1.0
37,2020-07-30,44.41,45.75,44.24,45.5,45.5,6033046,0.0,1.0
38,2020-07-29,44.15,45.13,43.365,44.32,44.32,4649374,0.0,1.0
39,2020-07-28,43.19,44.795,43.15,44.22,44.22,7858844,0.0,1.0
40,2020-07-27,43.86,44.205,42.69,43.48,43.48,6681008,0.0,1.0
41,2020-07-24,44.25,44.95,43.81,44.36,44.36,5408190,0.0,1.0
42,2020-07-23,45.49,45.98,44.25,44.88,44.88,10920807,0.0,1.0
43,2020-07-22,47.64,48.08,46.6,46.84,46.84,7445959,0.0,1.0
44,2020-07-21,47.93,48.98,47.58,48.0,48.0,4817907,0.0,1.0
45,2020-07-20,48.0,48.57,46.55,47.28,47.28,4608343,0.0,1.0
46,2020-07-17,49.87,49.87,48.28,48.69,48.69,3258400,0.0,1.0
47,2020-07-16,49.43,49.96,48.91,49.71,49.71,4028800,0.0,1.0
48,2020-07-15,49.03,50.45,48.65,50.25,50.25,6611300,0.0,1.0
49,2020-07-14,47.85,47.9,46.54,47.39,47.39,6798000,0.0,1.0
50,2020-07-13,46.57,50.1,45.22,48.53,48.53,11281300,0.0,1.0
51,2020-07-10,44.5,45.78,44.25,45.72,45.72,3594100,0.0,1.0
52,2020-07-09,45.56,45.63,43.71,44.68,44.68,3834700,0.0,1.0
53,2020-07-08,45.01,45.92,44.18,45.61,45.61,4059900,0.0,1.0
54,2020-07-07,46.19,46.35,44.98,45.03,45.03,5094900,0.0,1.0
55,2020-07-06,47.6,48.37,45.64,47.07,47.07,7294500,0.0,1.0
56,2020-07-02,46.08,46.97,45.56,46.34,46.34,4751700,0.0,1.0
57,2020-07-01,45.65,46.64,44.83,45.04,45.04,3948100,0.0,1.0
58,2020-06-30,43.78,45.72,43.64,45.54,45.54,5570700,0.0,1.0
59,2020-06-29,43.52,44.94,42.88,44.65,44.65,7515500,0.0,1.0
60,2020-06-26,44.72,44.84,43.01,43.33,43.33,8053279,0.0,1.0
61,2020-06-25,44.0,45.15,43.03,44.99,44.99,10547099,0.0,1.0
62,2020-06-24,46.39,46.67,44.25,44.94,44.94,7649713,0.0,1.0
63,2020-06-23,47.0,47.005,46.35,46.88,46.88,5935722,0.0,1.0
64,2020-06-22,46.78,46.89,45.11,46.29,46.29,9067356,0.0,1.0
65,2020-06-19,49.09,49.15,47.05,47.19,47.19,8856354,0.0,1.0
66,2020-06-18,48.39,49.2,47.96,48.2,48.2,5564184,0.0,1.0
67,2020-06-17,49.19,49.56,48.26,48.9,48.9,4126915,0.0,1.0
68,2020-06-16,51.28,51.38,47.75,49.4,49.4,8011953,0.0,1.0
69,2020-06-15,47.9,49.67,47.75,49.06,49.06,5154757,0.0,1.0
70,2020-06-12,51.35,51.36,48.6,49.87,49.87,5824550,0.0,1.0
71,2020-06-11,48.48,50.36,48.17,49.09,49.09,8928829,0.0,1.0
72,2020-06-10,53.01,53.63,51.68,51.77,51.77,5485088,0.0,1.0
73,2020-06-09,54.78,54.79,53.04,53.66,53.66,4803685,0.0,1.0
74,2020-06-08,54.75,55.73,53.63,55.64,55.64,7483755,0.0,1.0
75,2020-06-05,56.0,56.02,52.445,52.97,52.97,11547273,0.0,1.0
76,2020-06-04,53.86,53.92,49.06,52.35,52.35,18901659,0.0,1.0
77,2020-06-03,48.77,52.17,48.69,51.79,51.79,11784927,0.0,1.0
78,2020-06-02,49.11,49.26,47.3,47.79,47.79,9100122,0.0,1.0
79,2020-06-01,48.52,49.76,47.62,49.03,49.03,6797110,0.0,1.0
80,2020-05-29,47.68,48.68,46.78,47.94,47.94,7897191,0.0,1.0
81,2020-05-28,51.0,51.0784,48.33,48.55,48.55,5373968,0.0,1.0
82,2020-05-27,51.91,52.2,49.25,50.93,50.93,6732134,0.0,1.0
83,2020-05-26,49.97,50.3325,48.85,49.93,49.93,6796047,0.0,1.0
84,2020-05-22,47.66,48.0,46.5,46.9,46.9,6447221,0.0,1.0
85,2020-05-21,50.38,50.48,48.32,48.57,48.57,6367139,0.0,1.0
86,2020-05-20,49.7,50.36,48.785,50.17,50.17,6931654,0.0,1.0
87,2020-05-19,48.5,49.7,47.32,48.25,48.25,5934028,0.0,1.0
