,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,74.09,74.6,72.97,73.51,73.51,2481447,0.0,1.0
1,2020-09-21,76.35,76.8699,72.03,73.5,73.5,3710699,0.0,1.0
2,2020-09-18,79.61,80.05,78.535,79.0,79.0,3830777,0.0,1.0
3,2020-09-17,76.11,80.77,75.63,79.9,79.9,3887886,0.0,1.0
4,2020-09-16,75.04,78.34,74.18,76.94,76.94,2807245,0.0,1.0
5,2020-09-15,76.85,77.39,75.43,76.55,76.55,1773734,0.0,1.0
6,2020-09-14,74.65,76.98,74.29,76.49,76.49,1883721,0.0,1.0
7,2020-09-11,73.3,74.98,71.985,74.31,74.31,1754858,0.0,1.0
8,2020-09-10,72.8,72.985,70.89,70.94,70.94,1940479,0.0,1.0
9,2020-09-09,70.66,73.04,70.66,72.69,72.69,2221617,0.0,1.0
10,2020-09-08,70.92,71.95,69.48,70.08,70.08,3380740,0.0,1.0
11,2020-09-04,71.41,72.79,70.55,72.06,72.06,2089878,0.0,1.0
12,2020-09-03,71.33,72.56,69.0,70.44,70.44,3169576,0.0,1.0
13,2020-09-02,69.47,71.59,68.31,71.49,71.49,2887638,0.0,1.0
14,2020-09-01,64.58,68.64,64.21,68.46,68.46,3468198,0.0,1.0
15,2020-08-31,68.24,68.33,65.44,65.48,65.48,1914808,0.0,1.0
16,2020-08-28,67.98,68.41,66.71,68.15,68.15,1790862,1.05,1.0
17,2020-08-27,69.34,69.72,67.11,68.92,67.8742,1814481,0.0,1.0
18,2020-08-26,68.71,69.6872,68.01,69.31,68.2583,1363219,0.0,1.0
19,2020-08-25,70.17,70.96,68.205,68.75,67.7068,1507282,0.0,1.0
20,2020-08-24,66.73,69.63,66.25,69.59,68.5341,1650834,0.0,1.0
21,2020-08-21,65.61,66.35,65.22,65.67,64.6736,1111717,0.0,1.0
22,2020-08-20,66.66,67.04,65.86,65.95,64.9493,1133665,0.0,1.0
23,2020-08-19,68.07,68.86,67.26,67.63,66.6038,1569679,0.0,1.0
24,2020-08-18,68.33,69.3807,68.26,68.44,67.4015,1126223,0.0,1.0
25,2020-08-17,69.69,70.48,67.79,68.53,67.4902,1693812,0.0,1.0
26,2020-08-14,68.39,69.68,68.165,69.01,67.9629,864855,0.0,1.0
27,2020-08-13,69.2,69.97,68.89,68.99,67.9432,1044903,0.0,1.0
28,2020-08-12,72.03,72.305,69.3,69.89,68.8295,1344815,0.0,1.0
29,2020-08-11,71.77,73.5,70.77,71.05,69.9719,2610209,0.0,1.0
30,2020-08-10,67.05,70.35,67.01,70.19,69.125,2283828,0.0,1.0
31,2020-08-07,64.68,66.72,64.64,66.69,65.6781,1337680,0.0,1.0
32,2020-08-06,65.54,66.0625,64.6135,65.44,64.4471,1843057,0.0,1.0
33,2020-08-05,65.91,67.31,65.48,65.83,64.8311,1981318,0.0,1.0
34,2020-08-04,62.52,65.145,61.61,64.81,63.8266,2478800,0.0,1.0
35,2020-08-03,63.05,63.81,62.11,62.13,61.1873,2406189,0.0,1.0
36,2020-07-31,64.17,64.665,61.52,62.52,61.5714,2946635,0.0,1.0
