,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,329.51,336.03,325.11,335.31,335.31,3370265,0.0,1.0
1,2020-09-21,329.47,331.67,320.81,327.85,327.85,4466047,0.0,1.0
2,2020-09-18,338.21,341.135,333.37,335.26,335.26,4006023,0.0,1.0
3,2020-09-17,337.14,343.72,336.0,339.43,339.43,3713239,0.0,1.0
4,2020-09-16,341.28,346.04,339.785,341.85,341.85,3049084,0.0,1.0
5,2020-09-15,342.74,343.93,338.53,339.14,339.14,2396398,0.0,1.0
6,2020-09-14,334.97,340.0,334.02,338.6,338.6,3416441,0.0,1.0
7,2020-09-11,334.71,334.71,327.31,330.15,330.15,2920670,0.0,1.0
8,2020-09-10,342.5,345.13,331.14,332.88,332.88,2845917,0.0,1.0
9,2020-09-09,337.39,342.76,332.37,339.64,339.64,3344928,0.0,1.0
10,2020-09-08,328.76,335.71,326.9,329.88,329.88,4425652,0.0,1.0
11,2020-09-04,343.0,346.99,326.5501,335.01,335.01,6571423,0.0,1.0
12,2020-09-03,358.47,358.94,341.26,343.84,343.84,6297442,0.0,1.0
13,2020-09-02,357.39,361.6,356.2811,360.7,360.7,4127221,0.0,1.0
14,2020-09-01,357.71,359.44,353.56,356.9,356.9,4412230,0.0,1.0
15,2020-08-31,366.63,366.63,357.6898,358.19,358.19,3948240,0.0,1.0
16,2020-08-28,357.48,367.25,356.16,366.12,366.12,3544720,0.0,1.0
17,2020-08-27,351.73,358.0,350.58,356.0,356.0,3811724,0.0,1.0
18,2020-08-26,348.0,352.29,345.5,351.02,351.02,3511970,0.0,1.0
19,2020-08-25,344.71,348.46,343.33,347.66,347.66,2862965,0.0,1.0
20,2020-08-24,339.36,343.83,338.75,343.64,343.64,2753906,0.0,1.0
21,2020-08-21,338.0,338.8,335.97,337.1,337.1,2681080,0.0,1.0
22,2020-08-20,330.19,338.0,330.19,337.32,337.32,2966407,0.0,1.0
23,2020-08-19,330.04,334.4599,330.0,332.4,332.4,3420991,0.0,1.0
24,2020-08-18,330.2,331.4,326.3501,331.0,331.0,3022140,0.0,1.0
25,2020-08-17,327.0,331.23,326.675,330.23,330.23,2894481,0.0,1.0
26,2020-08-14,325.67,327.64,324.81,326.8,326.8,1444904,0.0,1.0
27,2020-08-13,325.93,329.8306,325.6237,326.19,326.19,2527126,0.0,1.0
28,2020-08-12,328.66,331.4,326.2,327.63,327.63,3126682,0.0,1.0
29,2020-08-11,325.0,334.55,323.58,328.54,328.54,5273319,0.0,1.0
30,2020-08-10,327.19,329.74,321.857,322.88,322.88,3752382,0.0,1.0
31,2020-08-07,328.0,328.33,323.93,328.02,328.02,3662668,0.0,1.0
32,2020-08-06,327.4,331.215,325.9,330.14,330.14,4839813,0.0,1.0
33,2020-08-05,316.37,329.68,315.87,328.0,328.0,5799100,0.0,1.0
34,2020-08-04,312.5,315.69,311.1,314.39,314.39,3409339,0.0,1.0
35,2020-08-03,311.0,313.5,309.3,312.59,312.59,3908500,0.0,1.0
36,2020-07-31,310.0,310.09,305.6101,308.53,308.53,4684553,0.0,1.0
37,2020-07-30,304.0,312.82,303.04,309.0,309.0,3941573,0.0,1.0
38,2020-07-29,304.5,311.66,304.12,309.3,309.3,3542405,0.0,1.0
39,2020-07-28,308.5,310.2,306.03,306.33,306.33,2116279,0.0,1.0
40,2020-07-27,307.06,310.0,306.0234,308.86,308.86,2311575,0.0,1.0
41,2020-07-24,306.48,310.73,304.54,306.92,306.92,2500686,0.0,1.0
42,2020-07-23,313.55,317.24,308.72,309.9,309.9,3118539,0.0,1.0
