,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,113.38,114.3,111.19,113.17,113.17,751979,0.0,1.0
1,2020-09-18,116.32,117.38,114.68,114.93,114.93,1150826,0.0,1.0
2,2020-09-17,117.36,118.355,115.695,117.14,117.14,650392,0.0,1.0
3,2020-09-16,119.44,120.55,117.95,118.19,118.19,551238,0.0,1.0
4,2020-09-15,119.61,120.84,118.05,118.57,118.57,308320,0.0,1.0
5,2020-09-14,116.99,120.09,116.44,119.65,119.65,471477,0.0,1.0
6,2020-09-11,116.45,116.45,114.96,115.91,115.91,581506,0.0,1.0
7,2020-09-10,116.29,117.41,114.31,116.44,116.44,696935,0.0,1.0
8,2020-09-09,116.12,118.38,115.39,116.44,116.44,488714,0.0,1.0
9,2020-09-08,117.97,118.245,115.01,115.68,115.68,639527,0.0,1.0
10,2020-09-04,118.12,119.43,116.06,118.35,118.35,477468,0.0,1.0
11,2020-09-03,119.3,120.83,117.03,117.83,117.83,519955,0.0,1.0
12,2020-09-02,116.44,118.88,115.2505,118.67,118.67,872371,0.0,1.0
13,2020-09-01,116.5,116.66,114.8,116.55,116.55,364776,0.0,1.0
14,2020-08-31,116.66,117.35,115.8,117.12,117.12,481188,0.0,1.0
15,2020-08-28,116.62,117.19,115.19,117.16,117.16,392304,0.0,1.0
16,2020-08-27,114.33,116.56,114.23,116.38,116.38,331165,0.0,1.0
17,2020-08-26,115.49,116.32,113.26,113.65,113.65,394528,0.0,1.0
18,2020-08-25,115.74,116.19,114.875,116.19,116.19,336777,0.0,1.0
19,2020-08-24,114.7,115.83,112.85,115.69,115.69,353577,0.0,1.0
20,2020-08-21,115.25,115.4685,113.11,114.84,114.84,307986,0.0,1.0
21,2020-08-20,112.84,115.27,112.84,114.83,114.83,384375,0.0,1.0
22,2020-08-19,116.06,116.06,112.66,113.28,113.28,623438,0.0,1.0
23,2020-08-18,116.28,116.52,114.43,116.07,116.07,320552,0.0,1.0
24,2020-08-17,114.95,116.23,114.04,116.04,116.04,283872,0.0,1.0
25,2020-08-14,115.55,116.22,114.31,114.86,114.86,765595,0.0,1.0
26,2020-08-13,116.44,117.93,115.44,115.69,115.69,389710,0.0,1.0
27,2020-08-12,117.13,117.52,116.05,117.09,117.09,260101,0.0,1.0
28,2020-08-11,118.09,119.245,116.14,116.71,116.71,561903,0.0,1.0
29,2020-08-10,116.94,118.385,116.35,117.05,117.05,575504,0.0,1.0
30,2020-08-07,115.82,116.865,115.56,116.49,116.49,454228,0.0,1.0
31,2020-08-06,115.74,116.915,115.37,116.5,116.5,375743,0.0,1.0
32,2020-08-05,117.54,117.62,115.515,116.26,116.26,287247,0.0,1.0
33,2020-08-04,116.44,117.74,115.0,116.92,116.92,603481,0.0,1.0
34,2020-08-03,118.56,118.56,115.4,116.88,116.88,537485,0.0,1.0
35,2020-07-31,117.03,119.2,114.75,119.19,119.19,720420,0.0,1.0
36,2020-07-30,112.69,118.76,112.67,117.52,117.52,857532,0.0,1.0
37,2020-07-29,113.78,114.5,111.94,113.92,113.92,549257,0.0,1.0
38,2020-07-28,110.4,113.63,109.88,112.99,112.99,514595,0.0,1.0
39,2020-07-27,110.81,110.81,109.06,110.32,110.32,429099,0.0,1.0
40,2020-07-24,112.13,112.205,110.71,111.27,111.27,443891,0.0,1.0
41,2020-07-23,111.88,112.75,110.42,111.65,111.65,422901,0.0,1.0
42,2020-07-22,108.81,112.87,108.63,112.17,112.17,984650,0.0,1.0
43,2020-07-21,110.62,111.15,108.86,109.36,109.36,438967,0.0,1.0
44,2020-07-20,112.31,113.07,109.08,110.02,110.02,421018,0.0,1.0
45,2020-07-17,112.5,113.62,111.46,112.92,112.92,489000,0.0,1.0
46,2020-07-16,111.7,112.88,111.19,112.02,112.02,465900,0.0,1.0
47,2020-07-15,114.52,114.7,112.14,112.43,112.43,696700,0.0,1.0
48,2020-07-14,111.57,113.49,111.5,112.94,112.94,652400,1.0,1.0
49,2020-07-13,114.1,114.1,112.19,112.34,111.354,571100,0.0,1.0
50,2020-07-10,112.49,114.33,112.03,113.6,112.603,530900,0.0,1.0
51,2020-07-09,113.28,113.28,111.25,112.56,111.5721,466600,0.0,1.0
52,2020-07-08,114.57,115.18,113.38,113.82,112.8211,662100,0.0,1.0
53,2020-07-07,114.44,115.9,113.88,114.57,113.5645,544400,0.0,1.0
54,2020-07-06,120.02,120.08,115.96,116.03,115.0117,396400,0.0,1.0
55,2020-07-02,119.52,119.56,116.32,117.53,116.4985,601500,0.0,1.0
56,2020-07-01,115.03,117.96,114.22,117.67,116.6373,504100,0.0,1.0
57,2020-06-30,111.76,115.09,111.67,114.67,113.6636,1039900,0.0,1.0
58,2020-06-29,111.31,111.75,108.78,111.52,110.5412,441600,0.0,1.0
59,2020-06-26,110.76,111.9,109.43,110.27,109.3022,735100,0.0,1.0
60,2020-06-25,109.78,111.46,109.1,111.35,110.3727,671500,0.0,1.0
61,2020-06-24,111.92,112.53,108.06,110.52,109.55,805400,0.0,1.0
62,2020-06-23,115.21,116.26,113.3,113.54,112.5435,644400,0.0,1.0
63,2020-06-22,114.64,116.19,113.01,114.19,113.1878,662900,0.0,1.0
64,2020-06-19,118.73,119.47,114.64,114.68,113.6735,2252400,0.0,1.0
65,2020-06-18,117.07,117.67,115.5,117.09,116.0624,862100,0.0,1.0
66,2020-06-17,122.04,122.7,117.84,118.64,117.5988,631900,0.0,1.0
67,2020-06-16,122.77,122.77,119.18,121.09,120.0272,833800,0.0,1.0
68,2020-06-15,115.04,119.4,114.53,118.01,116.9743,1204100,0.0,1.0
69,2020-06-12,119.66,120.43,114.82,119.08,118.0349,1113800,0.0,1.0
70,2020-06-11,117.22,118.72,115.22,115.46,114.4467,850000,0.0,1.0
71,2020-06-10,123.29,124.04,121.35,121.84,120.7707,593400,0.0,1.0
72,2020-06-09,123.85,124.77,122.13,124.66,123.5659,684500,0.0,1.0
73,2020-06-08,125.97,127.74,124.17,126.53,125.4195,801000,0.0,1.0
74,2020-06-05,122.26,126.13,122.26,124.44,123.3478,860900,0.0,1.0
75,2020-06-04,121.73,121.78,118.56,118.77,117.7276,755800,0.0,1.0
76,2020-06-03,118.93,122.99,118.93,122.39,121.3158,700200,0.0,1.0
77,2020-06-02,118.15,119.45,117.0,117.76,116.7265,643700,0.0,1.0
