,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-21,95.96,96.4,91.4,93.02,93.02,4863196,0.0,1.0
1,2020-09-18,103.37,103.94,99.58,99.88,99.88,5327653,0.0,1.0
2,2020-09-17,105.77,107.13,103.7,104.41,104.41,2763129,0.0,1.0
3,2020-09-16,106.11,108.8899,104.44,107.76,107.76,3004530,0.0,1.0
4,2020-09-15,104.98,106.36,103.22,105.39,105.39,1921960,0.0,1.0
5,2020-09-14,100.88,104.91,100.55,104.68,104.68,2729265,0.0,1.0
6,2020-09-11,100.94,101.11,97.39,99.26,99.26,2637962,0.0,1.0
7,2020-09-10,102.94,105.38,100.11,100.38,100.38,2263060,0.0,1.0
8,2020-09-09,103.81,103.94,100.83,102.01,102.01,2630087,0.0,1.0
9,2020-09-08,103.0,107.15,102.37,103.98,103.98,2745935,0.0,1.0
10,2020-09-04,104.89,107.04,103.21,104.82,104.82,2856159,0.0,1.0
11,2020-09-03,104.99,107.9,102.21,103.09,103.09,2956161,0.0,1.0
12,2020-09-02,103.28,104.84,102.4039,104.39,104.39,2101262,0.0,1.0
13,2020-09-01,101.48,104.58,100.76,103.09,103.09,1918168,0.0,1.0
14,2020-08-31,105.25,105.96,102.84,102.91,102.91,2881353,0.0,1.0
15,2020-08-28,102.96,106.61,101.95,106.26,106.26,3660993,0.0,1.0
16,2020-08-27,99.2503,103.3242,99.0,101.79,101.79,3856863,0.0,1.0
17,2020-08-26,98.34,98.57,96.33,97.38,97.38,2158295,0.0,1.0
18,2020-08-25,98.825,100.38,97.52,98.77,98.77,2302662,0.0,1.0
19,2020-08-24,96.01,98.57,95.0,97.89,97.89,2791726,0.0,1.0
20,2020-08-21,93.81,97.03,93.5,95.27,95.27,2069222,0.0,1.0
21,2020-08-20,92.46,95.63,92.07,94.02,94.02,2240497,0.0,1.0
22,2020-08-19,94.91,95.8436,93.67,94.0,94.0,1536862,0.0,1.0
23,2020-08-18,95.52,95.84,93.43,94.44,94.44,1718129,0.0,1.0
24,2020-08-17,97.22,97.5,95.1601,95.72,95.72,2037115,0.0,1.0
25,2020-08-14,97.25,97.67,95.96,96.01,96.01,3407036,0.0,1.0
26,2020-08-13,95.93,98.5,95.54,96.495,96.495,2158738,0.0,1.0
27,2020-08-12,99.21,99.65,95.39,96.03,96.03,3831000,0.0,1.0
28,2020-08-11,101.18,101.62,96.8701,97.01,97.01,5372175,0.0,1.0
29,2020-08-10,94.25,98.125,93.2957,97.13,97.13,5863849,0.0,1.0
30,2020-08-07,90.23,94.05,88.62,93.78,93.78,4949803,0.0,1.0
31,2020-08-06,86.46,91.2165,85.951,90.39,90.39,3763776,0.0,1.0
32,2020-08-05,87.72,87.9307,85.88,87.27,87.27,2200758,0.0,1.0
33,2020-08-04,83.42,86.27,82.62,86.1,86.1,2981182,0.0,1.0
34,2020-08-03,83.26,84.19,81.3,83.52,83.52,3361965,0.0,1.0
35,2020-07-31,84.53,84.61,82.06,83.825,83.825,3922499,0.0,1.0
36,2020-07-30,85.46,86.1074,84.54,85.51,85.51,2794673,0.0,1.0
37,2020-07-29,87.08,88.1779,86.0,87.14,87.14,1653673,0.0,1.0
38,2020-07-28,86.31,87.88,85.96,86.55,86.55,2105019,0.0,1.0
39,2020-07-27,86.11,87.135,85.2,86.27,86.27,2675842,0.0,1.0
40,2020-07-24,88.89,88.89,86.57,87.5,87.5,2369546,0.0,1.0
41,2020-07-23,89.91,90.2,87.92,88.97,88.97,2564106,0.0,1.0
42,2020-07-22,89.07,90.96,88.81,90.81,90.81,1741359,0.0,1.0
43,2020-07-21,89.67,91.5,88.5,89.96,89.96,2405373,0.0,1.0
44,2020-07-20,90.64,91.63,87.57,88.48,88.48,3030832,0.0,1.0
45,2020-07-17,93.03,93.1,90.1,91.48,91.48,2329687,0.0,1.0
46,2020-07-16,92.13,93.43,90.76,93.11,93.11,2483978,0.0,1.0
47,2020-07-15,90.23,94.75,90.16,94.03,94.03,6761443,0.0,1.0
48,2020-07-14,87.0,87.73,86.0,87.12,87.12,3063535,0.0,1.0
49,2020-07-13,89.07,90.54,87.31,87.5,87.5,3955185,0.0,1.0
50,2020-07-10,85.86,88.61,85.5,88.51,88.51,3246396,0.0,1.0
51,2020-07-09,90.22,90.28,86.0,86.25,86.25,5263545,0.0,1.0
52,2020-07-08,87.29,90.03,86.49,89.99,89.99,3407636,0.0,1.0
53,2020-07-07,88.63,88.98,87.08,87.43,87.43,2993873,0.0,1.0
54,2020-07-06,89.66,90.34,87.12,89.83,89.83,3138232,0.0,1.0
55,2020-07-02,89.7,90.23,86.26,87.8,87.8,3877706,0.0,1.0
56,2020-07-01,86.67,90.5,86.33,86.62,86.62,5708585,0.0,1.0
57,2020-06-30,85.41,86.92,84.0,85.73,85.73,4343105,0.0,1.0
58,2020-06-29,81.53,86.61,80.26,86.6,86.6,5132982,0.0,1.0
59,2020-06-26,83.55,83.95,80.3994,80.94,80.94,10150239,0.0,1.0
60,2020-06-25,83.59,84.56,82.12,84.04,84.04,5210944,0.0,1.0
61,2020-06-24,89.33,89.52,83.88,85.0,85.0,6403929,0.0,1.0
62,2020-06-23,91.0,91.49,88.83,90.62,90.62,5829178,0.0,1.0
63,2020-06-22,89.5,91.0,88.28,90.18,90.18,4588838,0.0,1.0
64,2020-06-19,93.905,94.13,88.66,89.68,89.68,4880572,0.0,1.0
65,2020-06-18,90.5,94.18,90.17,92.75,92.75,3746910,0.0,1.0
