,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,56.0,56.74,55.83,56.58,56.58,2450764,0.0,1.0
1,2020-09-21,56.81,56.98,54.9,55.89,55.89,2164237,0.0,1.0
2,2020-09-18,57.21,58.5,57.21,57.69,57.69,3340972,0.0,1.0
3,2020-09-17,58.34,58.5,56.825,57.55,57.55,2748964,0.0,1.0
4,2020-09-16,59.51,60.16,58.91,59.07,59.07,2174621,0.0,1.0
5,2020-09-15,59.63,59.88,58.99,59.15,59.15,1850755,0.0,1.0
6,2020-09-14,59.03,59.58,58.82,59.4,59.4,1820951,0.0,1.0
7,2020-09-11,58.22,58.89,57.91,58.54,58.54,1595344,0.0,1.0
8,2020-09-10,58.01,58.5,57.47,57.69,57.69,1657563,0.0,1.0
9,2020-09-09,56.56,58.32,56.56,57.95,57.95,1670483,0.0,1.0
10,2020-09-08,55.96,56.87,55.48,56.0,56.0,1659858,0.0,1.0
11,2020-09-04,57.53,57.79,55.35,56.42,56.42,1510817,0.0,1.0
12,2020-09-03,59.67,59.7,56.61,57.16,57.16,1757600,0.0,1.0
13,2020-09-02,59.55,60.07,58.78,59.83,59.83,1568882,0.0,1.0
14,2020-09-01,58.32,59.39,57.94,59.36,59.36,1417012,0.0,1.0
15,2020-08-31,58.7,58.95,58.12,58.3,58.3,1800761,0.0,1.0
16,2020-08-28,58.49,58.84,58.105,58.54,58.54,1634956,0.0,1.0
17,2020-08-27,59.45,59.45,58.23,58.4,58.4,1198723,0.0,1.0
18,2020-08-26,59.55,59.55,58.75,59.1,59.1,1280588,0.0,1.0
19,2020-08-25,59.39,59.53,58.815,59.34,59.34,1510387,0.0,1.0
20,2020-08-24,59.04,59.23,58.7,59.07,59.07,961708,0.0,1.0
21,2020-08-21,58.2,58.73,58.0,58.7,58.7,1094375,0.0,1.0
22,2020-08-20,58.21,58.685,57.83,58.0,58.0,902074,0.0,1.0
23,2020-08-19,58.81,58.96,58.34,58.5,58.5,1070486,0.0,1.0
24,2020-08-18,59.62,60.1,58.8,58.9,58.9,1896086,0.0,1.0
