,timestamp,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
0,2020-09-22,216.43,216.96,214.55,216.41,216.41,2474717,0.0,1.0
1,2020-09-21,217.14,218.045,213.4,216.41,216.41,2831750,0.0,1.0
2,2020-09-18,221.62,223.57,220.13,220.27,220.27,3861750,0.0,1.0
3,2020-09-17,223.7,223.73,220.5,222.58,222.58,3376985,0.0,1.0
4,2020-09-16,222.17,226.72,221.3,224.81,224.81,3464160,0.0,1.0
5,2020-09-15,221.76,223.64,221.4,222.37,222.37,2640872,0.0,1.0
6,2020-09-14,219.72,222.59,219.34,220.56,220.56,2544140,0.0,1.0
7,2020-09-11,217.69,219.18,216.28,218.0,218.0,3616483,0.0,1.0
8,2020-09-10,215.72,219.48,215.72,217.24,217.24,3325601,0.0,1.0
9,2020-09-09,215.0,218.17,214.44,215.71,215.71,3213195,0.0,1.0
10,2020-09-08,211.18,216.3,211.06,213.58,213.58,4107917,0.0,1.0
11,2020-09-04,215.29,217.78,210.76,211.73,211.73,3828823,0.0,1.0
12,2020-09-03,218.11,218.11,211.9,213.8,213.8,3126675,0.0,1.0
13,2020-09-02,213.25,217.13,212.69,216.23,216.23,4091998,0.0,1.0
14,2020-09-01,210.84,213.61,210.5816,212.69,212.69,2926889,0.0,1.0
15,2020-08-31,213.52,214.99,212.81,213.52,213.52,2900867,1.25,1.0
16,2020-08-28,212.82,216.71,211.77,214.91,213.6592,3212491,0.0,1.0
17,2020-08-27,214.34,216.1,212.1,212.19,210.955,3226762,0.0,1.0
18,2020-08-26,212.09,214.42,211.6,213.76,212.5159,2316855,0.0,1.0
19,2020-08-25,213.96,214.185,212.22,212.65,211.4123,2302456,0.0,1.0
20,2020-08-24,212.26,213.5,210.93,212.62,211.3825,2463937,0.0,1.0
21,2020-08-21,209.96,212.185,209.26,211.57,210.3386,3484853,0.0,1.0
22,2020-08-20,208.12,210.99,208.1,209.88,208.6585,2085063,0.0,1.0
23,2020-08-19,210.22,211.17,208.64,209.51,208.2906,2711113,0.0,1.0
24,2020-08-18,209.26,210.43,207.23,210.32,209.0959,2921676,0.0,1.0
25,2020-08-17,206.94,209.5,206.85,208.67,207.4555,2541592,0.0,1.0
26,2020-08-14,205.95,207.33,205.2,207.03,205.825,2060237,0.0,1.0
27,2020-08-13,205.96,207.25,205.35,206.49,205.2882,1795023,0.0,1.0
28,2020-08-12,206.86,207.4,205.38,206.02,204.8209,2167353,0.0,1.0
29,2020-08-11,205.0,207.42,204.25,205.0,203.8069,2478383,0.0,1.0
30,2020-08-10,204.35,205.16,202.5367,204.12,202.932,2783695,0.0,1.0
31,2020-08-07,203.36,205.16,203.285,204.6,203.4092,2979950,0.0,1.0
32,2020-08-06,198.78,203.6,198.37,203.18,201.9975,3159323,0.0,1.0
33,2020-08-05,200.0,200.5,197.91,199.26,198.1003,2281830,0.0,1.0
34,2020-08-04,194.95,199.7,194.34,199.36,198.1997,3700233,0.0,1.0
35,2020-08-03,194.33,195.6,193.59,194.4,193.2686,3143754,0.0,1.0
36,2020-07-31,194.15,194.675,191.6403,194.28,193.1493,3195486,0.0,1.0
37,2020-07-30,195.0,196.4019,192.9201,195.41,194.2727,2705661,0.0,1.0
38,2020-07-29,196.3,198.46,195.71,196.21,195.068,3342859,0.0,1.0
39,2020-07-28,198.6,199.89,195.5,196.24,195.0978,6051015,0.0,1.0
40,2020-07-27,199.04,202.52,198.71,201.25,200.0787,4541727,0.0,1.0
41,2020-07-24,196.89,198.91,195.725,198.72,197.5634,2200026,0.0,1.0
42,2020-07-23,198.46,199.27,196.01,197.55,196.4002,2702178,0.0,1.0
43,2020-07-22,193.21,199.65,193.05,198.62,197.464,3484707,0.0,1.0
44,2020-07-21,192.33,194.9,192.0,192.98,191.8568,3505400,0.0,1.0
45,2020-07-20,190.9,192.77,190.37,191.61,190.4948,2157100,0.0,1.0
46,2020-07-17,191.34,191.9,190.13,191.48,190.3656,1972600,0.0,1.0
47,2020-07-16,191.12,192.76,190.15,190.92,189.8088,2111100,0.0,1.0
